SRNumber,CreatedDate,RequestType,RequestSource,Address,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-870685951,12/31/2017 09:17:00 PM,Bulky Items,Call,"3677 S 3RD AVE, 90018",3RD,AVE,90018,34.02069308,-118.3202868,"(34.0206930813, -118.320286761)",673,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",SOUTHWEST,23079,661,921,7,12,19
1-870679421,12/31/2017 09:07:00 PM,Bulky Items,Self Service,"2517 W ELSINORE ST, 90026",ELSINORE,ST,90026,34.08079606,-118.269028,"(34.0807960646, -118.269027994)",594,East Los Angeles APC,13,Mitch O'Farrell,38,SILVER LAKE NC,NORTHEAST,23444,469,594,,8,90
1-870683586,12/31/2017 08:53:00 PM,Bulky Items,Mobile App,"2361 S FOX HILLS DR, 90064",FOX HILLS,DR,90064,34.04914582,-118.4137799,"(34.0491458226, -118.413779927)",632,West Los Angeles APC,5,Paul Koretz,62,WESTSIDE NC,WEST LOS ANGELES,24029,871,740,9,6,75
1-870672741,12/31/2017 08:37:00 PM,Bulky Items,Self Service,"825 N FOREST AVE, 90033",FOREST,AVE,90033,34.04962172,-118.1987794,"(34.0496217167, -118.198779403)",635,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK,23450,513,944,,9,38
1-870675551,12/31/2017 08:31:00 PM,Bulky Items,Call,"1036 W 24TH ST, 90007",24TH,ST,90007,34.03381068,-118.2833262,"(34.0338106803, -118.28332616)",634,South Los Angeles APC,1,Gilbert Cedillo,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST,22724,698,444,7,11,32
1-870672341,12/31/2017 08:27:00 PM,Bulky Items,Self Service,"5360 E OAKLAND ST, 90032",OAKLAND,ST,90032,34.08908848,-118.164804,"(34.0890884759, -118.164803955)",595,East Los Angeles APC,14,Jose Huizar,48,LA-32 NC,HOLLENBECK,23449,502,609,,9,91
1-870671671,12/31/2017 08:25:00 PM,Bulky Items,Self Service,"5339 E OAKLAND ST, 90032",OAKLAND,ST,90032,34.08904747,-118.1657733,"(34.0890474712, -118.165773254)",595,East Los Angeles APC,14,Jose Huizar,48,LA-32 NC,HOLLENBECK,23449,502,609,,9,91
1-870671341,12/31/2017 08:11:00 PM,Bulky Items,Self Service,"KLEE ST AT RUFFNER AVE, 91343",,,91343,34.23111432,-118.4975555,"(34.2311143247, -118.497555457)",501,North Valley APC,12,Mitchell Englander,124,NORTHRIDGE SOUTH NC,DEVONSHIRE,18914,119,1417,,2,65
1-870670861,12/31/2017 07:59:00 PM,Bulky Items,Self Service,"13538 W ERWIN ST, 91401",ERWIN,ST,91401,34.18293455,-118.4281691,"(34.1829345455, -118.428169109)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,186,500,,5,70
1-870670021,12/31/2017 07:55:00 PM,Bulky Items,Self Service,"13990 W VANOWEN ST, 91405",VANOWEN,ST,91405,34.19377501,-118.4378088,"(34.1937750065, -118.437808751)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,235,508,,5,70
1-870667641,12/31/2017 07:54:00 PM,Bulky Items,Self Service,"14010 W VANOWEN ST, 91405",VANOWEN,ST,91405,34.19377419,-118.4381141,"(34.1937741893, -118.438114092)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,235,508,,5,70
1-870669921,12/31/2017 07:54:00 PM,Bulky Items,Self Service,"5631 N RANCHITO AVE, 91401",RANCHITO,AVE,91401,34.17312495,-118.4357841,"(34.1731249474, -118.435784117)",562,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,244,400,,5,70
1-870669141,12/31/2017 07:52:00 PM,Bulky Items,Self Service,"6400 N COSTELLO AVE, 91401",COSTELLO,AVE,91401,34.18668511,-118.4377206,"(34.1866851086, -118.437720608)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,235,508,,5,70
1-870669011,12/31/2017 07:50:00 PM,Bulky Items,Self Service,"5735 N RANCHITO AVE, 91401",RANCHITO,AVE,91401,34.1750102,-118.4357844,"(34.1750101977, -118.435784353)",562,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,244,400,,5,70
1-870666681,12/31/2017 07:50:00 PM,Bulky Items,Self Service,"6705 N MATILIJA AVE, 91405",MATILIJA,AVE,91405,34.19217374,-118.4335935,"(34.1921737368, -118.433593452)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,235,508,,5,70
1-870664411,12/31/2017 07:47:00 PM,Bulky Items,Self Service,"13955 W OXNARD ST, 91401",OXNARD,ST,91401,34.17952306,-118.4372166,"(34.1795230563, -118.43721662)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,243,510,,5,70
1-870668841,12/31/2017 07:47:00 PM,Bulky Items,Self Service,"6740 N MATILIJA AVE, 91405",MATILIJA,AVE,91405,34.19279602,-118.4333623,"(34.1927960159, -118.433362337)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,235,508,,5,70
1-870667401,12/31/2017 07:46:00 PM,Bulky Items,Self Service,"6646 N RANCHITO AVE, 91405",RANCHITO,AVE,91405,34.19170488,-118.4355282,"(34.1917048773, -118.435528196)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,235,508,,5,70
1-870664301,12/31/2017 07:45:00 PM,Bulky Items,Self Service,"13961 W OXNARD ST, 91401",OXNARD,ST,91401,34.17952303,-118.4374169,"(34.1795230262, -118.437416906)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,243,510,,5,70
1-870666391,12/31/2017 07:43:00 PM,Bulky Items,Self Service,"6201 N RANCHITO AVE, 91401",RANCHITO,AVE,91401,34.18304039,-118.4357865,"(34.1830403881, -118.435786519)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,238,292,,5,70
1-870661561,12/31/2017 07:43:00 PM,Bulky Items,Self Service,"13759 W SYLVAN ST, 91401",SYLVAN,ST,91401,34.18494899,-118.433174,"(34.1849489918, -118.433173961)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,238,292,,5,70
1-870661651,12/31/2017 07:43:00 PM,Bulky Items,Self Service,"5637 N MAMMOTH AVE, 91401",MAMMOTH,AVE,91401,34.17321058,-118.4325121,"(34.1732105773, -118.432512101)",562,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,244,400,,5,70
1-870666251,12/31/2017 07:41:00 PM,Bulky Items,Self Service,"5915 N WOODMAN AVE, 91401",WOODMAN,AVE,91401,34.1781636,-118.4314852,"(34.1781635966, -118.431485223)",562,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,243,510,,5,70
1-870667111,12/31/2017 07:40:00 PM,Bulky Items,Call,"515 S HARVARD BLVD, 90020",HARVARD,BLVD,90020,34.06486963,-118.3043299,"(34.0648696326, -118.304329867)",633,Central APC,10,Herb J. Wesson Jr.,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC,23081,591,1261,,12,89
1-870666991,12/31/2017 07:37:00 PM,Bulky Items,Self Service,"5926 N WOODMAN AVE, 91401",WOODMAN,AVE,91401,34.17840773,-118.4310886,"(34.178407732, -118.431088649)",562,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,201,510,,5,70
1-870665971,12/31/2017 07:36:00 PM,Bulky Items,Self Service,"13907 W OXNARD ST, 91401",OXNARD,ST,91401,34.17952315,-118.4357077,"(34.1795231543, -118.435707696)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,243,510,,5,70
1-870665891,12/31/2017 07:36:00 PM,Bulky Items,Call,"2655 S MANHATTAN PL, 90018",MANHATTAN,PL,90018,34.03104256,-118.310243,"(34.0310425627, -118.310243035)",633,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",SOUTHWEST,23079,677,902,7,12,19
1-870657691,12/31/2017 07:34:00 PM,Bulky Items,Self Service,"7124 N WOODMAN AVE, 91405",WOODMAN,AVE,91405,34.19981873,-118.431184,"(34.1998187263, -118.431183952)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,491,,5,70
1-870657771,12/31/2017 07:34:00 PM,Bulky Items,Self Service,"5923 N WOODMAN AVE, 91401",WOODMAN,AVE,91401,34.17830099,-118.4314853,"(34.1783009867, -118.431485319)",562,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,243,510,,5,70
1-870661151,12/31/2017 07:26:00 PM,Bulky Items,Call,"12443 W HORTENSE ST, 91604",HORTENSE,ST,91604,34.15503955,-118.4045492,"(34.1550395522, -118.40454923)",562,South Valley APC,2,Paul Krekorian,27,STUDIO CITY NC,NORTH HOLLYWOOD,8492,345,1340,,5,84
1-870658571,12/31/2017 07:25:00 PM,Bulky Items,Self Service,"13605 W GAULT ST, 91405",GAULT,ST,91405,34.19944645,-118.4291328,"(34.1994464462, -118.429132766)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,491,,5,70
1-870658451,12/31/2017 07:24:00 PM,Bulky Items,Self Service,"13551 W HARTLAND ST, 91405",HARTLAND,ST,91405,34.1949916,-118.4286346,"(34.1949916019, -118.428634558)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,491,,5,70
1-870660906,12/31/2017 07:24:00 PM,Bulky Items,Mobile App,"1502 1/2 S HARVARD BLVD, 90006",HARVARD,BLVD,90006,34.04520942,-118.3040555,"(34.0452094211, -118.304055493)",633,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",OLYMPIC,22723,672,1357,,12,19
1-870656711,12/31/2017 07:22:00 PM,Bulky Items,Self Service,"13621 W HARTLAND ST, 91405",HARTLAND,ST,91405,34.19499183,-118.4297192,"(34.1949918348, -118.429719221)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,491,,5,70
1-870658271,12/31/2017 07:14:00 PM,Bulky Items,Call,"20234 W CANTARA ST, 91306",CANTARA,ST,91306,34.21908865,-118.5745921,"(34.2190886466, -118.574592122)",530,South Valley APC,3,Bob Blumenfield,14,WINNETKA NC,TOPANGA,4282,274,431,,4,66
1-870657221,12/31/2017 07:13:00 PM,Bulky Items,Call,"20234 W CANTARA ST, 91306",CANTARA,ST,91306,34.21908865,-118.5745921,"(34.2190886466, -118.574592122)",530,South Valley APC,3,Bob Blumenfield,14,WINNETKA NC,TOPANGA,4282,274,431,,4,66
1-870657311,12/31/2017 07:13:00 PM,Bulky Items,Self Service,"6660 N WOODMAN AVE, 91401",WOODMAN,AVE,91401,34.19143804,-118.4311786,"(34.1914380403, -118.431178598)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,183,499,,5,70
1-870654531,12/31/2017 07:11:00 PM,Bulky Items,Self Service,"6504 N WOODMAN AVE, 91401",WOODMAN,AVE,91401,34.18854081,-118.4310953,"(34.1885408076, -118.431095347)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,184,499,,5,70
1-870656371,12/31/2017 07:10:00 PM,Bulky Items,Mobile App,"10726 W MAGNOLIA BLVD, 91601",MAGNOLIA,BLVD,91601,34.1647055,-118.3646311,"(34.1647054981, -118.364631058)",563,South Valley APC,2,Paul Krekorian,24,MID-TOWN NORTH HOLLYWOOD NC,NORTH HOLLYWOOD,8488,212,338,,5,13
1-870657081,12/31/2017 07:09:00 PM,Bulky Items,Self Service,"6449 N FULTON AVE, 91401",FULTON,AVE,91401,34.1881077,-118.4227643,"(34.1881076976, -118.42276427)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,184,499,,5,70
1-870658111,12/31/2017 07:06:00 PM,Bulky Items,Self Service,"6645 N FULTON AVE, 91401",FULTON,AVE,91401,34.191496,-118.4226756,"(34.1914959973, -118.422675621)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,183,499,,5,70
1-870658021,12/31/2017 07:05:00 PM,Bulky Items,Self Service,"1323 W 214TH ST, 90501",214TH,ST,90501,33.83453003,-118.3005042,"(33.834530028, -118.300504164)",764,Harbor APC,15,Joe Buscaino,91,HARBOR GATEWAY SOUTH NC,HARBOR,25715,945,1145,,15,55
1-870654361,12/31/2017 07:01:00 PM,Bulky Items,Self Service,"AVENUE 33 AT MARGUERITE ST, 90065",,,90065,34.11594925,-118.2403679,"(34.1159492474, -118.240367947)",594,East Los Angeles APC,13,Mitch O'Farrell,39,GLASSELL PARK NC,NORTHEAST,24030,388,476,,8,56
1-870650546,12/31/2017 06:59:00 PM,Bulky Items,Mobile App,"3315 N PAOLA AVE, 90032",PAOLA,AVE,90032,34.08425768,-118.1812063,"(34.08425768, -118.181206254)",595,East Los Angeles APC,14,Jose Huizar,48,LA-32 NC,HOLLENBECK,23449,500,610,,9,91
1-870650753,12/31/2017 06:59:00 PM,Bulky Items,Mobile App,"1630 W 84TH ST, 90047",84TH,ST,90047,33.96259347,-118.3057262,"(33.9625934709, -118.305726209)",703,South Los Angeles APC,8,Marqueece Harris-Dawson,84,EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,77TH STREET,23678,780,1074,7,14,20
1-870656861,12/31/2017 06:58:00 PM,Bulky Items,Self Service,"6735 N GREENBUSH AVE, 91401",GREENBUSH,AVE,91401,34.19302804,-118.4259691,"(34.1930280431, -118.42596914)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,499,,5,70
1-870652781,12/31/2017 06:58:00 PM,Bulky Items,Call,"1579 W 29TH ST, 90007",29TH,ST,90007,34.02922734,-118.2968616,"(34.0292273401, -118.296861609)",634,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST,22724,689,654,7,14,32
1-870652621,12/31/2017 06:56:00 PM,Bulky Items,Self Service,"13443 W VANOWEN ST, 91405",VANOWEN,ST,91405,34.19407217,-118.4260408,"(34.1940721709, -118.426040802)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,491,,5,70
1-870655930,12/31/2017 06:55:00 PM,Bulky Items,Mobile App,"2301 W 10TH ST, 90006",10TH,ST,90006,34.05294071,-118.2819117,"(34.0529407121, -118.281911732)",634,Central APC,1,Gilbert Cedillo,54,MACARTHUR PARK NC,RAMPART,22723,572,867,,11,63
1-870650434,12/31/2017 06:54:00 PM,Bulky Items,Mobile App,"1962 N BEACHWOOD DR, 90068",BEACHWOOD,DR,90068,34.1069306,-118.3215442,"(34.1069305994, -118.321544158)",593,Central APC,4,David Ryu,30,HOLLYWOOD UNITED NC,HOLLYWOOD,24033,405,552,,7,64
1-870652481,12/31/2017 06:54:00 PM,Bulky Items,Self Service,"13425 W VANOWEN ST, 91405",VANOWEN,ST,91405,34.19405925,-118.4252931,"(34.1940592492, -118.425293108)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,491,,5,70
1-870652351,12/31/2017 06:50:00 PM,Bulky Items,Self Service,"13363 W VANOWEN ST, 91405",VANOWEN,ST,91405,34.19406219,-118.4245976,"(34.1940621907, -118.4245976)",532,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19733,183,491,,5,70
1-870652241,12/31/2017 06:49:00 PM,Bulky Items,Self Service,"1920 S CARMONA AVE, 90016",CARMONA,AVE,90016,34.0395502,-118.3613086,"(34.0395501985, -118.361308577)",633,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE,23077,652,1104,,12,69
1-870649701,12/31/2017 06:48:00 PM,Bulky Items,Call,"12425 W MAGNOLIA BLVD, 91607",MAGNOLIA,BLVD,91607,34.16500643,-118.40383,"(34.1650064257, -118.403829993)",562,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,205,637,17,5,39
1-870653891,12/31/2017 06:48:00 PM,Bulky Items,Self Service,"1920 S CARMONA AVE, 90016",CARMONA,AVE,90016,34.0395502,-118.3613086,"(34.0395501985, -118.361308577)",633,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE,23077,652,1104,,12,69
1-870649411,12/31/2017 06:46:00 PM,Bulky Items,Call,"4017 S GELBER PL, 90008",GELBER,PL,90008,34.01282204,-118.3492659,"(34.0128220443, -118.349265863)",673,South Los Angeles APC,10,Herb J. Wesson Jr.,79,EMPOWERMENT CONGRESS WEST AREA NDC,SOUTHWEST,22725,764,1029,7,12,54
1-870649421,12/31/2017 06:46:00 PM,Bulky Items,Call,"12411 W MAGNOLIA BLVD, 91607",MAGNOLIA,BLVD,91607,34.16501569,-118.4034509,"(34.1650156854, -118.403450858)",562,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,205,637,17,5,39
1-870651861,12/31/2017 06:42:00 PM,Bulky Items,Call,"11567 N VIKING AVE, 91326",VIKING,AVE,91326,34.2820502,-118.5460667,"(34.2820501989, -118.546066731)",500,North Valley APC,12,Mitchell Englander,114,PORTER RANCH NC,DEVONSHIRE,18905,61,1411,,2,48
1-870647571,12/31/2017 06:38:00 PM,Bulky Items,Call,"12921 W GREENE AVE, 90066",GREENE,AVE,90066,33.9872871,-118.431283,"(33.9872871046, -118.431282986)",672,West Los Angeles APC,11,Mike Bonin,70,DEL REY NC,PACIFIC,24031,919,1268,10,10,85
1-870649047,12/31/2017 06:33:00 PM,Bulky Items,Mobile App,"1502 S HARVARD BLVD, 90006",HARVARD,BLVD,90006,34.04520942,-118.3040555,"(34.0452094211, -118.304055493)",633,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",OLYMPIC,22723,672,1357,,12,19
1-870647361,12/31/2017 06:25:00 PM,Bulky Items,Self Service,"7216 W DOS RIOS DR, 91042",DOS RIOS,DR,91042,34.26920011,-118.2894838,"(34.2692001057, -118.289483834)",504,North Valley APC,7,Monica Rodriguez,10,SUNLAND-TUJUNGA NC,FOOTHILL,3222,2,532,,1,7
1-870648801,12/31/2017 06:15:00 PM,Bulky Items,Call,"3032 E TATUM ST, 90065",TATUM,ST,90065,34.10105859,-118.2301756,"(34.1010585945, -118.230175649)",594,East Los Angeles APC,1,Gilbert Cedillo,102,GREATER CYPRESS PARK NC,NORTHEAST,24030,378,1214,13,11,94
1-870647041,12/31/2017 06:11:00 PM,Bulky Items,Self Service,"5934 E EL MIO DR, 90042",EL MIO,DR,90042,34.11464751,-118.1923229,"(34.1146475139, -118.192322886)",595,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST,23673,371,582,,11,93
1-870643462,12/31/2017 06:04:00 PM,Bulky Items,Mobile App,"11632 N LUANDA ST, 91342",LUANDA,ST,91342,34.28368017,-118.3844259,"(34.2836801718, -118.3844259)",482,North Valley APC,7,Monica Rodriguez,9,FOOTHILL TRAILS DISTRICT NC,FOOTHILL,18912,16,1559,,1,9
1-870639562,12/31/2017 06:03:00 PM,Bulky Items,Mobile App,"4316 W RUSSELL AVE, 90027",RUSSELL,AVE,90027,34.1043516,-118.2837052,"(34.1043516015, -118.283705241)",594,Central APC,4,David Ryu,36,LOS FELIZ NC,NORTHEAST,23445,465,1328,,7,3
1-870639581,12/31/2017 06:02:00 PM,Bulky Items,Self Service,"5934 E EL MIO DR, 90042",EL MIO,DR,90042,34.11464751,-118.1923229,"(34.1146475139, -118.192322886)",595,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST,23673,371,582,,11,93
1-870643281,12/31/2017 06:02:00 PM,Bulky Items,Self Service,"1046 W 37TH ST, 90731",37TH,ST,90731,33.71318336,-118.3024633,"(33.7131833629, -118.302463312)",854,Harbor APC,15,Joe Buscaino,96,COASTAL SAN PEDRO NC,HARBOR,3342,985,831,15,15,33
1-870638661,12/31/2017 05:56:00 PM,Bulky Items,Self Service,"1615 S VINEYARD AVE, 90019",VINEYARD,AVE,90019,34.04634347,-118.3374454,"(34.0463434678, -118.337445387)",633,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE,23080,651,1106,,12,69
1-870642943,12/31/2017 05:53:00 PM,Bulky Items,Mobile App,"5405 N KESTER AVE, 91411",KESTER,AVE,91411,34.16867158,-118.4578065,"(34.1686715791, -118.457806535)",561,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS,19735,247,666,,7,83
1-870639351,12/31/2017 05:52:00 PM,Bulky Items,Mobile App,"1621 S VINEYARD AVE, 90019",VINEYARD,AVE,90019,34.04608253,-118.3375489,"(34.0460825283, -118.337548862)",633,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE,23080,651,1106,,12,69
1-870644153,12/31/2017 05:52:00 PM,Bulky Items,Mobile App,"2549 N EASTLAKE AVE, 90031",EASTLAKE,AVE,90031,34.07675642,-118.2079968,"(34.0767564247, -118.207996809)",595,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK,23448,488,516,,11,1
1-870639156,12/31/2017 05:47:00 PM,Bulky Items,Mobile App,"11806 W OHIO AVE, 90025",OHIO,AVE,90025,34.04299592,-118.4588184,"(34.0429959158, -118.458818449)",631,West Los Angeles APC,11,Mike Bonin,66,WEST LOS ANGELES NC,WEST LOS ANGELES,23443,865,1380,9,10,50
