"fiscal_year","fnp_retirement_plan","fnp_healthcare_plan","family_death_benefit_plan","fnp_total","retirement_uaal","healthcare_uaal","total_uaal","funded_ratio_retirement_plan","funded_ratio_healthcare_plan","funded_ratio_total","city_contributions_retirement","city_contributions_healthcare","city_contributions_total","actual_employer_retirement_plan_contribution_rate_combined","actual_employer_health_plan_contribution_rate_combined","member_contributions_retirement","member_contributions_healthcare","retirement_investment_net","healthcare_investment_net","net_investment_income_loss_total_lacers_plan","yr_return_gross","yr_return_net","yr3_return_gross","yr3_return_net","yr5_return_gross","yr5_return_net","yr10_return_gross_","yr10_return_net","yr15_return_gross","yr15_return_net","monthly_retirement_allowance_service_retiree","monthly_retirement_allowance_beneficiaries","monthly_retirement_allowance_disability","monthly_retirement_allowance_all","annual_retirement_benefits","monthly_average_health_subsidy_over_65","monthly_average_health_subsidy_under_65_retiree","monthly_average_health_subsidy_under_65_survivor","maximum_monthly_retiree_healthcare_subsidy_under_65_non_medicare","maximum_monthly_survivor_healthcare_subsidy_under_65_non_medicare","annual_healthcare_benefits","active_tier_1","active_tier_2","active_tier_3","active_members_all_tiers","inactive_tier_1","inactive_tier_2","inactive_tier_3","inactive_members_all_tiers","covered_payroll","actuarially_projected_annual_payroll","service_retirees","disability_retirees","beneficiaries","average_retirement_age","average_service_retiree_age","average_beneficiary_age"
"2000","6998436086","864279102","18782108","7881497296","-548434115","43762962","-504671153","116.4","101.2","114.5","92364084","14246103","106610187","0.0643","0.0127","64579401","0","682805132","88361650","771166782","0.111",,"0.115",,"0.14",,"0.12",,"0.123",,,,,"1856","289395441",,,,,,"29987151","24234",,,"24234","701",,,"701","1182203000",,,,,,"71.6","71.6"
"2001","6518916713","788174306","18217799","7325308818","-520716053","-37079192","-557795245","100.8","97.6","100.4","79861000","8036000","87897000","0.0493","0.0067","69460000","0","-300649000","-48668000","-349317000","-0.042",,"0.063",,"0.096",,"0.107",,"0.102",,,,,"1971","308636000",,,,,,"34469000","25654",,,"25654","748",,,"748","1293350000",,,,,"59","71.5","71.5"
"2002","5973926048","722534582","17479658","6713940288","191930161","78047910","269978071","82.4","77.5","81.8","51879000","27589000","79468000","0.0254","0.0217","27589000","0","-320330000","-50163000","-370493000","-0.0485",,"0.004",,"0.048",,"0.089",,"0.091",,,,,"2063","332747000",,,,,,"42069000","25930",,,"25930","1158",,,"1158","1334335000",,,,,"58.9","71.5","71.5"
"2003","5968364031","723899616","16778034","6709041681","660199346","356827890","1017027236","77.9","60.0","75.5","70923000","26608000","97531000","0.0384","0.0198","83068000","0","220326000","26999000","247325000","0.0454","0.0428","-0.016",,"0.036",,"0.08",,"0.092",,"2637","1269","1131","2167","358195000",,"602","346","872","400","50784000","26358",,,"26358","1511",,,"1511","1405058000",,"9797","839","3162","59.2","71.4","74.9"
"2004","6895303000","839135000","16025000","7734438028","1491755937","560815516","2052571453","80.6","59.1","77.5","120057000","20144000","140201000","0.0922","0.0185","93418000","0","1097366000","155151000","1252517000","0.1859","0.1828","0.0566","0.0511","0.047",,"0.096",,"0.094",,"2778","1324","1182","2354","380276000",,"648","389","883","453","58254000","27092",,,"27092","2232",,,"2232","1459480807","1575284734","9901","845","3223","60.1","71.4","75"
"2005","7413469000","918288000","15253000","8331757000","2128382740","825520669","2953903409","79.3","53.4","75.3","175947000","53190000","229137000","0.1195","0.0402","94268000","0","673389000","91412000","764801000","0.1003","0.0981","0.109","0.1064","0.036",,"0.091",,"0.094",,"2961","1374","1236","2490","405456000","360","626","369","883","436","63756000","27333",,,"27333","2426",,,"2426","1477754000","1589305846","10147","864","3315","60","71.4","75.2"
"2006","8226876000","1058602000","14361000","9285478000","2195663013","740529235","2936192248","83.1","61.2","79.8","244283000","76116000","320399000","0.1421","0.0475","98262000","0","925399000","128473000","1053872000","0.124","0.1218","0.1362","0.1337","0.0785","0.0742","0.087",,"0.097",,"3116","1433","1290","2606","431232000","304","625","366","928","439","62351000","28839",,,"28839","2903",,,"2903","1602620000","1733339536","10234","885","3451","59.9","71.4","75.3"
"2007","9733117000","1338502000","13510000","11071619000","1927174412","544856288","2472030700","92.2","77.3","90.1","293160000","115233000","408393000","0.1686","0.07","106234000","0","1591647000","231613000","1823260000","0.1947","0.1923","0.139","0.1367","0.1287","0.1262","0.087",,"0.102",,"3192","1510","1318","2677","457847000","320","702","410","983","492","65090000","30175",,,"30175","3303",,,"3303","1646056000","1896609013","10398","901","3537","60","71.6","75.5"
"2008","9083168000","1289026000","12638000","10372194000","1748085441","585123289","2333208730","81.0","66.9","78.9","302810000","108848000","411658000","0.1654","0.0425","114678000","0","-550386000","-96007000","-646393000","-0.0564","-0.0584","0.0821","0.0799","0.1058","0.1034","0.07",,"0.089",,"3319","1578","1368","2796","484549000","341","725","418","1022","512","70096000","30236",,,"30236","4273",,,"4273","1741850000","1977644640","10582","908","3485","60","71.8","75.7"
"2009","7144582000","998406000","11818000","8142988000","2464236515","715680301","3179916816","59.2","48.5","57.6","288516000","95122000","383638000","0.1498","0.0519","118592000","0","-1800906000","-309334000","-2110240000","-0.1947","-0.1962","-0.0317","-0.0337","0.0234","0.0214","0.035",,"0.071",,"3439","1669","1416","2901","510634000","364","777","461","1120","561","73839000","30065",,,"30065","4554",,,"4554","1832796000","1816171212","10563","902","3526","60","72","75.9"
"2010","7836758000","1164607000","12444000","9001365000","3040997708","808148415","3849146123","62.0","52.1","60.5","266240000","96511000","362751000","0.1414","0.0528","126961000","0","911088000","155745000","1066833000","0.129","0.1267","-0.0498","-0.0517","0.0287","0.0266","0.037",,"0.07",,"3642","1756","1455","3132","569938000","377","796","470","1123","562","83196000","26245",,,"26245","5344",,,"5344","1827864000","1817662284","12740","905","3619","60.2","70.4","75.9"
"2011","9227219000","1466385000","14301000","10693604000","3700692504","421823917","4122516421","68.6","74.5","69.4","306737000","107396000","414133000","0.1809","0.064","114731000","0","1654824000","295324000","1950148000","0.2259","0.2233","0.0368","0.0347","0.0467","0.0446","0.0625","0.0593","0.073",,"3697","1807","1486","3182","654384000","392","833","492","1190","596","98156000","25449",,,"25449","5623",,,"5623","1678059000","1833392381","12658","892","3647","60.2","70.9","76"
"2012","9098161000","1497540000","13216000","10595701000","4458999464","650026667","5109026131","62.9","65.3","63.3","308712000","115209000","423921000","0.2046","0.072","178246000","0","72705000","10314000","83019000","0.0111","0.0092","0.1185","0.1163","0.0124","0.0103","0.069","0.0667","0.0618",,"3804","1888","1534","3275","664626000","380","813","489","1190","594","91437000","24917",,,"24917","5808",,,"5808","1715197000","1819269630","12634","897","3692","60.1","71.2","76.2"
"2013","10199593000","1722945000","14359000","11922538000","4657702276","677750710","5335452986","68.2","71.4","68.7","346350000","72916000","419266000","0.1994","0.042","197881000","0","1275612000","253632000","1529244000","0.1432","0.1413","0.1232","0.1211","0.052","0.05","0.0786","0.0764","0.0642",,"3885","1958","1570","3355","687362000","407","886","561","1367","682","97946000","24441",,,"24441","5799",,,"5799","1736113000","1846970474","12771","898","3693","60.1","71.5","76.2"
"2014","11844437000","2091335000","16285000","13935772000","4457774000","721628343","5179402343","72.6","78.5","73.4","357818000","97841000","455659000","0.1984","0.0542","204136000","0","1820266000","375504000","2195770000","0.1841","0.1821","0.1103","0.1084","0.1363","0.1342","0.0784","0.0763","0.0677",,"3936","2020","1593","3406","708956000","429","942","593","1464","730","101628000","23254","755",,"24009","5981","50",,"6031","1802931000","1898064175","12880","900","3752","60.1","71.8","76.4"
"2015","11981054000","2143706000","15656000","14124760000","4989426000","538064716","5527490716","70.5","81.0","71.9","381299000","100467000","481766000","0.2077","0.0547","207564000","0","308557000","59435000","367992000","0.0278","0.026","0.1164","0.1145","0.1151","0.1131","0.0711","0.069","0.0621",,"4023","2072","1616","3487","734736000","460","994","636","1580","788","103599000","21915","1980",,"23895","6507","255",,"6762","1835637000","1907664598","13217","910","3805","60.2","71.8","76.5"
"2016","11870182000","2134877000","14670000","14005059000","5615667000","544935475","6160602475","67.8","76.4","69.0","440704000","105983000","546687000","0.2347","0.0565","211345000","0","27638000","-721000","26917000","0.0053","0.0035","0.0695","0.0677","0.0718","0.0699","0.0592","0.0572","0.0656","0.0628","4068","2108","1636","3533","767264000","441","977","607","1580","748","109940000","23985",,"461","24446","6877",,"18","6895","1876946000","1968702630","13572","922","3863","60.2","71.9","76.5"
"2017","13250708000","2438862000","15861000","15689570000","5277672000","566944000","5844616000","71.4","81.1","72.8","453504000","97457000","550961000","0.2298","0.0494","227532000","0","1524533000","330368000","1854901000","0.1329","0.131","0.0539","0.052","0.0964","0.0945","0.0536","0.0516","0.0759","0.0759","4167","2171","1669","3631","799221000","466","1066","672","1737","826","119616000","23426",,"2031","25457","7238",,"190","7428","1973049000","2062316129","13986","902","3917","60.3","71.9","76.3"
"2018","14313245000","2676371000","16621000","16989616000","5709348000","580456000","6289804000","71.4","82.2","72.9","450338000","100909000","551247000","0.2188","0.049","236222000","0","1249814000","269065000","1518879000","0.0923","0.0904","0.0755","0.0736","0.0865","0.0846","0.0691","0.0671","0.0791","0.0791","4326","2236","1714","3785","847031000","490","1113","698","1791","853","128081000","22409",,"3633","26042","7490",,"538","8028","2057565000","2177687102","14583","894","3902","60.3","71.8","76.2"
"2019","14895812000","2812098000","16683000","17707910000","5977828000","522201000","6500029000","71.4","84.3","73.1","478827000","107927000","586754000","0.2271","0.0512","240357000","0","802027000","166470000","968497000","0.0615","0.0596","0.0952","0.0933","0.063","0.0611","0.099","0.097","0.0732","0.0712","4489","2342","1762","3942","909154000","497","1109","682","1791","853","140129000","21226",,"5406","26632","7638",,"950","8588","2108171000","2225412831","15165","888","3981","60.4","71.9","76.3"
"2020","15012120000","2851204000","16132000","17863324000","7594791000","635326000","8230117000","66.3","81.8","68.4","553222000","112136000","665358000","0.2436","0.0492","263936000","0","305291000","60201000","365492000","0.0124","0.0107","0.0549","0.0531","0.0598","0.058","0.0871","0.0852","0.0673","0.0653","4665","2418","1815","4100","973197000","478","1153","721","1791","853","139714000","20101",,"7389","27490","7777",,"1430","9207","2271039000","2445016587","15525","884","4014","60.4","72","76.4"
"2021","18918136000","3781652000","20650000","22805340000","4363757000","-261574000","4102183000","81.3","107.4","84.7","554954000","103454000","658408000","0.2437","0.0454","259285000","0","4305990000","982797000","5288787000","0.2929","0.2909","0.1158","0.114","0.1145","0.1126","0.0929","0.091","0.0773","0.0753","4851","2531","1888","4304","1067331000","502","1313","786","1838","877","160945000","17768",,"7408","25176","7781",,"1866","9647","2276768000","2254165029","17054","849","4109","60.7","71.5","76.3"
