"name","age","war_or_conflict","war_start_date","war_end_date","location","link"
"Paul J. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Ralph K. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert D. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert I. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert S. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Russel H. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Thomas Peter Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William L. Anderson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard Thorne Angell",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John M. Anton",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Edwin P. Appel",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Daniel H. Appleton",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Lynn Simons Archerd",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Thomas Raymond Arland",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"David H. Armstrong",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Laurence T. Armstrong",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Charles J. Ashton",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Rolland H. Atz",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Adrian F. Aufhold",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald L. Axtell",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Sherman L. Ayars",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert Orville Baber",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Thomas C. Bacon",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Leslie R. Baker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William E. Baker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Francis E. Baldwin",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George F. Ballauf",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James E. Bambery",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William P. Bark",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Russel A. Beach",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harold W. Beasley",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Paul Philip Beaurline",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George C. Becker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Henry A. Becker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James E. Becker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Kenneth J. Becker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Earl G. Beckjord",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Roy W. Bedahl",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Eugene E. Beebe",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James Ira Belden",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Gordon Bernard Belknap",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert Martin Belknap",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Raymond E. Bengston",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Roger J. Benson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Carl G. Bentzlin",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Conrad F. Bentzlin",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Franncis C. Berchem",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Roger Berg",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John Joseph Bergman",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Theodore R. Bergstrom",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John E. Bernie",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard J. Bernier",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Stanley K. Betak",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James H. Betin",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Hipolitus T. Biel",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert Biglow",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Gordon E. Bingen",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Joseph P. Birttnen",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Keith P. Bissonnette",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Paul L. Bitters",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Albert Richard Blanchard",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Buford L. Blanchette",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harrison C. Bledsoe",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John A. Bloemendal",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Henry J. Blom",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert C. Bloxam",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald R. Duchene",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Knute R. Bodin",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert E. Van Bogart",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Peter P. Bogotty",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert A. Bohland",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert W. Boland",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald A. Bondurant",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Hollister Boody",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard B. Bordenave",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Mitchell E. Bowen",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Ernest F. Brox",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald R. Bradehoft",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Edward H. Brandl",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harold R. Braun",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Murray D. Braun",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Leslie J. Breier",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Fred W. Breitkreutz",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William J. Bremer",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard M. Brennan",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Edward L. Briant",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Joseph Brisken",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Lawrence E. Brotzler",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George Paul Brudzinski",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Dan W. Bruffett",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Conrad I. Bruflat",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Jerry C. Brunette",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Albert H. Brunnette",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Charles G. Bryant",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert C. Bryant",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Milo E. Buehler",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Jerome C. Bunde",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Howard L. Burden",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William C. Burgess",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Morse R. Burington",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Edward L. Burkingame",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John W. Burtis",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard C. Cahail",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John B. Callahan",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert C. Callahan",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John A. Cameron",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Vern J. Campbell",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Henry R. Campion",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Edmund A. Cannon",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Socrates C. Capoyianes",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George S. Carbone",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Fredrick G. Carlson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George H.  Carlson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Leonard E.  Carlson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard A. Carlson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert Donald Carlstrom",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Arthur Quentin Carson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harold L. Carstedt",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Cornelius J. Carter",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Douglas A. Chambers",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard R. Chapman",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Sylvan Chargo",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Peter Charpentier",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Fredrick W. Chatterton",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harry Chersonsky",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert E. Chesney",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Louis J. Christensen",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert Virgil Christensen",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Orrin Lamont Christianson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William J. Citrowske",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","Second Floor,West Pillars",
"George F. La Clair",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Kenneth Patrick Clark",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert Stuart Clark",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert C. Clasen",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harold C. Class",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Arthur V. Clint",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Shelton Henry Clymer",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Charles Leroy Colbeth",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William M. Colburn",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James R. Collins",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James R. Collins",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John T. Conley",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Russel G. Connell",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John M. Conway",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Nels Domnick Cornell",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Kenneth J. Croft",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Charles S. Crossfield",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"David McMillan Currer",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James G. Cushing",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Thomas E. Dalldorf",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard A. Daly",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Fredrick S. Danielson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harold P. Dansky",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Edwin A. Daugherty",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Lloyd Earl Davereaux",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald A. Davis",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James I. Davis",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert W. Davison",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Allen I. Dean",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Paul H. Decker",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert Joseph Deery",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James C. Degidio",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James T. Delaney",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Pedro DeLeon",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Frederick P. Dempsey",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Walter B. Deutsch",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Michael J. Diaz",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harry S. Diffley",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert C. Dittberner",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Patrick Raymond Dolan",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John E. Donato",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Russel Edward Dorniden",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John J. Doyle",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald J. Duffey",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Roland E. Dufrene",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Gilman C. Dybevik",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","Second Floor, East Pillars",
"John W. Van Dyke",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Oscar Arthur Ecklund",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Paul S. Edmondson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George E. Eichenlaub",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John H. Ekleberry",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"George S. Elliott",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"James D. Elms",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Stanley F. Elvidge",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald W. Elwell",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Ambrose C. Ely",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William W. Ely",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John A. Emerson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert E. Endres",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Arthur Bernard Engebretson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert L. Engelbretson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert P. Engfer",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Richard Erman Engle",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Elmo L. Engman",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Eugene E. Engstrom",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Ralph John Ericksen",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harold A. Erickson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Hildus A. Erickson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Leroy H. Erickson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Lloyd Joseph Etheir",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Stanley Evanoff",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Orville J. Evenson",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Donald R. Ewald",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"John F. Fahey",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Anthony John Falzone",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"William R. Farnum",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Harry F. Fastner",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Ernest A. Fazekas",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Elmer R. Feist",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Sol Feldman",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Bernard P. Felix",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Reid F. Fellows",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Robert M. Fenner",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
"Rodney W. Fickle",,"World War II","1941-12-07T00:00:00.000","1946-12-31T00:00:00.000","First Floor, West Pillars",
