"agreement_type","company_name","primary_tax_abated_property_address","all_tax_abated_properties_addresses","primary_address_lat","primary_address_long","city_council_resolution_number","city_council_resolution_date","city_council_resolution_agreement_pdf","county_commission_resolution_number","county_commission_resolution_date","county_commission_resolution_agreement_pdf","year_beginning","year_ending","jobs_commitment","average_wage","agreement_jobs_notes","investment","agreement_investment_notes","state_map_no","assessment_on_pilot_properties","city_taxes_without_pilot_agreement","hamilton_county_general_tax_without_pilot_agreement","hamilton_county_school_tax_without_pilot_agreement","total_tax_without_pilot_agreement","city_payments_billed_in_lieu_of_taxes","hamilton_county_payments_billed_in_lieu_of_taxes","hamilton_county_school_payments_billed_in_lieu_of_taxes","total_economic_development_fee","total_payments_in_lieu_of_taxes","city_pilot_incentives","hamilton_county_pilot_incentives","hamilton_county_schools_pilot_incentives","economic_development_fee_pilot_incentives","total_pilot_incentive","primary_address_location","primary_address_location_address","primary_address_location_city","primary_address_location_state","primary_address_location_zip"
"Industrial Development Board- School Tax","CHATT SEATING SYSTEMS LLC","8005 Volkswagen Dr","8005 Volkswagen Dr","35.08694877","-85.1346012","26518","2010-12-07T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_dWx3RXdrMllEcEU/view?usp=sharing","1210-18","2010-12-15T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_bVViTE9OQllVWHc/view?usp=sharing","2011","2014","105",,,"4700000",,"Per 040027","676395.00","15618.00","9419.00","9284.00","34322.00",,,"9301.00",,"9301.00","15618.00","9419.00","-17.00",,"25020.00","POINT (-85.1346012 35.08694877)",,,,
"Health, Education and Housing Facility Board","CHIT CHATT PROPERTIES","1617 Rossville Ave","1617 Rossville Ave","35.034036","-85.304926","23253","2002-01-08T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_dl9nMHBSRTlYWE0/view?usp=sharing","302-41A","2002-04-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Qld1Vkd1TTdXbUU/view?usp=sharing","2012","2027",,,,,,"145LD-H-004 C201, C301","153160.00","3536.00","2133.00","2102.00","7772.00","672.00","406.00","400.00",,"1478.00","2864.00","1727.00","1703.00",,"6294.00","POINT (-85.304926 35.034036)",,,,
"Industrial Development Board","Coca-Cola Bottling Company United","Olan Mills Drive","Olan Mills Drive","35.047637","-85.186363","27804","2014-03-11T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_d055OFBPN3dqN1BMbE4zc21xNFhobGktYXRJ/view?usp=sharing","314-25","2014-03-19T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_ejJfdER1b2YwYlU/view?usp=sharing","2016","2027","313","45000.00","43 new and 270 Retained","62000000",,,,,,,,,,,,,,,,,,"POINT (-85.186363 35.047637)",,,,
"Industrial Development Board- School Tax","COLE ID CHATT US REAL ESTATE AKA AMAZON","7380 Volkswagen Dr","7380 Volkswagen Dr","35.0697983","-85.13541205","26502","2010-11-30T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_NkUxUEFjd0tlakE/view?usp=sharing","1210-12","2010-12-01T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RUFOdll0bnRWVTA/view?usp=sharing","2012","2022",,"30500.00","See jobs listed for this PILOT in the other Amazon PILOT in 2012. Jobs Totaled 1,249",,"See investment listed for the PILOT in the other Amazon PILOT. Investments totaled $91,000,000","139-074","23549080.00","543748.00","327944.00","323235.00","1194927.00",,,"323825.00",,"323825.00","543748.00","327944.00","-590.00",,"871102.00","POINT (-85.13541205 35.0697983)",,,,
"Industrial Development Board- School Tax","COLUMBUS MCKINNON CORP / DIXIE INDUSTRIES","3510 N Orchard Knob & 1402 E 12th St","3510 N Orchard Knob & 1402 E 12th St",,,"26092","2009-10-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_aW9tYzhUWEJ5S28/view?usp=sharing","1009-15","2009-10-01T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_YldyZnJlNGxUUHc/view?usp=sharing","2010","2017","120",,,"5500000",,"Per 038580","2225966.00","51398.00","30999.00","30554.00","112950.00",,,"32981.00",,"32981.00","51398.00","30999.00","-2428.00",,"79969.00",,,,,
"Industrial Development Board- School Tax","DESIGN ALLOY/STAINLESS RIVER","3033 Alton Park Blvd","3033 Alton Park Blvd","35.018403","-85.316166","25483","2008-04-15T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_WlJxVkxSZmdTN2M/view?usp=sharing","408-26A","2008-04-16T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_bC12V3VaUGNkZkU/view?usp=sharing","2009","2014","16",,,"6000000",,"155F-D-001.02; Per 037077","1752095.00","40456.00","24400.00","24049.00","88905.00",,,"25960.00",,"25960.00","40456.00","24400.00","-1911.00",,"62945.00","POINT (-85.316166 35.018403)",,,,
"Industrial Development Board","FEDEX INC / SCANNELL ","3021 Alton Park Blvd","3021 Alton Park Blvd","35.0220182","-85.3147053","25293","2007-10-09T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Skp1UVpfc3h1WWM/view?usp=sharing","1007-28","2007-10-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_aDUzSjhWMmRPM2s/view?usp=sharing","2009","2016","83",,"32 (Independent Contractors) 51 (PT)","10500000",,"155F-D-004","3914600.00","90388.00","54515.00","53732.00","198635.00","45194.00","27257.00","26866.00",,"99317.00","45194.00","27257.00","26866.00",,"99317.00","POINT (-85.3147053 35.0220182)",,,,
"Industrial Development Board","FEDEX INC / SCANNELL ","3021 Alton Park Blvd","3021 Alton Park Blvd","35.0220182","-85.3147053","25294","2007-10-09T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Skp1UVpfc3h1WWM/view?usp=sharing","1007-29","2007-10-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_WXZkMzVvcXp0MWc/view?usp=sharing","2009","2016",,,,"5000000",,"Per 037083","593551.00","13705.00","8266.00","8147.00","30118.00","6853.00","4133.00","4074.00",,"15059.00","6853.00","4133.00","4074.00",,"15059.00","POINT (-85.3147053 35.0220182)",,,,
"Health, Education and Housing Facility Board","FRAZIER PARTNERS LLC","330 Frazier Ave","330 Frazier Ave","35.061832","-85.305652","23253","2002-01-08T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_bzQ3R3hYYWduc00/view?usp=sharing","302-41A","2002-04-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Qld1Vkd1TTdXbUU/view?usp=sharing","2005","2018",,,,,,"135E-N-004","821761.00","18974.00","11444.00","11279.00","41698.00","618.00","379.00","373.00",,"1370.00","18357.00","11065.00","10906.00",,"40328.00","POINT (-85.305652 35.061832)",,,,
"Industrial Development Board","GESTAMP CHATTANOOGA LLC","3063 Hickory Valley Rd","3063 Hickory Valley Rd","35.0744819","-85.156703","26356","2010-07-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_YkRXakIzYU1JS0U/view?usp=sharing","1109-52;       710-4",,,"2011","2024","230","38247.00",,"90300000",,"130-001-25; Per 038692","19560411.00","451650.00","272398.00","268486.00","992534.00","232479.00","140212.00","268486.00",,"641177.00","219171.00","132186.00",,,"351357.00","POINT (-85.156703 35.0744819)",,,,
"Industrial Development Board","HEATEC, INC.","5200 Wilson Rd","5200 Wilson Rd","34.98821","-85.309032","24775","2006-06-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_WC0zbHZxT0JJR1k/view?usp=sharing","606-26","2006-06-07T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_VnY0SmRLaEhkWEU/view?usp=sharing","2007","2017",,"53000.00","See jobs listed for this PILOT in the ASTEC PILOT. Jobs totaled 66. ",,"See investment listed for the PILOT in the ASTEC PILOT. Investments totaled $13,590,000","167M-A-001.01; Per 031919","1174844.00","27127.00","16361.00","16126.00","59614.00","13564.00","8180.00","8063.00",,"29807.00","13564.00","8180.00","8063.00",,"29807.00","POINT (-85.309032 34.98821)",,,,
"Industrial Development Board","INVISTA (Formerly:  E.I. duPont)","4501 N Access Rd","N Access Rd","35.1147498","-85.2444208","21398","1997-06-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_aXFVUEE0QW1ldG8/view?usp=sharing","697-19","1997-06-04T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_WUptMTZXbzFWT00/view?usp=sharing","1998","2017",,,,,,"110P-B-001, L001; Per 029337","1102565.00","25458.00","15354.00","15134.00","55946.00","19038.00","11482.00","11317.00",,"41837.00","6420.00","3872.00","3817.00",,"14109.00","POINT (-85.2444208 35.1147498)",,,,
"Industrial Development Board","JARNIGAN ROAD/EMJ CORP (CBL)","2034 Hamilton Place Blvd","2034 Hamilton Place Blvd","35.030859","-85.161441","25042","2007-02-20T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_c2hMc3lSRTA0TVE/view?usp=sharing","207-26","2007-02-21T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_WGpLN2tXTHItY2c/view?usp=sharing","2007","2011","104","56500.00",,"11000000",,"148M-G-005.01; Per 035391","3511062.00","81070.00","48895.00","48193.00","178158.00","40535.00","24448.00","24096.00",,"89079.00","40535.00","24448.00","24096.00",,"89079.00","POINT (-85.161441 35.030859)",,,,
"Industrial Development Board","LJT OF TENNESSEE #2","600 River Terminal Rd","600 River Terminal Rd","35.070201","-85.2729899","26357","2010-07-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_TXI3NTBfNzEwUVk/view?usp=sharing","710-5","2010-07-07T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RDVhaG9VR1NfVU0/view?usp=sharing","2011","2017","80","42862.00",,"10800000",,"127-K-A-001.19","1833600.00","42338.00","25535.00","25168.00","93041.00",,,"27168.00",,"27168.00","42338.00","25535.00","-2000.00",,"65873.00","POINT (-85.2729899 35.070201)",,,,
"Industrial Development Board","LJT OF TENNESSEE #2","600 River Terminal Rd","600 River Terminal Rd","35.070201","-85.2729899","24320","2005-02-01T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RnFkbFlVV0dvT0k/view?usp=sharing","406-17","2006-04-05T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_aWtkUm9uelctdzQ/view?usp=sharing","2007","2014","50","42000.00",,"7250000",,"127-K-A-001.19","893680.00","20635.00","12445.00","12267.00","45347.00","10318.00","6223.00","6133.00",,"22674.00","10318.00","6223.00","6133.00",,"22674.00","POINT (-85.2729899 35.070201)",,,,
"Industrial Development Board of Hamilton County","McKee Foods (City of Collegedale)",,,,,,,,"706-17","2006-07-05T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_X2FLOW5uOEYzM2s/view?usp=sharing","2009","2019","175","36800.00",,"75000000",,"151-036-L000; Per 033050","9407116.00","129000.00","131003.00","129122.00","389125.00","64500.00","65502.00","64561.00",,"194563.00","64500.00","65502.00","64561.00",,"194563.00",,,,,
"Health, Education and Housing Facility Board","MK, LLC","Market St","Market St",,,"23253","2005-09-16T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_TlREb294bm51Vkk/view?usp=sharing","302-41A","2002-04-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Qld1Vkd1TTdXbUU/view?usp=sharing","2005","2021",,,,,,"145L-B-006.01","735480.00","16982.00","10242.00","10095.00","37320.00","2030.00","1344.00","1324.00",,"4698.00","14952.00","8899.00","8771.00",,"32621.00",,,,,
"Industrial Development Board","NATIONAL PRINT GROUP/NATIONAL POSTERS","1601 S Holtzclaw Ave","1601 S Holtzclaw Ave","35.027401","-85.290148","23190","2001-11-13T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_SENMUEZ0WFdPUTg/view?usp=sharing","1007-31","2007-10-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_TWk3azJTWUVoRWM/view?usp=sharing","2008","2014","35",,,"9200000",,"156A-D-003; Per 1036672","1287927.00","29738.00","17936.00","17678.00","65352.00","14869.00","8968.00","8839.00",,"32676.00","14869.00","8968.00","8839.00",,"32676.00","POINT (-85.290148 35.027401)",,,,
"Industrial Development Board","PLASTIC OMNIUM AUTO EXTERIORS, LLC","3241 Hickory Valley Rd","3241 Hickory Valley Rd","35.0776476","-85.1539174","27892","2014-06-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_NU5LSVJ3YnBaLWs/view?usp=sharing","614-19","2014-06-04T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_MUZwN2RHUm5Vd00/view?usp=sharing","2014","2025","250","44699.00",,"50000000",,"130-001-.33","218040.00","5035.00","3036.00","2993.00","11064.00","5035.00","3036.00","2993.00",,"11064.00",,,,,,"POINT (-85.1539174 35.0776476)",,,,
"Industrial Development Board","PROVIDENT/UNUM PROVIDENT CORP.","473 Walnut St","473 Walnut St","35.052191","85.307854","25483","2009-03-10T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RWRjYWcyTGh6LVk/view?usp=sharing","309-37","2009-03-18T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_WG1aSHVuLVV5TmM/view?usp=sharing","2009","2023",,,"N/A","21000000",,"135M-E-001","2802720.00","64715.00","39031.00","38470.00","142216.00","19414.00","11709.00","11541.00",,"42665.00","45300.00","27321.00","26929.00",,"99551.00","POINT (85.307854 35.052191)",,,,
"Industrial Development Board","PROVIDENT/UNUM PROVIDENT CORP.","425 High St ","425 High St ","35.0590361","-85.298221","23190","2001-11-13T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_R0lEZlBxZjJOY00/view?usp=sharing","1101-26","2001-11-07T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_amxJbWt6X21JY2M/view?usp=sharing","2001","2015",,,"N/A",,,"135M-F-019; Per 023983","2017809.00","46591.00","28100.00","27696.00","102388.00","11648.00","7025.00","6924.00",,"25597.00","34943.00","21075.00","20772.00",,"76791.00","POINT (-85.298221 35.0590361)",,,,
"Industrial Development Board- School Tax","RIVERCITY CO - MAJESTIC 12 THEATER","311 Broad St","311 Broad St","35.053296","-85.3114792","25682","2008-09-30T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_dEQ0cnByQVI4YUU/view?usp=sharing","1008-27","2008-10-01T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_UUo2aG5fX1JmV3c/view?usp=sharing","2010","2024",,,,"7000000",,"135NB-A-003","4242240.00","97953.00","59077.00","58229.00","215260.00",,,"62856.00",,"62856.00","97953.00","59077.00","-4627.00",,"152404.00","POINT (-85.3114792 35.053296)",,,,
"Industrial Development Board","ROADTEC, INC.","800 Manufacturers Rd","800 Manufacturers Rd","35.057279","-85.326258","25297","2007-10-09T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_WDdodXBLOXFFc00/view?usp=sharing","606-26","2006-06-07T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_VnY0SmRLaEhkWEU/view?usp=sharing","2007","2017","66","53000.00",,"13590000",,"135J-B-001; Per 031918","1793739.00","41417.00","24980.00","24621.00","91018.00","20709.00","12490.00","12310.00",,"45509.00","20709.00","12490.00","12310.00",,"45509.00","POINT (-85.326258 35.057279)",,,,
"Industrial Development Board- School Tax","SCENIC INDUSTRIES LLC","946 Business Park Dr","946 Business Park Dr","34.996421","-85.385332","25728","2008-11-11T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_UlFULVZkSFdENTQ/view?usp=sharing","1108-23","2008-11-05T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_S3p6Wk4xY2x4dVU/view?usp=sharing","2009","2014","100","43680.00","N/A","6400000",,"166-004.02; Per 035373","915927.00","21149.00","12755.00","12572.00","46476.00",,,"13571.00",,"13571.00","21149.00","12755.00","-999.00",,"32905.00","POINT (-85.385332 34.996421)",,,,
"Industrial Development Board","SOUTHERN CHAMPION TRAY ","Compress St","Compress St, 3480 Amnicola, 625 Hulsey",,,"24716","2006-03-21T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_UGdkdk95YUVqSzQ/view?usp=sharing","1007-30","2007-10-17T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_dF9rTlJ6bFpXXzg/view?usp=sharing","2008","2014","50","40000.00",,"10300000",,"Per 036897","549044.00","12677.00","7646.00","7536.00","27860.00","6339.00","3823.00","3768.00",,"13930.00","6339.00","3823.00","3768.00",,"13930.00",,,,,
"Industrial Development Board","SOUTHERN CHAMPION TRAY 2014","3480 Amnicola","Compress St, 3480 Amnicola, 625 Hulsey","35.083309","-85.261725","28072","2014-12-02T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_QkhoSnNXVndlcTg/view?usp=sharing","1214-8","2014-12-03T00:00:00.000",,"2015","2022","105","45000.00",,"18100000",,,,,,,,,,,,,,,,,,"POINT (-85.261725 35.083309)",,,,
"Health, Education and Housing Facility Board","SOUTH MARKET LLC","1280 Market St","1280 Market St","35.040156","-85.307471","23253","2002-01-08T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_SlR0NkQ0UjBocnM/view?usp=sharing","302-41A","2002-04-03T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Qld1Vkd1TTdXbUU/view?usp=sharing","2003","2020",,,,,,"145E-L-013.01 C001","462200.00","10672.00","6437.00","6344.00","23453.00","1762.00","1080.00","1064.00",,"3906.00","8910.00","5357.00","5280.00",,"19547.00","POINT (-85.307471 35.040156)",,,,
"Industrial Development Board","STEEL WAREHOUSE OF TN LLC (#1)","600 River Terminal Rd","600 River Terminal Rd","35.070201","-85.2729899","24716","2006-03-21T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RUk2cF9oYzlVTjQ/view?usp=sharing","406-17","2006-04-05T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_aWtkUm9uelctdzQ/view?usp=sharing","2007","2014","50","42000.00",,"7250000",,"Per 033405","2928612.00","67622.00","40784.00","40198.00","148604.00","33811.00","20392.00","20099.00",,"74302.00","33811.00","20392.00","20099.00",,"74302.00","POINT (-85.2729899 35.070201)",,,,
"Industrial Development Board","STEEL WAREHOUSE OF TN LLC ((LJT)","600 River Terminal Rd","600 River Terminal Rd","35.070201","-85.2729899","26357","2010-07-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_Z3ZLVTN1V2tjaDQ/view?usp=sharing","710-5","2010-07-07T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RDVhaG9VR1NfVU0/view?usp=sharing","2011","2017","80","42862.00",,"10800000",,"Per 039927","3538522.00","81704.00","49277.00","48570.00","179552.00",,,"52429.00",,"52429.00","81704.00","49277.00","-3859.00",,"127123.00","POINT (-85.2729899 35.070201)",,,,
"Industrial Development Board","UNITED PACKERS OF CHATT., LLC (#1)","4000 Amnicola Hwy","4000 Amnicola Hwy, 909 Creekside Rd","35.091945","-85.2526929","24818","2006-07-25T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RTNKa2ptSlBZS2c/view?usp=sharing","706-29","2006-07-19T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_RS04b2JpOXZLVHM/view?usp=sharing","2007","2014","27","47000.00",,"16500000",,"127D-B-004; Per 033089","2126172.00","49093.00","29609.00","29184.00","107886.00","24547.00","14805.00","14592.00",,"53943.00","24547.00","14805.00","14592.00",,"53943.00","POINT (-85.2526929 35.091945)",,,,
"Industrial Development Board","U.S. XPRESS INC","3939 Jenkins Rd","3939, 3745 & 4081 Jenkins Rd","35.055839","-85.129782","24237","2004-10-19T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_cVd0ZTBXMERjOXM/view?usp=sharing","1004-27","2004-10-06T00:00:00.000","https://drive.google.com/file/d/0B2WuOPFKWns_QS0wRUYxa3hZQWs/view?usp=sharing","2008","2015","1000",,,,,"139-003.04, 08,09; Per 030855","4496714.00","103829.00","62621.00","61722.00","228172.00","51915.00","31311.00","30861.00",,"114086.00","51915.00","31311.00","30861.00",,"114086.00","POINT (-85.129782 35.055839)",,,,
