"the_geom","dirprefix","dirsuffix","fullname","functclass","leftfrom","leftto","maxaddress","minaddress","name","objectid","oddside","ownership","rightfrom","rightto","streetid","streetstat","typeprefix","typesuffix"
"MULTILINESTRING ((-85.29962057499004 35.031173632553774, -85.29968822054659 35.031049601767705, -85.29973880561067 35.030955666271275, -85.2997889576593 35.03086156151898, -85.29984782551634 35.03074982159208))",,,"Madison St","Local Street","1700","1798.0","1799.0","1700","Madison","3799.0","R","Chattanooga","1701.0","1799.0","2949.0",,,"St"
"MULTILINESTRING ((-85.31530575048743 35.039104485696576, -85.31535658905047 35.039005935466655, -85.3155395196077 35.03867488910715, -85.31561349190204 35.03854151533798, -85.31567555401072 35.038429617888305, -85.31568098158878 35.038419758287276, -85.31592048824629 35.03798339990235, -85.31612341947832 35.03762120221372, -85.31620558471079 35.03747653201202, -85.3163785292339 35.037171938063665, -85.31664815585611 35.03668855212468))",,,"Reggie White Blvd","Local Street","1600","1898.0","1899.0","1600","Reggie White","10545.0","R","Chattanooga","1601.0","1899.0","9572.0",,,"Blvd"
"MULTILINESTRING ((-85.31433939078084 35.03876015285973, -85.31443757819737 35.038797890570436, -85.31462888175847 35.03886861021472, -85.31481171748321 35.03893738463421, -85.31498511968364 35.039003935419935, -85.31515330416559 35.03905952067276, -85.31530575048743 35.039104485696576))","W",,"W Main St","Urban Minor Arterial","550.0","598.0","599.0","550.0","Main","4005.0","R","Chattanooga","551.0","599.0","2944.0",,,"St"
"MULTILINESTRING ((-85.30037446923214 35.03349043203643, -85.30033765076534 35.033476285535436, -85.30021101538965 35.03342727039202, -85.30009127520039 35.03338065813331))","E",,"E Main St","Urban Minor Arterial","601.0","603.0","603.0","600.0","Main","248.0","L","State","600.0","602.0","4978.0",,,"St"
"MULTILINESTRING ((-85.3092457564192 35.03685279548471, -85.30952195000033 35.03695610522461, -85.30985098365737 35.03707930973562, -85.31022285214331 35.03721691038146, -85.31023826913938 35.03722260452563))","W",,"W Main St","Urban Minor Arterial","200.0","298.0","299.0","200.0","Main","7195.0","R","State","201.0","299.0","2944.0",,,"St"
"MULTILINESTRING ((-85.31217598524893 35.04060127739613, -85.3126382898714 35.040779175134695, -85.31312497110262 35.040962404406564))","W",,"W 13th St","Local Street","200.0","248.0","249.0","200.0","13th","9316.0","R","Chattanooga","201.0","249.0","2942.0",,,"St"
"MULTILINESTRING ((-85.31125245006088 35.03759865730713, -85.31148937377347 35.03768923500304, -85.31161644317064 35.037736370457694, -85.31193583325 35.03785484543532, -85.31215827029193 35.03793817961085, -85.31229475041768 35.037989310856894, -85.31241371208318 35.038033877890896, -85.3129114615424 35.038217583497556, -85.31339505478178 35.03840068346306))","W",,"W Main St","Urban Minor Arterial","400.0","498.0","499.0","400.0","Main","9426.0","R","Chattanooga","401.0","499.0","2944.0",,,"St"
"MULTILINESTRING ((-85.30126903847854 35.031289081267644, -85.3012190898346 35.03126871018792, -85.30120070524748 35.031261211703054, -85.30115881193812 35.03124333054631, -85.30110741373407 35.03122289393627, -85.30076103880316 35.03109301102201, -85.299956222942 35.03078854431994, -85.2998948392605 35.030766616467126, -85.29984782551634 35.03074982159208))","E",,"E 18th St","Local Street","601.0","699.0","699.0","600.0","18th","3983.0","L","Chattanooga","600.0","698.0","9348.0",,,"St"
"MULTILINESTRING ((-85.2989475697703 35.032949080901275, -85.29891885532282 35.032937887835956, -85.29880584561573 35.03289329167701, -85.29869310639545 35.03284828485754))","E",,"E Main St","Urban Minor Arterial","699.0","699.0","699.0","698.0","Main","2258.0","L","State","698.0","698.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30535364553623 35.035382694542655, -85.30488465427634 35.03521088330716, -85.30466173172901 35.03512509983533, -85.30455020401094 35.03508224869797, -85.3044157043135 35.03503066364433))","E",,"E Main St","Urban Minor Arterial","201.0","299.0","299.0","200.0","Main","7301.0","L","State","200.0","298.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30009127520039 35.03338065813331, -85.29995812069863 35.03332852663238, -85.29983192746164 35.033278770976295, -85.2997169492758 35.03323770814509, -85.29965784795348 35.03321634290417))","E",,"E Main St","Urban Minor Arterial","605.0","611.0","611.0","604.0","Main","4427.0","L","State","604.0","610.0","4978.0",,,"St"
"MULTILINESTRING ((-85.31405165071298 35.04131188325166, -85.3141233641011 35.04122248590861, -85.31421400816012 35.041075475280444, -85.31432308082542 35.04089060193748, -85.31441074243261 35.040713243219, -85.31450490882554 35.04054482456318, -85.31460346969507 35.04036623790328, -85.31467280227965 35.04023860941998, -85.31470754272877 35.04017586850884))",,,"Carter St","Urban Collector","1300","1398.0","1399.0","1300","Carter","6665.0","R","Chattanooga","1301.0","1399.0","2933.0",,,"St"
"MULTILINESTRING ((-85.31023826913938 35.03722260452563, -85.31034708590511 35.03726288012559, -85.31092433352269 35.03748090219836, -85.31125245006088 35.03759865730713))","W",,"W Main St","Urban Minor Arterial","300.0","398.0","399.0","300.0","Main","9949.0","R","State","301.0","399.0","2944.0",,,"St"
"MULTILINESTRING ((-85.30110057964518 35.03376495587875, -85.30097306212376 35.03371747453503, -85.30084571534664 35.03366974648779, -85.30071846943332 35.03362174460059, -85.30059139403393 35.0335735227357, -85.30046445369591 35.03352502793604, -85.30037446923214 35.03349043203643))","E",,"E Main St","Urban Minor Arterial","511.0","599.0","599.0","510.0","Main","3924.0","L","State","510.0","598.0","4978.0",,,"St"
"MULTILINESTRING ((-85.31312497110262 35.040962404406564, -85.31316303012181 35.04097674468654, -85.31405165071298 35.04131188325166))","W",,"W 13th St","Local Street","250.0","298.0","299.0","250.0","13th","3846.0","R","Chattanooga","251.0","299.0","2942.0",,,"St"
"MULTILINESTRING ((-85.30134949344607 35.033860816927, -85.30123347498765 35.03381617869315, -85.30110057964518 35.03376495587875))","E",,"E Main St","Urban Minor Arterial","501.0","509.0","509.0","500.0","Main","657.0","L","State","500.0","508.0","4978.0",,,"St"
"MULTILINESTRING ((-85.3005713527206 35.0325317184458, -85.30103338770054 35.03171319583314))",,,"Jefferson St","Local Street","1600","1698.0","1699.0","1600","Jefferson","4889.0","R","Chattanooga","1601.0","1699.0","5018.0",,,"St"
"MULTILINESTRING ((-85.29869310639545 35.03284828485754, -85.29870445409752 35.032826207636155, -85.29880723335886 35.03262658733982, -85.2988650987277 35.03252530317761, -85.29892273038296 35.032423936026376, -85.29893426344353 35.03240353589394, -85.2989801283376 35.032322484479955, -85.2990373278751 35.03222092272354, -85.29909429348062 35.032119303297456, -85.29915105872132 35.032017601080135, -85.29916578599239 35.03199103824158))",,,"Madison St","Local Street","1500","1598.0","1599.0","1500","Madison","6594.0","R","Chattanooga","1501.0","1599.0","2949.0",,,"St"
"MULTILINESTRING ((-85.31470754272877 35.04017586850884, -85.31476341858385 35.040074922472165, -85.3148769781066 35.03987669589787, -85.31499523715705 35.0396559400369, -85.31510706355434 35.03945704356282, -85.31522830843343 35.03924251359585, -85.31530575048743 35.039104485696576))",,,"Carter St","Urban Collector","1400","1498.0","1499.0","1400","Carter","1546.0","R","Chattanooga","1401.0","1499.0","2933.0",,,"St"
"MULTILINESTRING ((-85.3025594203294 35.03432254764283, -85.30244760063366 35.03427881295663, -85.30231266463564 35.03422785524209, -85.30217776030966 35.034176814567495, -85.30204292611505 35.03412569326849, -85.30190812469826 35.0340744601799, -85.30177339280246 35.03402311833081, -85.30166011529164 35.03397986104484, -85.30163872763103 35.03397169443124, -85.30150409693053 35.03392016086254, -85.30134949344607 35.033860816927))","E",,"E Main St","Urban Minor Arterial","401.0","499.0","499.0","400.0","Main","4681.0","L","State","400.0","498.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30732837378676 35.03614327143898, -85.3074396355227 35.03618249208153, -85.307514303282 35.0362082307802, -85.30758914153252 35.03623363915916, -85.30766418212895 35.03625869208383, -85.30783900973772 35.03632509635054, -85.3079390664306 35.03636611866306, -85.3080395637334 35.03640643028471, -85.30814043386953 35.03644605684314, -85.30824171213074 35.03648497111297))","W",,"W Main St","Urban Minor Arterial","2.0","98.0","99.0","1.0","Main","9179.0","R","State","1.0","99.0","2944.0",,,"St"
"MULTILINESTRING ((-85.29965784795348 35.03321634290417, -85.29960220845744 35.033196207023046, -85.29948770500197 35.03315426831408, -85.29937343916185 35.03311186318415, -85.29925944489538 35.03306901996683, -85.29914565441719 35.0330257656932, -85.29903213575425 35.03298204590539, -85.2989475697703 35.032949080901275))","E",,"E Main St","Urban Minor Arterial","613.0","697.0","697.0","612.0","Main","1668.0","L","State","612.0","696.0","4978.0",,,"St"
"MULTILINESTRING ((-85.31004101975051 35.03981045584077, -85.31010705277896 35.03983351943621, -85.31039471708607 35.03993399381396, -85.31068872227303 35.040045646254825, -85.31101492891248 35.04016512179471, -85.31121471732375 35.04024367199126, -85.31144354279517 35.040325246067695, -85.3117317212513 35.040438895506185, -85.31217248574504 35.040599998221246, -85.31217598524893 35.04060127739613))","W",,"W 13th St","Local Street","150.0","198.0","199.0","150.0","13th","10624.0","R","Chattanooga","151.0","199.0","2942.0",,,"St"
"MULTILINESTRING ((-85.30903645137806 35.03942505223385, -85.3090596723583 35.039385570335725, -85.30914755444368 35.03923041569626, -85.30921128730523 35.039113775392615, -85.30927538796162 35.03899730317595, -85.30933358694186 35.03889230935279, -85.30933988768399 35.0388809422581, -85.3094047534944 35.03876474871272, -85.30946998477184 35.0386486951061, -85.30953561573713 35.03853277952631, -85.30953683990171 35.03853063235386, -85.30958028057944 35.038454410087795))",,,"Cowart St","Local Street","1300","1398.0","1399.0","1300","Cowart","8127.0","R","Chattanooga","1301.0","1399.0","4973.0",,,"St"
"MULTILINESTRING ((-85.30592560998846 35.03560587534635, -85.30561829802951 35.03548679843948, -85.30535364553623 35.035382694542655))","E",,"E Main St","Urban Minor Arterial","51.0","199.0","199.0","51.0","Main","8163.0","L","State","52.0","198.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30903645137806 35.03942505223385, -85.30912974982232 35.03946001876997, -85.30921221455984 35.03949228347524, -85.30937450529875 35.03955311831988, -85.30953715887871 35.039606674255786, -85.30969876095173 35.039673877462555, -85.30984444790082 35.03973112615853, -85.30993110047201 35.039762041767226, -85.31004101975051 35.03981045584077))","W",,"W 13th St","Urban Minor Arterial","100.0","148.0","149.0","100.0","13th","1435.0","R","Chattanooga","101.0","149.0","2942.0",,,"St"
