"the_geom","dirprefix","dirsuffix","fullname","functclass","leftfrom","leftto","maxaddress","minaddress","name","objectid","oddside","ownership","rightfrom","rightto","streetid","streetstat","typeprefix","typesuffix"
"MULTILINESTRING ((-85.2994909191377 35.04763270064085, -85.29895874397472 35.04742976188743, -85.29880285069535 35.04737031358518, -85.29866247218527 35.047316781435654, -85.29850750590518 35.04725768564923, -85.29844438236319 35.04723361295435, -85.29836112605437 35.04720186431866, -85.29820702710295 35.047143098891205, -85.29810244660032 35.04710321698365, -85.297605253547 35.04691324448721))",,,"Vine St","Local Street","621.0","699.0","699.0","620.0","Vine","4362.0","L","Chattanooga","620.0","698.0","9446.0",,,"St"
"MULTILINESTRING ((-85.29880695215388 35.0422949913075, -85.29848847529468 35.04217492364221, -85.29820280055641 35.04206672303659, -85.29782252102126 35.04192431023281, -85.29748493749443 35.041796681040694))","E",,"E Martin Luther King Blvd","Urban Principal Arterial","733.0","763.0","763.0","732.0","Martin Luther King","60.0","L","Chattanooga","732.0","762.0","2931.0",,,"Blvd"
"MULTILINESTRING ((-85.29879397993582 35.04889960739135, -85.29878705089627 35.04889693472855, -85.29849563555929 35.048785185881215, -85.2984310682799 35.048760985108316, -85.29769289052446 35.04848431346316, -85.295702126919 35.047718398698066))","E",,"E 5th St","Local Street","621.0","749.0","749.0","620.0","5th","2578.0","L","Chattanooga","620.0","748.0","4922.0",,,"St"
"MULTILINESTRING ((-85.29381362409063 35.040407975580116, -85.29348051735231 35.04028577430943, -85.29296479967859 35.040093665634615, -85.29272909037174 35.040007041798304, -85.29267482573349 35.03998688413073, -85.29258485266938 35.03995346329368, -85.29254801000113 35.03993799551017, -85.29251062540476 35.039923377624014, -85.29247845901027 35.039911674377805, -85.29230119498064 35.03984561842708, -85.29211905684551 35.03977538360885))","E",,"E Martin Luther King Blvd","Urban Principal Arterial","991.0","1099.0","1099.0","990.0","Martin Luther King","9221.0","L","Chattanooga","990.0","1098.0","2931.0",,,"Blvd"
"MULTILINESTRING ((-85.30048704566435 35.048010614473775, -85.30009745814841 35.04786298914926, -85.29957991175206 35.04766648952811, -85.2994909191377 35.04763270064085))",,,"Vine St","Local Street","601.0","619.0","619.0","600.0","Vine","4366.0","L","Chattanooga","600.0","618.0","4746.0",,,"St"
"MULTILINESTRING ((-85.31152385989095 35.04390103468363, -85.31186641261559 35.0438924641005, -85.3119566012199 35.04389130395349, -85.3121036212595 35.04388941307234, -85.31214855102486 35.04388967278824, -85.31220834062967 35.04389444086565, -85.31221778495899 35.04389559474434, -85.3122421731183 35.04389933459869, -85.31226635420724 35.043903788530116, -85.3122903290995 35.0439089544338, -85.31231406334932 35.04391486024368, -85.31233752491796 35.04392145232228, -85.31243408896854 35.04395423652625, -85.31254697780092 35.04401186909146))","W",,"W 11th St","Urban Collector","150.0","198.0","199.0","150.0","11th","6419.0","R","Chattanooga","151.0","199.0","2936.0",,,"St"
"MULTILINESTRING ((-85.29973902342638 35.0492938459755, -85.29963428768343 35.04923031527204, -85.29952706337235 35.049182402593374, -85.29947399742045 35.0491570617761, -85.29941934005896 35.04913415631807, -85.29936322506848 35.049113742567314, -85.29930581763867 35.04909590378318, -85.2987958739288 35.048900338754045, -85.29879397993582 35.04889960739135))","E",,"E 5th St","Local Street","601.0","619.0","619.0","600.0","5th","540.0","L","Chattanooga","600.0","618.0","4922.0",,,"St"
"MULTILINESTRING ((-85.30273839517568 35.052572843852495, -85.30270499558817 35.052560175433804, -85.30262177657326 35.052528724719906, -85.3025935708897 35.0525180644495, -85.30248201230653 35.05247611855988, -85.30237035126258 35.05243436326846, -85.30228595127633 35.052400652651414, -85.30220168483511 35.052366640328174, -85.30211758994379 35.0523323820845, -85.3020336300593 35.05229785098006, -85.30194987362607 35.05226304460336, -85.30186625196303 35.052227992794755, -85.30178283483343 35.05219263969807, -85.30169955358068 35.05215701234044, -85.30161647467008 35.05212113924508, -85.30153353249284 35.05208499189447, -85.30143368538437 35.05204484322167, -85.30141307556326 35.05203667271054, -85.3013423418961 35.05200869917243, -85.30133353365017 35.05200521524554, -85.3013040652027 35.051993751092716))","E",,"E 3rd St","Urban Minor Arterial","601.0","699.0","699.0","600.0","3rd","2608.0","L","Chattanooga","600.0","698.0","4899.0",,,"St"
"MULTILINESTRING ((-85.30824171213074 35.03648497111297, -85.30834342905592 35.03652320140366, -85.30844548826126 35.036560719021, -85.3085479532558 35.036597496903596, -85.30865075833866 35.0366336176607, -85.30875397006136 35.036668998686004, -85.3092457564192 35.03685279548471))","W",,"W Main St","Urban Minor Arterial","100.0","198.0","199.0","100.0","Main","2322.0","R","State","101.0","199.0","2944.0",,,"St"
"MULTILINESTRING ((-85.31300343016973 35.05592205664291, -85.31304553995535 35.05591318112288, -85.31319757590373 35.05589177659087, -85.31347560580095 35.055850741725244, -85.31378450686377 35.0558174948661, -85.31396722387566 35.055798877684744, -85.31398219890661 35.055794156087636, -85.31401627529982 35.055782675231754, -85.3141496347833 35.05577190861108, -85.31417157691564 35.05577013678531, -85.3143525700895 35.055757662451185, -85.31452781634975 35.05574518217276, -85.31468973799076 35.05573605923801, -85.31486161357095 35.055726965955415, -85.31502352282467 35.05571918865546, -85.31511570290382 35.0557153233762, -85.31522940407031 35.05571493388683, -85.31532575695329 35.0557076848547, -85.31543382250722 35.0557012493402, -85.31548113168907 35.05569606014508, -85.31553346286108 35.05569032027488, -85.31558426027806 35.055682185187756, -85.31567146609243 35.05566821999528, -85.31568293702563 35.05566638275965, -85.31569505117572 35.05566444301948, -85.31577484354376 35.05564025734341, -85.31586410299074 35.055613202321105, -85.31592674895575 35.05559421400097, -85.31599084870707 35.055568510238174, -85.31603664371018 35.055550255638025, -85.31611329248494 35.0555144039437, -85.31616666349761 35.055481192360254, -85.31627348253046 35.05541001862018, -85.31638733345345 35.05532116355474, -85.31648014894712 35.055238396508265, -85.31662223900511 35.05512107605675, -85.31690133850223 35.05490322404824, -85.31691615509988 35.05489435438463, -85.31707221848114 35.05482555565262, -85.3175497182065 35.054695576278874, -85.31782537358583 35.05463291653014, -85.3182119610433 35.05454504035801, -85.31860703756834 35.054475936796926, -85.31862056891002 35.05447356951769, -85.3186841321116 35.05445607464492, -85.31920422057114 35.05431292924494, -85.3192176442067 35.05430923481585, -85.31949609451871 35.05419004710889, -85.31959474768661 35.05410338017537, -85.31964415927068 35.05404998297194, -85.31969625685176 35.05399501933006, -85.31973439697416 35.05395732403944, -85.31977040572264 35.05391870926899, -85.31980896066402 35.05387513655049, -85.3198455922492 35.05383001536523, -85.31987999557734 35.05378369844711, -85.31991210212837 35.05373629864147, -85.31994187873376 35.05368789523601, -85.31996922508775 35.05363851649555, -85.31999417276057 35.053588273023855, -85.32001662100764 35.05353724512877, -85.32003117318543 35.053499470536764))",,,"Riverfront Pkwy","Urban Principal Arterial","150.0","498.0","499.0","150.0","Riverfront","52.0","R","Chattanooga","151.0","499.0","2956.0",,,"Pkwy"
"MULTILINESTRING ((-85.2842427629205 35.036483490360546, -85.28430517774353 35.03636609499934, -85.28446481729824 35.03606776640375, -85.28465124488106 35.035720524979986, -85.28470036287409 35.03563117678928))","S",,"S Holtzclaw Ave","Urban Principal Arterial","600.0","698.0","699.0","600.0","Holtzclaw","6950.0","R","Chattanooga","601.0","699.0","3031.0",,,"Ave"
"MULTILINESTRING ((-85.29159901034934 35.03021520175486, -85.29151011688046 35.030182721206, -85.29127389362608 35.03009627347044, -85.29067492635654 35.029877074483345, -85.29000311300535 35.02963473452575))","E",,"E Main St","Urban Minor Arterial","1125.0","1199.0","1199.0","1124.0","Main","6461.0","L","State","1124.0","1198.0","4978.0",,,"St"
"MULTILINESTRING ((-85.29446831325589 35.031266602782964, -85.29441427295447 35.03124732566976, -85.29417639976651 35.031158768194445, -85.29381950719085 35.03102612365572, -85.29358149951543 35.03093783918574, -85.29328253226336 35.03082710361602))","E",,"E Main St","Urban Minor Arterial","1001.0","1029.0","1029.0","1000","Main","3610.0","L","State","1000","1028.0","4978.0",,,"St"
"MULTILINESTRING ((-85.30838053778638 35.03365227789437, -85.30840951276265 35.03345039809213, -85.30843445541761 35.0333615383789, -85.30844747404755 35.03330401197882, -85.30846067583657 35.033225760448126, -85.3084942880397 35.033041542679584, -85.30849435226072 35.033041233591184, -85.30851222053633 35.032954573534326, -85.30858142060171 35.032618967156175, -85.30859873102001 35.032535013747705))",,,"Market St","Urban Minor Arterial","1722.0","1898.0","1899.0","1721.0","Market","10822.0","R","State","1721.0","1899.0","2905.0",,,"St"
"MULTILINESTRING ((-85.2968097368923 35.041543473976226, -85.29680313266583 35.0415409965285, -85.29671523160343 35.04150797579298, -85.29648169811904 35.04141980598844, -85.29621518090313 35.04132179809103))","E",,"E Martin Luther King Blvd","Urban Principal Arterial","779.0","799.0","799.0","778.0","Martin Luther King","8518.0","L","Chattanooga","778.0","798.0","2931.0",,,"Blvd"
"MULTILINESTRING ((-85.30547825761224 35.05351758084689, -85.30542243577763 35.05350131988429, -85.30535461984626 35.0534812261112, -85.30528690530144 35.05346088461812, -85.30521932851971 35.053440242868206, -85.30515188696035 35.05341929803366, -85.30508458269169 35.05339810779927, -85.30501737943037 35.053376614984174, -85.30495034643434 35.05335482210303, -85.30446897376628 35.05320030164622, -85.30443684801993 35.053189614685486, -85.30443619305865 35.05318939423405, -85.3044198909354 35.053185261177845, -85.30432469523232 35.05315563782097, -85.30422980635717 35.05312535576088, -85.30422763320892 35.05312464535967, -85.30420813115266 35.053118271768916, -85.3041360880418 35.05309472529087, -85.30413442249242 35.053094165553674, -85.30405012347573 35.05306592301272, -85.30404094539173 35.05306284856862, -85.30402837395185 35.05305853542096, -85.30394700752737 35.05303062223147, -85.3038533771106 35.052997765330545, -85.30383152810462 35.05298991855402, -85.30383096189188 35.05298972182808, -85.30378933081104 35.05297456010985, -85.30376011937344 35.05296425152205, -85.3036671671274 35.05293013597614, -85.30357458843191 35.05289536212269, -85.30348235078323 35.052859930475655, -85.30337160476309 35.052816588456736, -85.30326075737354 35.052773410318395, -85.30314980775873 35.052730396055296, -85.30303875737907 35.052687574512, -85.30292760454158 35.05264494356832, -85.30281635118166 35.05260247721238, -85.30273839517568 35.052572843852495))","E",,"E 3rd St","Urban Principal Arterial","401.0","599.0","599.0","400.0","3rd","4129.0","L","Chattanooga","400.0","598.0","4899.0",,,"St"
"MULTILINESTRING ((-85.31405165071298 35.04131188325166, -85.3141233641011 35.04122248590861, -85.31421400816012 35.041075475280444, -85.31432308082542 35.04089060193748, -85.31441074243261 35.040713243219, -85.31450490882554 35.04054482456318, -85.31460346969507 35.04036623790328, -85.31467280227965 35.04023860941998, -85.31470754272877 35.04017586850884))",,,"Carter St","Urban Collector","1300","1398.0","1399.0","1300","Carter","6665.0","R","Chattanooga","1301.0","1399.0","2933.0",,,"St"
"MULTILINESTRING ((-85.3092457564192 35.03685279548471, -85.30952195000033 35.03695610522461, -85.30985098365737 35.03707930973562, -85.31022285214331 35.03721691038146, -85.31023826913938 35.03722260452563))","W",,"W Main St","Urban Minor Arterial","200.0","298.0","299.0","200.0","Main","7195.0","R","State","201.0","299.0","2944.0",,,"St"
"MULTILINESTRING ((-85.30441788571358 35.049501594114055, -85.30449881416993 35.04936483683167, -85.3045100816559 35.049344407145576, -85.30477786379689 35.04885933349567, -85.3050562251709 35.04835201165534))",,,"Lindsay St","Urban Collector","600.0","648.0","649.0","600.0","Lindsay","5943.0","R","Chattanooga","601.0","649.0","4915.0",,,"St"
