"gender","province","coconut_growing","hectares_under_coconut_farming","approx_no_of_coconut_trees","kilos_harvested_last_12_months"
"Male","Davao_del_Sur","Main crop","0.4","25","250"
"Female","Davao_del_Norte","Main crop","1","125","6600"
"Male","Davao_del_Norte","Main crop","1","100","4200"
"Male","Davao_del_Norte","Main crop","1.5","300","5800"
"Female","Davao_del_Sur","Main crop","1","200","3000"
"Female","Davao_del_Norte","Main crop","1","100","325"
"Female","Davao_Oriental","Main crop","1","150","1496"
"Male","Davao_Oriental","Main crop","1.5","180","60"
"Female","Davao_Oriental","Main crop","1.6","130","600"
"Male","Davao_Oriental","Main crop","6","600","6000"
"Male","Davao_Oriental","Main crop","3","300","6000"
"Female","Davao_Oriental","Main crop","1","100","2500"
"Male","Davao_Oriental","Main crop","6","600","18000"
"Female","Davao_Oriental","Main crop","5","500","5120"
"Male","Davao_del_Norte","Main crop","1","110","950"
"Female","Davao_Oriental","Main crop","2.5","250","4500"
"Male","Davao_Oriental","Main crop","1.5","130","5200"
"Male","Davao_Oriental","Main crop","3.3","350","20000"
"Female","Davao_Oriental","Main crop","1","90","900"
"Male","Davao_Oriental","Main crop","2.1","300","20000"
"Male","Davao_del_Sur","Main crop","1","300","600"
"Female","Davao_del_Sur","Main crop","0.9","100","3200"
"Female","Davao_del_Sur","Main crop","1","150","1800"
"Female","Davao_del_Sur","Main crop","2","200","3000"
"Female","Davao_del_Sur","Main crop","1","150","3000"
"Female","Davao_del_Norte","Secondary crop","0.7","75","4000"
"Male","Davao_Oriental","Main crop","1","160","10000"
"Female","Davao_Oriental","Main crop","1","150","3600"
"Male","Davao_Oriental","Main crop","0.5","80","600"
"Female","Davao_Oriental","Main crop","1","77","650"
"Female","Davao_del_Sur","Main crop","1","40","800"
"Female","Davao_del_Sur","Main crop","2","100","4000"
"Male","Davao_del_Sur","Main crop","4","370","12000"
"Female","Davao_del_Sur","Main crop","1.5","150","6000"
"Female","Davao_del_Sur","Main crop","2.5","250","6000"
"Female","Davao_del_Sur","Main crop","4","480","30000"
"Male","Davao_Oriental","Main crop","1","136","1300"
"Female","Davao_del_Sur","Secondary crop","0.2","15","300"
"Female","Davao_del_Sur","Main crop","1.7","85","1500"
"Male","Davao_Oriental","Main crop","3.5","400","1200"
"Male","Davao_Oriental","Main crop","0.8","85","800"
"Female","Davao_Oriental","Main crop","3","360","1400"
"Male","Davao_Oriental","Main crop","1.8","380","1000"
"Female","Davao_Oriental","Main crop","1","200","6000"
"Female","Davao_Oriental","Main crop","1.1","160","9000"
"Male","Davao_Oriental","Main crop","2.9","300","3000"
"Male","Davao_Oriental","Main crop","0.5","100","350"
"Male","Davao_Oriental","Main crop","1","80","0"
"Female","Davao_Oriental","Main crop","1.3","150","0"
"Female","Davao_Oriental","Main crop","1.5","120","0"
"Male","Davao_Oriental","Main crop","5","550","7800"
"Female","Davao_Oriental","Main crop","3","360","30800"
"Male","Davao_Oriental","Main crop","1.8","220","5000"
"Female","Davao_Oriental","Main crop","4","450","3200"
"Female","Davao_Oriental","Main crop","4","450","7600"
"Male","Davao_Oriental","Main crop","1.6","130","5600"
"Male","Davao_Oriental","Main crop","6","800","12400"
"Female","Davao_Oriental","Main crop","5","600","9080"
"Female","Davao_Oriental","Main crop","3","45","0"
"Male","Davao_Oriental","Main crop","2","200","1600"
"Female","Davao_Oriental","Main crop","1","120","0"
"Female","Davao_Oriental","Main crop","2.7","350","1200"
"Male","Davao_Oriental","Main crop","2","224","6000"
"Female","Davao_Oriental","Main crop","1","110","0"
"Female","Davao_Oriental","Main crop","3.77","500","20000"
"Male","Davao_Oriental","Main crop","9","700","12000"
"Male","Davao_Oriental","Main crop","2","300","1400"
"Male","Davao_Oriental","Main crop","3.5","350","0"
"Male","Davao_Oriental","Main crop","3","200","900"
"Male","Davao_Oriental","Main crop","2.5","250","0"
"Female","Davao_Oriental","Main crop","3","300","0"
"Male","Davao_Oriental","Main crop","3","250","3200"
"Female","Davao_del_Sur","Main crop","1.3","150","170"
"Female","Davao_del_Sur","Main crop","2","100","400"
"Female","Davao_del_Sur","Main crop","1.4","200","600"
"Male","Davao_del_Sur","Main crop","2","150","1400"
"Male","Davao_del_Sur","Main crop","1.5","200","2400"
"Male","Davao_del_Sur","Main crop","1","100","360"
"Female","Davao_del_Sur","Main crop","1","90","6000"
"Female","Davao_del_Sur","Main crop","1","100","0"
"Female","Davao_del_Sur","Main crop","5","600","8000"
"Male","Davao_del_Sur","Main crop","0.25","30","800"
"Male","Davao_del_Sur","Main crop","1","80","3200"
"Female","Davao_del_Sur","Main crop","2","200","2000"
"Female","Davao_del_Sur","Main crop","2","150","10000"
"Female","Davao_del_Sur","Main crop","0.5","20","2000"
"Female","Davao_del_Sur","Main crop","2","50","1000"
"Male","Davao_Oriental","Main crop","1.5","110","9500"
"Female","Davao_Oriental","Main crop","2.5","190","14050"
"Male","Davao_Oriental","Main crop","1.5","110","18000"
"Female","Davao_Oriental","Main crop","1","80","8000"
"Female","Davao_Oriental","Main crop","1","100","4800"
"Female","Davao_Oriental","Main crop","2.5","185","5150"
"Male","Davao_Oriental","Main crop","1","60","1165"
"Female","Davao_Oriental","Main crop","1.5","130","4800"
"Female","Davao_del_Sur","Main crop","0.6","32","800"
"Male","Davao_Oriental","Main crop","10","10000","38400"
"Female","Davao_Oriental","Main crop","1","100","3000"
"Female","Davao_Oriental","Main crop","2.5","850","15600"
"Male","Davao_Oriental","Main crop","3","300","12000"
"Male","Davao_Oriental","Main crop","3","300","2700"
"Female","Davao_Oriental","Main crop","2.5","200","115"
"Female","Davao_Oriental","Main crop","3.5","300","12000"
"Female","Davao_Oriental","Main crop","6","2000","10500"
"Male","Davao_Oriental","Main crop","5","450","13000"
"Male","Davao_Oriental","Main crop","1.5","300","12000"
"Female","Davao_Oriental","Main crop","1","100","3000"
"Female","Davao_del_Sur","Main crop","0.5","75","6000"
"Female","Davao_del_Sur","Main crop","0.33","100","800"
"Female","Davao_del_Sur","Main crop","1","80","1300"
"Female","Davao_del_Sur","Main crop","1","100","0"
"Male","Davao_del_Sur","Main crop","2","200","1200"
"Female","Davao_del_Sur","Main crop","1","100","0"
"Male","Davao_del_Sur","Main crop","1.5","200","5800"
"Female","Davao_del_Sur","Main crop","2","120","2000"
"Male","Davao_del_Sur","Main crop","1","75","0"
"Male","Davao_del_Sur","Main crop","0.5","50","0"
"Female","Davao_Oriental","Main crop","1","200","150"
"Female","Davao_Oriental","Main crop","1","250","200"
"Female","Davao_Oriental","Main crop","0.5","150","0"
"Male","Davao_Oriental","Main crop","1","160","0"
"Female","Davao_Oriental","Main crop","1","100","0"
"Male","Davao_Oriental","Main crop","5","500","2000"
"Female","Davao_Oriental","Main crop","1.5","200","0"
"Female","Davao_Oriental","Main crop","2","150","0"
"Female","Davao_Oriental","Main crop","1","200","0"
"Female","Davao_Oriental","Main crop","3","400","600"
"Female","Davao_Oriental","Main crop","2","200","150"
"Male","Davao_Oriental","Main crop","1.5","150","0"
"Male","Davao_Oriental","Main crop","1.5","300","500"
"Male","Davao_Oriental","Main crop","2","150","0"
"Female","Davao_Oriental","Main crop","1","158","0"
"Female","Davao_Oriental","Main crop","2.5","250","0"
"Female","Davao_Oriental","Main crop","2","200","0"
"Male","Davao_Oriental","Main crop","2","250","0"
"Male","Davao_Oriental","Main crop","7","800","0"
"Female","Davao_Oriental","Main crop","2","210","0"
"Female","Davao_del_Sur","Main crop","3","250","15000"
"Female","Davao_del_Sur","Main crop","1","80","300"
"Female","Davao_del_Sur","Main crop","2","200","3000"
"Female","Davao_del_Sur","Main crop","1","100","800"
"Male","Davao_Oriental","Main crop","3.2","530","6000"
"Female","Davao_Oriental","Main crop","4","200","4000"
"Male","Davao_Oriental","Main crop","1.5","245","125"
"Male","Davao_Oriental","Main crop","6","700","0"
"Female","Davao_del_Sur","Main crop","2","170","1200"
"Female","Davao_del_Sur","Main crop","1","100","4000"
"Female","Davao_del_Sur","Secondary crop","2","170","250"
"Female","Davao_del_Sur","Main crop","1.5","290","1729"
"Male","Davao_del_Sur","Main crop","6","288","29200"
"Female","Davao_del_Sur","Main crop","0.5","30","0"
"Male","Davao_del_Sur","Main crop","5","500","36000"
"Female","Davao_del_Sur","Main crop","1","40","3000"
"Female","Davao_del_Sur","Main crop","0.5","94","190"
"Female","Davao_del_Sur","Secondary crop","0.75","60","1500"
"Male","Davao_Oriental","Main crop","0.8","50","0"
"Male","Davao_Oriental","Secondary crop","2","150","3200"
"Female","Davao_Oriental","Main crop","5","600","3200"
"Female","Davao_Oriental","Main crop","1","260","5600"
"Male","Davao_del_Sur","Main crop","2","110","2000"
"Female","Davao_del_Sur","Main crop","1","100","2800"
"Male","Davao_del_Sur","Main crop","1","100","3000"
"Male","Davao_del_Sur","Main crop","1","100","1600"
"Male","Davao_del_Sur","Main crop","1","150","1500"
"Male","Davao_del_Sur","Main crop","1","100","1600"
"Female","Davao_del_Sur","Main crop","1","80","1800"
"Male","Davao_del_Sur","Main crop","0.6","80","2600"
"Male","Davao_del_Sur","Main crop","1","100","3000"
"Male","Davao_Oriental","Main crop","3","260","3850"
"Male","Davao_Oriental","Main crop","6.7","700","2500"
"Male","Davao_Oriental","Main crop","4","400","0"
"Male","Davao_Oriental","Main crop","1","100","0"
"Male","Davao_Oriental","Main crop","2","250","600"
"Male","Davao_Oriental","Main crop","2","250","800"
"Female","Davao_Oriental","Main crop","1.5","180","0"
"Male","Davao_del_Sur","Secondary crop","1","130","3500"
"Female","Davao_del_Norte","Secondary crop","0.7","70","150"
"Male","Davao_del_Norte","Main crop","2","250","600"
"Female","Davao_del_Norte","Main crop","3.5","310","18200"
"Female","Davao_del_Norte","Main crop","0.8","200","6200"
"Female","Davao_Oriental","Main crop","3","300","630"
"Female","Davao_Oriental","Main crop","1","120","0"
"Female","Davao_Oriental","Main crop","2.5","100","16000"
"Male","Davao_Oriental","Main crop","2.5","230","2208"
"Male","Davao_Oriental","Main crop","1","95","0"
"Male","Davao_Oriental","Main crop","3","300","4000"
"Female","Davao_Oriental","Main crop","2","250","3600"
"Female","Davao_Oriental","Main crop","0.8","120","800"
"Female","Davao_del_Norte","Main crop","1","150","250"
"Male","Davao_del_Norte","Main crop","1","100","6010"
"Female","Davao_del_Norte","Main crop","1","200","1700"
"Female","Davao_Oriental","Main crop","3","200","200"
"Male","Davao_Oriental","Main crop","3","360","150"
"Male","Davao_Oriental","Main crop","3","300","50"
"Female","Davao_Oriental","Main crop","2.5","100","0"
"Female","Davao_Oriental","Main crop","1","120","0"
"Male","Davao_Oriental","Main crop","1","60","0"
"Male","Davao_Oriental","Main crop","2","150","0"
"Male","Davao_Oriental","Main crop","0.5","50","100"
"Male","Davao_del_Sur","Secondary crop","1.3","130","1500"
"Female","Davao_del_Sur","Secondary crop","1.5","185","1300"
"Male","Davao_del_Sur","Main crop","3.5","350","5000"
"Female","Davao_del_Sur","Main crop","1","150","670"
"Female","Davao_del_Sur","Main crop","3","160","700"
"Female","Davao_del_Norte","Main crop","0.6","60","1950"
"Male","Davao_del_Sur","Main crop","1","50","0"
"Female","Davao_del_Sur","Main crop","2","200","5850"
"Male","Davao_del_Sur","Main crop","2.9","55","0"
"Female","Davao_del_Sur","Main crop","1.25","100","0"
"Female","Davao_del_Sur","Main crop","0.8","55","2400"
"Male","Davao_del_Sur","Main crop","1.5","200","1600"
"Male","Davao_del_Sur","Main crop","0.5","30","3000"
"Female","Davao_del_Sur","Main crop","0.5","50","2000"
"Male","Davao_Oriental","Main crop","0.25","30","0"
"Female","Davao_Oriental","Main crop","1","80","2160"
"Male","Davao_Oriental","Main crop","1","100","1200"
"Male","Davao_del_Sur","Secondary crop","1","80","800"
"Female","Davao_del_Sur","Secondary crop","1","97","0"
"Male","Davao_del_Norte","Main crop","2.6","130","3.7"
"Male","Davao_del_Norte","Main crop","2.8","150","2000"
"Female","Davao_del_Norte","Main crop","2.2","250","400"
"Female","Davao_del_Norte","Main crop","1","200","1900"
"Female","Davao_del_Norte","Main crop","1.5","100","2400"
"Female","Davao_Oriental","Main crop","1","90","4500"
"Female","Davao_Oriental","Main crop","1","100","0"
"Female","Davao_Oriental","Main crop","2.5","300","13600"
"Female","Davao_Oriental","Main crop","8","800","600"
"Male","Davao_Oriental","Main crop","2","200","1000"
"Female","Davao_Oriental","Main crop","1","200","700"
"Male","Davao_Oriental","Main crop","3","380","14100"
"Female","Davao_Oriental","Main crop","1.75","225","10000"
"Male","Davao_del_Sur","Main crop","0.05","70","2700"
"Female","Davao_del_Sur","Main crop","3.5","300","18000"
"Female","Davao_del_Sur","Main crop","0.3","23","1200"
"Male","Davao_del_Sur","Main crop","4","200","24000"
"Female","Davao_del_Sur","Main crop","1.6","100","28000"
"Male","Davao_del_Sur","Main crop","2.5","300","1500"
"Male","Davao_del_Sur","Main crop","1.5","120","1300"
"Male","Davao_Oriental","Main crop","1","200","2100"
"Female","Davao_del_Sur","Main crop","0.75","100","4000"
"Female","Davao_del_Sur","Main crop","2","120","9000"
"Male","Davao_del_Sur","Main crop","2","150","9000"
"Female","Davao_Oriental","Main crop","0.83","80","2100"
"Male","Davao_del_Sur","Main crop","1","150","6000"
"Female","Davao_del_Sur","Main crop","1","146","10000"
"Female","Davao_del_Sur","Main crop","2","108","4000"
"Male","Davao_del_Sur","Main crop","2.7","250","12500"
"Female","Davao_del_Sur","Secondary crop","0.5","63","3600"
"Male","Davao_del_Sur","Main crop","2","160","15000"
"Male","Davao_del_Sur","Secondary crop","0.5","115","80"
"Male","Davao_del_Sur","Secondary crop","0.75","150","25"
"Female","Davao_del_Sur","Secondary crop","0.5","120","0"
"Male","Davao_del_Sur","Secondary crop","1","100","1320"
"Male","Davao_del_Sur","Main crop","0.5","50","3500"
