"sex","province","district","product","n_startdate","plantedarea_ha","actual_production_kg","productioncost_usd","volume_of_sales_kg","value_of_sales_usd","num_participants"
"F","Manicaland","Mutasa","Yam","2011-06-01T00:00:00.000","0.05","140","1","0","1","1"
"F","Manicaland","Nyanga","Garlic","2012-06-01T00:00:00.000","0.05","100","601","100","120","1"
"F","Manicaland","Nyanga","Maize","2013-02-01T00:00:00.000","0.4","4000","261","0","1","1"
"F","Manicaland","Nyanga","Maize","2012-05-01T00:00:00.000","0.4","900","188","200","365","1"
"F","Manicaland","Nyanga","Maize","2012-06-01T00:00:00.000","1.8","9200","1393","2500","325","2"
"F","Manicaland","Nyanga","Maize","2012-07-01T00:00:00.000","0.4","2000","305","1100","224","1"
"F","Manicaland","Nyanga","Maize","2012-09-01T00:00:00.000","3.5","10100","2272","650","823","5"
"F","Manicaland","Nyanga","Maize","2012-11-01T00:00:00.000","2.4","8000","1166","2000","459","2"
"F","Manicaland","Nyanga","Maize","2011-12-01T00:00:00.000","0.4","2200","70","1270","157","1"
"F","Manicaland","Nyanga","Paprika","2012-05-01T00:00:00.000","0.4","450","461","346","482","1"
"F","Manicaland","Nyanga","Paprika","2012-06-01T00:00:00.000","0.8","1250","1135","1148","554","2"
"F","Manicaland","Nyanga","Paprika","2012-09-01T00:00:00.000","0.4","650","726","200","322","1"
"F","Manicaland","Nyanga","Paprika","2012-11-01T00:00:00.000","0.8","1420","1253","400","673","2"
"F","Manicaland","Nyanga","Popcorn","2012-06-01T00:00:00.000","0.5","2750","677","2000","486","2"
"F","Manicaland","Nyanga","Popcorn","2012-11-01T00:00:00.000","0.6","1100","266","1100","250","1"
"F","Manicaland","Nyanga","Sugar Beans","2013-02-01T00:00:00.000","0.4","375","204","0","1","1"
"F","Manicaland","Nyanga","Sugar Beans","2012-06-01T00:00:00.000","0.5","1900","1342","1500","1047","3"
"F","Manicaland","Nyanga","Sugar Beans","2012-09-01T00:00:00.000","1.9","1500","981","600","467","3"
"F","Manicaland","Nyanga","Sugar Beans","2012-11-01T00:00:00.000","1.6","1500","520","1500","384","2"
"F","Manicaland","Nyanga","Sugar Beans","2011-12-01T00:00:00.000","0.1","210","141","210","155","1"
"F","Manicaland","Nyanga","Tabasco Chilli","2013-02-01T00:00:00.000","0.2","1954","378","1954","8","1"
"F","Manicaland","Nyanga","Tabasco Chilli","2012-07-01T00:00:00.000","0.2","1900","417","960","390","1"
"F","Manicaland","Nyanga","Tabasco Chilli","2012-09-01T00:00:00.000","1","10627","1778","8330","577","4"
"F","Manicaland","Nyanga","Tabasco Chilli","2011-12-01T00:00:00.000","0.2","2085","467","2085","13","1"
"F","Manicaland","Nyanga","Table Potato","2012-05-01T00:00:00.000","0.2","1152","896","1152","552","1"
"F","Manicaland","Nyanga","Tomatoes","2013-02-01T00:00:00.000","0.05","400","1","0","1","1"
"F","Manicaland","Nyanga","Tomatoes","2012-06-01T00:00:00.000","0.8","26144","301","42605.5","696","2"
"F","Manicaland","Nyanga","Tomatoes","2012-09-01T00:00:00.000","0.3","81","943","80.5","116","1"
"F","Manicaland","Nyanga","Tomatoes","2012-11-01T00:00:00.000","0.2","500","185","0","1","1"
"F","Manicaland","Nyanga","Tomatoes","2011-12-01T00:00:00.000","0.1","200","981","0","1","1"
"F","Manicaland","Nyanga","Wheat","2012-11-01T00:00:00.000","0.05","200","860","0","1","1"
"F","Mashonaland Central","Guruve","Cotton","2013-11-01T00:00:00.000","0.4","85","131","85","378","1"
"F","Mashonaland Central","Guruve","Cowpeas","2013-03-01T00:00:00.000","0.26","250","1543","0","2","2"
"F","Mashonaland Central","Guruve","Groundnuts","2013-03-01T00:00:00.000","0.4","900","1491","20","252","2"
"F","Mashonaland Central","Guruve","Groundnuts","2013-04-01T00:00:00.000","0.4","400","930","160","526","1"
"F","Mashonaland Central","Guruve","Groundnuts","2011-08-01T00:00:00.000","0.2","213","850","85","109","1"
"F","Mashonaland Central","Guruve","Irish potatoes","2013-11-01T00:00:00.000","0.2","250","734","0","1","1"
"F","Mashonaland Central","Guruve","Leafy vegetables","2013-04-01T00:00:00.000","0.01","216","956","66","475","1"
"F","Mashonaland Central","Guruve","Leafy vegetables","2011-08-01T00:00:00.000","0.01","27","352","27","299","1"
"F","Mashonaland Central","Guruve","Maize","2013-02-01T00:00:00.000","1.71","5000","782","0","1","1"
"F","Mashonaland Central","Guruve","Maize","2013-03-01T00:00:00.000","2.8","7325","1459","0","3","3"
"F","Mashonaland Central","Guruve","Maize","2012-04-01T00:00:00.000","0.5","1900","320","0","1","1"
"F","Mashonaland Central","Guruve","Maize","2013-04-01T00:00:00.000","3","2450","21","0","1","1"
"F","Mashonaland Central","Guruve","Maize","2011-08-01T00:00:00.000","1","1750","371","80","136","1"
"F","Mashonaland Central","Guruve","Maize","2013-11-01T00:00:00.000","1","1000","582","0","1","1"
"F","Mashonaland Central","Guruve","Maize","2013-12-01T00:00:00.000","1","2400","529","0","1","1"
"F","Mashonaland Central","Guruve","Soya Beans","2013-02-01T00:00:00.000","0.6","660","336","450","214","1"
"F","Mashonaland Central","Guruve","Soya Beans","2012-04-01T00:00:00.000","0.6","1500","256","1250","448","1"
"F","Mashonaland Central","Guruve","Soya Beans","2013-04-01T00:00:00.000","0.4","2250","223","2000","518","1"
"F","Mashonaland Central","Guruve","Soya Beans","2013-11-01T00:00:00.000","0.6","1100","299","1005","387","1"
"F","Mashonaland Central","Guruve","Soya Beans","2013-12-01T00:00:00.000","1.06","2050","336","1650","519","1"
"F","Mashonaland Central","Guruve","Sugar Beans","2013-02-01T00:00:00.000","0.2","540","150","300","288","1"
"F","Mashonaland Central","Guruve","Sugar Beans","2013-03-01T00:00:00.000","0.15","150","306","100","130","1"
"F","Mashonaland Central","Guruve","Sugar Beans","2012-04-01T00:00:00.000","0.5","500","193","20","151","1"
"F","Mashonaland Central","Guruve","Sugar Beans","2013-11-01T00:00:00.000","0.4","50","786","0","1","1"
"F","Mashonaland Central","Guruve","Sugar Beans","2013-12-01T00:00:00.000","1.5","600","345","400","366","1"
"F","Mashonaland Central","Guruve","Sunflower","2011-08-01T00:00:00.000","0.2","120","1","60","526","1"
"F","Mashonaland Central","Guruve","Sweet Potatoes","2013-03-01T00:00:00.000","0.11","900","1034","175","310","2"
"F","Mashonaland Central","Guruve","Sweet Potatoes","2011-08-01T00:00:00.000","0.05","200","314","112","309","1"
"F","Mashonaland Central","Guruve","Tobacco","2013-03-01T00:00:00.000","1.15","600","1239","600","1037","2"
"F","Mashonaland Central","Guruve","Tobacco","2013-04-01T00:00:00.000","1","1435","47","1435","397","1"
"F","Mashonaland Central","Guruve","Tobacco","2011-08-01T00:00:00.000","0.5","431","577","431","33","1"
"F","Mashonaland Central","Guruve","Tobacco","2013-11-01T00:00:00.000","0.5","315","627","315","291","1"
"F","Mashonaland Central","Guruve","Tobacco","2013-12-01T00:00:00.000","2","1960","310","1960","342","1"
"F","Mashonaland Central","Guruve","Tomatoes","2013-04-01T00:00:00.000","0.01","550","854","50","286","1"
"F","Mashonaland Central","Mazowe","Groundnuts","2013-04-01T00:00:00.000","0.25","200","1","0","1","1"
"F","Mashonaland Central","Mazowe","Groundnuts","2012-08-01T00:00:00.000","0.4","149","614","85","457","1"
"F","Mashonaland Central","Mazowe","Groundnuts","2013-08-01T00:00:00.000","0.2","149","195","42.5","286","1"
"F","Mashonaland Central","Mazowe","Groundnuts","2012-11-01T00:00:00.000","0.99","659","1418","127.5","546","5"
"F","Mashonaland Central","Mazowe","Groundnuts","2013-11-01T00:00:00.000","0.1","64","69","0","1","1"
"F","Mashonaland Central","Mazowe","Groundnuts","2011-12-01T00:00:00.000","0.15","64","486","0","1","1"
"F","Mashonaland Central","Mazowe","Leafy vegetables","2013-11-01T00:00:00.000","0.1","73","790","46","228","1"
"F","Mashonaland Central","Mazowe","Maize","2013-01-01T00:00:00.000","1","600","250","0","1","1"
"F","Mashonaland Central","Mazowe","Maize","2013-03-01T00:00:00.000","0.25","1000","145","0","1","1"
"F","Mashonaland Central","Mazowe","Maize","2013-04-01T00:00:00.000","1.5","6500","682","3000","27","2"
"F","Mashonaland Central","Mazowe","Maize","2012-08-01T00:00:00.000","1.2","1100","439","0","2","2"
"F","Mashonaland Central","Mazowe","Maize","2013-08-01T00:00:00.000","0.5","700","252","0","1","1"
"F","Mashonaland Central","Mazowe","Maize","2012-11-01T00:00:00.000","3.8","11300","2293","4300","1145","5"
"F","Mashonaland Central","Mazowe","Maize","2013-11-01T00:00:00.000","0.8","1000","859","0","1","1"
"F","Mashonaland Central","Mazowe","Maize","2011-12-01T00:00:00.000","0.4","400","423","0","1","1"
"F","Mashonaland Central","Mazowe","Soya Beans","2013-03-01T00:00:00.000","0.5","125","134","75","318","1"
"F","Mashonaland Central","Mazowe","Soya Beans","2013-04-01T00:00:00.000","0.25","450","786","390","159","1"
"F","Mashonaland Central","Mazowe","Soya Beans","2012-11-01T00:00:00.000","0.5","50","557","0","1","1"
"F","Mashonaland Central","Mazowe","Soya Beans","2013-11-01T00:00:00.000","0.3","278","730","250","110","1"
"F","Mashonaland Central","Mazowe","Sugar Beans","2012-11-01T00:00:00.000","0.6","770","711","350","437","2"
"F","Mashonaland Central","Mazowe","Sweet Potatoes","2013-11-01T00:00:00.000","0.1","215","220","207","495","1"
"F","Mashonaland Central","Mazowe","Tobacco","2012-11-01T00:00:00.000","1","1632","30","1632","361","1"
"F","Mashonaland Central","Mazowe","Tomatoes","2011-12-01T00:00:00.000","0.01","447","1","399.5","137","1"
"F","Mashonaland East","Murehwa","Baby Marrow","2011-06-01T00:00:00.000","0.1","120","287","120","457","1"
"F","Mashonaland East","Murehwa","Fine Beans","2011-06-01T00:00:00.000","0.05","100","667","100","213","1"
"F","Mashonaland East","Murehwa","Groundnuts","2011-06-01T00:00:00.000","0.63","489","1274","100","110","2"
"F","Mashonaland East","Murehwa","Maize","2011-06-01T00:00:00.000","0.8","6000","1264","2500","575","2"
"F","Mashonaland East","Murehwa","Tabasco Chilli","2011-06-01T00:00:00.000","0.1","55","411","55","117","1"
"F","Mashonaland East","Mutoko","Butternuts","2011-12-01T00:00:00.000","0.2","8260","672","6860","538","1"
"F","Mashonaland East","Mutoko","Carrots","2012-01-01T00:00:00.000","0.38","6590","690","6550","570","2"
"F","Mashonaland East","Mutoko","Carrots","2011-06-01T00:00:00.000","0.26","3700","458","3700","532","2"
"F","Mashonaland East","Mutoko","Carrots","2011-08-01T00:00:00.000","0.51","21710","1616","20395","415","2"
"F","Mashonaland East","Mutoko","Carrots","2011-12-01T00:00:00.000","0.38","11045","1199","10980","414","2"
"F","Mashonaland East","Mutoko","Cucumber","2011-08-01T00:00:00.000","0.13","5205","134","5200","21","1"
"F","Mashonaland East","Mutoko","Groundnuts","2012-01-01T00:00:00.000","1.25","3940","2","1700","82","2"
"F","Mashonaland East","Mutoko","Groundnuts","2011-06-01T00:00:00.000","0.7","1498","940","212.5","414","2"
"F","Mashonaland East","Mutoko","Groundnuts","2011-12-01T00:00:00.000","1","2425","208","2000","390","1"
"F","Mashonaland East","Mutoko","Leafy vegetables","2012-01-01T00:00:00.000","0.13","150","78","150","502","1"
"F","Mashonaland East","Mutoko","Leafy vegetables","2011-06-01T00:00:00.000","0.13","600","929","600","233","1"
"F","Mashonaland East","Mutoko","Leafy vegetables","2011-08-01T00:00:00.000","0.13","375","535","375","434","1"
"F","Mashonaland East","Mutoko","Maize","2012-01-01T00:00:00.000","3.5","3000","962","1400","397","2"
"F","Mashonaland East","Mutoko","Maize","2011-06-01T00:00:00.000","2","4200","730","1500","351","3"
"F","Mashonaland East","Mutoko","Maize","2011-08-01T00:00:00.000","2.6","6000","1383","200","390","2"
"F","Mashonaland East","Mutoko","Maize","2011-12-01T00:00:00.000","0.53","3000","387","650","430","2"
"F","Mashonaland East","Mutoko","Peas","2012-01-01T00:00:00.000","0.38","1700","688","1650","667","2"
"F","Mashonaland East","Mutoko","Peas","2011-06-01T00:00:00.000","0.13","800","198","800","366","1"
"F","Mashonaland East","Mutoko","Peas","2011-08-01T00:00:00.000","0.13","1000","489","1000","504","1"
"F","Mashonaland East","Mutoko","Squash","2011-06-01T00:00:00.000","0.13","1500","91","1500","432","1"
"F","Mashonaland East","Mutoko","Sugar Beans","2012-01-01T00:00:00.000","0.25","120","859","0","1","1"
"F","Mashonaland East","Mutoko","Sweet Potatoes","2011-08-01T00:00:00.000","2","4464","31","4144","400","1"
"F","Mashonaland East","Mutoko","Sweet Potatoes","2011-12-01T00:00:00.000","1","5000","702","4000","99","1"
"F","Mashonaland West","Hurungwe","Cabbage","2012-12-01T00:00:00.000","0.01","10","485","0","1","1"
"F","Mashonaland West","Hurungwe","Cotton","2012-11-01T00:00:00.000","0.8","210","1081","210","866","2"
"F","Mashonaland West","Hurungwe","Groundnuts","2013-01-01T00:00:00.000","0.1","100","219","0","1","1"
"F","Mashonaland West","Hurungwe","Groundnuts","2013-02-01T00:00:00.000","0.1","150","1","0","1","1"
"F","Mashonaland West","Hurungwe","Groundnuts","2012-03-01T00:00:00.000","0.55","580","244","30","233","2"
"F","Mashonaland West","Hurungwe","Groundnuts","2014-03-01T00:00:00.000","0.2","200","1","0","1","1"
"F","Mashonaland West","Hurungwe","Groundnuts","2013-05-01T00:00:00.000","0.2","165","530","0","1","1"
"F","Mashonaland West","Hurungwe","Groundnuts","2013-08-01T00:00:00.000","0.01","140","128","0","1","1"
"F","Mashonaland West","Hurungwe","Groundnuts","2011-11-01T00:00:00.000","0.1","450","69","300","381","1"
"F","Mashonaland West","Hurungwe","Groundnuts","2012-11-01T00:00:00.000","1.65","1376","2086","70","681","6"
"F","Mashonaland West","Hurungwe","Irish potatoes","2012-11-01T00:00:00.000","0.1","140","656","80","469","1"
"F","Mashonaland West","Hurungwe","Leafy vegetables","2012-12-01T00:00:00.000","0.01","10","485","0","1","1"
"F","Mashonaland West","Hurungwe","Leafy Vegetables","2013-02-01T00:00:00.000","0.01","30","1","0","1","1"
"F","Mashonaland West","Hurungwe","Maize","2013-01-01T00:00:00.000","3.3","5500","1425","0","3","3"
"F","Mashonaland West","Hurungwe","Maize","2012-02-01T00:00:00.000","2.5","12500","775","8000","697","2"
"F","Mashonaland West","Hurungwe","Maize","2013-02-01T00:00:00.000","4.88","4751","1753","250","461","5"
"F","Mashonaland West","Hurungwe","Maize","2012-03-01T00:00:00.000","4","12650","2039","6000","191","4"
"F","Mashonaland West","Hurungwe","Maize","2013-03-01T00:00:00.000","0.5","1000","139","0","1","1"
"F","Mashonaland West","Hurungwe","Maize","2014-03-01T00:00:00.000","2","6000","1","4000","73","1"
"F","Mashonaland West","Hurungwe","Maize","2013-05-01T00:00:00.000","4.1","5500","1427","20","413","2"
"F","Mashonaland West","Hurungwe","Maize","2013-08-01T00:00:00.000","2.8","6000","57","0","1","1"
"F","Mashonaland West","Hurungwe","Maize","2012-09-01T00:00:00.000","2","2500","645","0","2","2"
"F","Mashonaland West","Hurungwe","Maize","2011-11-01T00:00:00.000","1.4","3450","1804","60","110","3"
"F","Mashonaland West","Hurungwe","Maize","2012-11-01T00:00:00.000","14.5","26300","6466","8932.5","1428","11"
"F","Mashonaland West","Hurungwe","Maize","2011-12-01T00:00:00.000","1.5","2650","944","0","2","2"
"F","Mashonaland West","Hurungwe","Maize","2012-12-01T00:00:00.000","1.4","1350","1206","0","2","2"
"F","Mashonaland West","Hurungwe","Paprika","2012-02-01T00:00:00.000","0.7","705","776","705","852","2"
"F","Mashonaland West","Hurungwe","Paprika","2012-03-01T00:00:00.000","0.2","100","816","100","152","1"
"F","Mashonaland West","Hurungwe","Paprika","2011-12-01T00:00:00.000","0.1","100","825","100","152","1"
"F","Mashonaland West","Hurungwe","Roundnuts","2012-11-01T00:00:00.000","0.3","24","69","0","1","1"
"F","Mashonaland West","Hurungwe","Soya Beans","2013-01-01T00:00:00.000","0.25","80","129","0","1","1"
"F","Mashonaland West","Hurungwe","Soya Beans","2012-03-01T00:00:00.000","0.6","650","158","450","227","1"
"F","Mashonaland West","Hurungwe","Soya Beans","2014-03-01T00:00:00.000","2","3000","1","2500","28","1"
"F","Mashonaland West","Hurungwe","Soya Beans","2013-05-01T00:00:00.000","1.2","500","79","400","213","1"
"F","Mashonaland West","Hurungwe","Soya Beans","2012-11-01T00:00:00.000","0.6","1500","609","750","314","1"
"F","Mashonaland West","Hurungwe","Sugar Beans","2013-05-01T00:00:00.000","0.1","40","779","0","1","1"
"F","Mashonaland West","Hurungwe","Sugar Beans","2012-11-01T00:00:00.000","0.3","66","724","5","488","1"
"F","Mashonaland West","Hurungwe","Sunflower","2013-02-01T00:00:00.000","0.3","60","126","0","1","1"
"F","Mashonaland West","Hurungwe","Sunflower","2012-11-01T00:00:00.000","0.4","90","684","0","1","1"
"F","Mashonaland West","Hurungwe","Sunflower","2011-12-01T00:00:00.000","0.5","200","882","0","1","1"
"F","Mashonaland West","Hurungwe","Sweet Potatoes","2013-01-01T00:00:00.000","0.25","540","719","0","1","1"
"F","Mashonaland West","Hurungwe","Tabasco Chilli","2012-11-01T00:00:00.000","0.1","90","611","0","1","1"
"F","Mashonaland West","Hurungwe","Tobacco","2013-01-01T00:00:00.000","0.5","560","551","360","52","1"
"F","Mashonaland West","Hurungwe","Tobacco","2012-02-01T00:00:00.000","1.8","1930","1067","1930","412","2"
"F","Mashonaland West","Hurungwe","Tobacco","2013-02-01T00:00:00.000","0.75","747","881","747","89","1"
"F","Mashonaland West","Hurungwe","Tobacco","2012-03-01T00:00:00.000","1","1800","870","1800","274","1"
"F","Mashonaland West","Hurungwe","Tobacco","2013-03-01T00:00:00.000","0.5","1000","845","1000","177","1"
"F","Mashonaland West","Hurungwe","Tobacco","2013-05-01T00:00:00.000","0.5","1400","359","1400","206","1"
"F","Mashonaland West","Hurungwe","Tobacco","2013-08-01T00:00:00.000","0.5","469","583","469","50","1"
"F","Mashonaland West","Hurungwe","Tobacco","2012-09-01T00:00:00.000","1.25","1010","1178","1010","665","2"
"F","Mashonaland West","Hurungwe","Tobacco","2011-11-01T00:00:00.000","0.5","250","643","250","386","1"
"F","Mashonaland West","Hurungwe","Tobacco","2012-11-01T00:00:00.000","2.65","2155","1555","2155","1043","5"
"F","Mashonaland West","Hurungwe","Tobacco","2012-12-01T00:00:00.000","1","1400","408","1400","44","1"
"F","Masvingo","Chiredzi","ABE Chillies","2013-02-01T00:00:00.000","0.2","2031","534","2031","56","1"
"F","Masvingo","Chiredzi","ABE Chillies","2013-03-01T00:00:00.000","0.6","3896","1120","3896","625","2"
