"remote","long_name","label","routes","transfers","color","express","closed","point_x_city","point_x","point_y","full_fare","senoir_discount","day_afas_unlimited_1","day_afas_unlimited_2","joint_railroad_ticket","day_unlimited_1","day_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"309","176th St (4) Bronx","176th St (4)","4","4","GREEN",,,"Bronx","POINT (-73.911694 40.848646)","40.848646000000002","13011","421","68","149","1","8096","4241","16","2","369","23","19","20"
"237","182nd St / 183rd St (B,D) Bronx","182nd St / 183rd St (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.900271 40.856816)","40.856816000000002","12289","497","35","65","1","5648","3343","9","1","253","8","4","32"
"275","183rd St (4) Bronx","183rd St (4)","4","4","GREEN",,,"Bronx","POINT (-73.903962 40.858367)","40.858367000000001","15471","451","39","85","2","8669","4426","11","1","312","5","17","26"
"157","205th St / Norwood (D) Bronx","205th St / Norwood (D)",,,"ORANGE",,,"Bronx","POINT (-73.879427 40.874979)","40.874979000000003","16176","602","87","254","3","7982","7730","34","14","575","19","20","115"
"365","219th St (2,5) Bronx","219th St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.8628 40.883579)","40.883578999999997","8196","284","32","95","0","3459","2162","23","0","192","4","4","23"
"366","225th St (2,5) Bronx","225th St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.860425 40.88781)","40.887810000000002","10752","340","51","95","0","4390","2636","34","0","226","16","27","18"
"40","231st St (1) Bronx","231st St (1)","1","1","RED",,,"Bronx","POINT (-73.904784 40.87891)","40.878909999999998","16661","1131","118","325","1","8405","9055","35","12","621","102","68","65"
"367","233rd St (2,5) Bronx","233rd St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.857349 40.893393)","40.893393000000003","11810","519","87","152","1","5498","3730","18","1","344","17","6","31"
"306","238th St (1) Bronx","238th St (1)","1","1","RED",,,"Bronx","POINT (-73.900641 40.885077)","40.885077000000003","8513","376","23","67","5","2487","3715","43","3","256","86","28","55"
"145","241st St / Wakefield (2) Bronx","241st St / Wakefield (2)","2","2","RED",,,"Bronx","POINT (-73.850375 40.903428)","40.903427999999998","12385","407","49","97","6","5384","2788","10","3","283","13","11","80"
"117","242nd St (1) Bronx","242nd St (1)","1","1","RED",,,"Bronx","POINT (-73.898506 40.889424)","40.889423999999998","10295","395","44","134","1","4745","4569","34","7","305","64","14","37"
"445","3rd Ave / 138th St (6) Bronx","3rd Ave / 138th St (6)","6","6","GREEN",,,"Bronx","POINT (-73.927194 40.810995)","40.810994999999998","15498","579","72","159","0","9583","5559","34","6","543","14","23","22"
"53","3rd Ave / 149th St (2,5) Bronx","3rd Ave / 149th St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.917642 40.816061)","40.816060999999998","41771","1541","307","661","12","30288","17562","68","12","1884","57","44","199"
"362","Allerton Ave (2,5) Bronx","Allerton Ave (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.86732 40.865434)","40.865434","12545","500","73","174","2","5781","4031","41","0","310","20","13","53"
"292","Baychester Ave (5) Bronx","Baychester Ave (5)","5","5","GREEN",,,"Bronx","POINT (-73.838591 40.878663)","40.878663000000003","7656","250","18","33","0","2665","2119","21","0","260","9","2","46"
"156","Bedford Park Blvd (B,D) Bronx","Bedford Park Blvd (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.887873 40.872109)","40.872109000000002","12604","619","55","184","0","5757","5998","34","1","433","35","28","42"
"183","Bedford Park Blvd / Lehman College (4) Bronx","Bedford Park Blvd / Lehman College (4)","4","4","GREEN",,,"Bronx","POINT (-73.889781 40.873596)","40.873595999999999","9065","391","54","127","0","4884","3883","9","1","319","26","13","33"
"389","Bronx Park East (2,5) Bronx","Bronx Park East (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.868356 40.848991)","40.848990999999998","5891","176","44","62","0","2686","2089","21","1","163","16","9","12"
"446","Brook Ave (6) Bronx","Brook Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.919237 40.807568)","40.807568000000003","15169","602","66","112","0","8400","4224","8","2","358","19","21","39"
"428","Buhre Ave (6) Bronx","Buhre Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.83226 40.847026)","40.847026","7596","385","31","43","0","2076","2733","51","2","213","47","14","23"
"363","Burke Ave (2,5) Bronx","Burke Ave (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.867173 40.871435)","40.871434999999998","8762","381","41","89","0","3698","2547","33","0","274","8","17","18"
"244","Burnside Ave (4) Bronx","Burnside Ave (4)","4","4","GREEN",,,"Bronx","POINT (-73.907372 40.853798)","40.853797999999998","21956","713","118","295","1","13898","7656","20","3","623","29","39","59"
"106","Castle Hill Ave (6) Bronx","Castle Hill Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.851642 40.834191)","40.834190999999997","14819","580","105","137","0","7035","6366","40","6","575","27","18","28"
"447","Cypress Ave (6) Bronx","Cypress Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.914465 40.805548)","40.805548000000002","8598","241","55","59","0","4648","2233","8","4","175","10","6","21"
"431","Dyre Ave / Eastchester (5) Bronx","Dyre Ave / Eastchester (5)","5","5","GREEN",,,"Bronx","POINT (-73.830596 40.889097)","40.889097","8954","235","30","71","0","3329","2553","32","0","268","28","20","83"
"448","E 143rd St / St Mary's St (6) Bronx","E 143rd St / St Mary's St (6)","6","6","GREEN",,,"Bronx","POINT (-73.907838 40.808193)","40.808193000000003","1923","68","11","26","0","992","761","4","0","20","3","3","3"
"449","E 149th St (6) Bronx","E 149th St (6)","6","6","GREEN",,,"Bronx","POINT (-73.904147 40.812115)","40.812114999999999","9221","379","41","105","0","6066","3334","16","0","245","1","2","16"
"222","E 177th St / Parkchester (6) Bronx","E 177th St / Parkchester (6)","6","6","GREEN",,,"Bronx","POINT (-73.862713 40.832927)","40.832926999999998","29824","1395","169","389","2","14609","16837","135","8","1313","89","62","75"
"388","E 180th St (2,5) Bronx","E 180th St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.874154 40.841372)","40.841372","12517","335","72","90","1","7022","4683","24","5","342","38","25","51"
"387","E Tremont Ave / West Farms Sq (2,5) Bronx","E Tremont Ave / West Farms Sq (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.880427 40.84009)","40.840089999999996","13507","431","90","207","3","9577","4972","16","1","509","9","10","69"
"16","Elder Ave (6) Bronx","Elder Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.87916 40.828583)","40.828583000000002","13974","587","29","126","26","4216","7283","170","91","451","170","71","162"
"112","Fordham Rd (B,D) Bronx","Fordham Rd (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.897102 40.862416)","40.862416000000003","26256","843","129","262","9","14486","9122","26","24","756","28","38","68"
"119","Fordham Rd (4) Bronx","Fordham Rd (4)","4","4","GREEN",,,"Bronx","POINT (-73.901091 40.862733)","40.862732999999999","26307","898","143","279","8","15802","8652","26","4","688","38","45","53"
"409","Freeman St (2,5) Bronx","Freeman St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.891832 40.83017)","40.830170000000003","10882","402","55","93","0","5368","3518","8","0","214","9","10","21"
"226","Gun Hill Rd (5) Bronx","Gun Hill Rd (5)","5","5","GREEN",,,"Bronx","POINT (-73.845803 40.870182)","40.870182","12173","443","74","112","0","5243","3635","44","2","508","22","10","35"
"364","Gun Hill Rd (2,5) Bronx","Gun Hill Rd (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.866518 40.877411)","40.877411000000002","12721","605","103","173","3","8052","4591","16","0","465","19","16","94"
"146","Hunts Point Ave (6) Bronx","Hunts Point Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.891642 40.820614)","40.820613999999999","16910","632","105","263","0","11384","7074","20","5","586","15","18","42"
"407","Intervale Ave (2,5) Bronx","Intervale Ave (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.896893 40.822096)","40.822096000000002","6605","210","37","59","5","3792","1826","9","2","163","4","12","16"
"405","Jackson Ave (2,5) Bronx","Jackson Ave (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.908253 40.816242)","40.816242000000003","12636","463","39","64","0","6587","3398","7","4","399","11","10","26"
"155","Kingsbridge Rd (B,D) Bronx","Kingsbridge Rd (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.894293 40.866175)","40.866174999999998","15904","536","88","133","3","8145","5894","22","3","481","17","26","17"
"161","Kingsbridge Rd (4) Bronx","Kingsbridge Rd (4)","4","4","GREEN",,,"Bronx","POINT (-73.897401 40.867497)","40.867497","19630","783","79","213","6","10936","7616","18","3","612","26","20","40"
"450","Longwood Ave (6) Bronx","Longwood Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.89621 40.816321)","40.816321000000002","7456","286","28","87","0","4108","2361","5","3","155","4","32","14"
"427","Middletown Rd (6) Bronx","Middletown Rd (6)","6","6","GREEN",,,"Bronx","POINT (-73.836766 40.843473)","40.843473000000003","4171","163","13","59","1","928","1110","44","0","107","34","9","14"
"329","Morris Park (5) Bronx","Morris Park (5)","5","5","GREEN",,,"Bronx","POINT (-73.860359 40.854472)","40.854472000000001","4755","188","10","20","0","1033","1699","32","1","163","26","0","13"
"120","Sound View Ave / Morrison Ave (6) Bronx","Sound View Ave / Morrison Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.874475 40.829527)","40.829526999999999","13864","463","43","127","0","8726","4641","15","1","292","7","23","44"
"133","Mosholu Pky (4) Bronx","Mosholu Pky (4)","4","4","GREEN",,,"Bronx","POINT (-73.884635 40.87974)","40.879739999999998","19257","822","104","224","9","8614","7668","20","4","866","59","60","79"
"308","Mt Eden Ave (4) Bronx","Mt Eden Ave (4)","4","4","GREEN",,,"Bronx","POINT (-73.914746 40.844292)","40.844292000000003","14114","567","51","193","3","7235","4391","17","2","381","19","13","24"
"444","Nereid Ave / 238th St (2,5) Bronx","Nereid Ave / 238th St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.854323 40.898462)","40.898462000000002","6910","299","40","51","3","3229","2142","12","0","203","6","2","26"
"429","Pelham Bay Park (6) Bronx","Pelham Bay Park (6)","6","6","GREEN",,,"Bronx","POINT (-73.827095 40.852928)","40.852927999999999","6666","338","64","217","2","4686","5123","43","3","598","40","6","58"
"430","Pelham Pky (5) Bronx","Pelham Pky (5)","5","5","GREEN",,,"Bronx","POINT (-73.856079 40.85817)","40.858170000000001","5963","270","22","57","1","1628","1979","23","5","296","38","6","18"
"361","Pelham Pky (2,5) Bronx","Pelham Pky (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.867607 40.857235)","40.857235000000003","17590","837","103","223","0","9676","8322","55","4","833","42","48","72"
"406","Prospect Ave (2,5) Bronx","Prospect Ave (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.901629 40.819678)","40.819678000000003","16054","600","99","226","5","8656","4778","23","0","395","22","25","74"
"408","Simpson St (2,5) Bronx","Simpson St (2,5)","25","25","RED-GREEN",,,"Bronx","POINT (-73.892955 40.824131)","40.824131000000001","17480","589","91","210","4","12507","6258","22","1","539","14","19","32"
"245","St Lawrence Ave (6) Bronx","St Lawrence Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.86728 40.831598)","40.831598","9983","307","31","63","0","5063","2834","19","0","178","12","0","30"
"154","Tremont Ave (B,D) Bronx","Tremont Ave (B,D)",,,"ORANGE",,,"Bronx","POINT (-73.90593 40.84949)","40.849490000000003","10242","327","49","150","0","6271","4359","21","5","320","16","13","32"
"107","Westchester Sq / E Tremont Ave (6) Bronx","Westchester Sq / E Tremont Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.842011 40.84061)","40.840609999999998","9110","401","60","153","1","4954","4893","10","5","327","40","20","66"
"325","Whitlock Ave (6) Bronx","Whitlock Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.88609 40.827566)","40.827565999999997","3549","103","9","21","0","2141","1070","3","2","74","2","1","14"
"52","Woodlawn (4) Bronx","Woodlawn (4)","4","4","GREEN",,,"Bronx","POINT (-73.87877 40.886019)","40.886018999999997","10483","657","92","197","1","5943","4746","21","4","422","44","2","23"
"326","Zerega Ave (6) Bronx","Zerega Ave (6)","6","6","GREEN",,,"Bronx","POINT (-73.846694 40.836771)","40.836770999999999","6162","248","49","54","1","2292","2169","31","3","161","14","1","17"
"39","225th St / Marble Hill (1) Manhattan","225th St / Marble Hill (1)","1","1","RED",,,"Bronx","POINT (-73.909724 40.874631)","40.874631000000001","13260","657","46","130","9","6292","5930","19","15","480","91","45","36"
