"name","long_name","label","routes","transfers","color","express","closed","remote","point_x","point_x_city","point_x_state","point_y","oid","station","full_fare","senior_discount","day_afas_unlimited_1","day_afas_unlimited_2","joint_railroad_ticket","day_unlimited_1","day_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"233rd St","233rd St (2,5) Bronx","233rd St (2,5)","25","25","RED-GREEN",,,"367","POINT (-73.857349 40.893393)","Bronx","NY","40.893393000000003","367","233RD ST-WHITE PLAINS ROAD    ","13344","769","107","175","3","7487","4817","32","1","448","19","21","30"
"238th St","238th St (1) Bronx","238th St (1)","1","1","RED",,,"306","POINT (-73.900641 40.885077)","Bronx","NY","40.885077000000003","306","238TH STREET-BROADWAY         ","10779","635","44","94","2","3456","5896","64","3","338","116","34","27"
"241st St","241st St / Wakefield (2) Bronx","241st St / Wakefield (2)","2","2","RED",,,"145","POINT (-73.850375 40.903428)","Bronx","NY","40.903427999999998","145","241ST ST-WHITE PLAINS RD      ","14250","461","82","89","4","7335","3765","22","0","337","12","23","92"
"242nd St","242nd St (1) Bronx","242nd St (1)","1","1","RED",,,"117","POINT (-73.898506 40.889424)","Bronx","NY","40.889423999999998","117","242ND STREET & BROADWAY       ","13274","648","55","184","1","7000","7866","65","9","551","171","35","43"
"3rd Ave","3rd Ave / 138th St (6) Bronx","3rd Ave / 138th St (6)","6","6","GREEN",,,"445","POINT (-73.927194 40.810995)","Bronx","NY","40.810994999999998","445","138TH STREET-3RD AVE          ","18101","758","93","206","1","13415","8420","27","8","713","27","36","57"
"3rd Ave","3rd Ave / 149th St (2,5) Bronx","3rd Ave / 149th St (2,5)","25","25","RED-GREEN",,,"53","POINT (-73.917642 40.816061)","Bronx","NY","40.816060999999998","53","149TH STREET & 3RD AVENUE     ","48397","2013","391","829","20","41239","24078","99","9","2480","91","57","139"
"Allerton Ave","Allerton Ave (2,5) Bronx","Allerton Ave (2,5)","25","25","RED-GREEN",,,"362","POINT (-73.86732 40.865434)","Bronx","NY","40.865434","362","ALLERTON AV-WHITE PLAINS RD   ","14979","733","107","230","2","7929","5348","41","0","376","30","19","42"
"Baychester Ave","Baychester Ave (5) Bronx","Baychester Ave (5)","5","5","GREEN",,,"292","POINT (-73.838591 40.878663)","Bronx","NY","40.878663000000003","292","BAYCHESTER AVE-TILLOTSON      ","10637","350","18","43","1","4315","3262","28","1","303","21","6","55"
"Bedford Park Blvd","Bedford Park Blvd (B,D) Bronx","Bedford Park Blvd (B,D)",,,"ORANGE",,,"156","POINT (-73.887873 40.872109)","Bronx","NY","40.872109000000002","156","BEDFORD PARK BLVD-203RD ST    ","14530","792","94","217","5","8099","8487","60","2","585","94","43","44"
"Bedford Park Blvd","Bedford Park Blvd / Lehman College (4) Bronx","Bedford Park Blvd / Lehman College (4)","4","4","GREEN",,,"183","POINT (-73.889781 40.873596)","Bronx","NY","40.873595999999999","183","BEDFORD PARK BLVD-JEROME AV   ","13185","540","64","169","3","7971","6708","30","4","448","52","31","40"
"Bronx Park East","Bronx Park East (2,5) Bronx","Bronx Park East (2,5)","25","25","RED-GREEN",,,"389","POINT (-73.868356 40.848991)","Bronx","NY","40.848990999999998","389","BRONX PARK EAST               ","6987","238","67","74","0","3705","3012","38","0","208","26","8","10"
"Brook Ave","Brook Ave (6) Bronx","Brook Ave (6)","6","6","GREEN",,,"446","POINT (-73.919237 40.807568)","Bronx","NY","40.807568000000003","446","BROOK AVENUE-138TH STREET     ","17005","738","123","136","0","11094","5615","22","5","411","27","35","21"
"Buhre Ave","Buhre Ave (6) Bronx","Buhre Ave (6)","6","6","GREEN",,,"428","POINT (-73.83226 40.847026)","Bronx","NY","40.847026","428","BUHRE AVE-WESTCHESTER AVE     ","10292","540","38","55","1","3161","4136","83","1","345","100","22","23"
"Burke Ave","Burke Ave (2,5) Bronx","Burke Ave (2,5)","25","25","RED-GREEN",,,"363","POINT (-73.867173 40.871435)","Bronx","NY","40.871434999999998","363","BURKE AVE-WHITE PLAINS ROAD   ","10308","524","41","120","0","5139","3363","41","1","351","26","18","18"
"Burnside Ave","Burnside Ave (4) Bronx","Burnside Ave (4)","4","4","GREEN",,,"244","POINT (-73.907372 40.853798)","Bronx","NY","40.853797999999998","244","BURNSIDE AVE-JEROME AVE       ","28219","1073","190","383","2","20999","12156","36","7","794","44","45","61"
"Castle Hill Ave","Castle Hill Ave (6) Bronx","Castle Hill Ave (6)","6","6","GREEN",,,"106","POINT (-73.851642 40.834191)","Bronx","NY","40.834190999999997","106","CASTLE HILL AVENUE            ","17551","786","139","189","0","10100","8729","75","6","782","44","30","22"
"Cypress Ave","Cypress Ave (6) Bronx","Cypress Ave (6)","6","6","GREEN",,,"447","POINT (-73.914465 40.805548)","Bronx","NY","40.805548000000002","447","CYPRESS AVENUE-138TH STREET   ","10138","312","63","84","2","6575","3199","10","5","222","21","1","20"
"Dyre Ave","Dyre Ave / Eastchester (5) Bronx","Dyre Ave / Eastchester (5)","5","5","GREEN",,,"431","POINT (-73.830596 40.889097)","Bronx","NY","40.889097","431","DYRE AVENUE-LIGHT STREET      ","11729","370","35","71","1","5329","4077","42","6","403","41","22","55"
"E 143rd St","E 143rd St / St Mary's St (6) Bronx","E 143rd St / St Mary's St (6)","6","6","GREEN",,,"448","POINT (-73.907838 40.808193)","Bronx","NY","40.808193000000003","448","EAST 143RD ST-SOUTHERN BLVD   ","2604","113","11","38","5","1408","1039","10","1","33","8","12","2"
"E 149th St","E 149th St (6) Bronx","E 149th St (6)","6","6","GREEN",,,"449","POINT (-73.904147 40.812115)","Bronx","NY","40.812114999999999","449","EAST 149TH ST-SOUTHERN BLVD   ","10604","523","73","117","0","8371","4383","27","0","413","2","8","20"
"E 177th St","E 177th St / Parkchester (6) Bronx","E 177th St / Parkchester (6)","6","6","GREEN",,,"222","POINT (-73.862713 40.832927)","Bronx","NY","40.832926999999998","222","177TH STREET-PARKCHESTER      ","34467","1943","229","522","10","19693","22158","168","5","1722","116","71","100"
"E 180th St","E 180th St (2,5) Bronx","E 180th St (2,5)","25","25","RED-GREEN",,,"388","POINT (-73.874154 40.841372)","Bronx","NY","40.841372","388","EAST 180TH ST-MORRIS PARK     ","14748","439","82","140","1","10310","6770","44","6","472","51","33","61"
"E Tremont Ave","E Tremont Ave / West Farms Sq (2,5) Bronx","E Tremont Ave / West Farms Sq (2,5)","25","25","RED-GREEN",,,"387","POINT (-73.880427 40.84009)","Bronx","NY","40.840089999999996","387","EAST TREMONT AVENUE-178 ST    ","15346","582","121","236","4","12626","6488","30","3","645","6","17","63"
"Elder Ave","Elder Ave (6) Bronx","Elder Ave (6)","6","6","GREEN",,,"16","POINT (-73.87916 40.828583)","Bronx","NY","40.828583000000002","16","LEXINGTON AVENUE              ","24292","1192","43","218","126","5920","14369","360","167","849","420","202","168"
"Fordham Rd","Fordham Rd (B,D) Bronx","Fordham Rd (B,D)",,,"ORANGE",,,"112","POINT (-73.897102 40.862416)","Bronx","NY","40.862416000000003","112","FORDHAM RD/GRAND CONCOURSE    ","28912","1047","151","339","10","19294","12087","50","36","830","60","66","69"
"Fordham Rd","Fordham Rd (4) Bronx","Fordham Rd (4)","4","4","GREEN",,,"119","POINT (-73.901091 40.862733)","Bronx","NY","40.862732999999999","119","FORDHAM ROAD & JEROME AVE     ","30935","1159","170","290","2","22338","12385","42","12","988","58","40","72"
"Freeman St","Freeman St (2,5) Bronx","Freeman St (2,5)","25","25","RED-GREEN",,,"409","POINT (-73.891832 40.83017)","Bronx","NY","40.830170000000003","409","FREEMAN ST-SOUTHERN BLVD      ","12386","484","95","109","3","7457","4876","11","1","285","8","21","23"
"Gun Hill Rd","Gun Hill Rd (5) Bronx","Gun Hill Rd (5)","5","5","GREEN",,,"226","POINT (-73.845803 40.870182)","Bronx","NY","40.870182","226","GUN HILL ROAD-SEYMOUR         ","14961","574","85","125","0","7280","5637","95","2","635","33","18","50"
"Gun Hill Rd","Gun Hill Rd (2,5) Bronx","Gun Hill Rd (2,5)","25","25","RED-GREEN",,,"364","POINT (-73.866518 40.877411)","Bronx","NY","40.877411000000002","364","GUNHILL RD-WHITE PLAINS RD    ","14578","768","106","231","5","10683","6042","18","2","598","25","28","82"
"Hunts Point Ave","Hunts Point Ave (6) Bronx","Hunts Point Ave (6)","6","6","GREEN",,,"146","POINT (-73.891642 40.820614)","Bronx","NY","40.820613999999999","146","HUNTS PT AVE-SOUTHERN BLVD    ","20196","771","149","320","1","16647","10410","37","1","826","43","33","36"
"Intervale Ave","Intervale Ave (2,5) Bronx","Intervale Ave (2,5)","25","25","RED-GREEN",,,"407","POINT (-73.896893 40.822096)","Bronx","NY","40.822096000000002","407","INTERVALE 163RD STREET        ","7840","254","43","83","5","5443","2841","11","1","201","10","15","18"
"Jackson Ave","Jackson Ave (2,5) Bronx","Jackson Ave (2,5)","25","25","RED-GREEN",,,"405","POINT (-73.908253 40.816242)","Bronx","NY","40.816242000000003","405","JACKSON AVENUE-WESTCHESTER    ","14021","554","46","72","4","8883","4716","21","5","493","17","20","38"
"Kingsbridge Rd","Kingsbridge Rd (B,D) Bronx","Kingsbridge Rd (B,D)",,,"ORANGE",,,"155","POINT (-73.894293 40.866175)","Bronx","NY","40.866174999999998","155","KINGSBRIDGE RD-196TH ST       ","18188","744","97","161","7","11366","7897","35","5","600","37","31","31"
"Kingsbridge Rd","Kingsbridge Rd (4) Bronx","Kingsbridge Rd (4)","4","4","GREEN",,,"161","POINT (-73.897401 40.867497)","Bronx","NY","40.867497","161","KINGSBRIDGE RD-JEROME AVE     ","24358","995","130","328","8","16031","11399","48","2","840","23","29","41"
"Longwood Ave","Longwood Ave (6) Bronx","Longwood Ave (6)","6","6","GREEN",,,"450","POINT (-73.89621 40.816321)","Bronx","NY","40.816321000000002","450","LONGWOOD AVE-SOUTHERN BLVD    ","8935","382","27","124","0","5830","3292","14","10","228","16","43","13"
"Middletown Rd","Middletown Rd (6) Bronx","Middletown Rd (6)","6","6","GREEN",,,"427","POINT (-73.836766 40.843473)","Bronx","NY","40.843473000000003","427","MIDDLETOWN ROAD-WESTCHESTER   ","6348","231","9","72","1","1382","1883","107","2","151","62","24","19"
"Morris Park","Morris Park (5) Bronx","Morris Park (5)","5","5","GREEN",,,"329","POINT (-73.860359 40.854472)","Bronx","NY","40.854472000000001","329","MORRIS PARK-PAULDING AVENUE   ","6999","272","11","39","0","1493","2628","61","0","254","72","4","25"
"Sound View Ave","Sound View Ave / Morrison Ave (6) Bronx","Sound View Ave / Morrison Ave (6)","6","6","GREEN",,,"120","POINT (-73.874475 40.829527)","Bronx","NY","40.829526999999999","120","MORRISON AVE & WESTCHESTER    ","15820","611","62","150","0","11842","5851","47","7","375","18","21","39"
"Mosholu Pky","Mosholu Pky (4) Bronx","Mosholu Pky (4)","4","4","GREEN",,,"133","POINT (-73.884635 40.87974)","Bronx","NY","40.879739999999998","133","MOSHOLU PARKWAY-JEROME AVE    ","23109","1285","130","271","9","12089","10532","36","10","1069","98","83","97"
"Mt Eden Ave","Mt Eden Ave (4) Bronx","Mt Eden Ave (4)","4","4","GREEN",,,"308","POINT (-73.914746 40.844292)","Bronx","NY","40.844292000000003","308","MT EDEN AVENUE-JEROME AVE     ","16227","688","69","213","3","9788","5936","27","4","502","9","17","30"
"Nereid Ave","Nereid Ave / 238th St (2,5) Bronx","Nereid Ave / 238th St (2,5)","25","25","RED-GREEN",,,"444","POINT (-73.854323 40.898462)","Bronx","NY","40.898462000000002","444","238TH ST-WHITE PLAINS ROAD    ","8676","412","63","76","2","4501","3086","24","0","249","17","2","21"
"Pelham Bay Park","Pelham Bay Park (6) Bronx","Pelham Bay Park (6)","6","6","GREEN",,,"429","POINT (-73.827095 40.852928)","Bronx","NY","40.852927999999999","429","PELHAM BAY PARK-BRUCKNER BL   ","8213","443","98","299","3","6544","7604","91","6","801","56","9","58"
"Pelham Pky","Pelham Pky (5) Bronx","Pelham Pky (5)","5","5","GREEN",,,"430","POINT (-73.856079 40.85817)","Bronx","NY","40.858170000000001","430","PELHAM PKWY-ESPLANADE         ","8422","398","33","73","0","2738","3252","54","5","438","74","4","20"
"Pelham Pky","Pelham Pky (2,5) Bronx","Pelham Pky (2,5)","25","25","RED-GREEN",,,"361","POINT (-73.867607 40.857235)","Bronx","NY","40.857235000000003","361","PELHAM PKWY-WHITE PLAINS RD   ","20384","1144","137","294","2","13205","10889","70","4","1093","59","53","47"
"Prospect Ave","Prospect Ave (2,5) Bronx","Prospect Ave (2,5)","25","25","RED-GREEN",,,"406","POINT (-73.901629 40.819678)","Bronx","NY","40.819678000000003","406","PROSPECT AVENUE-WESTCHESTER   ","18300","752","124","287","4","12055","6596","45","9","473","44","38","58"
"Simpson St","Simpson St (2,5) Bronx","Simpson St (2,5)","25","25","RED-GREEN",,,"408","POINT (-73.892955 40.824131)","Bronx","NY","40.824131000000001","408","SIMPSON ST-WESTCHESTER AVE    ","18929","779","134","220","1","16952","8419","29","2","646","26","27","33"
"St Lawrence Ave","St Lawrence Ave (6) Bronx","St Lawrence Ave (6)","6","6","GREEN",,,"245","POINT (-73.86728 40.831598)","Bronx","NY","40.831598","245","ST LAWRENCE AVE-WEST AVE      ","11255","433","34","63","1","6754","3555","66","2","230","16","5","24"
"Tremont Ave","Tremont Ave (B,D) Bronx","Tremont Ave (B,D)",,,"ORANGE",,,"154","POINT (-73.90593 40.84949)","Bronx","NY","40.849490000000003","154","TREMONT AVE-179TH ST          ","19778","720","144","278","1","15983","9783","32","14","768","90","33","55"
"Westchester Sq","Westchester Sq / E Tremont Ave (6) Bronx","Westchester Sq / E Tremont Ave (6)","6","6","GREEN",,,"107","POINT (-73.842011 40.84061)","Bronx","NY","40.840609999999998","107","WESTCHESTER SQUARE            ","12003","640","86","192","9","7764","7137","22","13","418","77","27","59"
"Whitlock Ave","Whitlock Ave (6) Bronx","Whitlock Ave (6)","6","6","GREEN",,,"325","POINT (-73.88609 40.827566)","Bronx","NY","40.827565999999997","325","WHITLOCK AVE-WESTCHESTER AV   ","4153","114","7","37","0","2992","1500","10","2","80","1","0","10"
"Woodlawn","Woodlawn (4) Bronx","Woodlawn (4)","4","4","GREEN",,,"52","POINT (-73.87877 40.886019)","Bronx","NY","40.886018999999997","52","WOODLAWN ROAD                 ","12561","806","149","310","8","9642","7096","57","13","589","53","10","24"
"Zerega Ave","Zerega Ave (6) Bronx","Zerega Ave (6)","6","6","GREEN",,,"326","POINT (-73.846694 40.836771)","Bronx","NY","40.836770999999999","326","ZEREGA AVE-WESTCHESTER AVE    ","8467","420","48","76","1","3457","3103","68","6","190","40","7","14"
"225th St","225th St / Marble Hill (1) Manhattan","225th St / Marble Hill (1)","1","1","RED",,,"39","POINT (-73.909724 40.874631)","Bronx","NY","40.874631000000001","39","225TH STREET                  ","14319","817","82","160","36","8123","7853","31","65","595","107","31","44"
