"animalid","intype","indate","petname","animaltype","petage","petsize","color","breed","sex","url","crossing"
"A492868","RETURN","2022-08-14T00:00:00.000","MINGO","CAT","6 YEARS","LARGE","ORANGE TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492868&location=MONT",
"A494427","OWNER SUR","2022-08-14T00:00:00.000","*PETE","OTHER","1 YEAR 6 MONTHS","MED","BROWN","DEGU","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494427&location=MONT",
"A493544","FOSTER","2022-08-14T00:00:00.000","*TOM","CAT","11 WEEKS","KITTE","GRAY TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493544&location=MONT",
"A493542","FOSTER","2022-08-14T00:00:00.000","*TIMO","CAT","11 WEEKS","KITTE","GRAY TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493542&location=MONT",
"A494422","OWNER SUR","2022-08-14T00:00:00.000","*RAFAEL","OTHER","1 YEAR 6 MONTHS","MED","BROWN / WHITE","DEGU","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494422&location=MONT",
"A494424","OWNER SUR","2022-08-14T00:00:00.000","*NOVAK","OTHER","1 YEAR 6 MONTHS","MED","WHITE / BROWN","DEGU","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494424&location=MONT",
"A494426","OWNER SUR","2022-08-14T00:00:00.000","*ANDY","OTHER","1 YEAR 6 MONTHS","MED","WHITE / BROWN","DEGU","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494426&location=MONT",
"A494371","OWNER SUR","2022-08-13T00:00:00.000","*BATMAN","OTHER","14 WEEKS","SMALL","BLACK","REX","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494371&location=MONT",
"A494369","OWNER SUR","2022-08-13T00:00:00.000","*LITTLE MERMAID","OTHER","14 WEEKS","SMALL","WHITE / BLACK","REX","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494369&location=MONT",
"A494373","OWNER SUR","2022-08-13T00:00:00.000","*AQUA GIRL","OTHER","14 WEEKS","SMALL","BROWN","REX","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494373&location=MONT",
"A494372","OWNER SUR","2022-08-13T00:00:00.000","*DORA","OTHER","14 WEEKS","SMALL","BROWN","REX","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494372&location=MONT",
"A493890","FOSTER","2022-08-13T00:00:00.000","*LUMA","CAT","12 WEEKS","KITTE","GRAY / WHITE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493890&location=MONT",
"A494368","OWNER SUR","2022-08-13T00:00:00.000","*HULK","OTHER","14 WEEKS","SMALL","WHITE / GRAY","REX","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494368&location=MONT",
"A494388","OWNER SUR","2022-08-13T00:00:00.000","*SPLASH","OTHER","NO AGE","LARGE","BROWN","TURTLE / REDEARED SLIDER","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494388&location=MONT",
"A494370","OWNER SUR","2022-08-13T00:00:00.000","*SHREK","OTHER","14 WEEKS","SMALL","WHITE / BROWN","REX","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494370&location=MONT",
"A494389","OWNER SUR","2022-08-13T00:00:00.000","*SQUIRT","OTHER","NO AGE","MED","BROWN","TURTLE / REDEARED SLIDER","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494389&location=MONT",
"A490050","OWNER SUR","2022-08-11T00:00:00.000","JASMINE","DOG","6 YEARS","MED","BLACK / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A490050&location=MONT",
"A485261","OWNER SUR","2022-08-11T00:00:00.000","LULU","OTHER","2 YEARS","SMALL","WHITE / BLACK","RABBIT SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A485261&location=MONT",
"A494224","STRAY","2022-08-09T00:00:00.000","*RAIN","OTHER","8 MONTHS","SMALL","BLACK / WHITE","RABBIT SH","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494224&location=MONT","400 GIRARD ST, GAITHERSBURG MD 20877"
"A494208","STRAY","2022-08-09T00:00:00.000","*HARRIET","OTHER","8 MONTHS","MED","WHITE / BLACK","RABBIT SH","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494208&location=MONT","3300 HARRELL ST, SILVER SPRING MD 20906"
"A494212","OWNER SUR","2022-08-09T00:00:00.000","DANE","DOG","5 YEARS","MED","BRINDLE","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494212&location=MONT",
"A494075","TRANSFER","2022-08-05T00:00:00.000","WINIFRED","CAT","6 YEARS","LARGE","GRAY","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494075&location=MONT",
"A491932","FOSTER","2022-08-04T00:00:00.000","*OBI BUN KENOBI","OTHER","1 YEAR 2 MONTHS","SMALL","FAWN","RABBIT SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491932&location=MONT",
"A493968","STRAY","2022-08-03T00:00:00.000","*MCCOY","DOG","2 YEARS","MED","SEAL / WHITE","AM PIT BULL TER / MIX","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493968&location=MONT","300 MONROE ST ROCKVILLE CITY 20850"
"A493912","STRAY","2022-08-01T00:00:00.000","*G","OTHER","1 YEAR","SMALL","WHITE / BLACK","RABBIT SH","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493912&location=MONT","0 MICHAEL CT, GAITHERSBURG MD 20877"
"A493885","STRAY","2022-07-31T00:00:00.000","*JUNE BUG","CAT","1 YEAR","MED","WHITE / BLACK","TURKISH VAN","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493885&location=MONT","FLOWER AVE & PINEY BRANCH, SILVER SPRING MD 20901"
"A493883","STRAY","2022-07-31T00:00:00.000","*HONEYBEE","CAT","2 YEARS","MED","CALICO","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493883&location=MONT","FLOWER AVE & PINEY BRANCH, SILVER SPRING MD 20901"
"A493850","STRAY","2022-07-30T00:00:00.000","*ARNO","CAT","1 YEAR","MED","ORANGE / WHITE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493850&location=MONT","12900 ETHEL ROSE WAY, BOYDS MD 20841"
"A493840","STRAY","2022-07-30T00:00:00.000","TOM","CAT","3 YEARS","MED","GRAY / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493840&location=MONT","700 ROEDER RD, SILVER SPRING MD 20910"
"A493851","STRAY","2022-07-30T00:00:00.000","*GENESIS","CAT","2 YEARS","MED","BLACK / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493851&location=MONT","12900 ETHEL ROSE WAY, BOYDS MD 20841"
"A493856","OWNER SUR","2022-07-30T00:00:00.000","GEORGIE","OTHER","3 YEARS","SMALL","BROWN","RABBIT SH","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493856&location=MONT",
"A493834","OWNER SUR","2022-07-30T00:00:00.000","ELENA","DOG","5 YEARS","SMALL","CREAM","LHASA APSO","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493834&location=MONT",
"A493803","STRAY","2022-07-29T00:00:00.000","MAVERICK","CAT","3 YEARS","LARGE","BLACK / WHITE","DOMESTIC MH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493803&location=MONT","12600 GREY EAGLE CT #42 GERMANTOWN 20874"
"A493812","STRAY","2022-07-29T00:00:00.000","*NORRIS","CAT","2 YEARS","MED","ORANGE TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493812&location=MONT","HERON DR/ LANGLEY DR SILVER SPRING 20901"
"A493801","STRAY","2022-07-29T00:00:00.000","*GOOSE","CAT","3 YEARS","MED","GRAY TAB / WHITE","DOMESTIC MH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493801&location=MONT","12600 GREY EAGLE CT #42 GERMANTOWN 20874"
"A493723","OWNER SUR","2022-07-27T00:00:00.000","LUCY","OTHER","1 YEAR 1 MONTH","MED","BEIGE / WHITE","GUINEA PIG","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493723&location=MONT",
"A493680","OWNER SUR","2022-07-26T00:00:00.000","DANNIE","CAT","10 YEARS","MED","BRN TABBY","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493680&location=MONT",
"A493678","OWNER SUR","2022-07-26T00:00:00.000","JAY","CAT","10 YEARS","MED","GRAY TAB","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493678&location=MONT",
"A493611","STRAY","2022-07-24T00:00:00.000","*BRANDO","DOG","2 YEARS","MED","TAN / WHITE","AM PIT BULL TER / MIX","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493611&location=MONT","8100 BALTIMORE AVE COLLEGE PARK MD 20740"
"A493575","OWNER SUR","2022-07-23T00:00:00.000","BELLA","OTHER","4 YEARS","SMALL","TRI/BROWN","GUINEA PIG","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493575&location=MONT",
"A493565","STRAY","2022-07-23T00:00:00.000","*ZORRO","CAT","1 YEAR 1 MONTH","MED","BLACK / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493565&location=MONT","3100 HEWITT AVE, SILVER SPRING MD 20906"
"A493573","OWNER SUR","2022-07-23T00:00:00.000","MAXINE","OTHER","4 YEARS","SMALL","TRI/BROWN","GUINEA PIG","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493573&location=MONT",
"A493494","OWNER SUR","2022-07-21T00:00:00.000","EMMA","CAT","3 YEARS","MED","GRAY TAB","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493494&location=MONT",
"A493448","OWNER SUR","2022-07-20T00:00:00.000","FRAPPE","OTHER","1 YEAR","SMALL","BROWN / WHITE","GUINEA PIG","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493448&location=MONT",
"A493449","OWNER SUR","2022-07-20T00:00:00.000","PANDA","OTHER","1 YEAR","SMALL","BLACK / WHITE","GUINEA PIG","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493449&location=MONT",
"A493405","STRAY","2022-07-19T00:00:00.000","*SIDDLE","OTHER","1 YEAR 1 MONTH","SMALL","WHITE / BLACK","RABBIT SH","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493405&location=MONT","700 W SIDE DR GAITHERBURG MD 20878"
"A493393","OWNER SUR","2022-07-19T00:00:00.000","SHILOH","OTHER","2 YEARS","SMALL","BLACK","RABBIT SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493393&location=MONT",
"A493392","OWNER SUR","2022-07-19T00:00:00.000","SHAWNA","OTHER","2 YEARS","SMALL","BLACK","JERSEY WOOLY / MIX","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493392&location=MONT",
"A493404","STRAY","2022-07-19T00:00:00.000","*WEST","OTHER","5 MONTHS","SMALL","TAN","RABBIT SH","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493404&location=MONT","700 W SIDE DR GAITHERBURG MD 20878"
"A493345","OWNER SUR","2022-07-18T00:00:00.000","GELATO","DOG","1 YEAR 2 MONTHS","MED","BROWN","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493345&location=MONT",
"A483795","FOSTER","2022-07-18T00:00:00.000","*PRIEST","OTHER","1 YEAR 9 MONTHS","MED","BROWN / WHITE","RABBIT SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483795&location=MONT",
"A493041","STRAY","2022-07-11T00:00:00.000","*PARKWAY","DOG","2 YEARS","MED","TAN","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493041&location=MONT","19000 CIRCLE GATE DR, GERMANTOWN MD 20874"
"A492947","STRAY","2022-07-09T00:00:00.000","*CLOUDY","OTHER","2 YEARS","SMALL","BROWN / WHITE","RABBIT SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492947&location=MONT","18500 CAPE JASMINE WAY, GAITHERSBURG MD 20879"
"A492934","OWNER SUR","2022-07-08T00:00:00.000","TYSON","DOG","2 YEARS","MED","BLACK","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492934&location=MONT",
"A492927","OWNER SUR","2022-07-08T00:00:00.000","CHAPO","CAT","5 YEARS","MED","BLACK","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492927&location=MONT",
"A492616","STRAY","2022-06-30T00:00:00.000","*MACDUFF","CAT","1 YEAR 1 MONTH","MED","BRN TABBY","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492616&location=MONT","7300 MUNCASTER MILL RD, GAITHERSBURG MD 20855"
"A492548","STRAY","2022-06-29T00:00:00.000","*BARTH","OTHER","1 YEAR 1 MONTH","LARGE","BROWN / WHITE","GUINEA PIG","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492548&location=MONT","7500 MUNCASTER MILL RD, DERWOOD MD  20855"
"A404118","BOARDING","2022-06-28T00:00:00.000","MATTHEW","CAT","9 YEARS","LARGE","ORANGE TAB","DOMESTIC MH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A404118&location=MONT",
"A404251","BOARDING","2022-06-28T00:00:00.000","MOSES","CAT","8 YEARS","LARGE","ORANGE TAB / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A404251&location=MONT",
"A492185","OWNER SUR","2022-06-21T00:00:00.000","BELLA","DOG","8 YEARS","LARGE","WHITE / BLACK","AM PIT BULL TER / MIX","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492185&location=MONT",
"A468884","TRANSFER","2022-06-17T00:00:00.000","NALA","DOG","9 YEARS","MED","GRAY / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468884&location=MONT",
"A491897","OWNER SUR","2022-06-14T00:00:00.000","*JULIUS","CAT","2 YEARS","SMALL","ORANGE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491897&location=MONT",
"A491857","OWNER SUR","2022-06-13T00:00:00.000","GRAYTAIL","CAT","12 YEARS","MED","GRAY / WHITE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491857&location=MONT",
"A491858","OWNER SUR","2022-06-13T00:00:00.000","SAMHAIN","CAT","6 YEARS","MED","DIL CALICO","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491858&location=MONT",
"A491670","OWNER SUR","2022-06-09T00:00:00.000","JEFE","DOG","5 YEARS","LARGE","WHITE","AMERICAN STAFF","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491670&location=MONT",
"A491526","STRAY","2022-06-06T00:00:00.000","*TOBY","OTHER","1 YEAR","MED","GRAY / WHITE","GUINEA PIG","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491526&location=MONT","9900 VALLEY PARK DR, DAMASCUS MD 20872"
"A491134","OWNER SUR","2022-05-28T00:00:00.000","BUDDY","OTHER","20 YEARS","SMALL","GREEN","TURTLE","U","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491134&location=MONT",
"A491068","STRAY","2022-05-26T00:00:00.000","*JERRY","CAT","6 YEARS","MED","BLACK / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491068&location=MONT","8100 INVERNESS RIDGE RD, POTOMAC MD"
"A490491","STRAY","2022-05-12T00:00:00.000","*NINJA","OTHER","NO AGE","MED","BROWN / GREEN","TURTLE","U","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A490491&location=MONT","17900 RED ROCKS DR, GERMANTOWN MD 20874"
"A487242","OWNER SUR","2022-02-20T00:00:00.000","KAINE","DOG","1 YEAR 9 MONTHS","MED","WHITE / BROWN","AM PIT BULL TER / MIX","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A487242&location=MONT",
