"title","date","fy","library","primary_event_type","event_type_option_1","event_type_option_2","primary_age_group","age_group_option_1","age_group_option_2","description","internal_notes","published_status","attendance"
"Sherwood Elementary School Visit","2017-05-26T00:00:00.000","FY 17","Olney","Z_Visits Out",,,"Elementary School Age","Preschool and Kindergarten",,"Summer Reading School Visit",,"Yes","491"
"SUMMER READING PROMOTIONAL VISIT","2017-05-30T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School visit to Clarksburg EM. Grades K-5.",,"No","340"
"Summer Reading Promotional Visit","2017-05-31T00:00:00.000","FY 17","Marilyn J. Praisner","Z_Visits Out",,,"Adult",,,"PTA meeting, Public School.",,"Yes","22"
"SUMMER READING PROMOTIONAL VISIT","2017-05-31T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Kindergarten",,"No","49"
"SUMMER READING PROMOTIONAL VISIT","2017-05-31T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grade 1",,"No","61"
"SUMMER READING PROMOTIONAL VISIT","2017-05-31T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School visit to Clopper Mill EM. Grades K-5.",,"No","526"
"SUMMER READING PROMOTIONAL VISIT","2017-06-01T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Elementary School Age",,,"K-5 TITLE 1 SCHOOL",,"No","880"
"Summer Reading Promotional Visit","2017-06-01T00:00:00.000","FY 17","Marilyn J. Praisner","Z_Visits Out",,,"Elementary School Age",,,"Grades K-2, and 3-5. Public school",,"Yes","620"
"SUMMER READING PROMOTIONAL VISIT","2017-06-01T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grade 2",,"No","29"
"Greenwood Elementary School Visit","2017-06-02T00:00:00.000","FY 17","Olney","Z_Visits Out",,,"Preschool and Kindergarten",,,"Summer Reading School Visit",,"Yes","128"
"SUMMER READING PROMOTIONAL VISIT","2017-06-02T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grade 1",,"No","24"
"SUMMER READING PROMOTIONAL VISIT","2017-06-05T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Teens",,,"Grade 6",,"No","162"
"Summer Reading Promotional Visit: Laytonsville Elem","2017-06-05T00:00:00.000","FY 17","Damascus","Z_Visits Out",,,"Elementary School Age",,,"Two assembly-style presentations of Summer Reading Program to grades K/1/2 and 3/4/5 at Laytonsville Elementary MCPS Public School.",,"Yes","425"
"SUMMER READING PROMOTIONAL VISIT","2017-06-05T00:00:00.000","FY 17","Chevy Chase","Z_Visits Out",,,"Elementary School Age",,,"3rd grade class visit",,"No","43"
"Visit Out to Potomac ES","2017-06-05T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Preschool and Kindergarten","Elementary School Age",,"Visit out by Anne Gerlach to talk about Summer Reading and Harry Potter program","K-1st: 28K; 3A - total 31","No","36"
"SUMMER READING PROMOTIONAL VISIT","2017-06-05T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grade 4",,"No","27"
"SUMMER READING PROMOTIONAL VISIT","2017-06-05T00:00:00.000","FY 17","Chevy Chase","Z_Visits Out",,,"Elementary School Age",,,"2nd grade class visit",,"No","50"
"Summer Read & Learn 2017 School Visit","2017-06-05T00:00:00.000","FY 17","Kensington Park","Z_Visits Out",,,"Elementary School Age",,,"School visit to Rock View Elementary School for SR&L 2017",,"No","667"
"SUMMER READING PROMOTIONAL VISIT","2017-06-06T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Teens",,,"Grade 6",,"No","162"
"SUMMER READING PROMOTIONAL VISIT","2017-06-06T00:00:00.000","FY 17","Maggie Nightingale (Poolesville)","Z_Visits Out",,,"Elementary School Age","Preschool and Kindergarten",,"VISITED K-5TH, MEDIA CENTER",,"Yes","420"
"SUMMER READING PROMOTIONAL VISIT","2017-06-07T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Teens",,,"Grade 6",,"No","162"
"SUMMER READING PROMOTIONAL VISIT","2017-06-07T00:00:00.000","FY 17","Maggie Nightingale (Poolesville)","Z_Visits Out",,,"Elementary School Age","Preschool and Kindergarten",,"4-5th, in media cetner",,"Yes","161"
"SUMMER READING PROMOTIONAL VISIT","2017-06-07T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to S. Christa McAuliffe EM. Grades K-5.",,"No","596"
"Summer Reading Promotional Visit","2017-06-07T00:00:00.000","FY 17","Marilyn J. Praisner","Z_Visits Out",,,"Elementary School Age",,,"3 Sessions of 2nd graders.",,"Yes","150"
"Potomac Rotary Club - Real or Fake News visit","2017-06-07T00:00:00.000","FY 17","Kensington Park","Z_Visits Out",,,"Seniors","Adult",,"Librarian from KP spoke about Real or Fake News at the PT Rotary Club meeting.",,"No","16"
"SUMMER READING PROMOTIONAL VISIT","2017-06-07T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grade 1",,"No","119"
"Summer Reading Promotional Visit: Damascus Elem","2017-06-08T00:00:00.000","FY 17","Damascus","Z_Visits Out",,,"Elementary School Age",,,"Six presentations of Summer Reading Program to grades K, 1, 2, 3, 4, 5 at Damascus Elementary MCPS Public School.",,"Yes","350"
"SUMMER READING PROMOTIONAL VISIT","2017-06-08T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grade 5",,"No","98"
"Visit out to Carderock ES","2017-06-09T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Preschool and Kindergarten","Elementary School Age",,"Visit out by Anne Gerlach to talk about Summer Reading and Harry Potter programs.","K-2: 193 T; 185K 3-4: 195 I: 185K Total: 388T; 370K","No","388"
"SUMMER READING PROMOTIONAL VISIT","2017-06-09T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to Lake Seneca EM. Grades K-5",,"No","532"
"Visit Out to Potomac ES","2017-06-09T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Elementary School Age",,,"SRC visit","183K; 10A","No","193"
"Cashell Elementary Summer Reading Visit","2017-06-12T00:00:00.000","FY 17","Olney","Z_Visits Out",,,"Elementary School Age","Preschool and Kindergarten",,"Summer Reading Visit/Booktalks",,"Yes","535"
"SUMMER READING PROMOTIONAL VISIT","2017-06-12T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grades K-5",,"No","630"
"Summer Reading Promotional Visit: Clearspring Elem","2017-06-12T00:00:00.000","FY 17","Damascus","Z_Visits Out",,,"Elementary School Age",,,"Six presentations of Summer Reading Program to grades K, 1, 2, 3, 4, 5 at Clearspring Elementary MCPS Public School.",,"Yes","640"
"Summer Reading Promotional Visit","2017-06-12T00:00:00.000","FY 17","Twinbrook","Z_Visits Out",,,"Elementary School Age",,,"Grades K - 4",,"Yes","479"
"SUMMER READING PROMOTIONAL VISIT","2017-06-12T00:00:00.000","FY 17","Gaithersburg","Z_Visits Out",,,"Elementary School Age",,,"K-5",,"No","625"
"SUMMER READING PROMOTIONAL VISIT","2017-06-12T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to William T. Gibbs EM. Grades K-5",,"No","732"
"Visit Out to Wayside Elementary","2017-06-12T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Babies and Toddlers","Elementary School Age",,"Visit out by Anne Gerlach to Wayside Elementary to talk about Summer Reading and Harry Potter","130 Students, 12 Adults = total 142","No","142"
"SUMMER READING PROMOTIONAL VISIT","2017-06-12T00:00:00.000","FY 17","Germantown","Z_Visits Out",,,"Elementary School Age",,,"School Visit to Cedar Grove EM. Grades K-5.",,"No","601"
"Oakland Terrace","2017-06-12T00:00:00.000","FY 17","Kensington Park","Z_Visits Out",,,"Elementary School Age",,,"Summer Read & Learn School Visit",,"No","492"
"SUMMER READING PROMOTIONAL VISIT","2017-06-13T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grades K-5",,"No","532"
"SUMMER READING PROMOTIONAL VISIT","2017-06-13T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grades K-5",,"No","484"
"Sequoyah Elementary School Visit","2017-06-13T00:00:00.000","FY 17","Olney","Z_Visits Out",,,"Preschool and Kindergarten",,,"Summer Reading School Visit",,"Yes","416"
"Summer Reading Promotional Visit: Rockwell Elem","2017-06-13T00:00:00.000","FY 17","Damascus","Z_Visits Out",,,"Elementary School Age",,,"Three assembly-style presentations of Summer Reading Program to grades K/1, 2/3, and 4/5 at Lois P Rockwell Elementary MCPS Public School.",,"Yes","495"
"Visit Out to Wayside Elementary","2017-06-13T00:00:00.000","FY 17","Potomac","Z_Visits Out",,,"Elementary School Age",,,"Visit Out by Anne Gerlach to Wayside Elementary to talk about Summer Reading and Harry Potter program","130 kids, 8 adults = 138 total","No","138"
"Garrett Park Elem","2017-06-13T00:00:00.000","FY 17","Kensington Park","Z_Visits Out",,,"Elementary School Age",,,"Summer Read & Learn School Visit",,"No","830"
"Summer Reading Promotional Visit: Woodfield Elem","2017-06-14T00:00:00.000","FY 17","Damascus","Z_Visits Out",,,"Elementary School Age",,,"Five presentations of Summer Reading Program to grades K/1, 2, 3, 4, 5 at Woodfield Elementary MCPS public school",,"Yes","340"
"SUMMER READING PROMOTIONAL VISIT","2017-06-14T00:00:00.000","FY 17","Bethesda","Z_Visits Out",,,"Elementary School Age",,,"Grades 3 & 4",,"No","205"
