"the_geom","objectid","name","temp_rh","pressure","ground_tem","solar_rad","leaf_wetne","wind_speed","soil_moist","ws_num","url","status","date_installed","date_removed"
"POINT (-121.960046071733 47.007671915235)","96","Burnt Ridge at Fairfax","YES","YES","NO","YES","NO","YES","NO",,"https://www.hobolink.com/p/a06687ea300862500582c729b553b8d0","Inactive",,"2017-01-01T00:00:00.000Z"
"POINT (-122.700930867627 47.136172795168)","86","Oro Bay","YES","YES","YES","YES","YES","YES","NO","WS012","https://www.hobolink.com/p/de3ae8d02aff87b5523cf8b2e7491441","Active",,
"POINT (-121.637086670106 47.145276089342)","102","Greenwater Fire Department #26","YES","YES","NO","NO","YES","YES","NO","WS014","https://www.hobolink.com/p/d6e003904166976951888c8627cf55de","Active",,
"POINT (-122.767570156865 47.275606095878)","84","Home Fire Station","YES","YES","YES","NO","NO","YES","NO","WS004","https://www.hobolink.com/p/6d4322c41de3cdeaa9ed7c0717bf43d1","Active",,
"POINT (-122.131123305034 47.15023172227)","99","East County Maintenance","YES","YES","YES","NO","YES","YES","NO",,"https://www.hobolink.com/p/f1f0bdf150b366c4d10b34a54ed2fc28","Active",,
"POINT (-122.370673328842 47.218857823932)","109","Diamond Well 1","YES","NO","YES","NO","NO","NO","NO",,"https://www.hobolink.com/p/a9e16cefc5f097cd599f9ae90e6cb576","Active",,
"POINT (-122.116920814955 47.16138406997)","95","South Prairie Fire Station","YES","YES","NO","NO","NO","YES","NO",,"https://www.hobolink.com/p/8bc8129ab01a5c5d91fa3ff08d5c3bfa","Inactive",,"2017-01-01T00:00:00.000Z"
"POINT (-122.168762357515 47.240609928987)","88","Lake Tapps","YES","YES","NO","NO","NO","YES","NO","WS008","https://www.hobolink.com/p/74b09189ba5bf4fe53ef18c38cdf64ad","Active",,
"POINT (-122.61890645363 47.378298842641)","83","Purdy","YES","YES","YES","NO","NO","YES","NO","WS006","https://www.hobolink.com/p/64772c8f4708e71015e16f9a8b0eda57","Active",,
"POINT (-121.892614952662 47.116700172734)","97","Three Sisters","YES","YES","NO","NO","NO","YES","NO",,"https://www.hobolink.com/p/1e74e06eea9696af0a0385fe0412e569","Active",,
"POINT (-122.442744542281 46.989994710049)","89","Roy PCSD Firing Range","YES","YES","YES","NO","NO","YES","NO","WS005","https://www.hobolink.com/p/27b886990bc69c61ff021a71e6f84de0","Active",,
"POINT (-122.038376800092 46.760367269147)","106","Ashford 2","YES","NO","NO","NO","NO","YES","NO","WS009","https://www.hobolink.com/p/4cbebe8fdc8abc72377167a0a817ca9c","Active","2017-11-14T00:00:00.000Z",
"POINT (-122.764603060187 47.370136829883)","82","Rocky Creek","YES","YES","YES","YES","NO","YES","YES","WS013","https://www.hobolink.com/p/a21ebf5c970839627a47e24afe5b4f82","Active",,
"POINT (-122.143724004512 47.047601999754)","100","Spar Pole","YES","YES","NO","NO","NO","YES","NO",,"https://www.hobolink.com/p/1ea7ce53086c3f469ccf825c70876177","Active",,
"POINT (-122.343242631776 47.204891213916)","107","Clarks Creek","YES","YES","NO","YES","YES","NO","NO",,"https://www.hobolink.com/p/de260c6959afe7790309ccb5e8fba807","Active",,
