"the_geom","objectid","easting","northing","eel_grass","emu","au","legend"
"POINT (-122.664698623208 47.371026492006)","100250","1104079","750471","Eel","8","8.02","Eel Grass"
"POINT (-122.667335447041 47.278238473594)","34178","1102496","716657",,"13","13.03","No Eel Grass"
"POINT (-122.679468971308 47.328223347306)","8974","1099989","734965",,"6","6.11","No Eel Grass"
"POINT (-122.801977123227 47.357639237945)","5863","1069933","746553","Eel","12","12.21","Eel Grass"
"POINT (-122.633898520966 47.379810647215)","67783","1111795","753466","Eel","7","7.2","Eel Grass"
"POINT (-122.693113057836 47.29364455653)","13320","1096256","722451",,"6","6.02","No Eel Grass"
"POINT (-122.688057218187 47.311323304183)","105408","1097689","728862",,"6","6.08","No Eel Grass"
"POINT (-122.686602981568 47.289897645007)","101969","1097833","721040",,"6","6.04","No Eel Grass"
"POINT (-122.68696948873 47.293845660852)","86097","1097782","722482",,"6","6.04","No Eel Grass"
"POINT (-122.603647941483 47.217776890779)","16742","1117711","694184",,"13","13.17","No Eel Grass"
"POINT (-122.679129060168 47.326013693328)","103866","1100051","734157","Eel","6","6.11","Eel Grass"
"POINT (-122.667728038422 47.278080283097)","34117","1102397","716602",,"13","13.03","No Eel Grass"
"POINT (-122.671736637293 47.286013808188)","75298","1101482","719522",,"5","5.07","No Eel Grass"
"POINT (-122.686161330645 47.279157422436)","26475","1097834","717121",,"6","6.01","No Eel Grass"
"POINT (-122.626338257633 47.234624700842)","11622","1112240","700478",,"13","13.15","No Eel Grass"
"POINT (-122.631369490956 47.237713694513)","1282","1111021","701638",,"13","13.15","No Eel Grass"
"POINT (-122.748538390441 47.279946775883)","33649","1082365","717844",,"8","8.28","No Eel Grass"
"POINT (-122.730149775697 47.338178468715)","979","1087528","738946",,"8","8.17","No Eel Grass"
"POINT (-122.684845820417 47.363553956368)","57917","1099013","747884",,"8","8.03","No Eel Grass"
"POINT (-122.667670663316 47.27805667244)","91172","1102411","716593",,"13","13.03","No Eel Grass"
"POINT (-122.624426046852 47.23300871522)","11369","1112699","699876",,"13","13.15","No Eel Grass"
"POINT (-122.651997582322 47.274638001433)","18743","1106266","715240","Eel","13","13.48","Eel Grass"
"POINT (-122.749558360767 47.266108994492)","94034","1081968","712806",,"9","9.09","No Eel Grass"
"POINT (-122.681531342854 47.327852716753)","41653","1099474","734844",,"6","6.31","No Eel Grass"
"POINT (-122.688437185467 47.356904061347)","31698","1098056","745484","Eel","8","8.08","Eel Grass"
"POINT (-122.624688830587 47.274261604782)","61075","1113039","714919",,"5","5.01","No Eel Grass"
"POINT (-122.722748330598 47.243362547098)","83990","1088388","704324",,"9","9.24","No Eel Grass"
"POINT (-122.605318024639 47.217661501681)","16902","1117295","694153",,"13","13.17","No Eel Grass"
"POINT (-122.6785836446 47.323709162923)","8489","1100163","733313","Eel","6","6.11","Eel Grass"
"POINT (-122.686747394005 47.290374888018)","86535","1097802","721215",,"6","6.04","No Eel Grass"
"POINT (-122.734288416746 47.313568301909)","4028","1086248","730002",,"8","8.23","No Eel Grass"
"POINT (-122.644347527118 47.279039163408)","74245","1108208","716793",,"5","5.03","No Eel Grass"
"POINT (-122.734812708555 47.313278443105)","4076","1086115","729900",,"8","8.23","No Eel Grass"
"POINT (-122.627878998136 47.235704434329)","11746","1111868","700882",,"13","13.15","No Eel Grass"
"POINT (-122.696408863703 47.282178068103)","25737","1095322","718293",,"6","6.01","No Eel Grass"
"POINT (-122.664840143395 47.277522658954)","91874","1103108","716379",,"13","13.03","No Eel Grass"
"POINT (-122.726774912166 47.337162692683)","72352","1088354","738552",,"8","8.11","No Eel Grass"
"POINT (-122.744268732047 47.299955472968)","59662","1083632","725109",,"8","8.25","No Eel Grass"
"POINT (-122.568204555356 47.262242613563)","62684","1126941","710164",,"3","3.08","No Eel Grass"
"POINT (-122.79270692843 47.358231421839)","65127","1072236","746702",,"12","12.1","No Eel Grass"
"POINT (-122.59823295884 47.275275780156)","14547","1119614","715113",,"4","4.15","No Eel Grass"
"POINT (-122.754089907081 47.258014768685)","99148","1080759","709887",,"9","9.13","No Eel Grass"
"POINT (-122.686795535901 47.288292290698)","101750","1097769","720456",,"6","6.04","No Eel Grass"
"POINT (-122.795389413452 47.355742870491)","21075","1071545","745814",,"12","12.1","No Eel Grass"
"POINT (-122.729417205017 47.16330630268)","118012","1085907","675183",,"14","14.44","No Eel Grass"
"POINT (-122.685725192722 47.28527085528)","69677","1098004","719347",,"6","6.06","No Eel Grass"
"POINT (-122.660898521128 47.326859433195)","109867","1104579","734341",,"6","6.14","No Eel Grass"
"POINT (-122.689317238164 47.279262399535)","26864","1097052","717181",,"6","6.01","No Eel Grass"
"POINT (-122.729396921839 47.31910668571)","96647","1087518","731987",,"8","8.21","No Eel Grass"
"POINT (-122.725794135745 47.325591011643)","97779","1088478","734326",,"8","8.19","No Eel Grass"
"POINT (-122.664792951441 47.2840455891)","74965","1103185","718757",,"5","5.07","No Eel Grass"
"POINT (-122.678964257206 47.320767398325)","104620","1100039","732243",,"6","6.1","No Eel Grass"
"POINT (-122.706515471948 47.138240032373)","80486","1091346","665884",,"14","14.15","No Eel Grass"
"POINT (-122.573610462586 47.327410693596)","92854","1126224","733961",,"2","2.01","No Eel Grass"
"POINT (-122.744996688207 47.299623221613)","82655","1083448","724993",,"8","8.25","No Eel Grass"
"POINT (-122.729321075669 47.163121642915)","118045","1085929","675115",,"14","14.44","No Eel Grass"
"POINT (-122.635253548023 47.241410569198)","113214","1110093","703012",,"13","13.14","No Eel Grass"
"POINT (-122.609376026012 47.270781261146)","47394","1116805","713548",,"4","4.17","No Eel Grass"
"POINT (-122.681061742926 47.326026731216)","50628","1099572","734175",,"6","6.31","No Eel Grass"
"POINT (-122.67860584554 47.328623530455)","103590","1100207","735105",,"6","6.11","No Eel Grass"
"POINT (-122.644916368622 47.279154796916)","73723","1108068","716839",,"5","5.03","No Eel Grass"
"POINT (-122.644650988147 47.279069201668)","73699","1108133","716806",,"5","5.03","No Eel Grass"
"POINT (-122.733511639824 47.314477384996)","96035","1086450","730328",,"8","8.22","No Eel Grass"
"POINT (-122.729261922646 47.163440953247)","117954","1085947","675231",,"14","14.44","No Eel Grass"
"POINT (-122.727738358205 47.162290897042)","116944","1086314","674801",,"14","14.44","No Eel Grass"
"POINT (-122.747755986448 47.295233502434)","118298","1082718","723412",,"8","8.26","No Eel Grass"
"POINT (-122.633389199515 47.380810057662)","54246","1111931","753827",,"7","7.2","No Eel Grass"
"POINT (-122.715696032169 47.130225293906)","66381","1088980","663026",,"14","14.28","No Eel Grass"
"POINT (-122.73728259057 47.311774439657)","81492","1085487","729369",,"8","8.23","No Eel Grass"
"POINT (-122.642033028515 47.278706229428)","74399","1108779","716656",,"5","5.03","No Eel Grass"
"POINT (-122.687039754372 47.29566820903)","85840","1097783","723147",,"6","6.04","No Eel Grass"
"POINT (-122.570074105429 47.261098469643)","29261","1126466","709759",,"3","3.08","No Eel Grass"
"POINT (-122.67592343829 47.142753273023)","37822","1099002","667318",,"14","14.04","No Eel Grass"
"POINT (-122.64577029297 47.279344685628)","73796","1107858","716914",,"5","5.03","No Eel Grass"
"POINT (-122.670306012832 47.34152677323)","49053","1102394","739753",,"6","6.28","No Eel Grass"
"POINT (-122.687434273588 47.1831349507)","115051","1096547","682120",,"14","14.53","No Eel Grass"
"POINT (-122.697371314011 47.285012219071)","27791","1095112","719333",,"6","6.01","No Eel Grass"
"POINT (-122.69501271981 47.143697890965)","24890","1094263","667794",,"14","14.11","No Eel Grass"
"POINT (-122.755149627091 47.257922828618)","99270","1080495","709861",,"9","9.13","No Eel Grass"
"POINT (-122.689624584413 47.318896335748)","40538","1097377","731634","Eel","6","6.31","Eel Grass"
"POINT (-122.795358119873 47.354635435411)","21882","1071541","745410",,"12","12.1","No Eel Grass"
"POINT (-122.680604966715 47.140627127353)","110656","1097816","666575",,"14","14.04","No Eel Grass"
"POINT (-122.574936788868 47.257868450145)","30301","1125228","708613",,"3","3.08","No Eel Grass"
"POINT (-122.689928163797 47.320996952996)","3103","1097323","732402",,"6","6.31","No Eel Grass"
"POINT (-122.666813611211 47.278489587588)","34222","1102628","716745",,"13","13.03","No Eel Grass"
"POINT (-122.612485951378 47.270145905184)","46860","1116027","713337",,"4","4.17","No Eel Grass"
"POINT (-122.725687000478 47.326119660616)","97696","1088510","734518",,"8","8.19","No Eel Grass"
"POINT (-122.662259656131 47.337305324073)","51670","1104346","738159","Eel","6","6.27","Eel Grass"
"POINT (-122.627310919346 47.378944234283)","55232","1113418","753106",,"7","7.1","No Eel Grass"
"POINT (-122.68076002441 47.326542533529)","50706","1099652","734361",,"6","6.31","No Eel Grass"
"POINT (-122.664633152897 47.278785408707)","91445","1103172","716838",,"13","13.03","No Eel Grass"
"POINT (-122.677435256685 47.322049499055)","104345","1100431","732700",,"6","6.1","No Eel Grass"
"POINT (-122.633382079229 47.265670981283)","111744","1110797","711845",,"13","13.36","No Eel Grass"
"POINT (-122.74926698435 47.284348449991)","33560","1082230","719454",,"8","8.28","No Eel Grass"
"POINT (-122.787933445551 47.361479731701)","20111","1073453","747852",,"12","12.11","No Eel Grass"
"POINT (-122.681014394389 47.140314948731)","37083","1097711","666464",,"14","14.04","No Eel Grass"
"POINT (-122.658370432751 47.33369993135)","52603","1105274","736818",,"6","6.27","No Eel Grass"
"POINT (-122.693180051963 47.279800971865)","26011","1096099","717404",,"6","6.01","No Eel Grass"
"POINT (-122.627219095126 47.381918803576)","55589","1113470","754190",,"7","7.11","No Eel Grass"
"POINT (-122.569835509033 47.261179525817)","62932","1126526","709787",,"3","3.08","No Eel Grass"
"POINT (-122.727299996196 47.337468017906)","72222","1088227","738667",,"8","8.11","No Eel Grass"
"POINT (-122.686428622465 47.299368621565)","85241","1097972","724492",,"6","6.03","No Eel Grass"
"POINT (-122.664600666929 47.337629173422)","51505","1103769","738293",,"6","6.27","No Eel Grass"
"POINT (-122.681680549464 47.326067202396)","120121","1099419","734194",,"6","6.31","No Eel Grass"
"POINT (-122.594174934931 47.268975382603)","35410","1120560","712789",,"4","4.05","No Eel Grass"
"POINT (-122.599384992774 47.272687832446)","15240","1119303","714177","Eel","4","4.15","Eel Grass"
"POINT (-122.707334135515 47.139872848139)","80306","1091159","666485",,"14","14.15","No Eel Grass"
"POINT (-122.685305094552 47.363334130231)","31116","1098897","747807",,"8","8.03","No Eel Grass"
"POINT (-122.626520522508 47.275130327443)","60892","1112593","715248",,"5","5.01","No Eel Grass"
"POINT (-122.57382292914 47.258650840672)","64248","1125512","708891",,"3","3.08","No Eel Grass"
"POINT (-122.722635391992 47.24219081494)","98931","1088404","703896",,"9","9.24","No Eel Grass"
"POINT (-122.549288928308 47.387708333831)","42923","1132825","755790",,"1","1.03","No Eel Grass"
"POINT (-122.573587664687 47.327134106092)","92699","1126227","733860",,"2","2.01","No Eel Grass"
"POINT (-122.684637482674 47.290828820836)","70370","1098330","721366",,"6","6.06","No Eel Grass"
"POINT (-122.737058481938 47.310462268447)","81359","1085529","728889",,"8","8.24","No Eel Grass"
"POINT (-122.651897571076 47.274656314847)","18733","1106291","715246","Eel","13","13.48","Eel Grass"
"POINT (-122.726665643049 47.332395300118)","177","1088332","736813",,"8","8.18","No Eel Grass"
"POINT (-122.707590619847 47.126822953243)","65332","1090962","661729","Eel","14","14.28","Eel Grass"
"POINT (-122.614389575745 47.221193265638)","16345","1115076","695501",,"13","13.17","No Eel Grass"
"POINT (-122.735559629321 47.31271824812)","4157","1085924","729701",,"8","8.23","No Eel Grass"
"POINT (-122.689497745751 47.319049576071)","40512","1097410","731689","Eel","6","6.31","Eel Grass"
"POINT (-122.738607445768 47.310182785769)","39627","1085142","728798",,"8","8.24","No Eel Grass"
"POINT (-122.650563013093 47.271521553383)","17468","1106591","714094",,"13","13.45","No Eel Grass"
"POINT (-122.739909118308 47.309389688932)","81150","1084811","728518",,"8","8.24","No Eel Grass"
"POINT (-122.68757744147 47.299560875028)","85139","1097689","724570",,"6","6.03","No Eel Grass"
"POINT (-122.692294235267 47.294225037625)","35071","1096465","722657",,"6","6.02","No Eel Grass"
"POINT (-122.684161026302 47.363588786237)","31050","1099183","747892",,"8","8.03","No Eel Grass"
"POINT (-122.750008986613 47.265132048649)","93806","1081846","712453",,"9","9.09","No Eel Grass"
"POINT (-122.680385487683 47.329037136409)","103265","1099770","735268",,"6","6.11","No Eel Grass"
"POINT (-122.604434094908 47.287384362628)","45634","1118193","719569",,"4","4.09","No Eel Grass"
"POINT (-122.686891690485 47.287585608912)","101653","1097738","720199",,"6","6.04","No Eel Grass"
"POINT (-122.748961042433 47.265700950024)","32396","1082112","712653",,"9","9.09","No Eel Grass"
"POINT (-122.632552088405 47.277232779944)","73614","1111117","716055",,"5","5.03","No Eel Grass"
"POINT (-122.549386823794 47.387522862924)","43623","1132799","755723",,"1","1.03","No Eel Grass"
"POINT (-122.725776990339 47.331008111526)","38705","1088538","736301",,"8","8.18","No Eel Grass"
"POINT (-122.682834954188 47.315286122251)","9580","1099024","730271",,"6","6.09","No Eel Grass"
"POINT (-122.687686621538 47.298184740007)","85431","1097648","724069",,"6","6.03","No Eel Grass"
"POINT (-122.706552407546 47.138258527058)","80483","1091337","665891",,"14","14.15","No Eel Grass"
"POINT (-122.724944368245 47.328053778347)","105644","1088714","735218",,"8","8.19","No Eel Grass"
"POINT (-122.680751891566 47.326937624703)","119957","1099658","734505",,"6","6.31","No Eel Grass"
"POINT (-122.696851200507 47.35264213605)","78272","1095928","743988",,"8","8.09","No Eel Grass"
"POINT (-122.671422813419 47.286027916666)","75336","1101560","719525",,"5","5.07","No Eel Grass"
"POINT (-122.801758613044 47.357720368238)","7560","1069988","746581","Eel","12","12.21","Eel Grass"
"POINT (-122.671334870535 47.286046020376)","75344","1101582","719531",,"5","5.07","No Eel Grass"
"POINT (-122.725846761314 47.326275669517)","97677","1088472","734576",,"8","8.19","No Eel Grass"
"POINT (-122.598332483713 47.276790637772)","14775","1119604","715666",,"4","4.15","No Eel Grass"
"POINT (-122.687801996186 47.298146907856)","85442","1097619","724056",,"6","6.03","No Eel Grass"
"POINT (-122.688326385225 47.143081377483)","111408","1095920","667523",,"14","14.05","No Eel Grass"
"POINT (-122.686495635901 47.290527742084)","11968","1097866","721269",,"6","6.04","No Eel Grass"
"POINT (-122.688722522082 47.183848389028)","115203","1096234","682389",,"14","14.53","No Eel Grass"
"POINT (-122.734305314774 47.313973894873)","3988","1086248","730150",,"8","8.23","No Eel Grass"
"POINT (-122.63258001856 47.266475631027)","108735","1111004","712133",,"13","13.36","No Eel Grass"
"POINT (-122.616585179467 47.270076574399)","56541","1115009","713339",,"4","4.18","No Eel Grass"
"POINT (-122.696265541119 47.282024451205)","25753","1095356","718236",,"6","6.01","No Eel Grass"
"POINT (-122.671520522831 47.286549934268)","75236","1101541","719716",,"5","5.07","No Eel Grass"
"POINT (-122.612268444489 47.219361488742)","28867","1115585","694819",,"13","13.17","No Eel Grass"
"POINT (-122.726272255911 47.327002538503)","97571","1088374","734844",,"8","8.19","No Eel Grass"
"POINT (-122.706985571281 47.138039056525)","10528","1091227","665814",,"14","14.15","No Eel Grass"
"POINT (-122.624247112143 47.273995440945)","61561","1113146","714819",,"5","5.01","No Eel Grass"
"POINT (-122.695440229392 47.140480659678)","24574","1094124","666624",,"14","14.11","No Eel Grass"
"POINT (-122.659905431245 47.335851724425)","51879","1104915","737613","Eel","6","6.27","Eel Grass"
"POINT (-122.795984785993 47.359935659978)","6644","1071442","747347",,"12","12.21","No Eel Grass"
"POINT (-122.651827616224 47.373418703464)","101444","1107291","751256",,"8","8.01","No Eel Grass"
"POINT (-122.632564249917 47.266890060793)","108019","1111012","712284",,"13","13.36","No Eel Grass"
"POINT (-122.686576182852 47.293789999807)","12351","1097879","722459",,"6","6.04","No Eel Grass"
"POINT (-122.604817292426 47.287802506491)","45992","1118102","719724",,"4","4.09","No Eel Grass"
"POINT (-122.671197485603 47.343712400433)","48702","1102195","740556",,"6","6.3","No Eel Grass"
"POINT (-122.78934133964 47.36023146781)","20265","1073091","747407",,"12","12.11","No Eel Grass"
"POINT (-122.755620560665 47.273637933994)","78603","1080542","715594",,"9","9.06","No Eel Grass"
"POINT (-122.726055391673 47.332077893629)","38533","1088480","736693",,"8","8.18","No Eel Grass"
"POINT (-122.598504698117 47.27459892073)","14419","1119540","714868",,"4","4.15","No Eel Grass"
"POINT (-122.683170054081 47.364232741041)","22518","1099435","748120","Eel","8","8.03","Eel Grass"
"POINT (-122.71647709933 47.179537519793)","116673","1089291","681010",,"14","14.47","No Eel Grass"
"POINT (-122.680717031122 47.141011750085)","37164","1097792","666716",,"14","14.04","No Eel Grass"
"POINT (-122.593272642746 47.269808985395)","35672","1120792","713087",,"4","4.05","No Eel Grass"
"POINT (-122.747653466501 47.269596355974)","32759","1082477","714064",,"9","9.08","No Eel Grass"
"POINT (-122.694761159253 47.28958710845)","13665","1095806","720983",,"6","6.02","No Eel Grass"
"POINT (-122.65705191114 47.37141566989)","100779","1105977","750561",,"8","8.01","No Eel Grass"
"POINT (-122.688833738521 47.143299424405)","25004","1095796","667606",,"14","14.05","No Eel Grass"
"POINT (-122.722692593885 47.240459036261)","84404","1088372","703265",,"9","9.24","No Eel Grass"
"POINT (-122.68227288989 47.281652503543)","75828","1098824","718004",,"5","5.09","No Eel Grass"
"POINT (-122.640021084484 47.245938481425)","112188","1108954","704695",,"13","13.12","No Eel Grass"
"POINT (-122.666956175849 47.28501445784)","75649","1102658","719125",,"5","5.07","No Eel Grass"
"POINT (-122.664448237165 47.278797090921)","34435","1103218","716841",,"13","13.03","No Eel Grass"
"POINT (-122.625542563795 47.234156601085)","11558","1112433","700302",,"13","13.15","No Eel Grass"
"POINT (-122.696098729858 47.288289166338)","13808","1095461","720519",,"6","6.02","No Eel Grass"
"POINT (-122.671890679545 47.34199901347)","48904","1102006","739936",,"6","6.3","No Eel Grass"
"POINT (-122.681168870672 47.322909089256)","119172","1099514","733039",,"6","6.31","No Eel Grass"
"POINT (-122.679972579383 47.320866381251)","95067","1099790","732286",,"6","6.1","No Eel Grass"
"POINT (-122.570794039119 47.260649529394)","29193","1126283","709600",,"3","3.08","No Eel Grass"
"POINT (-122.633044052956 47.380660075636)","54269","1112015","753770",,"7","7.2","No Eel Grass"
"POINT (-122.6251875949 47.233225123199)","11463","1112512","699960",,"13","13.15","No Eel Grass"
"POINT (-122.605879321646 47.288981729062)","36371","1117850","720161",,"4","4.09","No Eel Grass"
"POINT (-122.679764893795 47.319825342064)","102018","1099831","731905","Eel","6","6.1","Eel Grass"
"POINT (-122.640381438 47.378152750777)","45084","1110173","752905",,"7","7.2","No Eel Grass"
"POINT (-122.672429415738 47.342548417298)","49243","1101878","740140",,"6","6.3","No Eel Grass"
"POINT (-122.667731954779 47.278077467163)","34110","1102396","716601",,"13","13.03","No Eel Grass"
"POINT (-122.690098123805 47.318344349684)","40633","1097254","731436",,"6","6.31","No Eel Grass"
"POINT (-122.680439942519 47.365389324147)","22319","1100123","748523",,"8","8.02","No Eel Grass"
"POINT (-122.696906819963 47.287941986171)","13875","1095257","720398",,"6","6.02","No Eel Grass"
"POINT (-122.69392034241 47.291402225315)","34713","1096033","721639",,"6","6.02","No Eel Grass"
"POINT (-122.798101960739 47.358196018281)","7313","1070899","746728","Eel","12","12.21","Eel Grass"
"POINT (-122.686197878252 47.27955990735)","26583","1097829","717268",,"6","6.01","No Eel Grass"
"POINT (-122.621003608211 47.271559069319)","60694","1113927","713909",,"4","4.18","No Eel Grass"
"POINT (-122.686799143847 47.287886306784)","101699","1097764","720308",,"6","6.04","No Eel Grass"
"POINT (-122.567955548122 47.262471951439)","62640","1127005","710246",,"3","3.08","No Eel Grass"
"POINT (-122.754121301066 47.257802964249)","99846","1080749","709810",,"9","9.13","No Eel Grass"
"POINT (-122.632946306595 47.266770578758)","107923","1110916","712243",,"13","13.36","No Eel Grass"
"POINT (-122.688733915699 47.18373297652)","114566","1096230","682347",,"14","14.53","No Eel Grass"
"POINT (-122.574039225921 47.327232990612)","92422","1126116","733899",,"2","2.01","No Eel Grass"
"POINT (-122.683729104999 47.314564427375)","89134","1098795","730014",,"6","6.09","No Eel Grass"
"POINT (-122.695900869871 47.282272718848)","27507","1095449","718324",,"6","6.01","No Eel Grass"
"POINT (-122.681242799471 47.31877729242)","10005","1099454","731533",,"6","6.1","No Eel Grass"
"POINT (-122.687505297081 47.319246251588)","41229","1097906","731747",,"6","6.31","No Eel Grass"
"POINT (-122.69659909445 47.287514474915)","28038","1095329","720240",,"6","6.02","No Eel Grass"
"POINT (-122.726974251779 47.324674245552)","97966","1088176","734000",,"8","8.2","No Eel Grass"
"POINT (-122.631794367497 47.267491156173)","108526","1111209","712498",,"13","13.36","No Eel Grass"
"POINT (-122.704130291509 47.348584889193)","77370","1094083","742559",,"8","8.1","No Eel Grass"
"POINT (-122.68616881414 47.321287294678)","49745","1098258","732482",,"6","6.31","No Eel Grass"
"POINT (-122.648906911554 47.274944945049)","19709","1107036","715331",,"13","13.47","No Eel Grass"
"POINT (-122.729280306324 47.340652604038)","38822","1087769","739842",,"8","8.17","No Eel Grass"
"POINT (-122.573715371777 47.327411560472)","92839","1126198","733962",,"2","2.01","No Eel Grass"
"POINT (-122.665262596523 47.370796568351)","106871","1103937","750391",,"8","8.02","No Eel Grass"
"POINT (-122.650960067216 47.270770922231)","17602","1106485","713823",,"13","13.45","No Eel Grass"
"POINT (-122.726214293952 47.32638380745)","98555","1088382","734618",,"8","8.19","No Eel Grass"
"POINT (-122.647491602104 47.266564946364)","2762","1107304","712266",,"13","13.41","No Eel Grass"
"POINT (-122.610888592313 47.218668081048)","28697","1115921","694557",,"13","13.17","No Eel Grass"
