"the_geom","objectid","property_o","maintenanc","material","height","anchor_typ","top_fence","associated","descriptio","comments","gps_time","gps_date","shape_length"
"MULTILINESTRING ((-122.062249289326 47.139000292864, -122.062264143501 47.139196172084, -122.062319484218 47.139291215636, -122.062367789042 47.139428755015, -122.062455384537 47.139571425563, -122.062516049538 47.139658080446, -122.062583872743 47.139769930833, -122.062641816 47.139817552507, -122.062770775199 47.139863558854, -122.06285847693 47.14002384425, -122.062894631827 47.14002592218, -122.062894259546 47.140071888571))","37","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK_W/SLATS","72","EMBEDDED","NONE","PROPERTY","FENCE",,"02:27:43pm","2010-04-20T00:00:00.000Z","443.003799510838"
"MULTILINESTRING ((-122.237269352173 47.13996830531, -122.23731500574 47.139973686179))","27","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"10:50:52am","2010-04-13T00:00:00.000Z","11.5298341054875"
"MULTILINESTRING ((-122.250463553479 47.184871998481, -122.250473333209 47.184835699054, -122.250084441205 47.184766302365))","20","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"07:25:12am","2010-04-13T00:00:00.000Z","113.419841963453"
"MULTILINESTRING ((-122.153605541622 47.097514575603, -122.15347126753 47.097660769791, -122.153271329994 47.097912239125))","17","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"11:52:57am","2010-04-14T00:00:00.000Z","167.303014436922"
"MULTILINESTRING ((-122.153272987573 47.097912074985, -122.153316643672 47.097936430378))","40","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","GATE",,"11:54:51am","2010-04-14T00:00:00.000Z","14.0402443826771"
"MULTILINESTRING ((-122.233423564318 47.169756056505, -122.233382374483 47.169758294382))","24","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"09:34:08am","2010-04-13T00:00:00.000Z","10.2775008161028"
"MULTILINESTRING ((-122.23718144892 47.139967639916, -122.237077333847 47.139961772727))","28","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"10:51:46am","2010-04-13T00:00:00.000Z","25.9988248273825"
"MULTILINESTRING ((-122.196375720931 47.092476295755, -122.196542182445 47.092618634827))","6","CITY_TOWN","CITY_TOWN","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"07:58:45am","2010-04-14T00:00:00.000Z","66.4399080333477"
"MULTILINESTRING ((-122.234756518783 47.15093772047, -122.234671323923 47.150986921881))","25","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"10:25:42am","2010-04-13T00:00:00.000Z","27.7735907671852"
"MULTILINESTRING ((-122.237421826682 47.138274847234, -122.237444899481 47.13826276029))","31","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"11:01:29am","2010-04-13T00:00:00.000Z","7.23928043438934"
"MULTILINESTRING ((-122.157721135935 47.091814907921, -122.157440340875 47.092134733624, -122.157092276778 47.092538121152, -122.156732694955 47.092961189711))","13","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:36:38am","2010-04-14T00:00:00.000Z","485.191723737994"
"MULTILINESTRING ((-122.062672493448 47.138194236611, -122.062728782184 47.138222941951, -122.06266126991 47.138289445033))","3","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","60","EMBEDDED","NONE","PROPERTY","FENCE",,"10:45:30am","2010-04-15T00:00:00.000Z","46.9953651127502"
"MULTILINESTRING ((-122.237335414045 47.138271343108, -122.237283580793 47.138269891001))","32","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"11:02:14am","2010-04-13T00:00:00.000Z","12.910760890587"
"MULTILINESTRING ((-122.153316558441 47.097935668659, -122.153334566691 47.097947290161))","18","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"11:56:17am","2010-04-14T00:00:00.000Z","6.17108474772395"
"MULTILINESTRING ((-122.19623998668 47.092293807343, -122.196436886411 47.092275388824))","7","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"08:07:47am","2010-04-14T00:00:00.000Z","49.5027992557516"
"MULTILINESTRING ((-122.152210371394 47.099257308257, -122.152143732174 47.099230173529, -122.151941274174 47.099451279453, -122.151739188411 47.099702658591))","19","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"12:01:40pm","2010-04-14T00:00:00.000Z","219.021729833343"
"MULTILINESTRING ((-122.237010698105 47.139831720631, -122.237195209138 47.139832770764))","29","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"10:52:40am","2010-04-13T00:00:00.000Z","45.9200668141192"
"MULTILINESTRING ((-122.155285245342 47.094641578552, -122.155517615089 47.094351966277, -122.155638286782 47.094201738578, -122.155781589747 47.094029365665))","16","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:59:47am","2010-04-14T00:00:00.000Z","255.233451952952"
"MULTILINESTRING ((-122.0632717802 47.137339447748, -122.063139564731 47.137421916128, -122.063115824289 47.137441786861, -122.06311622535 47.137465210917))","1","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:21:29am","2010-04-15T00:00:00.000Z","62.4758014554129"
"MULTILINESTRING ((-122.196184333207 47.092334423501, -122.196165246151 47.092343973334, -122.195686057338 47.092077843549))","8","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"08:09:09am","2010-04-14T00:00:00.000Z","159.737445129217"
"MULTILINESTRING ((-122.250047076919 47.184760105974, -122.249346923032 47.184635137381))","21","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"07:27:48am","2010-04-13T00:00:00.000Z","179.966761785964"
"MULTILINESTRING ((-122.237824343014 47.133587323552, -122.237846004501 47.133512654068))","34","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE","NEEDS REPAIR","11:30:59am","2010-04-13T00:00:00.000Z","27.7625195582932"
"MULTILINESTRING ((-122.06258109629 47.138174603586, -122.062546728923 47.13813959287))","38","PRIVATE","PUBLIC_PARKS","CHAIN_LINK_W/SLATS","72","EMBEDDED","NONE","PROPERTY","GATE","PROPERTY OWNER HAS KEYS","02:15:15pm","2010-04-20T00:00:00.000Z","15.3692211846833"
"MULTILINESTRING ((-122.250553953007 47.184781929983, -122.25051540736 47.184879742404))","22","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","48","EMBEDDED","NONE","PROPERTY","FENCE",,"07:30:16am","2010-04-13T00:00:00.000Z","36.9405738051433"
"MULTILINESTRING ((-122.196459416449 47.092438437544, -122.196628369206 47.09236529591))","5","CITY_TOWN","CITY_TOWN","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"07:57:04am","2010-04-14T00:00:00.000Z","49.8262798478182"
"MULTILINESTRING ((-122.131985907106 47.117192540842, -122.132010982477 47.117165955236))","42","PUBLIC_SWM","PUBLIC_SWM","MISC_FIELD_FENCE","48","EMBEDDED","NONE","PROPERTY","GATE","SINGLE SWING","01:31:55pm","2010-04-14T00:00:00.000Z","11.5324013299959"
"MULTILINESTRING ((-122.156681651647 47.093028359819, -122.156641150972 47.093078326852, -122.15659266564 47.093152032698, -122.156350003382 47.093434227334, -122.15610555279 47.093721527097, -122.156019552091 47.093773763044, -122.155988457417 47.093788310725, -122.156033816233 47.093808987778, -122.155871644798 47.094052372777))","14","PUBLIC_PARKS","PUBLIC_PARKS","CHAIN_LINK","72","EMBEDDED","NONE","PROPERTY","FENCE",,"10:42:28am","2010-04-14T00:00:00.000Z","440.014245069825"
"MULTILINESTRING ((-122.131798206876 47.117105726948, -122.131824500623 47.117079679779))","41","PUBLIC_SWM","PUBLIC_SWM","MISC_FIELD_FENCE","48","EMBEDDED","NONE","PROPERTY","GATE","SINGLE SWING","01:23:37pm","2010-04-14T00:00:00.000Z","11.5371617417373"
