"public_transparency_solution","time_period","number_of_transactions","site","year","month","years_prior_current_year","include_in_ytd"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-04-30T00:00:00.000","15","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","4","3","Yes"
"Public Nuisance Number of Requests","2019-04-30T00:00:00.000","316","Public Nuisance Reporting Portal","2019","4","3","Yes"
"Public Records Portal Number of Page Views","2019-04-30T00:00:00.000","2285","Public Records Portal","2019","4","3","Yes"
"GIS Open Data Number of Page Views","2019-04-30T00:00:00.000","9271","GIS Open Data","2019","4","3","Yes"
"Open Pierce County Number of Page Views","2019-04-30T00:00:00.000","9311","Open Performance/Data","2019","4","3","Yes"
"PublicGIS Number of Page Views","2019-04-30T00:00:00.000","45131","PublicGIS Number of Page Views","2019","4","3","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-05-31T00:00:00.000","57","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","5","3","Yes"
"Public Nuisance Number of Requests","2019-05-31T00:00:00.000","335","Public Nuisance Reporting Portal","2019","5","3","Yes"
"Public Records Portal Number of Page Views","2019-05-31T00:00:00.000","2174","Public Records Portal","2019","5","3","Yes"
"GIS Open Data Number of Page Views","2019-05-31T00:00:00.000","9586","GIS Open Data","2019","5","3","Yes"
"Open Pierce County Number of Page Views","2019-05-31T00:00:00.000","10063","Open Performance/Data","2019","5","3","Yes"
"PublicGIS Number of Page Views","2019-05-31T00:00:00.000","45116","PublicGIS Number of Page Views","2019","5","3","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-06-30T00:00:00.000","23","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","6","3","Yes"
"Public Nuisance Number of Requests","2019-06-30T00:00:00.000","379","Public Nuisance Reporting Portal","2019","6","3","Yes"
"Public Records Portal Number of Page Views","2019-06-30T00:00:00.000","2262","Public Records Portal","2019","6","3","Yes"
"GIS Open Data Number of Page Views","2019-06-30T00:00:00.000","10074","GIS Open Data","2019","6","3","Yes"
"Open Pierce County Number of Page Views","2019-06-30T00:00:00.000","9838","Open Performance/Data","2019","6","3","Yes"
"PublicGIS Number of Page Views","2019-06-30T00:00:00.000","42356","PublicGIS Number of Page Views","2019","6","3","Yes"
"Public Nuisance Reporting Portal Page Views","2019-06-30T00:00:00.000","11029","Public Nuisance Reporting Portal","2019","6","3","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-07-31T00:00:00.000","18","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","7","3","Yes"
"Public Records Portal Number of Page Views","2019-07-31T00:00:00.000","2726","Public Records Portal","2019","7","3","Yes"
"GIS Open Data Number of Page Views","2019-07-31T00:00:00.000","9213","GIS Open Data","2019","7","3","Yes"
"Open Pierce County Number of Page Views","2019-07-31T00:00:00.000","8628","Open Performance/Data","2019","7","3","Yes"
"PublicGIS Number of Page Views","2019-07-31T00:00:00.000","44295","PublicGIS Number of Page Views","2019","7","3","Yes"
"Public Nuisance Reporting Portal Page Views","2019-07-31T00:00:00.000","8781","Public Nuisance Reporting Portal","2019","7","3","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-08-31T00:00:00.000","4","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","8","3","Yes"
"Public Records Portal Number of Page Views","2019-08-31T00:00:00.000","3418","Public Records Portal","2019","8","3","Yes"
"GIS Open Data Number of Page Views","2019-08-31T00:00:00.000","8011","GIS Open Data","2019","8","3","Yes"
"Open Pierce County Number of Page Views","2019-08-31T00:00:00.000","9657","Open Performance/Data","2019","8","3","Yes"
"PublicGIS Number of Page Views","2019-08-31T00:00:00.000","44697","PublicGIS Number of Page Views","2019","8","3","Yes"
"Public Nuisance Reporting Portal Page Views","2019-08-31T00:00:00.000","8186","Public Nuisance Reporting Portal","2019","8","3","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-09-30T00:00:00.000","27","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","9","3","No"
"Public Records Portal Number of Page Views","2019-09-30T00:00:00.000","2589","Public Records Portal","2019","9","3","No"
"GIS Open Data Number of Page Views","2019-09-30T00:00:00.000","7380","GIS Open Data","2019","9","3","No"
"Open Pierce County Number of Page Views","2019-09-30T00:00:00.000","6468","Open Performance/Data","2019","9","3","No"
"PublicGIS Number of Page Views","2019-09-30T00:00:00.000","41087","PublicGIS Number of Page Views","2019","9","3","No"
"Public Nuisance Reporting Portal Page Views","2019-09-30T00:00:00.000","8227","Public Nuisance Reporting Portal","2019","9","3","No"
"Open Pierce County Number of Page Views","2019-09-30T00:00:00.000","1662","Open Project","2019","9","3","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-10-31T00:00:00.000","26","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","10","3","No"
"Public Records Portal Number of Page Views","2019-10-31T00:00:00.000","2981","Public Records Portal","2019","10","3","No"
"GIS Open Data Number of Page Views","2019-10-31T00:00:00.000","7891","GIS Open Data","2019","10","3","No"
"Open Pierce County Number of Page Views","2019-10-31T00:00:00.000","10445","Open Performance/Data","2019","10","3","No"
"PublicGIS Number of Page Views","2019-10-31T00:00:00.000","51263","PublicGIS Number of Page Views","2019","10","3","No"
"Public Nuisance Reporting Portal Page Views","2019-10-31T00:00:00.000","9603","Public Nuisance Reporting Portal","2019","10","3","No"
"Open Pierce County Number of Page Views","2019-10-31T00:00:00.000","780","Open Project","2019","10","3","No"
"Open Pierce County Number of Page Views","2019-10-31T00:00:00.000","271","Open Budget","2019","10","3","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-11-30T00:00:00.000","36","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","11","3","No"
"Public Records Portal Number of Page Views","2019-11-30T00:00:00.000","2854","Public Records Portal","2019","11","3","No"
"GIS Open Data Number of Page Views","2019-11-30T00:00:00.000","7760","GIS Open Data","2019","11","3","No"
"Open Pierce County Number of Page Views","2019-11-30T00:00:00.000","6825","Open Performance/Data","2019","11","3","No"
"PublicGIS Number of Page Views","2019-11-30T00:00:00.000","39799","PublicGIS Number of Page Views","2019","11","3","No"
"Public Nuisance Reporting Portal Page Views","2019-11-30T00:00:00.000","6092","Public Nuisance Reporting Portal","2019","11","3","No"
"Open Pierce County Number of Page Views","2019-11-30T00:00:00.000","1328","Open Project","2019","11","3","No"
"Open Pierce County Number of Page Views","2019-11-30T00:00:00.000","259","Open Budget","2019","11","3","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2019-12-31T00:00:00.000","33","GIS Remote Piloted Aerial Surveillance (RPAS)","2019","12","3","No"
"Public Records Portal Number of Page Views","2019-12-31T00:00:00.000","2823","Public Records Portal","2019","12","3","No"
"GIS Open Data Number of Page Views","2019-12-31T00:00:00.000","6401","GIS Open Data","2019","12","3","No"
"Open Pierce County Number of Page Views","2019-12-31T00:00:00.000","4459","Open Performance/Data","2019","12","3","No"
"PublicGIS Number of Page Views","2019-12-31T00:00:00.000","34515","PublicGIS Number of Page Views","2019","12","3","No"
"Public Nuisance Reporting Portal Page Views","2019-12-31T00:00:00.000","5836","Public Nuisance Reporting Portal","2019","12","3","No"
"Open Pierce County Number of Page Views","2019-12-31T00:00:00.000","1829","Open Project","2019","12","3","No"
"Open Pierce County Number of Page Views","2019-12-31T00:00:00.000","253","Open Budget","2019","12","3","No"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-01-31T00:00:00.000","31","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","1","2","Yes"
"Public Records Portal Number of Page Views","2020-01-31T00:00:00.000","3439","Public Records Portal","2020","1","2","Yes"
"GIS Open Data Number of Page Views","2020-01-31T00:00:00.000","10623","GIS Open Data","2020","1","2","Yes"
"Open Pierce County Number of Page Views","2020-01-31T00:00:00.000","9713","Open Performance/Data","2020","1","2","Yes"
"PublicGIS Number of Page Views","2020-01-31T00:00:00.000","42250","PublicGIS Number of Page Views","2020","1","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-01-31T00:00:00.000","7534","Public Nuisance Reporting Portal","2020","1","2","Yes"
"Open Pierce County Number of Page Views","2020-01-31T00:00:00.000","913","Open Project","2020","1","2","Yes"
"Open Pierce County Number of Page Views","2020-01-31T00:00:00.000","272","Open Budget","2020","1","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-02-29T00:00:00.000","25","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","2","2","Yes"
"Public Records Portal Number of Page Views","2020-02-29T00:00:00.000","3996","Public Records Portal","2020","2","2","Yes"
"GIS Open Data Number of Page Views","2020-02-29T00:00:00.000","8977","GIS Open Data","2020","2","2","Yes"
"Open Pierce County Number of Page Views","2020-02-29T00:00:00.000","8799","Open Performance/Data","2020","2","2","Yes"
"PublicGIS Number of Page Views","2020-02-29T00:00:00.000","43358","PublicGIS Number of Page Views","2020","2","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-02-29T00:00:00.000","6742","Public Nuisance Reporting Portal","2020","2","2","Yes"
"Open Pierce County Number of Page Views","2020-02-29T00:00:00.000","2138","Open Project","2020","2","2","Yes"
"Open Pierce County Number of Page Views","2020-02-29T00:00:00.000","842","Open Budget","2020","2","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-03-31T00:00:00.000","28","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","3","2","Yes"
"Public Records Portal Number of Page Views","2020-03-31T00:00:00.000","2068","Public Records Portal","2020","3","2","Yes"
"GIS Open Data Number of Page Views","2020-03-31T00:00:00.000","7572","GIS Open Data","2020","3","2","Yes"
"Open Pierce County Number of Page Views","2020-03-31T00:00:00.000","4904","Open Performance/Data","2020","3","2","Yes"
"PublicGIS Number of Page Views","2020-03-31T00:00:00.000","55652","PublicGIS Number of Page Views","2020","3","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-03-31T00:00:00.000","6521","Public Nuisance Reporting Portal","2020","3","2","Yes"
"Open Pierce County Number of Page Views","2020-03-31T00:00:00.000","990","Open Project","2020","3","2","Yes"
"Open Pierce County Number of Page Views","2020-03-31T00:00:00.000","711","Open Budget","2020","3","2","Yes"
"Open Pierce County Number of Page Views","2020-03-31T00:00:00.000","1039","Open Checkbook","2020","3","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-04-30T00:00:00.000","19","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","4","2","Yes"
"Public Records Portal Number of Page Views","2020-04-30T00:00:00.000","2084","Public Records Portal","2020","4","2","Yes"
"GIS Open Data Number of Page Views","2020-04-30T00:00:00.000","8183","GIS Open Data","2020","4","2","Yes"
"Open Pierce County Number of Page Views","2020-04-30T00:00:00.000","4247","Open Performance/Data","2020","4","2","Yes"
"PublicGIS Number of Page Views","2020-04-30T00:00:00.000","54371","PublicGIS Number of Page Views","2020","4","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-04-30T00:00:00.000","6769","Public Nuisance Reporting Portal","2020","4","2","Yes"
"Open Pierce County Number of Page Views","2020-04-30T00:00:00.000","440","Open Project","2020","4","2","Yes"
"Open Pierce County Number of Page Views","2020-04-30T00:00:00.000","153","Open Budget","2020","4","2","Yes"
"Open Pierce County Number of Page Views","2020-04-30T00:00:00.000","144","Open Checkbook","2020","4","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-05-31T00:00:00.000","15","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","5","2","Yes"
"Public Records Portal Number of Page Views","2020-05-31T00:00:00.000","2233","Public Records Portal","2020","5","2","Yes"
"GIS Open Data Number of Page Views","2020-05-31T00:00:00.000","7266","GIS Open Data","2020","5","2","Yes"
"Open Pierce County Number of Page Views","2020-05-31T00:00:00.000","6282","Open Performance/Data","2020","5","2","Yes"
"PublicGIS Number of Page Views","2020-05-31T00:00:00.000","55936","PublicGIS Number of Page Views","2020","5","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-05-31T00:00:00.000","6915","Public Nuisance Reporting Portal","2020","5","2","Yes"
"Open Pierce County Number of Page Views","2020-05-31T00:00:00.000","121","Open Project","2020","5","2","Yes"
"Open Pierce County Number of Page Views","2020-05-31T00:00:00.000","201","Open Budget","2020","5","2","Yes"
"Open Pierce County Number of Page Views","2020-05-31T00:00:00.000","137","Open Checkbook","2020","5","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-06-30T00:00:00.000","15","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","6","2","Yes"
"Public Records Portal Number of Page Views","2020-06-30T00:00:00.000","2599","Public Records Portal","2020","6","2","Yes"
"GIS Open Data Number of Page Views","2020-06-30T00:00:00.000","9102","GIS Open Data","2020","6","2","Yes"
"Open Pierce County Number of Page Views","2020-06-30T00:00:00.000","5732","Open Performance/Data","2020","6","2","Yes"
"PublicGIS Number of Page Views","2020-06-30T00:00:00.000","56815","PublicGIS Number of Page Views","2020","6","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-06-30T00:00:00.000","6067","Public Nuisance Reporting Portal","2020","6","2","Yes"
"Open Pierce County Number of Page Views","2020-06-30T00:00:00.000","378","Open Project","2020","6","2","Yes"
"Open Pierce County Number of Page Views","2020-06-30T00:00:00.000","243","Open Budget","2020","6","2","Yes"
"Open Pierce County Number of Page Views","2020-06-30T00:00:00.000","1316","Open Checkbook","2020","6","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-07-31T00:00:00.000","37","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","7","2","Yes"
"Public Records Portal Number of Page Views","2020-07-31T00:00:00.000","6452","Public Records Portal","2020","7","2","Yes"
"GIS Open Data Number of Page Views","2020-07-31T00:00:00.000","7243","GIS Open Data","2020","7","2","Yes"
"Open Pierce County Number of Page Views","2020-07-31T00:00:00.000","6645","Open Performance/Data","2020","7","2","Yes"
"PublicGIS Number of Page Views","2020-07-31T00:00:00.000","48123","PublicGIS Number of Page Views","2020","7","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-07-31T00:00:00.000","7948","Public Nuisance Reporting Portal","2020","7","2","Yes"
"Open Pierce County Number of Page Views","2020-07-31T00:00:00.000","203","Open Project","2020","7","2","Yes"
"Open Pierce County Number of Page Views","2020-07-31T00:00:00.000","207","Open Budget","2020","7","2","Yes"
"Open Pierce County Number of Page Views","2020-07-31T00:00:00.000","298","Open Checkbook","2020","7","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-08-31T00:00:00.000","39","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","8","2","Yes"
"Public Records Portal Number of Page Views","2020-08-31T00:00:00.000","7681","Public Records Portal","2020","8","2","Yes"
"GIS Open Data Number of Page Views","2020-08-31T00:00:00.000","8209","GIS Open Data","2020","8","2","Yes"
"Open Pierce County Number of Page Views","2020-08-31T00:00:00.000","4510","Open Performance/Data","2020","8","2","Yes"
"PublicGIS Number of Page Views","2020-08-31T00:00:00.000","45355","PublicGIS Number of Page Views","2020","8","2","Yes"
"Public Nuisance Reporting Portal Page Views","2020-08-31T00:00:00.000","8830","Public Nuisance Reporting Portal","2020","8","2","Yes"
"Open Pierce County Number of Page Views","2020-08-31T00:00:00.000","874","Open Project","2020","8","2","Yes"
"Open Pierce County Number of Page Views","2020-08-31T00:00:00.000","102","Open Budget","2020","8","2","Yes"
"Open Pierce County Number of Page Views","2020-08-31T00:00:00.000","106","Open Checkbook","2020","8","2","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2020-09-30T00:00:00.000","44","GIS Remote Piloted Aerial Surveillance (RPAS)","2020","9","2","No"
"Public Records Portal Number of Page Views","2020-09-30T00:00:00.000","7533","Public Records Portal","2020","9","2","No"
"GIS Open Data Number of Page Views","2020-09-30T00:00:00.000","7108","GIS Open Data","2020","9","2","No"
"Open Pierce County Number of Page Views","2020-09-30T00:00:00.000","6116","Open Performance/Data","2020","9","2","No"
"PublicGIS Number of Page Views","2020-09-30T00:00:00.000","45612","PublicGIS Number of Page Views","2020","9","2","No"
"Public Nuisance Reporting Portal Page Views","2020-09-30T00:00:00.000","8550","Public Nuisance Reporting Portal","2020","9","2","No"
"Open Pierce County Number of Page Views","2020-09-30T00:00:00.000","162","Open Project","2020","9","2","No"
"Open Pierce County Number of Page Views","2020-09-30T00:00:00.000","84","Open Budget","2020","9","2","No"
"Open Pierce County Number of Page Views","2020-09-30T00:00:00.000","84","Open Checkbook","2020","9","2","No"
