"name","board","city","province","grades","postsecond","data_source","elem","junior_h","senior_h","postal_cod"
"Ranchlands School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3G2C5"
"Canadian Montessori School","The Canadian Montessori School Ltd.","Calgary","AB","Elementary","N","N","Y","N","N","T2V0P6"
"Ecole de la Rose Sauvage","The Southern Francophone Education Region","Calgary","AB","Junior High/Senior High","N","N","N","Y","Y","T2M2Z9"
"Catherine Nichols Gunn School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2K5C7"
"Mountain Park School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2Z4Y1"
"Citadel Park School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3G4B8"
"SAIT - Mayland Heights Campus",,"Calgary","AB",,"Y","Y",,,,"T2E0A7"
"St. Angela Elementary","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2E3Y1"
"South Middle School Campus","Foundations for the Future Charter Academy Charter School Society","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2H1V2"
"Woodlands School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2W4W9"
"St. Elizabeth Seton","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3A6K3"
"St. Cecilia (Bilingual) Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2J0Z3"
"Janus Academy","Janus Academy Society","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2G4G9"
"Terrace Road School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3B1B3"
"Henry Wise Wood High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2V0S6"
"Mount Royal University - Holy Cross Campus",,"Calgary","AB",,"Y","Y",,,,"T2S3C3"
"St. Andrew School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3E1G2"
"St. Catherine Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2W1P6"
"V.I.K. Academy Midnapore","V.I.K. Society of Alberta","Calgary","AB","ECS","N","N","N","N","N","T2X2X7"
"University School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2N3Z9"
"Access Academy","Access International College (Calgary) Incorporated","Calgary","AB","Senior High","N","N","N","N","N","T3E7K1"
"Guardian Angel School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3H0G5"
"McKenzie Highlands School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2Z4B7"
"William Aberhart High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2M4G9"
"Hidden Valley School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3A6J2"
"Mother Mary Greene School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3A3S8"
"Brentwood School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2L0C9"
"W.H.Cushing Workplace School","The Calgary School Division","Calgary","AB","Unknown","N","N","N","N","N","T2P1M6"
"St. Helena School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Junior High","N","N","N","Y","Y","T2K0L8"
"Pacekids Programs South","Pacekids Society for Kids with Special Needs","Calgary","AB","ECS","N","N","N","N","N","T2H0J3"
"Sunalta School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3C2J9"
"Alternative High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2T5A5"
"Crescent Heights High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2M2S2"
"St. Clare","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3K5Z4"
"Yufeng Chinese School","Yufeng Chinese School Centre","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T3G4V5"
"Providence Children's Centre - Beddington","Providence Child Development Society","Calgary","AB","ECS","N","N","N","N","N","T3K2N9"
"Royal Oak School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3G5R8"
"St. Henry Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2K1H5"
"Providence Children's Centre - Midnapore","Providence Child Development Society","Calgary","AB","ECS","N","N","N","N","N","T2X1Z2"
"The Holy House of Our Lady and St. John","The Gilbertine Institute of Catholic Studies","Calgary","AB","Unknown","N","N","N","N","N","T2G0N1"
"Sam Livingston School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2J3G7"
"Nickle School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2J2Y6"
"Master's Academy","The Palliser School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2T5J4"
"Montessori Children's House Academy Ltd #1","Montessori Children's House Charity Foundation of Calgary","Calgary","AB","ECS","N","N","N","N","N","T2M2Z8"
"New Heights School and Learning Services","New Heights School and Learning Services Society","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T3E7M1"
"Battalion Park School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3H4S2"
"Fish Creek School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2X2Z1"
"Stanley Jones School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2E8M3"
"St. Anthony","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T2S2N5"
"Elboya School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2S2N3"
"Western Canada High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2S0B5"
"Italian School of Calgary","Centro Linguistico E Culturale Italiano Calgary","Calgary","AB","Junior High/Senior High","N","N","N","Y","Y","T2E0B4"
"St. Alphonsus Elementary Junior High School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2E5H5"
"Connect Charter School","Connect Charter School Society","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3E5Z4"
"Calgary Waldorf School","Calgary Waldorf School Society","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3H5G9"
"Westbrook Outreach","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T3C1S1"
"Bishop McNally High School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Senior High","N","N","N","N","N","T3J3N4"
"Valley Creek School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3A6J2"
"Lester B. Pearson High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T1Y5P4"
"Canyon Meadows School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2W1J1"
"Dr. Gladys McKelvie Egbert","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2A5G9"
"St. Patrick School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T1Y2X1"
"MAC Islamic School - Calgary Chapter","Muslim Association of Canada","Calgary","AB","Elementary","N","N","Y","N","N","T3G1B5"
"Chinook Park School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2V0S6"
"Step By Step Early Intervention Program","Step By Step Early Intervention Society","Calgary","AB","ECS","N","N","N","N","N","T2H1Z9"
"Dr. Oakley School","The Calgary School Division","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T2T4Z9"
"Early Discoveries Childhood Services","Early Discoveries Childhood Services Ltd.","Calgary","AB","ECS","N","N","N","N","N","T3A0Z9"
"Panorama Hills School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3K0S4"
"St. Margaret School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2L0K7"
"North Point School for Boys","North Point School for Boys","Calgary","AB","Unknown","N","N","N","N","N","T2T0W3"
"Senator Patrick Burns School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2L0X2"
"Acadia School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2J1K4"
"John Costello Catholic School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3H1N9"
"Manmeet Singh Bhullar School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3J4Z1"
"St. Mary's High School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Senior High","N","N","N","N","N","T2S0B8"
"Riverside School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2E0B7"
"Woodbine School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2W5E1"
"Rundle College Senior High School","Rundle College Society","Calgary","AB","Senior High","N","N","N","N","N","T3H3W5"
"Alberta Ballet School","The Alberta Ballet Company","Calgary","AB","Junior High/Senior High","N","N","N","Y","Y","T2R1K7"
"Sir John A Macdonald School","The Calgary School Division","Calgary","AB","Junior High","N","N","N","Y","Y","T2K1C2"
"Maria Montessori School - cSPACE King Edward Location","Maria Montessori Education Centre of Calgary, Ltd.","Calgary","AB","Unknown","N","N","N","N","N","T2T6T7"
"John G Diefenbaker High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2K1C2"
"Nelson Mandela High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T3J4W3"
"Calgary Christian School","The Palliser School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3E3X9"
"Eric Harvie School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3L3C9"
"St. Luke Bilingual Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2L0E1"
"Queen Elizabeth School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2N2G5"
"Our Lady of Grace School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3P0N7"
"Sir John Franklin School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2E0T7"
"Horizon Leadership Academy","The Palliser School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3E7K9"
"Thomas B Riley School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3B2J9"
"Evergreen School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2Y0L3"
"Prince of Peace School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3M2C9"
"Providence Children's Centre - Falconridge","Providence Child Development Society","Calgary","AB","ECS","N","N","N","N","N","T3J1C4"
"St. Jerome Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3K5S3"
"Menno Simons Christian School","The Palliser School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3H4Y7"
"Northeast Elementary Campus","Foundations for the Future Charter Academy Charter School Society","Calgary","AB","Elementary","N","N","Y","N","N","T2E6C8"
"Haysboro Catholic High School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Senior High","N","N","N","N","N","T2V2Y2"
"Niitsitapi Learning Centre","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2B2E1"
"Monsignor A. J. Hetherington Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3J3J3"
"Mount Royal University - City Centre Campus",,"Calgary","AB",,"Y","Y",,,,"T2P3T5"
"Sibylla Kiddle School","The Calgary School Division","Calgary","AB","Unknown","N","N","N","N","N",
"Trinity Christian School","The Palliser School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2X2A8"
"Varsity Acres School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3A0H7"
"School of East Indian Languages and Performing Arts","School of East Indian Languages and Performing Arts of Calgary","Calgary","AB","Unknown","N","N","N","N","N","T2X0N9"
"Discovering Choices 2","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2A2K2"
"Sherwood School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2C1J4"
"Bridlewood School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2Y0L4"
"McKenzie Lake School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2Z1L7"
"St. Monica School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2S0C2"
"SAIT - Main Campus",,"Calgary","AB",,"Y","Y",,,,
"Dr. George Stanley School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3M0J4"
"Marlborough Day Nursery Ltd.","Marlborough Day Nursery ECS Limited","Calgary","AB","ECS","N","N","N","N","N","T2A3V8"
"St. Gregory School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Junior High","N","N","N","Y","Y","T3E0R6"
"Renfrew Educational Services-Bowness Centre","Renfrew Educational Services Society","Calgary","AB","Unknown","N","N","N","N","N","T3B2B2"
"Calgary German Language School Society","Calgary German Language School Society","Calgary","AB","Junior High/Senior High","N","N","N","Y","Y","T3B2L9"
"Apostles of Jesus","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3N1H6"
"Douglasdale School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2Z4A3"
"Southeast Elementary Campus","Foundations for the Future Charter Academy Charter School Society","Calgary","AB","Elementary","N","N","Y","N","N","T2J1A9"
"F. E. Osborne School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3A1A7"
"Ecole St. Pius X School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2M3T5"
"Robert Thirsk School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T3G5T3"
"Forest Lawn High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2A1M8"
"Pathway Montessori Inc","Woodpark Montessori Society","Calgary","AB","ECS","N","N","N","N","N","T2W5H7"
"Griffith Woods School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3H3X2"
"Cecil Swanson School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T1Y5V9"
"Monterey Park School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T1Y6R2"
"Rosedale School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2M0G3"
"Calgary Chinese Private School","The Calgary Chinese Public School Society","Calgary","AB","Senior High","N","N","N","N","N","T2P0B9"
"Bearspaw Christian School & College","Bearspaw Christian School Society","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T3R1C5"
"Emily Follensbee School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2T3W5"
"St. Matthew School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2H1N3"
"Falconridge School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3J1T4"
"Chinook Winds Adventist Academy","Alberta Conference of 7th Day Adventist Church","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T3B5T2"
"St. Sebastian Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2X0E6"
"Sundance School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2X2N9"
"St. Cyril School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2W2N9"
"St. John Henry Newman School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2Z2G7"
"Collingwood School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2L0R6"
"Notre-Dame de la Paix","The Southern Francophone Education Region","Calgary","AB","Elementary","N","N","Y","N","N","T2J2B7"
"Riverbend School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2C3Z7"
"Maple Ridge School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2J1W3"
"École La Mosaïque","The Southern Francophone Education Region","Calgary","AB","Elementary","N","N","Y","N","N","T3J3G4"
"West Island College","West Island College Society of Alberta","Calgary","AB","Junior High/Senior High","N","N","N","Y","Y","T2H1M5"
"Light of Christ Catholic School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3J0L8"
"Jack James High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2A4M1"
"Rundle College Junior High School","Rundle College Society","Calgary","AB","Junior High","N","N","N","Y","Y","T3H3W5"
"Glenbrook School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3E3V1"
"Elbow Park School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2T2H8"
"Dr. J. K. Mulloy School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2K1H6"
"The Heartland Agency","The Heartland Agency","Calgary","AB","ECS","N","N","N","N","N","T2R0P3"
"St. Jude School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2W4W4"
"Rundle College Academy","Rundle College Society","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T2T4H9"
"Buchanan School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2E2Y2"
"Lord Beaverbrook High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2H0Z4"
"St. Peter Elementary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2A5L9"
"North Point School for Boys","North Point School for Boys","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T2T0W3"
"St. Thomas Aquinas School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3E0R1"
"Saddle Ridge School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3J5L6"
"Penbrooke Meadows School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2A2G4"
"Georges P. Vanier School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2E2H3"
"James Fowler High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2K1A1"
"Dr. E. P. Scarlett High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2W1H4"
"Project Trust","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2M4P6"
"Father Lacombe School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Senior High","N","N","N","N","N","T2A6B4"
"University of Calgary - Downtown Campus",,"Calgary","AB",,"Y","Y",,,,"T2P1H9"
"O.S. Geiger School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3J2J4"
"Our Lady of the Rosary School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3M0W7"
"Mountain View Academy","Mountain View Academy Society","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T1Y6Z8"
"West Springs School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3H0P7"
"Hillhurst School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2N0Z2"
"Marion Carson School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3A1A7"
"Bishop Carroll High School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Senior High","N","N","N","N","N","T3E6L1"
"Oaks and Acorns Montessori at Auburn Bay","Montessori Projects of Alberta Ltd.","Calgary","AB","ECS","N","N","N","N","N","T2X3S3"
"I'm For Kids Team","I'm For Kids Team Ltd.","Calgary","AB","ECS","N","N","N","N","N","T2Z2V6"
"Marlborough School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2A3A1"
"St. James Elementary Junior High School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3E1N6"
"Wood's Homes School","The Calgary School Division","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T3B2B2"
"Calgary Early Learning Centre","Calgary Early Learning Centre Association","Calgary","AB","ECS","N","N","N","N","N","T2V2Y3"
"Calgary Arts Academy","Calgary Arts Academy Society","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2G1E8"
"Mount Royal School","The Calgary School Division","Calgary","AB","Junior High","N","N","N","Y","Y","T2T3T3"
"Captain Nichola Goddard School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3K0P3"
"Columbia College","Columbia College Corp.","Calgary","AB","Senior High","N","N","N","N","N","T2E7N8"
"Harold Panabaker School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2W0W3"
"Divine Mercy School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3M1M5"
"Akiva Academy","Congregation House of Jacob-Mikveh Israel","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2V2Y3"
"West View School","The Calgary School Division","Calgary","AB","Junior High/Senior High","N","N","N","Y","Y","T3R1J3"
"Calgary Islamic School, Akram Jomaa Campus","The Palliser School Division","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T1Y5L2"
"Ascension of Our Lord","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3K4G9"
"The Chinese Academy","The Chinese Academy Foundation","Calgary","AB","Senior High","N","N","N","N","N","T2K1C2"
"St. Damien School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2B2J1"
"Prince of Wales School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2J3Y9"
"Alpine Children's Centre","Montessori Education Preschool & ECS Institute of Alberta","Calgary","AB","ECS","N","N","N","N","N","T3E3L1"
"Alberta Chung Wah School","Alberta Chung Wah School Society","Calgary","AB","Senior High","N","N","N","N","N","T2G4X6"
"Foothills Academy","Foothills Academy Society","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T2N4T1"
"Joane Cardinal-Schubert High School","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T3M2P9"
"Renfrew Educational Services-Janice McTighe Centre","Renfrew Educational Services Society","Calgary","AB","Elementary","N","N","Y","N","N","T2E6S5"
"Keeler School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2A2C4"
"The PREP Program","The PREP Program - A Calgary Society to Promote Education for Individuals with Down Syndrome","Calgary","AB","ECS","N","N","N","N","N","T2N1J7"
"The Third Academy","Third Academy International Ltd.","Calgary","AB","Elementary","N","N","Y","N","N","T2H1C3"
"Coventry Hills School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3K5S9"
"Westgate School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3C2T3"
"Rundle College Elementary School","Rundle College Society","Calgary","AB","Elementary","N","N","Y","N","N","T3H3W5"
"Nellie McClung School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2V3S4"
"Mount Royal University - Lincoln Park Campus",,"Calgary","AB",,"Y","Y",,,,"T3E6K6"
"Start Outreach","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T3B5C2"
"King George School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2M3M4"
"William D. Pratt School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3G0A4"
"CBe - Learn","The Calgary School Division","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T3E1L2"
"Valley View School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2B0C6"
"St. Ambrose School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T3G4X9"
"Central Memorial High School","The Calgary School Division","Calgary","AB","Junior High/Senior High","N","N","N","Y","Y","T3E1R9"
"St. Marguerite School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2Z0W1"
"St. Augustine Elementary Junior High School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2V1E9"
"Bowcroft School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3B2L9"
"St. Dominic School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3A1C2"
"Tuscany School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3L2T4"
"Behaviour Therapy and Learning Centre Ltd.","Behaviour Therapy and Learning Centre Ltd.","Calgary","AB","ECS","N","N","N","N","N","T3H5P1"
"Chinook Learning Services","The Calgary School Division","Calgary","AB","Senior High","N","N","N","N","N","T2M0T2"
"W.O. Mitchell School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3B4R9"
"Somerset School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2Y4S2"
"Northwest Elementary Campus","Foundations for the Future Charter Academy Charter School Society","Calgary","AB","Elementary","N","N","Y","N","N","T2K0J5"
"Dr. Gordon Townsend School","The Calgary School Division","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T3B6A8"
