"stop_id","stop_name","location_1"
"1808","Tuggeranong Stn Plt 8","(-35.414814, 149.066177)"
"3318","Canberra Railway Station Kingston","(-35.319523, 149.148636)"
"4518","Bowman St Jamison Centre","(-35.252548, 149.072662)"
"1093","Johnson Dr Opp Calwell Park and Ride","(-35.433212, 149.112595)"
"2601","Canberra Hospital before Gilmore Cr","(-35.346321, 149.101791)"
"3029","Russell Dr Russell Offices Carpark","(-35.297131, 149.149902)"
"1208","Tom Roberts Av opp Conder PS","(-35.465324, 149.098404)"
"2196","Hilder St after Lycett St","(-35.33675, 149.056137)"
"4131","Dumas St after Bennetts Cl","(-35.217426, 149.073883)"
"4315","Beaurepaire Cr opp Holt Shops","(-35.225132, 149.01091)"
"3327","Lady Denman Dr National Zoo & Aquarium","(-35.299374, 149.069565)"
"7004","Hibberson St before Gozzard St","(-35.185276, 149.132919)"
"1772","Newcastle St after Isa St","(-35.325413, 149.172592)"
"2208","Blackwood Tce Holder Shops","(-35.336563, 149.044601)"
"4979","College St University of Canberra","(-35.242279, 149.086243)"
"4586","Antill St Dickson Shops","(-35.248947, 149.14006)"
"4073","Copland Dr opp Copland CLG","(-35.212715, 149.060715)"
"4893","Belconnen Wy before Springvale Dr","(-35.243343, 149.048126)"
"2805","Steve Irwin Ave after Dot Butler St","(-35.324558, 149.036362)"
"950","Aikman Dr Belconnen East Layover","(-35.240807, 149.075104)"
"3248","Knox St 2nd after Dickinson St","(-35.23798, 149.153641)"
"1464","MacKinnon St opp MacKillop CLG","(-35.405373, 149.089508)"
"6187","Oogeroo Av before Hoskins St","(-35.200394, 149.141602)"
"3047","Marcus Clarke St after Farrell St","(-35.281334, 149.124023)"
"2643","Gawler Cr before Fergusson Cr","(-35.314213, 149.108765)"
"2338","Goyder St Narrabundah CLG","(-35.338409, 149.14801)"
"5080","Katherine Av after Shoalhaven Av","(-35.168079, 149.127991)"
"4341","Fullagar Cr opp Higgins Shops","(-35.231358, 149.027786)"
"2507","Warragamba Av 2nd after Dixon Dr","(-35.330566, 149.034912)"
"4091","Kingsford Smith Dr opp Spence Shops","(-35.194782, 149.060623)"
"6006","Well Station Dr after Kings Canyon St","(-35.209621, 149.155533)"
"2018","Carruthers St Curtin Shops","(-35.324993, 149.083008)"
"3320","Railway Station Kingston","(-35.320068, 149.149048)"
"3409","City Bus Stn Plt 7","(-35.278419, 149.130051)"
"2207","Blackwood Tce after Williamson St","(-35.336678, 149.044678)"
"3084","White St St. Thomas More's PS","(-35.286987, 149.155457)"
"1002","Drumston St MacKillop after Isabella Dr","(-35.425972, 149.091705)"
"2540","Wisdom St Hughes Shops","(-35.33292, 149.094177)"
"1279","Boddington Cr after Carleton St","(-35.382092, 149.051147)"
"2596","Eyre St Kingston Shops","(-35.316624, 149.141815)"
"1821","City West Platform 1","(-35.279144, 149.12558)"
"2535","Gilmore Cr opp Garran Shops","(-35.342087, 149.108978)"
"6043","Hibberson St before Hinder St","(-35.186047, 149.137558)"
"4182","William Webb Dr after Ginninderra Dr","(-35.219975, 149.069809)"
"2287","Hopetoun Cct Deakin Shops","(-35.314877, 149.108383)"
"4233","Daley Cr after Tillyard Dr","(-35.192677, 149.044159)"
"32","Arboretum Car Park","(-35.28751, 149.068329)"
"4441","Shumack St Weetangera Shops","(-35.249268, 149.049301)"
"7002","Hibberson St Gungahlin Market Place","(-35.185246, 149.133453)"
"3384","Opposite Watson Terminus Aspinall St","(-35.230068, 149.16217)"
"4792","William Slim Dr after Chuculba Cr","(-35.2099, 149.087967)"
"4686","Kelleway Ave after Holy Spirit Primary","(-35.180309, 149.102066)"
"3037","London Cct opp City Police Station","(-35.280643, 149.125992)"
"1198","Bugden Av after Nicklin Cr","(-35.398045, 149.118256)"
"1215","Box Hill Av opp Lanyon Marketplace","(-35.456169, 149.092499)"
"2709","Woden Bus Stn Plt 9","(-35.344242, 149.087814)"
"4427","Ratcliffe Cr Florey Shops","(-35.226837, 149.054581)"
"1309","Livingston Av after Cutbush St","(-35.389587, 149.079208)"
"2948","Canberra Outlet Centre Iron Knob St","(-35.336323, 149.179565)"
"4548","Mouat St opp Hockey Centre","(-35.24572, 149.127426)"
"1734","Canberra Hospital after Gilmore Cr","(-35.34602, 149.101944)"
"3164","Cowper St Swimming Pool","(-35.250229, 149.140839)"
"4674","O'Hanlon Pl opp Federation Square","(-35.190361, 149.083435)"
"1049","Coombe St after Kneebone St","(-35.428543, 149.075333)"
"2710","Woden Bus Stn Plt 10","(-35.34391, 149.087753)"
"3111","Miller St after Macarthur Av","(-35.260719, 149.115097)"
"3285","La Perouse St after Nuyts St","(-35.340645, 149.131012)"
"1117","Clift Cr before Johnson Dr","(-35.43325, 149.118423)"
