"country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount"
"Cabo Verde","704430000.00","5300395.35","115515295.98","580500608.84"
"Djibouti","704010000.00","15318858.84","311311151.29","371325022.86"
"Serbia","682056178.63","26761968.26","0.00","682226858.09"
"Guyana","565465578.16","43699888.10","98717745.11","423855306.55"
"Bhutan","559047500.00","11115554.12","21898104.57","533185352.20"
"Eritrea","548920000.00","62198701.31","0.00","510083595.59"
"Kosovo","527450000.00","26327080.21","204630175.60","277819259.00"
"Comoros","524860000.00","53900963.03","183620161.71","279444900.59"
"Iraq","508500000.00","136026479.78","0.00","375713548.40"
"Samoa","460263000.00","5854740.94","129255488.99","319138517.51"
"Solomon Islands","439040000.00","16600676.10","225736703.32","188595918.24"
"Maldives","389740000.00","23514746.21","107550253.13","256712074.24"
"Tonga","381210000.00","2086499.68","125299703.50","247358419.90"
"North Macedonia","378700000.00","15184678.92","0.00","360779178.00"
"Timor-Leste","338279256.00","849975.22","229727246.96","97282308.07"
"Fiji","333300000.00","0.00","27517073.67","300605972.00"
"St. Vincent and the Grenadines","329640800.00","6911497.10","93902012.39","226115158.99"
"St. Lucia","328034800.00","4322652.12","149246140.77","172455609.97"
"Sao Tome and Principe","326150000.00","3306484.19","99636348.51","224194375.20"
"Grenada","325906800.00","6888081.53","100912561.16","218761761.83"
"Vanuatu","305775000.00","6373173.20","142523961.15","150514621.05"
"Dominica","302501600.00","15605090.30","109107939.47","171319093.41"
"Micronesia, Federated States of","294340000.00","1686449.65","194268554.58","83537236.59"
"Philippines","294215929.31","54733751.20","0.00","244018872.40"
"Jordan","287643372.10","1515199.59","41934377.51","244193795.00"
"Marshall Islands","237368000.00","12309354.80","177465082.95","37802930.43"
"Kiribati","236700000.00","29226.05","144527012.57","83991915.52"
"Tuvalu","225840000.00","12731034.48","129139239.67","76784061.85"
"Turkiye","197239445.87","1091048.99","0.00","196148396.88"
"Thailand","125100000.00","9683587.87","0.00","115416412.13"
"Korea, Republic of","119567617.10","3988356.30","0.00","115579260.80"
"Lebanon","100000000.00","0.00","9503448.04","90148797.04"
"Central Africa","99500000.00","8283644.40","16213182.47","73574522.07"
"Montenegro","81953821.37","2028887.15","0.00","85324551.03"
"Tunisia","79800712.92","4636797.18","0.00","75163915.74"
"South Asia","73000000.00","0.00","63841836.65","7513856.41"
"Caribbean","72600000.00","18139874.47","11968974.49","44607366.15"
"Morocco","53458951.19","8297886.62","0.00","45161064.57"
"Central Asia","52200000.00","29003.24","2749627.58","48417546.54"
"Paraguay","49810989.04","63041.75","0.00","49747947.29"
"Equatorial Guinea","49030000.00","5713433.33","0.00","49349564.06"
"Syrian Arab Republic","48736649.74","115317.82","0.00","48621331.92"
"Ecuador","39037257.58","1501569.12","0.00","37535688.46"
"El Salvador","27989683.25","669.26","0.00","27989013.99"
"Pacific Islands","27570000.00","3465545.92","7203120.79","16742900.40"
"Colombia","23480995.92","0.00","0.00","23480995.92"
"Chile","22878919.07","2244.58","0.00","22876674.49"
"Dominican Republic","22081603.38","0.00","0.00","22081603.38"
"Mauritius","20419355.18","0.00","0.00","20419355.18"
"South East Asia","20000000.00","0.00","19721640.00","0.00"
"Taiwan, China","17982059.30","2226283.64","0.00","15755775.66"
"Botswana","16949672.95","1034865.40","0.00","15914807.55"
"OECS Countries","13000000.00","0.00","12441840.00","0.00"
"Eswatini","8373186.40","33815.99","0.00","8339370.41"
"Mekong","8000000.00","38931.23","0.00","7469200.38"
"Central America","8000000.00","13629.98","0.00","8048684.32"
"Costa Rica","6428899.07","949757.55","0.00","5479141.52"
"Middle East and North Africa","3850000.00","0.00","3706080.00","0.00"
"St. Kitts and Nevis","1500000.00","0.00","0.00","1525138.92"
