"as_of_date","fiscal_year","project_name","procurement_category","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560204","Material Esportiv0 - Lote 01, 03 e 04","2017-02-15T00:00:00.000","HML COMERCIAL LTDA - ME","Federative Republic of Brazil","134094.0"
"2022-09-12T00:00:00.000","2017","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Consultant Services","1626162","Presta&#231;&#227;o de servi&#231;o de consultoria para o servi&#231;o de Assist&#234;ncia T&#233;cnica e Extens&#227;o Rural - ATER referente ao lote VI - Chapada Diamantina.","2017-05-05T00:00:00.000","	CENTRO DE FORMAÇÃO E ORGANIZAÇÃO COMUNITÁRIA – CEFORC","Federative Republic of Brazil","166146.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1601027","Contrata&#231;&#227;o de empresa especializada para a presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de S&#227;o Sebasti&#227;o (Pindamonhangaba).","2017-06-01T00:00:00.000","EL OBRAS E SERVIÇOS LTDA EPP","Federative Republic of Brazil","28673.0"
"2022-09-12T00:00:00.000","2017","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Civil Works","1555027","Execu&#231;&#227;o Obras de Infraestrutura de Urbaniza&#231;&#227;o e Saneamento B&#225;sico da &#193;rea Urbana do Munic&#237;pio de Santa Rosa do Purus, atendendo as necessidades do DEPASA. no PROSER.","2017-06-06T00:00:00.000","AMAZÔNIA CONTRUÇÕES ENG. E COMÉRCIO LTDA","Federative Republic of Brazil","4937236.0"
"2022-09-12T00:00:00.000","2017","SWAp for Parana Multi-sector Development Project","Consultant Services","1561968","CONTRATO DE SERVI&#199;OS DE CONSULTORIA ESPECIALIZADA NAS &#193;REAS DE PLANEJAMENTO E DESENVOLVIMENTO DE FERRAMENTAS DE TECNOLOGIAS INTEGRADAS VOLTADA PRINCIPALMENTE PAR AO CONTROLE DA GEST&#195;O P&#218;BLICA","2017-06-30T00:00:00.000","CONSÓRCIO E-STRATÉGIA / KPMG-PARANÁ","Federative Republic of Brazil","1501331.0"
"2022-09-12T00:00:00.000","2017","Upgrading and Greening the Rio de Janeiro Urban Rail System","Non-consulting Services","1541633","Independent Audit Services of Loan 7719-BR and 8117-BR for 2015/2016/2017","2016-07-05T00:00:00.000","TEIXEIRA E ASSOCIADOS","Federative Republic of Brazil","36387.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1576814","Projeto de Dinamiza&#231;&#227;o e Sustentabilidade do Turismo nos munic&#237;pios de Passa e Fica, Serra de S&#227;o Bento e Monte das Gameleiras.","2017-05-26T00:00:00.000","INSTITUTO BRASILEIRO DE DESENVOLVIMENTO E SUSTENTABILIDADE- IABS","Federative Republic of Brazil","241262.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1577679","Loca&#231;&#227;o de piso e montagem de estande para a participa&#231;&#227;o na 3&#176; Feira de Munic&#237;pios e Produtos Tur&#237;sticos - FEMPTUR e 8&#176; F&#243;rum de Turismo do RN a ser realizar nos dias 07 e 08 de abril de 2017, Natal.","2017-04-05T00:00:00.000","ARGUS ASSESSORIA A EVENTOS DE TURISMO LTDA","Federative Republic of Brazil","17379.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560267","AQUISI&#199;&#195;O DE  MOBILI&#193;RIO - LOTE 01","2016-07-01T00:00:00.000","LAYOUT MOVEIS PARA ESCRITORIO LTDA. - EPP","Federative Republic of Brazil","48877.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560913","Aquisi&#231;&#227;o de Esponja de L&#227; de A&#231;o e Dupla Face","2017-05-29T00:00:00.000","TUTTO LIMP DISTRIBUIDORA  LTDA","Federative Republic of Brazil","22103.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560703","Aquisi&#231;&#227;o de Fardamento 2017","2017-01-23T00:00:00.000","T&R COMÉRCIO DE ARTIGOS DE CONFECÇÃO","Federative Republic of Brazil","230667.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1594282","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa de Agricultura de Munic&#237;pio de Divinol&#226;ndia.","2017-06-05T00:00:00.000","CONSTRUTORA ANDRADE & SOUZA EIRELI EPP","Federative Republic of Brazil","39117.0"
"2022-09-12T00:00:00.000","2017","Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project","Consultant Services","1547043","Consultoria especializada para a implementa&#231;&#227;o dos crit&#233;rios de corre&#231;&#227;o da produ&#231;&#227;o textual dos estudantes do Ensino Fundamental cariocas nas avalia&#231;&#245;es bimestrais das escolas","2017-04-28T00:00:00.000","AVALIA QUALIDADE EDUCACIONAL LTDA.","Federative Republic of Brazil","136211.0"
"2022-09-12T00:00:00.000","2017","Brazil - Rio de Janeiro Renovating and Strengthening Public Management","Non-consulting Services","1543131","The Addendum's objective is the quantitative and qualitative change of scope, as well as changing the physical and financial schedule of software development services.","2016-08-30T00:00:00.000","EXTREME DIGITAL CONSULTORIA LTDA","Federative Republic of Brazil","303344.0"
"2022-09-12T00:00:00.000","2017","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Civil Works","1574795","Obra de reforma da Biblioteca P&#250;blica Estadual Eleomar de Souza Braga. localizado na rua Capit&#227;o Pedro Vasconcelos, n&#186; 175, Aeroporto, no munic&#237;pio de Epitaciol&#226;ndia/AC, para atender a FEM.","2017-02-27T00:00:00.000","BORGES COMÉRCIO E SERVIÇOS LTDA","Federative Republic of Brazil","63150.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1600750","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Nuporanga (Orl&#226;ndia).","2017-06-21T00:00:00.000","PROJETTAR ENGENHARIA E MANUTENÇÃO EIRELI - ME","Federative Republic of Brazil","28129.0"
"2022-09-12T00:00:00.000","2017","Brazil Pernambuco Sustainable Water","Civil Works","1543787","Execution of the Sanitary Sewage System in the County Seat of Santa Cruz do Capibaribe (PE)","2017-03-03T00:00:00.000","CONSORCIO GEL/ACCIONA","Federative Republic of Brazil","30362582.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1600643","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Jacupiranga.","2017-04-25T00:00:00.000","OLIVEIRA DUARTE ENGENHARIA LTDA EPP","Federative Republic of Brazil","40328.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1600655","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Pontal (Ribeir&#227;o Preto).","2017-06-29T00:00:00.000","LAMG SERVIÇOS E CONSTRUÇÕES LTDA ME","Federative Republic of Brazil","54066.0"
"2022-09-12T00:00:00.000","2017","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Non-consulting Services","1575224","Contrata&#231;&#227;o de servi&#231;os t&#233;cnicos para apoiar a realiza&#231;&#227;o, elabora&#231;&#227;o, atualiza&#231;&#227;o, acompanhamento e monitoramento dos Planos de Desenvolvimento PGA","2017-04-04T00:00:00.000","MARQUES E BARBOSA LTDA - M & B SERVIÇOS","Federative Republic of Brazil","422392.0"
"2022-09-12T00:00:00.000","2017","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Consultant Services","1625702","Prestacao de servico de consultoria para o servi&#231;o de Assist&#234;ncia T&#233;cnica e Extens&#227;o Rural ATER referente ao lote I Bacia do Jacu&#237;pe","2017-03-03T00:00:00.000","FUNDAÇÃO DE APOIO À AGRICULTURA FAMILIAR DO SEMIÁRIDO DA BAHIA","Federative Republic of Brazil","189352.0"
"2022-09-12T00:00:00.000","2017","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Consultant Services","1594422","Presta&#231;&#227;o de Servi&#231;os de Consultoria, Consultor Individual, Assessoramento &#224; UCP na Articula&#231;&#227;o Institucional Junto a Prefeituras e Cons&#243;rcios P&#250;blicos Intermunicipais. Contratado Silvio Camelyer.","2016-10-03T00:00:00.000","Individual Consultant","Federative Republic of Brazil","220915.0"
"2022-09-12T00:00:00.000","2017","Integrated Health and Water Management Project (SWAP)","Non-consulting Services","1546484","250 inscricoes em curso de Aperfeicoamento em Gestao, Monitoramento e Avaliacao de Politicas Publicas","2016-07-05T00:00:00.000","FUNDACAO DE APOIO DA UNIVERSIDADE FEDERAL DE RIO GRANDE DO SUL FAURGS","Federative Republic of Brazil","144911.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1594169","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Ibir&#225;.","2017-06-27T00:00:00.000","CONSTRUTORA MOLINA JOSÉ BONIFÁCIO LTDA","Federative Republic of Brazil","35120.0"
"2022-09-12T00:00:00.000","2017","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Consultant Services","1616394","Realiza&#231;&#227;o de an&#225;lise de requisitos, especifica&#231;&#245;es e defini&#231;&#245;es de arquitetura para desenvolvimento de um sistema de compras de subprojetos.","2017-04-26T00:00:00.000","Individual Consultant","Federative Republic of Brazil","5109.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560962","Aquisi&#231;&#227;o de Instrumentos Musicais 2017","2017-05-09T00:00:00.000","PHILHARMONIE IMPORTAÇÃO E EXPORTAÇÃO","Federative Republic of Brazil","11081.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Consultant Services","1560307","Defini&#231;&#227;o de Modelo Juridico do ICPS","2016-07-11T00:00:00.000","ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA","Federative Republic of Brazil","213117.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1577489","Loca&#231;&#227;o de piso e montagem de estande de 36m&#178; para participa&#231;&#227;o no evento BTL em Lisboa, Portugal, no per&#237;odo de 15 a 19 de mar&#231;o de 2017.","2017-03-14T00:00:00.000","PROMO INTELIGÊNCIA TURÍSTICA EIRELLI","Federative Republic of Brazil","39657.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Metro Line 5 Project","Consultant Services","1546471","DESENVOLVIMENTO E DISPONIBILIZA&#199;&#195;O DE SIST. P/ COLETA E CONSIST&#202;NCIA DE DADOS P/ DISPOSITIVOS M&#211;VEIS, GEORREFERENCIAMENTO DE ENDERE&#199;OS. PESQUISA OD 2017.","2017-03-29T00:00:00.000","COMAP CONSULTORIA, MARKETING, PLANEJAMENTO E REPRESENTAÇÕES LTDA","Federative Republic of Brazil","1153072.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1543588","Sistema de Apoio a Gestao de Resultados","2016-11-17T00:00:00.000","INDA BRASIL SOLUCOES E SERVICOS TECNOLOGICOS S.A","Federative Republic of Brazil","2378598.0"
"2022-09-12T00:00:00.000","2017","BR DGM for Indigenous People and Traditional Communities","Goods","1664952","Aquisi&#231;&#227;o de um televisor, 65&#8217;&#8217; para estrutura&#231;&#227;o da sala de reuni&#245;es que ser&#225; utilizada pelo Comit&#234; Gestor Nacional e Equipe Chave e de Apoio do DGM/FIP/Brasil","2017-05-23T00:00:00.000","LOJAS COLOMBO S.A.","Federative Republic of Brazil","1467.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1576802","ELABORA&#199;&#195;O DE PROJETOS DE ENGENHARIA DE INFRAESTRUTURA DO PARQUE TECNOL&#211;GICO","2017-06-19T00:00:00.000","L. R. ENGENHARIA E CONSULTORIA LTDA","Federative Republic of Brazil","56866.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Non-consulting Services","1553716","Servi&#231;os de apoio ao monitoramento de caracter&#237;sticas biof&#237;sicas dos sistemas agroflorestais implantados no &#226;mbito do Programa de Desenvolvimento Rural Sustent&#225;vel - PDRS","2017-04-10T00:00:00.000","CIÊNCIA EM SOLO – LABORATÓRIO DE ANÁLISES E CONSULTORIA AGRÍCOLA LTDA","Federative Republic of Brazil","9393.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1579738","Espa&#231;o, montagem, identifica&#231;&#227;o de marca e servi&#231;os de coffee break para a participa&#231;&#227;o da Secretaria de Estado do Turismo do RN em quatro eventos Experi&#234;ncia Braztoa 2017.","2017-05-30T00:00:00.000","ASSOCIAÇÃO BRASILEIRA DAS OPERADORAS DE TURISMO BRAZTOA","Federative Republic of Brazil","26714.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560966","Aquisi&#231;&#227;o de Material para tratamento de pisos","2017-05-15T00:00:00.000","TUTTO LIMP DISTRIBUIDORA  LTDA","Federative Republic of Brazil","57475.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560904","Aquisi&#231;&#227;o de Material El&#233;trico","2017-04-25T00:00:00.000","C & J COMERCIO E SERVICOS LTDA ME","Federative Republic of Brazil","36300.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Goods","1558707","Aquisi&#231;&#227;o de equipamento de inform&#225;tica","2017-02-08T00:00:00.000","CESAR REIS INFORMÁTICA E SERVIÇOS LTDA","Federative Republic of Brazil","6151.0"
"2022-09-12T00:00:00.000","2017","Strengthening Service Delivery for Growth, Poverty Reduction and Enviromental Sustainability in the State of Cear&#225; PforR","Consultant Services","1544101","Consultancy services","2016-10-04T00:00:00.000","INSTITUTO DE ASSESSORIA PARA O DESENVOLVIMENTO HUMANO-IADH","Federative Republic of Brazil","263037.0"
"2022-09-12T00:00:00.000","2017","Ceara Rural Sustainable Development and Competitiveness","Civil Works","1548833","Contrato 047/2016 lotes 08 e 09 - execucao das obras civis com fornecimento e instalacao de materiais e equipamentos dos 28 sistema s de abastecimento de agua","2016-12-22T00:00:00.000","COSAMPA PROJETOS E CONSTRUCOES LTDA.","Federative Republic of Brazil","1648982.0"
"2022-09-12T00:00:00.000","2017","Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project","Consultant Services","1549042","Consultoria para mobilizacao, articulaco, divulgacao e sensibilizacao sobre o projeto RCI em todas as comunidades do Compl Mare a ser fundamentado em diagnostico territorial conforme metodologia IPS","2017-05-08T00:00:00.000","OVERVIEW SERVICOS E INFORMACAO","Federative Republic of Brazil","308583.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1577459","Loca&#231;&#227;o e montagem de estande, para a participa&#231;&#227;o do Governo do Estado na 15&#176; Feira' de Viagens Mundo Abreu, a ser realizada no per&#237;odo de 08 a 09 de abril de 2017, em Lisboa/Portugal.","2017-04-07T00:00:00.000","VIAGENS ABREU S.A","Portuguese Republic","7279.0"
"2022-09-12T00:00:00.000","2017","Brazil Pernambuco Sustainable Water","Consultant Services","1578701","Especialista em or&#231;amento de obras e projetos para apoiar as acoes da Compesa no ambito do PSHPE - Taciana da Camara Lima Cavalcanti","2017-05-05T00:00:00.000","Individual Consultant","Federative Republic of Brazil","120222.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560264","AQUISI&#199;&#195;O DE  MOBILI&#193;RIO - LOTE 04","2016-07-01T00:00:00.000","FORTLINE INDUSTRIA E COMERCIO DE MOVEIS","Federative Republic of Brazil","244.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Non-consulting Services","1560908","Servi&#231;o de Limpeza de Caixa d'&#225;gua","2017-03-31T00:00:00.000","IMEDIATA IMPERMIABILIZAÇÕES E SERVIÇOS LTDA","Federative Republic of Brazil","149822.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560076","Licen&#231;a Software Visim e Visum","2016-12-14T00:00:00.000","PTV DO BRASIL - IMPORTAÇÃO, LICENÇA  E SUPORTE DE SOFTWARE","Federative Republic of Brazil","56309.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560963","Aquisi&#231;&#227;o de Instrumentos Musicais 2017","2017-05-09T00:00:00.000","STAGE MUSIC COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO","Federative Republic of Brazil","294942.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1593614","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Indiana.","2017-06-29T00:00:00.000","M.A.S. DA COSTA ME","Federative Republic of Brazil","52924.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Non-consulting Services","1558762","DESENVOLVIMENTO E MANUTEN&#199;&#195;O DOS SISTEMAS SARE E M&#211;DULO DE ADEQUA&#199;&#195;O AMBIENTAL (COM E SEM ADES&#195;O AO PRA) INTEGRADOS AO SICAR-SP, EM LINGUAGEM E PLATAFORMA .NET","2017-04-11T00:00:00.000","GLOBALWEB OUTSOURCING DO BRASIL LTDA","Federative Republic of Brazil","647760.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1594271","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da agricultura do Munic&#237;pio de Marab&#225; Paulista","2017-05-23T00:00:00.000","M.A.S. DA COSTA ME","Federative Republic of Brazil","40844.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Goods","1553714","Aquisi&#231;&#227;o de Mobili&#225;rio","2016-11-23T00:00:00.000","FENIX COMÉRCIO DE MÓVEIS, DECORAÇÃO E SERVIÇOS EIRELI - ME","Federative Republic of Brazil","3233.0"
