"organization","category","line_item","fiscal_year","amount_us_millions"
"IBRD","Assets","Derivative assets, net","2017","2862"
"IBRD","Assets","Due from Banks","2017","683"
"IBRD","Assets","Investments","2017","72973"
"IBRD","Assets","Net loans outstanding","2017","177422"
"IBRD","Assets","Other assets","2017","4708"
"IBRD","Liabilities","Borrowings","2017","205942"
"IBRD","Liabilities","Derivative liabilities, net","2017","6183"
"IBRD","Liabilities","Equity","2017","39798"
"IBRD","Liabilities","Other liabilities","2017","6725"
"IDA","Assets","Derivative assets, net","2017","159"
"IDA","Assets","Due from Banks","2017","483"
"IDA","Assets","Investments","2017","32033"
"IDA","Assets","Net Loans Outstanding","2017","138351"
"IDA","Assets","Other assets","2017","2331"
"IDA","Liabilities","Borrowings","2017","3660"
"IDA","Liabilities","Derivative liabilities, net","2017","389"
"IDA","Liabilities","Equity","2017","158476"
"IDA","Liabilities","Other liabilities","2017","10832"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2017","45803"
"IFC","Assets","Debt Securities","2017","4511"
"IFC","Assets","Equity Investments","2017","13488"
"IFC","Assets","Loans, Net of Reserves against Losses","2017","22520"
"IFC","Assets","Other Assets, including Derivative Assets","2017","5932"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2017","458"
"IFC","Capital","Designated Retained Earnings","2017","125"
"IFC","Capital","Non-controlling interests","2017","3"
"IFC","Capital","Paid-in Capital","2017","2566"
"IFC","Capital","Undesignated Retained Earnings","2017","21901"
"IFC","Liabilities","Borrowings Outstanding","2017","54103"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2017","13098"
"MIGA","Assets","Cash and Investments (including Derivatives)","2017","1522"
"MIGA","Assets","Demand Notes and Other Assets","2017","167"
"MIGA","Assets","Reinsurance recoverable, net","2017","224"
"MIGA","Assets","Prepaid Premium","2017","272"
"MIGA","Equity","Paid-in Capital","2017","366"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2017","847"
"MIGA","Liabilities","Derivative Liabilities","2017","5"
"MIGA","Liabilities","Other Liabilities","2017","134"
"MIGA","Liabilities","Reserve for claims (gross)","2017","400"
"MIGA","Liabilities","Unearned Premiums","2017","433"
"IBRD","Assets","Derivative assets, net","2018","2460"
"IBRD","Assets","Due from Banks","2018","619"
"IBRD","Assets","Investments","2018","72569"
"IBRD","Assets","Net loans outstanding","2018","183588"
"IBRD","Assets","Other assets","2018","4564"
"IBRD","Liabilities","Borrowings","2018","208009"
"IBRD","Liabilities","Derivative liabilities, net","2018","7932"
"IBRD","Liabilities","Equity","2018","41844"
"IBRD","Liabilities","Other liabilities","2018","6015"
"IDA","Assets","Derivative assets, net","2018","250"
"IDA","Assets","Due from Banks","2018","523"
"IDA","Assets","Investments","2018","36075"
"IDA","Assets","Net Loans Outstanding","2018","145656"
"IDA","Assets","Other assets","2018","2162"
"IDA","Liabilities","Borrowings","2018","7305"
"IDA","Liabilities","Derivative liabilities, net","2018","296"
"IDA","Liabilities","Equity","2018","163945"
"IDA","Liabilities","Other liabilities","2018","13120"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2018","45303"
"IFC","Assets","Debt Securities","2018","5623"
"IFC","Assets","Equity Investments","2018","13032"
"IFC","Assets","Loans, Net of Reserves against Losses","2018","23609"
"IFC","Assets","Other Assets, including Derivative Assets","2018","6705"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2018","264"
"IFC","Capital","Designated Retained Earnings","2018","190"
"IFC","Capital","Paid-in Capital","2018","2566"
"IFC","Capital","Undesignated Retained Earnings","2018","23116"
"IFC","Liabilities","Borrowings Outstanding","2018","53095"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2018","15041"
"MIGA","Assets","Cash and Investments (including Derivatives)","2018","1551"
"MIGA","Assets","Demand Notes and Other Assets","2018","169"
"MIGA","Assets","Reinsurance recoverable, net","2018","252"
"MIGA","Assets","Prepaid Premium","2018","241"
"MIGA","Equity","Paid-in Capital","2018","366"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2018","895"
"MIGA","Liabilities","Derivative Liabilities","2018","0"
"MIGA","Liabilities","Other Liabilities","2018","108"
"MIGA","Liabilities","Reserve for claims (gross)","2018","453"
"MIGA","Liabilities","Unearned Premiums","2018","391"
"IBRD","Assets","Derivative assets, net","2019","2840"
"IBRD","Assets","Due from Banks","2019","895"
"IBRD","Assets","Investments","2019","81415"
"IBRD","Assets","Net loans outstanding","2019","192752"
"IBRD","Assets","Other assets","2019","5129"
"IBRD","Liabilities","Borrowings","2019","230180"
"IBRD","Liabilities","Derivative liabilities, net","2019","3053"
"IBRD","Liabilities","Equity","2019","42115"
"IBRD","Liabilities","Other liabilities","2019","7683"
"IDA","Assets","Derivative assets, net","2019","487"
"IDA","Assets","Due from Banks","2019","138"
"IDA","Assets","Investments","2019","32770"
"IDA","Assets","Net Loans Outstanding","2019","151921"
"IDA","Assets","Other assets","2019","3237"
"IDA","Liabilities","Borrowings","2019","10202"
"IDA","Liabilities","Derivative liabilities, net","2019","22"
"IDA","Liabilities","Equity","2019","162982"
"IDA","Liabilities","Other liabilities","2019","15347"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2019","49085"
"IFC","Assets","Debt Securities","2019","6349"
"IFC","Assets","Equity Investments","2019","13130"
"IFC","Assets","Loans, Net of Reserves against Losses","2019","23983"
"IFC","Assets","Other Assets, including Derivative Assets","2019","6710"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2019","-1232"
"IFC","Capital","Designated Retained Earnings","2019","366"
"IFC","Capital","Paid-in Capital","2019","2567"
"IFC","Capital","Undesignated Retained Earnings","2019","25905"
"IFC","Liabilities","Borrowings Outstanding","2019","54132"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2019","17519"
"MIGA","Assets","Cash and Investments (including Derivatives)","2019","1656"
"MIGA","Assets","Demand Notes and Other Assets","2019","143"
"MIGA","Assets","Reinsurance recoverable, net","2019","355"
"MIGA","Assets","Prepaid Premium","2019","266"
"MIGA","Equity","Paid-in Capital","2019","366"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2019","954"
"MIGA","Liabilities","Derivative Liabilities","2019","7"
"MIGA","Liabilities","Other Liabilities","2019","100"
"MIGA","Liabilities","Reserve for claims (gross)","2019","570"
"MIGA","Liabilities","Unearned Premiums","2019","423"
"MIGA","Assets","Cash and Investments (including Derivatives)","2020","1840"
"MIGA","Assets","Demand Notes and Other Assets","2020","210"
"MIGA","Assets","Reinsurance recoverable, net","2020","514"
"MIGA","Assets","Prepaid Premium","2020","426"
"MIGA","Equity","Paid-in Capital","2020","366"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2020","969"
"MIGA","Liabilities","Derivative Liabilities","2020","11"
"MIGA","Liabilities","Other Liabilities","2020","196"
"MIGA","Liabilities","Reserve for claims (gross)","2020","767"
"MIGA","Liabilities","Unearned Premiums","2020","681"
"IBRD","Assets","Due from Banks","2020","1870"
"IBRD","Assets","Investments","2020","84161"
"IBRD","Assets","Derivative assets, net","2020","3744"
"IBRD","Assets","Net loans outstanding","2020","202158"
"IBRD","Assets","Other assets","2020","4871"
"IBRD","Liabilities","Borrowings","2020","243240"
"IBRD","Liabilities","Derivative liabilities, net","2020","1473"
"IBRD","Liabilities","Other liabilities","2020","11704"
"IBRD","Liabilities","Equity","2020","40387"
"IDA","Assets","Due from Banks","2020","674"
"IDA","Assets","Investments","2020","34670"
"IDA","Assets","Derivative assets, net","2020","136"
"IDA","Assets","Other assets","2020","3031"
"IDA","Assets","Net Loans Outstanding","2020","160961"
"IDA","Liabilities","Derivative liabilities, net","2020","590"
"IDA","Liabilities","Other liabilities","2020","10945"
"IDA","Liabilities","Borrowings","2020","19766"
"IDA","Liabilities","Equity","2020","168171"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2020","46201"
"IFC","Assets","Debt Securities","2020","6666"
"IFC","Assets","Equity Investments","2020","10370"
"IFC","Assets","Loans, Net of Reserves against Losses","2020","24102"
"IFC","Assets","Other Assets, including Derivative Assets","2020","8461"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2020","-1984"
"IFC","Capital","Designated Retained Earnings","2020","433"
"IFC","Capital","Paid-in Capital","2020","19567"
"IFC","Capital","Undesignated Retained Earnings","2020","7166"
"IFC","Liabilities","Borrowings Outstanding","2020","55486"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2020","15132"
"IBRD","Assets","Due from Banks","2021","2347"
"IBRD","Assets","Investments","2021","87904"
"IBRD","Assets","Derivative assets, net","2021","3355"
"IBRD","Assets","Net loans outstanding","2021","218799"
"IBRD","Assets","Other assets","2021","4896"
"IBRD","Liabilities","Borrowings","2021","260076"
"IBRD","Liabilities","Derivative liabilities, net","2021","1222"
"IBRD","Liabilities","Other liabilities","2021","7925"
"IBRD","Liabilities","Equity","2021","48078"
"IDA","Assets","Due from Banks","2021","496"
"IDA","Assets","Investments","2021","37376"
"IDA","Assets","Derivative assets, net","2021","249"
"IDA","Assets","Net Loans Outstanding","2021","177779"
"IDA","Assets","Other assets","2021","3424"
"IDA","Liabilities","Borrowings","2021","28314"
"IDA","Liabilities","Derivative liabilities, net","2021","408"
"IDA","Liabilities","Other liabilities","2021","9726"
"IDA","Liabilities","Equity","2021","180876"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2021","51448"
"IFC","Assets","Loans, Net of Reserves against Losses","2021","25644"
"IFC","Assets","Equity Investments","2021","12027"
"IFC","Assets","Debt Securities","2021","7320"
"IFC","Assets","Other Assets, including Derivative Assets","2021","8825"
"IFC","Liabilities","Borrowings Outstanding","2021","55699"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2021","18321"
"IFC","Capital","Paid-in Capital","2021","20760"
"IFC","Capital","Undesignated Retained Earnings","2021","11395"
"IFC","Capital","Designated Retained Earnings","2021","207"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2021","-1118"
"MIGA","Assets","Cash and Investments (including Derivatives)","2021","1918"
"MIGA","Assets","Demand Notes and Other Assets","2021","151.35"
"MIGA","Assets","Prepaid Premium","2021","377.419"
"MIGA","Assets","Reinsurance recoverable, net","2021","501.033"
"MIGA","Liabilities","Derivative Liabilities","2021","2.496"
"MIGA","Liabilities","Unearned Premiums","2021","615.177"
"MIGA","Liabilities","Other Liabilities","2021","109.023"
"MIGA","Liabilities","Reserve for claims (gross)","2021","746.787"
"MIGA","Equity","Paid-in Capital","2021","366.291"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2021","1108"
"IBRD","Assets","Due from Banks","2022","479"
"IBRD","Assets","Investments","2022","81820"
"IBRD","Assets","Derivative assets, net","2022","804"
"IBRD","Assets","Net loans outstanding","2022","227092"
"IBRD","Assets","Other assets","2022","7347"
"IBRD","Liabilities","Borrowings","2022","235173"
"IBRD","Liabilities","Derivative liabilities, net","2022","20041"
"IBRD","Liabilities","Other liabilities","2022","7008"
"IBRD","Liabilities","Equity","2022","55320"
"IDA","Assets","Due from Banks","2022","686"
"IDA","Assets","Investments","2022","39827"
"IDA","Assets","Derivative assets, net","2022","404"
"IDA","Assets","Net Loans Outstanding","2022","174490"
"IDA","Assets","Other assets","2022","4607"
"IDA","Liabilities","Borrowings","2022","32899"
"IDA","Liabilities","Derivative liabilities, net","2022","579"
"IDA","Liabilities","Other liabilities","2022","7868"
"IDA","Liabilities","Equity","2022","178668"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2022","46350"
"IFC","Assets","Loans, Net of Reserves against Losses","2022","26223"
"IFC","Assets","Equity Investments","2022","11137"
"IFC","Assets","Debt Securities","2022","6733"
"IFC","Assets","Other Assets, including Derivative Assets","2022","8567"
"IFC","Liabilities","Borrowings Outstanding","2022","48269"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2022","17936"
"IFC","Capital","Paid-in Capital","2022","21749"
"IFC","Capital","Undesignated Retained Earnings","2022","10840"
"IFC","Capital","Designated Retained Earnings","2022","298"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2022","-82"
"MIGA","Assets","Cash and Investments (including Derivatives)","2022","1977"
"MIGA","Assets","Demand Notes and Other Assets","2022","189.717"
"MIGA","Assets","Prepaid Premium","2022","381.55"
"MIGA","Assets","Reinsurance recoverable, net","2022","476.181"
"MIGA","Liabilities","Derivative Liabilities","2022","0.278"
"MIGA","Liabilities","Unearned Premiums","2022","620.085"
"MIGA","Liabilities","Other Liabilities","2022","138.958"
"MIGA","Liabilities","Reserve for claims (gross)","2022","725.81"
"MIGA","Equity","Paid-in Capital","2022","366.291"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2022","1173"
