"fiscal_year","borrower_country","project_name","procurement_category","procurement_method","major_sector","contract_description","supplier","supplier_contract_amount_usd"
"2023","Argentina","Improving Inclusion in Secondary and Higher Education","Goods","Direct Selection","Education","Acuerdo con UNOPS para la provisi&#243;n de equipamiento inform&#225;tico","OFICINA DE LAS NACIONES UNIDAS DE SERVICIOS PARA PROYECTOS (UNOPS)","22430000.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","EDITORIAL MAIPUE","32538.0"
"2023","Argentina","Improving Inclusion in Secondary and Higher Education","Non-consulting Services","Request for Quotations","Education","PROYECTO PILOTO NIVEL PRIMARIO 2022","BOLDT IMPRESORES SA","10552.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro 1 ATENOLOL (tercer contrato)","LABORATORIO ECZANE PHARMA","52954.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","AIQUE GRUPO EDITOR SA","50304.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","Adquisici&#243;n de libros para escuelas","EDITORIAL ESTRADA S.A.","60291.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Adquisici&#243;n de Nilotinib 150 mg y 200 mg","NOVARTIS ARGENTINA","691297.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Azatioprina 50 mg","SUIZO ARGENTINA","36479.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 12 METFORMINA","BIONTEK","598433.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","PUERTO DE PALOS","158983.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Adquisici&#243;n de medicamentos para seguimiento postrasplante &#8211; Sirolimus 0.5mg, 1mg, 2mg","PFIZER ARGENTINA","4362122.0"
"2023","Argentina","Improving Inclusion in Secondary and Higher Education","Consultant Services","Individual Consultant Selection","Education","CONTRATO NEIFF","Individual Consultant","4867.0"
"2023","Argentina","Children and Youth Protection Project","Goods","Request for Bids","Social Protection","SDO 02/2022 &#8220;Adquisici&#243;n de Equipamiento Inform&#225;tico para la b&#250;squeda e identificaci&#243;n de ni&#241;os y
ni&#241;as sin AUH&#8221;","ALFATECH SOLUTIONS SRL","337988.0"
"2023","Argentina","Salado Integrated River Basin Management Support Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Analista Programador de Software","Individual Consultant","10892.0"
"2023","Argentina","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","Asegurar el cumplimiento de los est&#225;ndares ambientales y sociales requeridas por el Banco Mundial &#8211;BIRF, la normativa ambiental y social especifica de las Provincias involucradas, la legislaci&#243;n vige","Individual Consultant","5146.0"
"2023","Argentina","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","ELABORACION DE ESTUDIO DE TARIFAS ELECTRICAS PARA USUARIOS INDIVIDUALES DEL MERCADO DISPERSO PARA LAS PORVINCIAS DE CATAMARCA, LA RIOJA, SAN JUAN Y MENDOZA.","Individual Consultant","14006.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 2: BISOPROLOL FUMARATO","IVAX ARGENTINA S.A","198706.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro 1 ATENOLOL (segundo contrato)","LABORATORIOS VENT3 SRL","50287.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Adquisici&#243;n de frascos ampollas de Basiliximab 20mg polvo para inyectable","SUIZO ARGENTINA","374601.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 5 ENALAPRIL (tercer contrato)","LABORATORIOS VENT3 SRL","466577.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote 1: VALGANCICLOVIR","NOVARTIS ARGENTINA","394006.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 4 CARVEDILOL (primer contrato)","SAVANT PHARM","215738.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","INMUNOGLOBULINA ANTI-LINFOCITARIA (HUMANA DE SUERO DE CONEJO) 25 MG","SANOFI AVENTIS ARGENTINA","231975.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","ESTACION MANDIOCA","68136.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 14 METFORMINA","SAVANT PHARM","845702.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro 10 LABETALOL","LAFEDAR S.A","486681.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 5 ENALAPRIL (segundo contrato)","SAVANT PHARM","433248.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 7 FUROSEMIDA (segundo contrato)","LABORATORIOS VENT3 SRL","61227.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Cetuximab 100 mg y 500 mg","SUIZO ARGENTINA","826909.0"
"2023","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Non-consulting Services","Request for Quotations","Energy and Extractives;Social Protection","Lote N&#176; 4 afiches por un monto de pesos setenta y ocho mil
setecientos cincuenta ($ 78.750,00)","GRAFICA BARSA","581.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 11 LOSARTAN","IVAX ARGENTINA S.A","410562.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 5 ENALAPRIL (primer contrato)","KLONAL S.R.L.","441580.0"
"2023","Argentina","Improving Inclusion in Secondary and Higher Education","Consultant Services","Individual Consultant Selection","Education","CONTRATO CENTER","Individual Consultant","4867.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Panitumumab 20 mg.","DROGUERÍA DIHEMO","346884.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 9 HIDROCLOROTIAZIDA","LAFEDAR S.A","74505.0"
"2023","Argentina","AR Flood Risk Management Support Project for the City of Buenos Aires","Non-consulting Services","Request for Quotations","Transportation;Water, Sanitation and Waste Management;Public Administration","Evaluaci&#243;n","BUTTERFLY SUSTENTABILIDAD","60124.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Suministro de 730.000 dosis de Vacuna VPH. Precio Unitario US$ 20.20. Total US$ 14.746.000,00. El plazo de entrega es el l&#237;mite m&#225;ximo","SINERGIUM BIOTECH","22826000.0"
"2022","Argentina","Metropolitan Buenos Aires Urban Transformation Project","Consultant Services","Consultant Qualification  Selection","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","Evaluaci&#243;n del Impacto de la Carga Fiscal Consolidada para la Toma de 
Decisiones Comerciales (Doing Business) y de Inversiones en la Regi&#243;n","UNIVERSIDAD NACIONAL DE TRES DE FEBRERO (UNTREF)","116741.0"
"2022","Argentina","Modernization and Innovation for Better Public Services in Argentina","Goods","Request for Bids","Information and Communications Technologies;Public Administration","Adquisici&#243;n de Carteler&#237;a para Puntos Digitales","LO=PUB PRODUCCIONES PERIODISTICAS Y PUBLICITARIAS SRL.","452072.0"
"2022","Argentina","Argentina Renewable Energy for Rural Areas Project","Civil Works","Request for Bids","Energy and Extractives","Lote 3 &#8211; San Juan de Quillaques &#8211; Provincia de Jujuy","BRAMAQ SRL","1034370.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education",,"CALCATERRA CONSTRUCCIONES","53325.0"
"2022","Argentina","Modernization and Innovation for Better Public Services in Argentina","Goods","Request for Bids","Information and Communications Technologies;Public Administration","Lote 4 - Proyectores HD, Soporte de Proyector, Pantalla de Proyector y Puntero Laser Presentador","DINATECH","188101.0"
"2022","Argentina","Argentina Renewable Energy for Rural Areas Project","Civil Works","Request for Bids","Energy and Extractives","Lote 2: Salta &#8211; Regi&#243;n Puna y Pre Puna.","CORADIR SA","2169421.0"
"2022","Argentina","Modernization and Innovation for Better Public Services in Argentina","Goods","Request for Bids","Information and Communications Technologies;Public Administration","Actualizaci&#243;n para la soluci&#243;n de balanceo, firewall de aplicaciones web y acceso remoto seguro del ecosistema de GDE","POINT IT SRL","205854.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","CUE 3400288-00	507	RAMON LISTA","PROCON SRL","23127.0"
"2022","Argentina","Metropolitan Buenos Aires Urban Transformation Project","Consultant Services","Individual Consultant Selection","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","Ingeniero Senior con experiencia en proyectos","Individual Consultant","11430.0"
"2022","Argentina","Metropolitan Buenos Aires Urban Transformation Project","Consultant Services","Individual Consultant Selection","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","Referente de inclusi&#243;n financiera","Individual Consultant","3794.0"
"2022","Argentina","Forests and Community","Goods","Request for Bids","Agriculture, Fishing and Forestry","Forestal san Miguel","FORESTAL SAN MIGUEL DE DISTRIBUIDORA ALBERDI S.R.L","490908.0"
"2022","Argentina","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","Asistir a la Secretar&#237;a de Energ&#237;a del Ministerio de Econom&#237;a para asegurar la correcta redacci&#243;n de los documentos licitatorios de los procesos de Adquisiciones y Contrataciones de Obras, Bienes y se","Individual Consultant","13002.0"
"2022","Argentina","Digital Inclusion and Innovation in Public Services in Argentina","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Public Administration","CONSULTOR INDIVIDUAL ESPECIALISTA EN PLANIFICACI&#211;N, MONITOREO Y CONTROL DE GESTI&#211;N","Individual Consultant","9716.0"
"2022","Argentina","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","El objetivo de la contrataci&#243;n es incorporar un consultor Especialista en Contabilidad y Desembolso para la Direcci&#243;n General de Programas y Proyectos Sectoriales y Especiales del Ministerio de Econom","Individual Consultant","8027.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","CUE 3400442-00 EPEP N&#176; 126 DEP. BERMEJO","PROCON SRL","30453.0"
"2022","Argentina","Rural Corridors and Biodiversity","Goods","Request for Bids","Agriculture, Fishing and Forestry","Moticicletas tipo Enduro para el Parque Provincial Fuerte Esperanza","VEMERKIPER","20291.0"
"2022","Argentina","Rural Corridors and Biodiversity","Goods","Request for Bids","Agriculture, Fishing and Forestry","Modulo Habitacional para Vivienda p/ Parque Nacional Copo","CGB","56107.0"
"2022","Argentina","Improving Inclusion in Secondary and Higher Education","Consultant Services","Individual Consultant Selection","Education","CONTRATO VOLKER","Individual Consultant","9914.0"
"2022","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Goods","Request for Bids","Energy and Extractives;Social Protection","LOTE N&#176;2: PC Intermedia Potenciada con licencia W10 Pro (cantidad: 51)","QUICK SUPPLIES SRL","61526.0"
"2022","Argentina","Plan Belgrano Water Supply and Sanitation Services Development Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","CONSULTOR EXPERTO EN GESTI&#211;N DE PROYECTOS","Individual Consultant","6502.0"
"2022","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Goods","Request for Bids","Energy and Extractives;Social Protection","LOTE N&#176;3: Notebook avanzada con licencia W10 Pro (cantidad: 36)","QUICK SUPPLIES SRL","52369.0"
"2022","Argentina","Rural Corridors and Biodiversity","Goods","Request for Bids","Agriculture, Fishing and Forestry","Moticicletas tipo Enduro para el Parque Nacional El Impenetrable","VEMERKIPER","20291.0"
"2022","Argentina","Plan Belgrano Water Supply and Sanitation Services Development Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","Especialista Sector Presupuesto","Individual Consultant","491.0"
"2022","Argentina","Matanza-Riachuelo Basin Sustainable Development Project","Non-consulting Services","Request for Quotations","Water, Sanitation and Waste Management","Contrataci&#243;n de Estudio de Suelo en el marco del Anteproyecto para licitar obra de puente sobre arroyo Sarand&#237; &#8211; Autopista Buenos Aires &#8211; La Plata.","BGM OBRAS S.R.L","5627.0"
"2022","Argentina","Digital Inclusion and Innovation in Public Services in Argentina","Non-consulting Services","Direct Selection","Information and Communications Technologies;Public Administration","ADENDA N&#176; 1 AL CONTRATO N&#176; 19/2021 &#8220;Adquisici&#243;n de servicios de reforma y limpieza de tanques de combustible y reparaci&#243;n de generadores el&#233;ctricos de los EDT (TDA)&#8221;","RB ENERGIA","234809.0"
"2022","Argentina","Integrated Risk Management in the Rural Agroindustrial System","Goods","Request for Bids","Information and Communications Technologies;Agriculture, Fishing and Forestry","&#8220;Adquisici&#243;n y Actualizaci&#243;n Tecnol&#243;gica (Hardware -Software) para Puesta en Producci&#243;n&#8221;","LOGIA SOLUTION S.R.L.","40755.0"
"2022","Argentina","Digital Inclusion and Innovation in Public Services in Argentina","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Public Administration","CONSULTOR INDIVIDUAL DESARROLLADOR","Individual Consultant","2117.0"
"2022","Argentina","Matanza-Riachuelo Basin Sustainable Development Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","Contrato ASESOR CONTABILIDAD Y GESTION UCOFI.","Individual Consultant","5332.0"
"2022","Argentina","Matanza-Riachuelo Basin Sustainable Development Project","Goods","Request for Quotations","Water, Sanitation and Waste Management","Lote &#218;nico: Tipo Notebook de Trabajo. Cantidad: 2 (dos).","TECNOLOGÍA AG SAS","3971.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","EX-2021-35302154- -APN-DC#ME EL SURI PORFIADO EDICIONES DE JUAREZ ALDAZABAL, CARLOS LAUDINO","EL SURI PORFIADO EDICIONES DE JUAREZ ALDAZABAL, CARLOS LAUDINO","36256.0"
"2022","Argentina","Improving Inclusion in Secondary and Higher Education","Consultant Services","Individual Consultant Selection","Education","CONTRATO FISCHER Fernando Jos&#233;","Individual Consultant","7651.0"
"2022","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Adquisici&#243;n de test de VPH y colecoras DNA","TECNOLAB S.A.","2075369.0"
"2022","Argentina","Improving Inclusion in Secondary and Higher Education","Consultant Services","Individual Consultant Selection","Education","CONTRATO ROMERO Luis Guillermo","Individual Consultant","894.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","REFACCION NUCLEO SANITARIO EES 38 NAPENAY","PRODECO CONSTRUCCIONES SRL","29399.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Request for Quotations","Education","adquisicion de colchones, frazadas y s&#225;banas para escuelas rurales","COMERCIAL CASTELLI SRL","30838.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","""REFACCI&#211;N DE N&#218;CLEO SANITARIO E.E.S. No 197 E.E.P. NRO 155 - PCIA. ROQUE S&#193;ENZ PE&#209;A"" -","CONSTRUIR DE HENRY KUNZE","13676.0"
"2022","Argentina","Digital Inclusion and Innovation in Public Services in Argentina","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Public Administration","CONSULTOR INDIVIDUAL DESARROLLADOR","Individual Consultant","2117.0"
"2022","Argentina","Digital Inclusion and Innovation in Public Services in Argentina","Non-consulting Services","Request for Bids","Information and Communications Technologies;Public Administration","&#8220;SERVICIO DE SOPORTE T&#201;CNICO DE ADMINISTRACI&#211;N DE BASE DE DATOS PARA EQUIPOS ORACLE EXADATA&#8221;","DATASTAR ARGENTINA S. A.","252659.0"
"2022","Argentina","Metropolitan Buenos Aires Urban Transformation Project","Consultant Services","Individual Consultant Selection","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","Supervisor de Obra","Individual Consultant","14430.0"
"2022","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote 4: Notebooks de Alto Rendimiento (primer contrato)","EXO S.A.","999.0"
"2022","Argentina","Integrated Risk Management in the Rural Agroindustrial System","Goods","Request for Bids","Information and Communications Technologies;Agriculture, Fishing and Forestry","Adquisici&#243;n y Actualizaci&#243;n Tecnol&#243;gica (Hardware - Software) para Puesta en Producci&#243;n","DATASTAR ARGENTINA SA","100558.0"
"2022","Argentina","Matanza-Riachuelo Basin Sustainable Development Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","Servicio de traducci&#243;n publica de la Negociaci&#243;n y convenio de pr&#233;stamo a suscribir del Segundo Financiamiento Adicional del Proyecto de desarrollo sustentable de la Cuenca Matanza Riachuelo.","Individual Consultant","2061.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","OBRA ESCUELA 452","ING JOSE ANGEL IFRAN","46179.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","311 DR.MANUEL ANTONIO ACEVEDO	EL MONTE	GRAL.ANGEL V.PE&#209;ALOZA	REFACCIONES (SIN M&#178;)","AA CONSTRUCCIONES DE BRAIM PAEZ SONIA","9281.0"
"2022","Argentina","Plan Belgrano Water Supply and Sanitation Services Development Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","ANALISTA PARA EL SECTOR DE LIQUIDACIONES","Individual Consultant","16931.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","257 ESCUELA PRIMARIA	LA DORITA	ESQUINA	REFACCIONES (SIN M&#178;)","IMI SRL","40125.0"
"2022","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Quotations","Education","838 ESCUELA	ALBARDONES	EMPEDRADO	REFACCIONES (SIN M&#178;)","ING CANTERO RICARDO DIMAS","41447.0"
"2022","Argentina","Improving Inclusion in Secondary and Higher Education","Consultant Services","Individual Consultant Selection","Education","CONTRATO GUBERMAN FLAVIO","Individual Consultant","1996.0"
"2022","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Goods","Request for Bids","Energy and Extractives;Social Protection","LOTE N&#176;11: Licencias SQL Server Est&#225;ndar &#250;ltima versi&#243;n disponible - Programas de Computaci&#243;n -OCEBA. Microsoft&#174;SQLServerStandardEdition 2019 Sngl OLP 1License NoLevel (cantidad: 1)","RIO INFORMATICA","1440.0"
"2022","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Goods","Request for Bids","Energy and Extractives;Social Protection","LOTE N&#176;12: Office 2019 std para estaciones de trabajo - Programas de Computaci&#243;n -OCEBA OfficeStd 2019 OLP NL Gov (cantidad: 60)","RIO INFORMATICA","39000.0"
"2022","Argentina","Forests and Community","Goods","Request for Quotations","Agriculture, Fishing and Forestry","- ASOCIACION DE APICULTORES DE JUAN JOSE CASTELLI","ASOCIACIÓN DE APICULTORES DE JUAN JOSÉ CASTELLI","27543.0"
"2022","Argentina","Rural Corridors and Biodiversity","Goods","Request for Bids","Agriculture, Fishing and Forestry","Provisi&#243;n e Instalaci&#243;n de Sistemas Fotovoltaicos Completos p/ PN Patagonia, PN Copo, y Parque Provincial Fuerte Esperanza y Parque Provincial Pampa del Indio","INTERMEPRO","104876.0"
"2022","Argentina","Access to Longer Term Finance for Micro, Small and Medium Enterprises Project","Consultant Services","Individual Consultant Selection","Financial Sector;Industry, Trade and Services","ANALISTA FUNCIONAL SENIOR","Individual Consultant","4280.0"
"2022","Argentina","Digital Inclusion and Innovation in Public Services in Argentina","Non-consulting Services","Request for Bids","Information and Communications Technologies;Public Administration","""Renovaci&#243;n de Suscripci&#243;n, Soporte T&#233;cnico y Soporte Evolutivo de la Soluci&#243;n Elastic Search""","KNOWLEDGE CONSULTING SA","140249.0"
"2022","Argentina","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","Asegurar el cumplimiento de las salvaguardas ambientales y sociales requeridas por el Banco Mundial &#8211;BIRF, la normativa ambiental y social especifica de la Provincia de Salta, la legislaci&#243;n vigente e","Individual Consultant","1818.0"
"2022","Argentina","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","Asegurar el cumplimiento de las salvaguardas ambientales y sociales requeridas por el Banco Mundial &#8211;BIRF, la normativa ambiental y social especifica de la Provincia de Salta, la legislaci&#243;n vigente e","Individual Consultant","790.0"
"2022","Argentina","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","Realizaci&#243;n de distintos contenidos audiovisuales referente a las instalaciones de los equipos fotovoltaicos de todos los subcomponentes del proyecto PERMER: residenciales 2G, residenciales 3G, escuel","Individual Consultant","8926.0"
"2022","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection","BOERO Paula - ESPECIALISTA EN GESTI&#211;N","Individual Consultant","6107.0"
"2022","Argentina","Access to Longer Term Finance for Micro, Small and Medium Enterprises Project","Consultant Services","Individual Consultant Selection","Financial Sector;Industry, Trade and Services","CONSULTOR&#205;A PARA DESARROLLO DE MATERIAL DE DATOS SOBRE INSOLVENCIA","Individual Consultant","3986.0"
"2022","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection","HERRERA Agustina - Analista Social","Individual Consultant","3938.0"
"2022","Argentina","Access to Longer Term Finance for Micro, Small and Medium Enterprises Project","Goods","Direct Selection","Financial Sector;Industry, Trade and Services","An&#225;lisis de Impacto en el Negocio (BIA), Plan de Continuidad (BCP) y Plan de Recuperaci&#243;n ante el Desastre (DRP)- 
Licencias ARCHER RSA","NOVARED","55849.0"
"2022","Argentina","Access to Longer Term Finance for Micro, Small and Medium Enterprises Project","Consultant Services","Quality And Cost-Based Selection","Financial Sector;Industry, Trade and Services","Soluci&#243;n Inform&#225;tica para la Gesti&#243;n de Normas ISO","ENAXIS SA","42148.0"
