"date_disclosed","project_name","project_number","product_line","company_name","country","industry","environmental_category","department","status","project_board_date","ifc_investment_for_loan_million_usd","total_ifc_investment_as_approved_by_board_million_usd"
"2022-05-11T00:00:00.000","DCM TCCL SLB","45800","Loan","TATA CLEANTECH CAPITAL LIMITED","India","Financial Institutions","FI-2","CF4S5 - Regional Industry - FIG Asia & Pac/FIG Inv Ops - South Asia","Pending","2022-06-15T00:00:00.000","48.28","48.28"
"2022-05-10T00:00:00.000","Zener SA, Togo","43339","Loan","ZENER SA","Togo","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-06-16T00:00:00.000","8.66","8.66"
"2022-05-10T00:00:00.000","GSCF VPBank","46751","Loan","GSCF VPBank","Vietnam","Financial Institutions","FI-2","CFGPD - Global Industry, Financial Markets/Trade & Supply Chain, Products","Pending","2022-06-10T00:00:00.000","75.0","75.0"
"2022-05-10T00:00:00.000","BT SNP Blue Loan","46288","Loan","BANCA TRANSILVANIA SA","Romania","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Active","2022-06-15T00:00:00.000","106.97","106.97"
"2022-05-10T00:00:00.000","SABESP UCL","46253","Loan","COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO.","Brazil","Infrastructure","B","Regional Industry - INF LAC","Active","2022-06-15T00:00:00.000","159.87","159.87"
"2022-05-09T00:00:00.000","Arrawaj S. Loan","46144","Loan","FONDATION ARRAWAJ DE LA FINANCE INCLUSIVE","Morocco","Financial Institutions","FI-3","Regional Industry - FIG Africa","Hold","2022-06-10T00:00:00.000","15.0","15.0"
"2022-05-06T00:00:00.000","DCM BDO Blue Bond","46151","Loan","BDO UNIBANK, INC.","Philippines","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-04-27T00:00:00.000","100.0","100.0"
"2022-05-05T00:00:00.000","Rupshi Foods","46329","Loan","RUPSHI FOODS LTD.","Bangladesh","Agribusiness and Forestry","B","Regional Industry - MAS Asia & Pac","Pending","2022-06-10T00:00:00.000","20.0","20.0"
"2022-05-04T00:00:00.000","LDC Brasil","44281","Loan","LOUIS DREYFUS COMPANY FINANCE B.V.","Brazil","Agribusiness and Forestry","B","Regional Industry - MAS LAC","Pending","2022-06-06T00:00:00.000","100.0","100.0"
"2022-05-04T00:00:00.000","BlaBlaCar","45926","Loan","COMUTO SA","World Region","Infrastructure","B","Disruptive Technologies and Funds","Active","2022-06-17T00:00:00.000","15.0","15.0"
"2022-05-02T00:00:00.000","Orizon Waste","45669","Loan","ORIZON VALORIZACAO DE RESIDUOS SA","Brazil","other","B","CN1S7 - Regional Industry - INF LAC/Infrastructure - LAC","Pending","2022-06-14T00:00:00.000","27.35","27.35"
"2022-04-30T00:00:00.000","Avacare Global ","45947","Loan","AVACARE GLOBAL","Africa Region","other","B","Regional Industry - MAS Africa","Pending","2022-06-10T00:00:00.000","20.0","48.6"
"2022-04-28T00:00:00.000","Imperial DTMC","45677","Loan","IMPERIAL LOGISTICS LIMITED","Africa Region","other","B","Regional Industry - MAS Africa","Pending","2022-05-31T00:00:00.000","100.0","100.0"
"2022-04-28T00:00:00.000","Mibanco BOW","46162","Loan","Mibanco - Banco de la Micro Empresa S.A.","Peru","Financial Institutions","FI-3","Regional Industry - FIG LAC","Active","2022-05-31T00:00:00.000","100.0","100.0"
"2022-04-28T00:00:00.000","LMI Holdings Ltd","43407","Loan","ENCLAVE POWER COMPANY LIMITED","Ghana","other","B","Regional Industry - MAS Africa","Pending","2022-06-23T00:00:00.000","30.0","30.0"
"2022-04-27T00:00:00.000","NMB GB","46156","Loan","NMB BANK PLC","Tanzania","Financial Institutions","FI-2","Regional Industry - FIG Africa","Active","2022-04-04T00:00:00.000","10.0","10.0"
"2022-04-27T00:00:00.000","Aadhar Debt","46197","Loan","AADHAR HOUSING FINANCE LIMITED","India","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Active","2022-05-30T00:00:00.000","90.37","90.37"
"2022-04-27T00:00:00.000","Anglo SDG Loan","43403","Loan","ANGLO AMERICAN CAPITAL PLC","South Africa","Oil, Gas, and Mining","B","Energy & Mining - Global Infra","Active","2022-05-27T00:00:00.000","100.0","100.0"
"2022-04-27T00:00:00.000","Bauducco COVID","44358","Loan","Pandurata Alimentos Ltda.","Brazil","Agribusiness and Forestry","B","Regional Industry - MAS LAC","Pending","2022-05-27T00:00:00.000","20.0","20.0"
"2022-04-24T00:00:00.000","VPB SrLoan2022","46453","Loan","VIETNAM PROSPERITY JOINT STOCK COMMERCIAL BANK","Vietnam","Financial Institutions","FI-2","CF4S4 - Regional Industry - FIG Asia & Pac/FIG Inv Ops East Asia & Pacific","Pending","2022-06-29T00:00:00.000","150.0","150.0"
"2022-04-22T00:00:00.000","CAFSA SME-Climate Loan","46046","Loan","CORPORACION CAFSA SA","Costa Rica","Financial Institutions","FI-3","Regional Industry - FIG LAC","Pending","2022-05-31T00:00:00.000","20.0","20.0"
"2022-04-21T00:00:00.000","Visum REIT","45472","Loan","FONDO DE INVERSION COLECTIVA INMOBILIARIO VISUM RENTAS INMOBILIARIAS","Colombia","other","B","Regional Industry - MAS LAC","Pending","2022-05-27T00:00:00.000","75.28","75.28"
"2022-04-21T00:00:00.000","VIB Housing Loan 2022","45929","Loan","VIETNAM INTERNATIONAL COMMERCIAL JOINT STOCK BANK","Vietnam","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Pending","2022-05-31T00:00:00.000","150.0","150.0"
"2022-04-21T00:00:00.000","BOP Elet Capital","46697","Loan","MICROCREDIT COMPANY ELET-CAPITAL LLC","Kyrgyz Republic","Financial Institutions","FI-3","Regional Industry FIG MCT","Pending","2022-04-20T00:00:00.000","2.50","2.5"
"2022-04-21T00:00:00.000","BOP Bailyk Finance","46695","Loan","MICROCREDIT COMPANY BAILYK FINANCE LLC","Kyrgyz Republic","Financial Institutions","FI-3","Regional Industry FIG MCT","Active","2022-04-20T00:00:00.000","2.50","2.5"
"2022-04-20T00:00:00.000","BOP IMON SL","43911","Loan","CJSC MICROCREDIT DEPOSIT TAKING ORGANIZATION IMON INTERNATIONAL","Tajikistan","Financial Institutions","FI-3","Regional Industry FIG MCT","Active","2022-05-24T00:00:00.000","5.0","5.0"
"2022-04-19T00:00:00.000","Sudameris Loan","46124","Loan","SUDAMERIS BANK S.A.E.C.A.","Paraguay","Financial Institutions","FI-2","Regional Industry - FIG LAC","Active","2022-05-20T00:00:00.000","75.0","75.0"
"2022-04-18T00:00:00.000","Santa Priscila","45680","Loan","INDUSTRIAL PESQUERA SANTA PRISCILA S.A.","Ecuador","Agribusiness and Forestry","B","Regional Industry - MAS LAC","Pending","2022-05-20T00:00:00.000","45.0","45.0"
"2022-04-14T00:00:00.000","WCS CR Zenith","45971","Loan","ZENITH BANK PLC","Nigeria","Financial Institutions","FI-2","Regional Industry - FIG Africa","Active","2022-05-11T00:00:00.000","250.0","250.0"
"2022-04-14T00:00:00.000","VNGH ","45942","Loan","VN GREEN HOLDINGS PTE. LTD.","Vietnam","Infrastructure","B","Regional Industry - INF Asia & Pac","Pending","2022-05-18T00:00:00.000","45.0","45.0"
"2022-04-14T00:00:00.000","IHS Zambia COVID","44235","Loan","IHS ZAMBIA LIMITED","Zambia","Telecommunications, Media, and Technology","B","Regional Industry - INF Africa","Active","2020-12-18T00:00:00.000","75.0","75.0"
"2022-04-12T00:00:00.000","ESR India","44651","Loan","ESR INDIA INVESTMENT HOLDINGS PTE. LTD.","India","other","B","Regional Industry - MAS Asia & Pac","Pending","2022-05-13T00:00:00.000","99.13","99.13"
"2022-04-12T00:00:00.000","M&J Garments","45821","Loan","M&J Group (Garments)","Bangladesh","Manufacturing","B","Regional Industry - MAS Asia & Pac","Pending","2022-05-27T00:00:00.000","11.70","11.7"
"2022-04-07T00:00:00.000","SHTF Sec II","43916","Loan","SHTF SEC II SPV","India","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-05-07T00:00:00.000","149.15","149.15"
"2022-04-01T00:00:00.000","Kordsa Global","43902","Loan","KORDSA TEKNIK TEKSTIL A.S.","Türkiye","Manufacturing","B","Regional Industry MAS MCT","Active","2022-02-28T00:00:00.000","110.0","110.0"
"2022-04-01T00:00:00.000","Celsia Revolving WC","44027","Loan","CELSIA COLOMBIA S A E S P","Colombia","Infrastructure","A","Regional Industry - INF LAC","Pending","2022-05-31T00:00:00.000","140.0","140.0"
"2022-03-31T00:00:00.000","Fouta Cement Corporation","45066","Loan","FOUTA CEMENT CORPORATION","Liberia","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-05-23T00:00:00.000","5.40","5.4"
"2022-03-31T00:00:00.000","GTLP MUFGECA Inc","46602","Loan","MUFG ECA GTLP","Türkiye","Financial Institutions","FI-2","Regional Industry FIG MCT","Pending","2022-05-04T00:00:00.000","25.0","25.0"
"2022-03-31T00:00:00.000","VLP Dry Port","45865","Loan","THANALENG DRY PORT SOLE CO.,LTD","Lao People's Democratic Republic","Infrastructure","B","Regional Industry - INF Asia & Pac","Pending","2022-05-15T00:00:00.000","27.0","27.0"
"2022-03-29T00:00:00.000","RSE COVID GTST Mauritania","44257","Loan","ADDAX ENERGY SA","Mauritania","Financial Institutions","B","CM3P6 - Regional Industry - MAS Africa/MAS Portf West/Ctrl/South Africa","Active","2020-06-10T00:00:00.000","80.0","80.0"
"2022-03-29T00:00:00.000","Arrendamas","46095","Loan","ARRENDADORA Y SOLUCIONES DE NEGOCIOS, S.A.P.I. DE C.V., SOFOM. E.N.R.","Mexico","Financial Institutions","FI-2","Regional Industry - FIG LAC","Pending","2022-05-13T00:00:00.000","51.05","51.05"
"2022-03-25T00:00:00.000","DCM Red RealFIDC","45178","Loan","Red Fundo de Investimento em Direitos Creditorios Real LP","Brazil","Funds","FI-2","Regional Industry - FIG LAC","Pending","2022-04-25T00:00:00.000","97.19","97.19"
"2022-03-22T00:00:00.000","GTLP SMBC III","46357","Loan","Sumitomo Mitsui Banking corporation RSF","World Region","Financial Institutions","FI-3","CFGPD - Global Industry, Financial Markets/Trade & Supply Chain, Products","Active","2022-03-16T00:00:00.000","500.0","500.0"
"2022-03-21T00:00:00.000","DCM Mega SBond ","45878","Loan","OPERADORA DE SERVICIOS MEGA, S.A. DE C.V. S.O.F.O.M. E.R.","Mexico","Financial Institutions","FI-2","Regional Industry - FIG LAC","Active","2022-03-02T00:00:00.000","29.25","29.25"
"2022-03-21T00:00:00.000","Contactar Loan","42868","Loan","CORPORACION DE CREDITO CONTACTAR","Colombia","Financial Institutions","FI-3","Regional Industry - FIG LAC","Pending","2022-04-20T00:00:00.000","15.0","15.0"
"2022-03-21T00:00:00.000","RALFI IFN SA ROMANIA","45897","Loan","RALFI IFN S.A","Romania","Financial Institutions","FI-3","Regional Industry - FIG - ECA","Active","2022-04-22T00:00:00.000","10.57","10.57"
"2022-03-18T00:00:00.000","Demir MSME","45726","Loan","Demir Kyrgyz International Bank CJSC","Kyrgyz Republic","Financial Institutions","FI-2","Regional Industry FIG MCT","Pending","2022-05-02T00:00:00.000","10.0","10.0"
"2022-03-17T00:00:00.000","Airtel Africa","43749","Loan","AIRTEL AFRICA PLC","Africa Region","Telecommunications, Media, and Technology","B","Regional Industry - INF Africa","Pending","2022-04-22T00:00:00.000","150.0","150.0"
"2022-03-14T00:00:00.000","DCM Haier Leasing Social Bond","45674","Loan","HAIER FINANCIAL SERVICES CHINA CO., LTD.","China","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Pending","2022-04-15T00:00:00.000","100.0","100.0"
"2022-03-10T00:00:00.000","FCSRE Vitas Palestine MSME Loan","45752","Loan","VITAS PALESTINE","West Bank and Gaza","Financial Institutions","FI-2","Regional Industry FIG MCT","Pending","2022-05-02T00:00:00.000","5.0","5.0"
"2022-03-10T00:00:00.000","DCM KMRC","45936","Loan","KENYA MORTGAGE REFINANCE COMPANY","Kenya","Financial Institutions","FI-3","Regional Industry - FIG Africa","Active","2022-02-17T00:00:00.000","36.97","36.97"
"2022-03-04T00:00:00.000","AlleyRoads","45432","Loan","ALIFC PROPERTY DEVELOPERS","South Africa","other","B","Regional Industry - MAS Africa","Pending","2022-04-08T00:00:00.000","20.45","20.45"
"2022-02-25T00:00:00.000","JAT Africa","45814","Loan","JUBAILI HOLDING FOR INVESTMENTS SAL","Africa Region","Agribusiness and Forestry","B","Regional Industry - MAS Africa","Pending","2022-04-15T00:00:00.000","35.0","35.0"
"2022-02-24T00:00:00.000","Santa Adelia","45828","Loan","USINA SANTA ADELIA S.A.","Brazil","Agribusiness and Forestry","B","Regional Industry - MAS LAC","Active","2022-03-28T00:00:00.000","30.98","30.98"
"2022-02-24T00:00:00.000","Averda Corporate Finance","41954","Loan","AVERDA HOLDINGS INTERNATIONAL LIMITED","MENA Region","other","B","Regional Industry INF MCT","Active","2022-03-28T00:00:00.000","30.0","30.0"
"2022-02-23T00:00:00.000","Hamkorbank Loan","42232","Loan","HAMKORBANK JSCB","Uzbekistan","Financial Institutions","FI-2","CF5IS - Regional Industry FIG MCT/FIG MCT Investment Services","Pending","2022-03-25T00:00:00.000","15.0","15.0"
"2022-02-17T00:00:00.000","RSE Covid Mauricio Ser 2020","44072","Loan","SER EDUCACIONAL S.A.","Brazil","Health and Education","B","CM1M7 - Regional Industry - MAS LAC/Regional MAS LAC, Health & Education","Pending","2021-02-04T00:00:00.000","40.0","40.0"
"2022-02-16T00:00:00.000","Axian Telecom Bond","46459","Loan","AXIAN TELECOM","Africa Region","Telecommunications, Media, and Technology","B","Regional Industry - INF Africa","Active","2022-02-01T00:00:00.000","60.0","60.0"
"2022-02-15T00:00:00.000","BOP Esquire","44138","Loan","ESQUIRE FINANCING INC","Philippines","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-03-24T00:00:00.000","19.30","19.3"
"2022-02-15T00:00:00.000","New CWI Landfill Gas","43518","Loan","NEW CHINA WATER (NANJING) RENEWABLE RESOURCES INVESTMENT CO., LTD.","China","Infrastructure","B","Regional Industry - INF Asia & Pac","Active","2022-03-18T00:00:00.000","50.46","50.46"
"2022-02-09T00:00:00.000","Capital Bank of Jordan WCS","44560","Loan","CAPITAL BANK OF JORDAN","Jordan","Financial Institutions","FI-2","Regional Industry FIG MCT","Pending","2022-03-12T00:00:00.000","25.0","25.0"
"2022-02-09T00:00:00.000","BOP Al Amana Microcredit Morocco","45575","Loan","AL AMANA MICROFINANCE","Morocco","Financial Institutions","FI-3","Regional Industry - FIG Africa","Pending","2022-03-21T00:00:00.000","8.0","8.0"
"2022-02-09T00:00:00.000","Genomma Lab II","43815","Loan","GENOMMA LAB INTERNACIONAL, S.A.B. DE C.V.","Mexico","other","B","Regional Industry - MAS LAC","Pending","2021-11-08T00:00:00.000","60.0","60.0"
"2022-02-08T00:00:00.000","Sodigaz Burkina","45082","Loan","Sodigaz APC SA","Burkina Faso","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-03-07T00:00:00.000","8.99","8.99"
"2022-02-02T00:00:00.000","BanBif Green SB","43919","Loan","BANCO INTERAMERICANO DE FINANZAS SA","Peru","Financial Institutions","FI-2","Regional Industry - FIG LAC","Pending","2022-03-25T00:00:00.000","25.0","25.0"
"2022-02-02T00:00:00.000","CREI Phils","46171","Loan","COMMUNICATION AND RENEWABLE ENERGY INFRASTRUCTURE CREI PHILS. INC.","Philippines","Telecommunications, Media, and Technology","B","Regional Industry - INF Asia & Pac","Pending","2022-03-16T00:00:00.000","28.30","28.3"
"2022-02-02T00:00:00.000","Uniminuto II","43396","Loan","CORPORACION UNIVERSITARIA MINUTO DE DIOS","Colombia","Health and Education","B","Regional Industry - MAS LAC","Pending","2022-03-04T00:00:00.000","25.55","25.55"
"2022-01-31T00:00:00.000","Forte Convertible","44741","Loan","FIG3 INVESTMENT HOLDING PTE. LTD","Cambodia","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Hold","2022-03-02T00:00:00.000","15.0","15.0"
"2022-01-27T00:00:00.000","Wave Debt","46264","Loan","WAVE MOBILE MONEY HOLDINGS INC.","Africa Region","Financial Institutions","C","Regional Industry - FIG Africa","Active","2022-02-27T00:00:00.000","28.0","39.1"
"2022-01-27T00:00:00.000","Lidl Romania RSE","43607","Loan","LIDL DISCOUNT SRL","Romania","Tourism, Retail, and Property","B","Regional Industry - MAS ECA","Active","2021-12-13T00:00:00.000","98.0","98.0"
"2022-01-18T00:00:00.000","Pier","44500","Loan","Pier Seguradora S.A.","Brazil","other","FI-3","Global Industry, Financial Markets","Active","2021-12-13T00:00:00.000","5.0","5.0"
"2021-12-22T00:00:00.000","DCM-HDBank ConvDebt","42030","Loan","HO CHI MINH CITY DEVELOPMENTJOINT STOCK COMMERCIAL BANK","Vietnam","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2021-12-20T00:00:00.000","28.50","28.5"
"2021-12-22T00:00:00.000","EBK Sub Loan II","45970","Loan","EQUITY BANK KENYA LIMITED","Kenya","Financial Institutions","FI-2","Regional Industry - FIG Africa","Active","2021-12-15T00:00:00.000","50.0","50.0"
"2021-12-18T00:00:00.000","Mammoth Foam","45539","Loan","MAMMOTH FOAM AFRICA","Eastern Africa Region","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-03-04T00:00:00.000","7.50","7.5"
"2021-12-13T00:00:00.000","Genesis II","45622","Loan","FUNDACION GENESIS EMPRESARIAL","Guatemala","Financial Institutions","FI-3","Regional Industry - FIG LAC","Active","2022-01-25T00:00:00.000","20.0","20.0"
"2021-12-13T00:00:00.000","IFC BEST Bond Fund","44671","Loan","AMUNDI ASSET MANAGEMENT","World Region","Funds","FI-2","Global Industry, Financial Markets","Pending","2021-10-28T00:00:00.000","100.0","240.0"
"2021-12-10T00:00:00.000","CajaArequipa SD1","43524","Loan","Caja Municipal de Ahorro y Credito de Arequipa S.A.","Peru","Financial Institutions","FI-2","Regional Industry - FIG LAC","Pending","2022-02-14T00:00:00.000","30.0","30.0"
"2021-12-10T00:00:00.000","Nedbank Green Bond DCM","46027","Loan","NEDBANK LTD","South Africa","Financial Institutions","FI-2","Regional Industry - FIG Africa","Active","2021-11-30T00:00:00.000","32.79","32.79"
"2021-12-03T00:00:00.000","BOP ESKH SL LCF ","44268","Loan","ESKHATA BANK OAO","Tajikistan","Financial Institutions","FI-2","Regional Industry FIG MCT","Active","2022-01-27T00:00:00.000","10.0","10.0"
"2021-12-01T00:00:00.000","Fitesa","45571","Loan","FITESA NAOTECIDOS S/A","Brazil","Manufacturing","B","Regional Industry - MAS LAC","Active","2022-01-14T00:00:00.000","50.0","50.0"
"2021-11-30T00:00:00.000","Coffee Revival","41813","Loan","NESTLE NESPRESSO SA","Africa Region","Agribusiness and Forestry","B","Regional Industry - MAS Africa","Pending","2022-01-06T00:00:00.000","4.34","4.34"
"2021-11-24T00:00:00.000","ABC Climate II","44866","Loan","BANCO ABC BRASIL SA","Brazil","Financial Institutions","FI-2","Regional Industry - FIG LAC","Active","2022-01-13T00:00:00.000","100.0","100.0"
