"ifc_region","country","number_of_enterprises","ifc_cumulative_commitments_us_thousands","loan_guarantee_participations_cumulative_commitments_us_thousands","total","fiscal_year"
"Latin America and the Caribbean","Argentina","195","5332187.01","3680163.00","9012350.02","FY15"
"Latin America and the Caribbean","Argentina","191","5062099.42","3654163.00","8716262.43","FY14"
"Latin America and the Caribbean","Argentina","191","4820480.97","3654163.00","8474643.97","FY13"
"Latin America and the Caribbean","Argentina","191","4699380.80","3654163.00","8353543.81","FY12"
"Latin America and the Caribbean","Argentina","199","6113525.74","4549263.00","10662788.75","FY16"
"Latin America and the Caribbean","Argentina","206","6701371.23","5096863.00","11798234.24","FY17"
"Latin America and the Caribbean","Argentina","210","7353856.97","5429134.44","12782991.40","FY18"
"Latin America and the Caribbean","Argentina","212","7948032.26","5996750.79","13944783.05","FY19"
"Latin America and the Caribbean","Argentina","213","8258470.29","5996842.69","14255312.98","FY20"
"Latin America and the Caribbean","Argentina","213","8298470.29","5996842.69","14295312.98","FY21"
"Europe and Central Asia","Armenia","16","343801.18","0.00","343801.18","FY15"
"Europe and Central Asia","Armenia","16","320577.01","0.00","320577.01","FY14"
"Europe and Central Asia","Armenia","13","271543.85","0.00","271543.85","FY13"
"Europe and Central Asia","Armenia","12","238409.46","0.00","238409.46","FY12"
"Europe and Central Asia","Armenia","17","435514.47","0.00","435514.47","FY16"
"Europe and Central Asia","Armenia","17","488046.93","0.00","488046.93","FY17"
"Europe and Central Asia","Armenia","17","519195.41","0.00","519195.41","FY18"
"Europe and Central Asia","Armenia","19","585593.76","0.00","585593.76","FY19"
"Europe and Central Asia","Armenia","20","609594.52","0.00","609594.52","FY20"
"Europe and Central Asia","Armenia","22","743604.62","0.00","743604.62","FY21"
"Worldwide","Australia","2","975.00","0.00","975.00","FY15"
"Worldwide","Australia","2","975.00","0.00","975.00","FY14"
"Worldwide","Australia","2","975.00","0.00","975.00","FY13"
"Worldwide","Australia","2","975.00","0.00","975.00","FY12"
"Worldwide","Australia","2","975.00","0.00","975.00","FY16"
"Worldwide","Australia","2","975.00","0.00","975.00","FY17"
"Worldwide","Australia","2","975.00","0.00","975.00","FY18"
"Worldwide","Australia","2","975.00","0.00","975.00","FY19"
"Worldwide","Australia","2","975.00","0.00","975.00","FY20"
"Worldwide","Australia","2","975.00","0.00","975.00","FY21"
"Europe and Central Asia","Azerbaijan","27","559687.48","197930.00","757617.48","FY15"
"Europe and Central Asia","Azerbaijan","26","539134.59","197930.00","737064.59","FY14"
"Europe and Central Asia","Azerbaijan","26","533557.17","197930.00","731487.17","FY13"
"Europe and Central Asia","Azerbaijan","26","489129.07","197930.00","687059.07","FY12"
"Europe and Central Asia","Azerbaijan","27","586543.25","197930.00","784473.25","FY16"
"Europe and Central Asia","Azerbaijan","27","596543.25","197930.00","794473.25","FY17"
"Europe and Central Asia","Azerbaijan","27","596529.40","197930.00","794459.40","FY18"
"Europe and Central Asia","Azerbaijan","27","596529.40","197930.00","794459.40","FY19"
"Europe and Central Asia","Azerbaijan","27","597629.40","197930.00","795559.40","FY20"
"Europe and Central Asia","Azerbaijan","27","597629.40","197930.00","795559.40","FY21"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY15"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY14"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY13"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY12"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY16"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY17"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY18"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY19"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY20"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY21"
"South Asia","Bangladesh","44","2570700.71","92745.00","2663446.11","FY15"
"South Asia","Bangladesh","41","1990600.96","92745.00","2083346.36","FY14"
"South Asia","Bangladesh","36","1607442.15","92745.00","1700187.55","FY13"
"South Asia","Bangladesh","30","1034383.51","52745.00","1087128.91","FY12"
"South Asia","Bangladesh","50","3333636.26","92745.00","3426381.66","FY16"
"South Asia","Bangladesh","55","3997916.78","154620.00","4152537.18","FY17"
"South Asia","Bangladesh","63","4776280.56","154620.40","4930900.96","FY18"
"South Asia","Bangladesh","64","6690238.41","194620.40","6884858.81","FY19"
"South Asia","Bangladesh","65","5651904.51","194620.40","5846524.91","FY20"
"South Asia","Bangladesh","72","6437638.59","194620.40","6632258.98","FY21"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY15"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY14"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY13"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY12"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY16"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY17"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY18"
"Latin America and the Caribbean","Barbados","5","28625.08","0.00","28625.08","FY19"
"Latin America and the Caribbean","Barbados","6","28625.08","0.00","28625.08","FY20"
"Latin America and the Caribbean","Barbados","6","28625.08","0.00","28625.08","FY21"
"Europe and Central Asia","Belarus","19","598994.48","6000.00","604994.48","FY15"
"Europe and Central Asia","Belarus","18","577745.26","0.00","577745.26","FY14"
"Europe and Central Asia","Belarus","17","420158.50","0.00","420158.50","FY13"
"Europe and Central Asia","Belarus","17","340496.04","0.00","340496.04","FY12"
"Europe and Central Asia","Belarus","20","644201.12","6000.00","650201.12","FY16"
"Europe and Central Asia","Belarus","21","650052.30","6000.00","656052.30","FY17"
"Europe and Central Asia","Belarus","21","663666.31","6000.00","669666.31","FY18"
"Europe and Central Asia","Belarus","21","683879.41","6000.00","689879.41","FY19"
"Europe and Central Asia","Belarus","22","743456.74","6000.00","749456.74","FY20"
"Europe and Central Asia","Belarus","21","805073.00","18000.00","823073.00","FY21"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY15"
"Latin America and the Caribbean","Belize","4","31369.88","11000.00","42369.88","FY14"
"Latin America and the Caribbean","Belize","4","28663.68","11000.00","39663.68","FY13"
"Latin America and the Caribbean","Belize","4","26936.86","11000.00","37936.86","FY12"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY16"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY17"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY18"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY19"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY20"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY21"
"Sub-Saharan Africa","Benin","10","203565.87","0.00","203565.87","FY14"
"Sub-Saharan Africa","Benin","10","157645.04","0.00","157645.04","FY13"
"Sub-Saharan Africa","Benin","10","95082.89","0.00","95082.89","FY12"
"Sub-Saharan Africa","Benin","11","265694.53","0.00","265694.53","FY16"
"Sub-Saharan Africa","Benin","12","303974.46","0.00","303974.46","FY17"
"Sub-Saharan Africa","Benin","13","323730.67","0.00","323730.67","FY18"
"Sub-Saharan Africa","Benin","13","323730.67","0.00","323730.67","FY19"
"Sub-Saharan Africa","Benin","13","323730.67","0.00","323730.67","FY20"
"Sub-Saharan Africa","Benin","13","323730.67","0.00","323730.67","FY21"
"South Asia","Bhutan","4","49853.59","0.00","49853.59","FY15"
"South Asia","Bhutan","3","45353.59","0.00","45353.59","FY14"
"South Asia","Bhutan","3","43245.90","0.00","43245.90","FY13"
"South Asia","Bhutan","3","13658.55","0.00","13658.55","FY12"
"South Asia","Bhutan","5","54530.01","0.00","54530.01","FY16"
"South Asia","Bhutan","6","54530.01","0.00","54530.01","FY17"
"South Asia","Bhutan","6","54516.61","0.00","54516.61","FY18"
"South Asia","Bhutan","6","54516.61","0.00","54516.61","FY19"
"South Asia","Bhutan","6","54516.61","0.00","54516.61","FY20"
"South Asia","Bhutan","6","54516.61","0.00","54516.61","FY21"
"Latin America and the Caribbean","Bolivia","32","512949.12","140500.00","653449.12","FY15"
"Latin America and the Caribbean","Bolivia","29","495075.71","140500.00","635575.71","FY14"
"Latin America and the Caribbean","Bolivia","29","460894.90","140500.00","601394.90","FY13"
"Latin America and the Caribbean","Bolivia","29","449262.16","140500.00","589762.16","FY12"
"Latin America and the Caribbean","Bolivia","32","550809.86","140500.00","691309.86","FY16"
"Latin America and the Caribbean","Bolivia","33","560656.95","140500.00","701156.95","FY17"
"Latin America and the Caribbean","Bolivia","33","571868.85","140500.00","712368.85","FY18"
"Latin America and the Caribbean","Bolivia","33","585701.26","155500.00","741201.26","FY19"
"Latin America and the Caribbean","Bolivia","33","593836.61","155500.00","749336.61","FY20"
"Latin America and the Caribbean","Bolivia","33","595152.61","155500.00","750652.61","FY21"
"Europe and Central Asia","Bosnia and Herzegovina","32","345343.16","10578.00","355920.71","FY15"
"Europe and Central Asia","Bosnia and Herzegovina","31","334589.21","10578.00","345166.76","FY14"
"Europe and Central Asia","Bosnia and Herzegovina","30","333885.34","10578.00","344462.89","FY13"
"Europe and Central Asia","Bosnia and Herzegovina","29","300854.94","10578.00","311432.49","FY12"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10578.00","369153.98","FY16"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10578.00","369153.98","FY17"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10577.55","369153.98","FY18"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10577.55","369153.98","FY19"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10577.55","369153.98","FY20"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10577.55","369153.98","FY21"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY14"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY13"
"Sub-Saharan Africa","Botswana","6","33454.10","0.00","33454.10","FY12"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY16"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY17"
"Sub-Saharan Africa","Botswana","7","60451.60","0.00","60451.60","FY18"
"Sub-Saharan Africa","Botswana","7","60451.60","0.00","60451.60","FY19"
"Sub-Saharan Africa","Botswana","7","60451.60","0.00","60451.60","FY20"
"Sub-Saharan Africa","Botswana","7","60451.60","0.00","60451.60","FY21"
"Latin America and the Caribbean","Brazil","267","14473494.45","6787478.00","21260972.15","FY15"
"Latin America and the Caribbean","Brazil","257","13478958.29","6327478.00","19806435.99","FY14"
"Latin America and the Caribbean","Brazil","244","11978012.96","6037822.00","18015834.79","FY13"
"Latin America and the Caribbean","Brazil","235","10580635.91","5737822.00","16318457.74","FY12"
"Latin America and the Caribbean","Brazil","272","15492225.08","7062478.00","22554702.78","FY16"
"Latin America and the Caribbean","Brazil","282","16461667.94","7496651.00","23958319.24","FY17"
"Latin America and the Caribbean","Brazil","297","17665077.31","7560951.30","25226028.61","FY18"
"Latin America and the Caribbean","Brazil","301","18633878.74","7785951.30","26419830.04","FY19"
"Latin America and the Caribbean","Brazil","309","19770476.67","8163336.46","27933813.13","FY20"
"Latin America and the Caribbean","Brazil","321","21571542.74","8705836.46","30277379.20","FY21"
"Europe and Central Asia","Bulgaria","26","810557.98","183647.00","994204.70","FY15"
"Europe and Central Asia","Bulgaria","25","756308.35","183647.00","939955.06","FY14"
"Europe and Central Asia","Bulgaria","25","674179.28","183647.00","857825.99","FY13"
"Europe and Central Asia","Bulgaria","25","645749.41","183647.00","829396.12","FY12"
"Europe and Central Asia","Bulgaria","28","938756.63","183647.00","1122403.34","FY16"
"Europe and Central Asia","Bulgaria","29","977667.85","183647.00","1161314.56","FY17"
"Europe and Central Asia","Bulgaria","29","988138.96","183646.71","1171785.68","FY18"
"Europe and Central Asia","Bulgaria","29","990725.90","183646.71","1174372.62","FY19"
"Europe and Central Asia","Bulgaria","30","1532893.40","293111.71","1826005.12","FY20"
"Europe and Central Asia","Bulgaria","31","1045467.65","183646.71","1229114.37","FY21"
"Sub-Saharan Africa","Burkina Faso","16","119439.29","0.00","119439.29","FY14"
"Sub-Saharan Africa","Burkina Faso","15","86750.61","0.00","86750.61","FY13"
"Sub-Saharan Africa","Burkina Faso","14","75412.57","0.00","75412.57","FY12"
"Sub-Saharan Africa","Burkina Faso","19","356346.17","0.00","356346.17","FY16"
"Sub-Saharan Africa","Burkina Faso","22","475118.77","0.00","475118.77","FY17"
"Sub-Saharan Africa","Burkina Faso","26","571273.33","0.00","571273.33","FY18"
"Sub-Saharan Africa","Burkina Faso","27","656890.73","0.00","656890.73","FY19"
"Sub-Saharan Africa","Burkina Faso","28","729466.10","0.00","729466.10","FY20"
"Sub-Saharan Africa","Burkina Faso","28","858108.64","0.00","858108.64","FY21"
"Sub-Saharan Africa","Burundi","9","47645.87","0.00","47645.87","FY14"
"Sub-Saharan Africa","Burundi","9","46512.51","0.00","46512.51","FY13"
"Sub-Saharan Africa","Burundi","8","46260.51","0.00","46260.51","FY12"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY16"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY17"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY18"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY19"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY20"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY21"
"East Asia and the Pacific","Cambodia","13","316463.25","155000.00","471463.25","FY15"
"East Asia and the Pacific","Cambodia","10","216136.06","60000.00","276136.06","FY14"
"East Asia and the Pacific","Cambodia","10","151727.93","60000.00","211727.93","FY13"
"East Asia and the Pacific","Cambodia","10","136245.16","60000.00","196245.16","FY12"
"East Asia and the Pacific","Cambodia","14","480798.23","355000.00","835798.23","FY16"
"East Asia and the Pacific","Cambodia","16","503905.45","359227.00","863132.72","FY17"
"East Asia and the Pacific","Cambodia","17","524959.56","414227.27","939186.83","FY18"
"East Asia and the Pacific","Cambodia","20","617809.61","489227.27","1107036.88","FY19"
"East Asia and the Pacific","Cambodia","20","675377.52","501727.27","1177104.79","FY20"
"East Asia and the Pacific","Cambodia","19","798809.30","570727.27","1369536.58","FY21"
"Sub-Saharan Africa","Cameroon","38","629933.49","471500.00","1101433.49","FY14"
"Sub-Saharan Africa","Cameroon","37","597275.47","471500.00","1068775.47","FY13"
"Sub-Saharan Africa","Cameroon","37","572108.63","471500.00","1043608.63","FY12"
"Sub-Saharan Africa","Cameroon","41","698682.12","471500.00","1170182.12","FY16"
"Sub-Saharan Africa","Cameroon","43","762779.13","471500.00","1234279.13","FY17"
"Sub-Saharan Africa","Cameroon","43","787185.60","471500.00","1258685.60","FY18"
"Sub-Saharan Africa","Cameroon","43","1023265.67","471500.00","1494765.67","FY19"
"Sub-Saharan Africa","Cameroon","43","1033256.17","471500.00","1504756.17","FY20"
"Sub-Saharan Africa","Cameroon","43","1033256.17","471500.00","1504756.17","FY21"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY14"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY13"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY12"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY16"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY17"
"Sub-Saharan Africa","Cape Verde","7","22065.16","0.00","22065.16","FY18"
"Sub-Saharan Africa","Cape Verde","7","22665.96","0.00","22665.96","FY19"
"Sub-Saharan Africa","Cape Verde","7","22665.96","0.00","22665.96","FY20"
"Sub-Saharan Africa","Cape Verde","7","23422.85","0.00","23422.85","FY21"
"Sub-Saharan Africa","Central African Republic","1","7880.62","0.00","7880.62","FY14"
"Sub-Saharan Africa","Central African Republic","1","5730.41","0.00","5730.41","FY13"
"Sub-Saharan Africa","Central African Republic","1","5528.39","0.00","5528.39","FY12"
"Sub-Saharan Africa","Central African Republic","1","9880.62","0.00","9880.62","FY16"
"Sub-Saharan Africa","Central African Republic","1","9880.62","0.00","9880.62","FY17"
"Sub-Saharan Africa","Central African Republic","1","9880.40","0.00","9880.40","FY18"
"Sub-Saharan Africa","Central African Republic","1","9880.40","0.00","9880.40","FY19"
"Sub-Saharan Africa","Central African Republic","1","9880.40","0.00","9880.40","FY20"
"Sub-Saharan Africa","Central African Republic","1","9880.40","0.00","9880.40","FY21"
"Sub-Saharan Africa","Chad","8","127375.85","13900.00","141275.85","FY14"
"Sub-Saharan Africa","Chad","7","48510.06","13900.00","62410.06","FY13"
"Sub-Saharan Africa","Chad","7","46644.17","13900.00","60544.17","FY12"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY16"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY17"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY18"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY19"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY20"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY21"
"Latin America and the Caribbean","Chile","67","2229233.82","1183105.00","3412338.48","FY15"
"Latin America and the Caribbean","Chile","64","2074233.82","1183105.00","3257338.48","FY14"
"Latin America and the Caribbean","Chile","56","1685509.47","1160605.00","2846114.13","FY13"
"Latin America and the Caribbean","Chile","53","1561952.46","1160605.00","2722557.13","FY12"
"Latin America and the Caribbean","Chile","68","2507283.82","1317105.00","3824388.48","FY16"
"Latin America and the Caribbean","Chile","70","2577475.89","1317105.00","3894580.55","FY17"
"Latin America and the Caribbean","Chile","71","2615482.92","1422604.66","4038087.58","FY18"
"Latin America and the Caribbean","Chile","71","2615932.92","1422604.66","4038537.58","FY19"
"Latin America and the Caribbean","Chile","72","2782298.84","1422604.66","4204903.50","FY20"
"Latin America and the Caribbean","Chile","76","2837298.84","1422604.66","4259903.50","FY21"
"East Asia and the Pacific","China","264","8199672.61","1830109.00","10029781.90","FY15"
"East Asia and the Pacific","China","245","6987970.53","1680109.00","8668079.82","FY14"
"East Asia and the Pacific","China","233","5974551.07","1308109.00","7282660.36","FY13"
"East Asia and the Pacific","China","210","4978735.03","1233109.00","6211844.32","FY12"
"East Asia and the Pacific","China","282","9019404.34","2111109.00","11130513.63","FY16"
"East Asia and the Pacific","China","295","9762048.45","2111109.00","11873157.74","FY17"
"East Asia and the Pacific","China","308","10429618.31","2111109.29","12540727.60","FY18"
"East Asia and the Pacific","China","315","10793306.03","2166109.29","12959415.33","FY19"
"East Asia and the Pacific","China","327","11579400.73","2208509.29","13787910.02","FY20"
"East Asia and the Pacific","China","337","12524353.51","2227867.36","14752220.86","FY21"
"Latin America and the Caribbean","Colombia","130","3160813.42","1286631.00","4447444.44","FY15"
"Latin America and the Caribbean","Colombia","125","2892671.62","1286631.00","4179302.64","FY14"
"Latin America and the Caribbean","Colombia","117","2670627.64","1168631.00","3839258.67","FY13"
"Latin America and the Caribbean","Colombia","111","2530730.56","1168631.00","3699361.59","FY12"
"Latin America and the Caribbean","Colombia","137","3387409.11","1292631.00","4680040.13","FY16"
"Latin America and the Caribbean","Colombia","139","3728019.01","1307631.00","5035650.04","FY17"
"Latin America and the Caribbean","Colombia","141","4115225.77","1338631.03","5453856.79","FY18"
"Latin America and the Caribbean","Colombia","148","4332568.50","1347631.03","5680199.53","FY19"
"Latin America and the Caribbean","Colombia","151","4990162.31","1420597.69","6410760.00","FY20"
"Latin America and the Caribbean","Colombia","153","5135162.31","1420597.69","6555760.00","FY21"
"Sub-Saharan Africa","Comoros","1","14887.60","0.00","14887.60","FY19"
"Sub-Saharan Africa","Comoros","1","14887.60","0.00","14887.60","FY20"
"Sub-Saharan Africa","Comoros","1","14887.60","0.00","14887.60","FY21"
"Sub-Saharan Africa","Congo, Democratic Republic of","22","278153.14","94000.00","372153.14","FY14"
"Sub-Saharan Africa","Congo, Democratic Republic of","21","245973.14","94000.00","339973.14","FY13"
"Sub-Saharan Africa","Congo, Democratic Republic of","20","237721.27","94000.00","331721.27","FY12"
"Sub-Saharan Africa","Congo, Democratic Republic of","28","509432.37","94000.00","603432.37","FY16"
"Sub-Saharan Africa","Congo, Democratic Republic of","29","513899.28","94000.00","607899.28","FY17"
"Sub-Saharan Africa","Congo, Democratic Republic of","29","521888.34","94000.00","615888.34","FY18"
"Sub-Saharan Africa","Congo, Democratic Republic of","30","524712.95","94000.00","618712.95","FY19"
"Sub-Saharan Africa","Congo, Democratic Republic of","31","539712.95","94000.00","633712.95","FY20"
"Sub-Saharan Africa","Congo, Democratic Republic of","32","589712.95","94000.00","683712.95","FY21"
"Sub-Saharan Africa","Congo, Republic of","7","138442.47","25000.00","163442.47","FY14"
"Sub-Saharan Africa","Congo, Republic of","7","138442.47","25000.00","163442.47","FY13"
"Sub-Saharan Africa","Congo, Republic of","7","124910.32","25000.00","149910.32","FY12"
"Sub-Saharan Africa","Congo, Republic of","9","154232.40","25000.00","179232.40","FY16"
"Sub-Saharan Africa","Congo, Republic of","9","154232.40","25000.00","179232.40","FY17"
"Sub-Saharan Africa","Congo, Republic of","9","154232.40","25000.00","179232.40","FY18"
"Sub-Saharan Africa","Congo, Republic of","9","154232.40","25000.00","179232.40","FY19"
"Sub-Saharan Africa","Congo, Republic of","10","154232.40","25000.00","179232.40","FY20"
"Sub-Saharan Africa","Congo, Republic of","10","154232.40","25000.00","179232.40","FY21"
"Latin America and the Caribbean","Costa Rica","33","757670.01","99709.00","857378.83","FY15"
"Latin America and the Caribbean","Costa Rica","32","614885.50","99709.00","714594.32","FY14"
"Latin America and the Caribbean","Costa Rica","30","463188.65","99709.00","562897.47","FY13"
"Latin America and the Caribbean","Costa Rica","27","379594.57","99709.00","479303.39","FY12"
"Latin America and the Caribbean","Costa Rica","33","889359.32","99709.00","989068.14","FY16"
"Latin America and the Caribbean","Costa Rica","34","1164363.59","99709.00","1264072.41","FY17"
"Latin America and the Caribbean","Costa Rica","34","1379409.07","99708.82","1479117.89","FY18"
"Latin America and the Caribbean","Costa Rica","34","1543292.73","99708.82","1643001.56","FY19"
"Latin America and the Caribbean","Costa Rica","35","1673647.03","99708.82","1773355.85","FY20"
"Latin America and the Caribbean","Costa Rica","36","1781197.03","99708.82","1880905.85","FY21"
"Sub-Saharan Africa","Cote d'Ivoire","51","737632.43","70964.00","808596.23","FY14"
"Sub-Saharan Africa","Cote d'Ivoire","49","473018.77","70964.00","543982.57","FY13"
"Sub-Saharan Africa","Cote d'Ivoire","47","317183.71","70964.00","388147.51","FY12"
"Sub-Saharan Africa","Cote D'Ivoire","57","877538.74","70964.00","948502.54","FY16"
"Sub-Saharan Africa","Cote D'Ivoire","58","895336.59","139956.00","1035292.89","FY17"
"Sub-Saharan Africa","Cote D'Ivoire","64","1060426.87","139956.30","1200383.17","FY18"
"Sub-Saharan Africa","Cote D'Ivoire","69","1099695.28","139956.30","1239651.58","FY19"
"Sub-Saharan Africa","Cote D'Ivoire","71","1309232.98","175274.70","1484507.68","FY20"
"Sub-Saharan Africa","Cote D'Ivoire","75","1327708.99","175274.70","1502983.69","FY21"
"Europe and Central Asia","Croatia","22","774637.47","228199.00","1002836.50","FY15"
"Europe and Central Asia","Croatia","21","749760.14","197097.00","946856.91","FY14"
"Europe and Central Asia","Croatia","19","607865.26","197097.00","804962.03","FY13"
"Europe and Central Asia","Croatia","16","552114.28","166695.00","718809.76","FY12"
