"region","country","credit_status","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ida","borrower_s_obligation"
"EAST ASIA AND PACIFIC","Thailand","Fully Repaid","125100000.00","9683587.87","0.00","115416412.13","112596677.22","0.00"
"EAST ASIA AND PACIFIC","Timor-Leste","Fully Disbursed","58078000.00","849975.22","0.00","56009670.72","0.00","0.00"
"EAST ASIA AND PACIFIC","Timor-Leste","Approved","121000000.00","0.00","115947360.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Timor-Leste","Disbursing","94201256.00","0.00","75263126.96","16272637.35","0.00","15403473.04"
"EAST ASIA AND PACIFIC","Timor-Leste","Repaying","25000000.00","0.00","0.00","25000000.00","2887500.00","22112500.00"
"EAST ASIA AND PACIFIC","Timor-Leste","Effective","40000000.00","0.00","38516760.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Tonga","Fully Disbursed","131900000.00","392091.46","0.00","127714240.24","0.00","22303558.20"
"EAST ASIA AND PACIFIC","Tonga","Approved","15000000.00","0.00","14956680.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Tonga","Disbursing","188630000.00","0.00","88265375.50","96170771.54","0.00","3173785.60"
"EAST ASIA AND PACIFIC","Tonga","Repaying","22790000.00","1694408.22","0.00","23473408.12","6233889.35","15433045.90"
"EAST ASIA AND PACIFIC","Tonga","Effective","22890000.00","0.00","22077648.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Tuvalu","Fully Disbursed","36210000.00","0.00","0.00","34628865.75","0.00","0.00"
"EAST ASIA AND PACIFIC","Tuvalu","Disbursing","109630000.00","12731034.48","52595451.67","42155196.10","0.00","0.00"
"EAST ASIA AND PACIFIC","Tuvalu","Effective","65000000.00","0.00","61719468.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Tuvalu","Signed","15000000.00","0.00","14824320.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Vanuatu","Approved","35000000.00","0.00","33222360.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Vanuatu","Fully Disbursed","1500000.00","43698.63","0.00","1500000.00","0.00","1413544.36"
"EAST ASIA AND PACIFIC","Vanuatu","Disbursing","203600000.00","0.00","65596329.15","134976447.98","0.00","92309081.77"
"EAST ASIA AND PACIFIC","Vanuatu","Repaying","15375000.00","2829474.57","0.00","14038173.07","10377350.78","4206467.78"
"EAST ASIA AND PACIFIC","Vanuatu","Effective","46800000.00","0.00","43705272.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Vanuatu","Terminated","3500000.00","3500000.00","0.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Vietnam","Repaying","16289268037.00","1522841824.77","0.00","14712941477.01","2881755972.86","10529582648.15"
"EAST ASIA AND PACIFIC","Vietnam","Effective","727770000.00","75000000.06","635134319.94","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Vietnam","Disbursing","1173300000.00","85801595.69","750222323.35","329625515.54","0.00","318474560.56"
"EAST ASIA AND PACIFIC","Vietnam","Fully Disbursed","434920000.00","60172815.98","0.00","378272358.14","0.00","333155629.38"
"EAST ASIA AND PACIFIC","Vietnam","Disbursing&Repaying","3085200000.00","119826414.19","917500802.66","1951279271.18","240604626.46","1617859837.85"
