"fiscal_year","project_id","project_name","procurement_category","major_sector","wb_contract_number","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Civil Works","Education","1687198","2021-12-21T00:00:00.000","CUEVA & CUEVA INGENIEROS S.A.","Republic of Ecuador","4418487.0"
"2017","P143996","EC Manta Public Services Improvement Project","Civil Works","Transportation;Water, Sanitation and Waste Management","1585323","2016-12-12T00:00:00.000","CONSTRUCTORA CIUDAD RODRIGO S.A.","Republic of Ecuador","4298787.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Goods","Education","1709017","2022-05-13T00:00:00.000","EDUCTRADE","Kingdom of Spain","3545603.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Goods","Education","1709001","2022-06-02T00:00:00.000","BKB MAQUINARIA INDUSTRIAL CIA. LTDA.","Republic of Ecuador","3486003.0"
"2021","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Civil Works","Education","1673224","2020-11-23T00:00:00.000","ARROYO AGUIRRE CONSTRUCTORES Y SERVICIOS CÍA. LTDA.","Republic of Ecuador","3105374.0"
"2020","P151439","EC Guayaquil Wastewater Management Project","Goods","Water, Sanitation and Waste Management","1681809","2020-02-19T00:00:00.000","SOUTH ECUAMERIDIAN S.A.","Republic of Ecuador","2946601.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Civil Works","Transportation;Public Administration;Industry, Trade and Services","1550331","2017-08-06T00:00:00.000","CONSORCIO ANTARES","Republic of Ecuador","2847430.0"
"2021","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Civil Works","Education","1675152","2020-11-23T00:00:00.000","ARING CONSTRUCCIONES CIA. LTDA.","Republic of Ecuador","2732032.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1553508","2018-01-23T00:00:00.000","PROINTEC S.A.","Kingdom of Spain","2613680.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1615602","2016-10-07T00:00:00.000","JORGE GUTIERREZ TENORIO","Republic of Ecuador","2545664.0"
"2017","P143996","EC Manta Public Services Improvement Project","Civil Works","Transportation;Water, Sanitation and Waste Management","1584056","2016-10-24T00:00:00.000","RIPCONCIV","Republic of Ecuador","2454404.0"
"2020","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1615079","2020-01-28T00:00:00.000","ING DANIEL SIGUENZA RIVERA","Republic of Ecuador","2292640.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1637066","2020-12-11T00:00:00.000","CONSORCIO LUCERO 2020","Republic of Ecuador","2221343.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1585673","2019-04-04T00:00:00.000","CONSORCIO CASTRO PILLARO SUR","Republic of Ecuador","2185774.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646371","2019-09-02T00:00:00.000","CONSORCIO DE RIEGO LAS MERCEDES","Republic of Ecuador","2137654.0"
"2022","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1680466","2021-10-29T00:00:00.000","TECNICA Y PROYECTOS S.A. TYPSA","Kingdom of Spain","2003901.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1638454","2020-12-03T00:00:00.000","CONSORCIO FACIR","Republic of Ecuador","1903726.0"
"2023","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1706962","2022-08-19T00:00:00.000","UNIVERSIDAD SAN GREGORIO DE PORTOVIEJO (USGP)","Republic of Ecuador","1534706.0"
"2020","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1606426","2020-03-12T00:00:00.000","JOHN MARTÍNEZ ZAMBRANO","Republic of Ecuador","1510949.0"
"2021","P144489","Quito Metro Line One","Consultant Services","Transportation","1638083","2020-12-01T00:00:00.000","CONSORCIO GMQ","Republic of Ecuador","1451564.0"
"2022","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1681458","2021-08-23T00:00:00.000","JORGE GUTIERREZ TENORIO","Republic of Ecuador","1396493.0"
"2021","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Civil Works","Education","1680963","2020-12-17T00:00:00.000","ANCLAJES Y EXCAVACIONES ANYEXCA","Republic of Ecuador","1396255.0"
"2023","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1706969","2022-08-19T00:00:00.000","UNIVERSIDAD SAN GREGORIO DE PORTOVIEJO (USGP)","Republic of Ecuador","1313295.0"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1677483","2021-12-14T00:00:00.000","AUDINGINTRAESA S.A.","Kingdom of Spain","1304829.0"
"2023","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1706968","2022-08-11T00:00:00.000","EMPRESA PÚBLICA DE LA UNIVERSIDAD TÉCNICA DE AMBATO","Republic of Ecuador","1297544.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1579157","2019-02-15T00:00:00.000","CONSORCIO CORONEL - ASOCIADOS","Republic of Ecuador","1246134.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1580473","2018-12-28T00:00:00.000","CONSORCIO LA PAQUITA","Republic of Ecuador","1237020.0"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1681638","2022-02-07T00:00:00.000","CAL Y MAYOR Y ASOCIADOS","United Mexican States","1218778.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1637282","2020-12-03T00:00:00.000","CONSORCIO CASTRO CHAMBITOLA","Republic of Ecuador","1176231.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1643143","2019-09-19T00:00:00.000","CONSORCIO KFIRIEGO - JZ","Republic of Ecuador","1132243.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Goods","Education","1709011","2022-05-13T00:00:00.000","EDUCTRADE","Kingdom of Spain","1081600.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Goods","Education","1706429","2022-05-30T00:00:00.000","INFORMATICA Y SISTEMAS DIGITALES DINFORSYSMEGA S.A.","Republic of Ecuador","1056618.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1543678","2016-08-02T00:00:00.000","ING DANIEL SIGUENZA","Republic of Ecuador","1051934.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Civil Works","Water, Sanitation and Waste Management","1543677","2016-08-02T00:00:00.000","ING DANIEL SIGUENZA","Republic of Ecuador","998445.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1638477","2020-12-02T00:00:00.000","DANIEL ELIAS SIGUENZA RIVERA","Republic of Ecuador","911579.0"
"2017","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Goods","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1552737","2016-09-30T00:00:00.000","COMERCIO GLOBAL CIAGLOBAL SA","Republic of Ecuador","866400.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1638440","2020-12-04T00:00:00.000","CONSORCIO BELRIEGO","Republic of Ecuador","861791.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1579833","2019-01-07T00:00:00.000","CONSORCIO CASTRO ESTERO PIEDRAS","Republic of Ecuador","829994.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546506","2017-03-27T00:00:00.000","ARANDY GRANDA JOSE EDGAR REINEL","Republic of Ecuador","809120.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646489","2019-07-17T00:00:00.000","CONSORCIO SUCUSO CHIMBORAZO","Republic of Ecuador","779031.0"
"2022","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Non-consulting Services","Health","1702020","2021-08-11T00:00:00.000","DHL GLOBAL FORWARDING ECUADOR S.A","Republic of Ecuador","759322.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646874","2020-06-15T00:00:00.000","CONSORCIO CASTRO LA PLAYA","Republic of Ecuador","705481.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646451","2019-09-30T00:00:00.000","FREDY FERNANDO AGUILAR MORA","Republic of Ecuador","697577.0"
"2021","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1648595","2021-02-05T00:00:00.000","TÉCNICA Y PROYECTOS S.A. TYPSA","Kingdom of Spain","668471.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1579166","2018-12-26T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","663430.0"
"2019","P143996","EC Manta Public Services Improvement Project","Civil Works","Transportation;Water, Sanitation and Waste Management","1571563","2018-07-26T00:00:00.000","ACUÍCOLA Y PISCÍCOLA ACUIVASQUEZ S.A.","Republic of Ecuador","660805.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1576115","2018-12-28T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","655899.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1647809","2019-08-07T00:00:00.000","CONSORCIO CIVIL RIEGO","Republic of Ecuador","650469.0"
"2019","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1599063","2018-12-18T00:00:00.000","FELIPE OCHOA Y ASOCIADOS, S.C.","United Mexican States","649501.0"
"2020","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1615164","2020-03-12T00:00:00.000","ACSAM CONSULTORES CIA LTDA","Republic of Colombia","622240.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1638467","2020-12-01T00:00:00.000","FABREZ ECUADOR S.A.","Republic of Ecuador","615940.0"
"2017","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Goods","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1577735","2017-06-26T00:00:00.000","BOREAL MEDICAL","Republic of Ecuador","608832.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1675143","2021-09-16T00:00:00.000","CONSORCIO CASTRO GUABUG","Republic of Ecuador","605896.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607252","2019-11-19T00:00:00.000","FABREZ ECUADOR S.A.","Republic of Ecuador","574799.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607154","2019-12-11T00:00:00.000","CONSORCIO KJZ - PARAISO","Republic of Ecuador","562282.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646465","2019-07-23T00:00:00.000","FREDY FERNANDO AGUILAR MORA","Republic of Ecuador","513297.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1616831","2017-05-02T00:00:00.000","HAZEN AND SAWYER P.C.","Republic of Ecuador","500139.0"
"2018","P143996","EC Manta Public Services Improvement Project","Goods","Transportation;Water, Sanitation and Waste Management","1570888","2018-04-05T00:00:00.000","ELICROM CÍA. LTDA.","Republic of Ecuador","496422.0"
"2017","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1541753","2016-07-19T00:00:00.000","VEOLIA ECUADOR S.A.","Republic of Ecuador","480224.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1638414","2020-11-30T00:00:00.000","CONSORCIO CASTRO BELISARIO","Republic of Ecuador","473572.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616246","2020-12-29T00:00:00.000","FABREZ ECUADOR S.A.","Republic of Ecuador","466998.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1586353","2019-02-15T00:00:00.000","CONSORCIO RIEGO EL GUINEO","Republic of Ecuador","456035.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1579182","2018-12-26T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","445760.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1638435","2020-12-08T00:00:00.000","CONSORCIO ARDIRIEGO","Republic of Ecuador","439278.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1554236","2017-12-04T00:00:00.000","TPF GETINSA EUROESTUDIOS SL","Kingdom of Spain","429067.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1557286","2018-04-18T00:00:00.000","TPF GETINSA - EUROESTUDIOS SL","Kingdom of Spain","429067.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1687824","2021-12-28T00:00:00.000","SEG INGENIERIA SONDEOS ESTRUCTURAS Y GEOTECNIA S.A.","Kingdom of Spain","426538.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Non-consulting Services","Education","1689072","2021-09-30T00:00:00.000","FLACSO- FACULTAD LATINOAMERICANO DE CIENCIAS SOCIALES","Republic of Ecuador","417967.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1557285","2018-04-18T00:00:00.000","TPF GETINSA - EUROESTUDIOS SL","Kingdom of Spain","417756.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1588837","2019-06-11T00:00:00.000","ANALISIS SOCIAL Y ECONOMICO ESTADIGRAFA CIA. LTDA","Republic of Ecuador","409200.0"
"2017","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Goods","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1563578","2017-06-26T00:00:00.000","MEDICORSA CIA LTDA","Republic of Ecuador","407232.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549132","2017-04-13T00:00:00.000","LUIS ALFONZO CASTRO AREVALO","Republic of Ecuador","407107.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1688061","2021-12-23T00:00:00.000","SEG INGENIERIA SONDEOS ESTRUCTURAS Y GEOTECNIA S.A.","Kingdom of Spain","404726.0"
"2017","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1617917","2016-09-01T00:00:00.000","Individual Consultant","Republic of Ecuador","404200.0"
"2019","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1615743","2019-02-15T00:00:00.000","CONSULTORIA TECNICA CIA LTDA CONTEC","Republic of Ecuador","392935.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1687934","2021-12-21T00:00:00.000","SEG INGENIERIA SONDEOS ESTRUCTURAS Y GEOTECNIA S.A.","Kingdom of Spain","387422.0"
"2017","P143996","EC Manta Public Services Improvement Project","Non-consulting Services","Transportation;Water, Sanitation and Waste Management","1590279","2017-06-30T00:00:00.000","ASISTECOM CIA. LTDA.","Republic of Ecuador","375461.0"
"2017","P143996","EC Manta Public Services Improvement Project","Civil Works","Transportation;Water, Sanitation and Waste Management","1541752","2016-07-18T00:00:00.000","VEOLIA ECUADOR S.A.","Republic of Ecuador","370722.0"
"2017","P143996","EC Manta Public Services Improvement Project","Civil Works","Transportation;Water, Sanitation and Waste Management","1586291","2016-07-29T00:00:00.000","VEOLIA ECUADOR S.A.","Republic of Ecuador","370722.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1576136","2018-12-17T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","369818.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546232","2017-03-24T00:00:00.000","NETAFIM ECUADOR S.A.","Republic of Ecuador","352484.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1576104","2018-12-28T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","351815.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1579179","2018-12-28T00:00:00.000","FABREZ ECUADOR S.A.","Republic of Ecuador","349856.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Goods","Education","1637505","2020-09-17T00:00:00.000","MCGRAW HILL INTERAMERICANA S. A.","Republic of Colombia","340290.0"
"2022","P172899","Promoting Access to Finance for Productive Purposes for MSMEs","Consultant Services","Financial Sector","1675340","2021-10-20T00:00:00.000","DELOITTE & TOUCHE ECUADOR CIA. LTDA.","Republic of Ecuador","336755.0"
"2022","P172899","Promoting Access to Finance for Productive Purposes for MSMEs","Consultant Services","Financial Sector","1690154","2022-03-07T00:00:00.000","DELOITTE & TOUCHE ECUADOR CIA. LTDA.","Republic of Ecuador","324800.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1579183","2018-12-26T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","320624.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646474","2019-08-29T00:00:00.000","CONSORCIO KFIRIEGO - JZ","Republic of Ecuador","318034.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607134","2019-11-22T00:00:00.000","CONSORCIO CASTRO 17 DE JUNIO","Republic of Ecuador","317769.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Goods","Education","1669280","2021-08-20T00:00:00.000","SINETCOM S.A. SOLUCIONES INTEGRALES EN TECNOLOGÍA","Republic of Ecuador","311123.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1651809","2020-10-23T00:00:00.000","UNITED NATIONS DEVELOPMENT PROGRAMME (UNDP)","World","308042.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1623545","2020-06-25T00:00:00.000","SEIDOR S. A.","Kingdom of Spain","298586.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549114","2017-06-27T00:00:00.000","FABREZ ECUADOR S.A.","Republic of Ecuador","287876.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646872","2019-04-16T00:00:00.000","ECOLGY FARM CIA. LTDA","Republic of Ecuador","283436.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549117","2017-07-19T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","283056.0"
"2023","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1706978","2022-07-26T00:00:00.000","CORPORACIÓN NACIONAL DE TELECOMUNICACIONES-CNT EP","Republic of Ecuador","280034.0"
"2020","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1618414","2020-03-12T00:00:00.000","CEPMONTI S.A.","Republic of Ecuador","277855.0"
"2022","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1682641","2021-09-20T00:00:00.000","CONSTRUCTORA & FISCALIZADORA FISCAZUL J&L CONSFISCAZULJ&L S.A.","Republic of Ecuador","269750.0"
"2020","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Goods","Health","1631300","2020-05-22T00:00:00.000","MÉDICA ECUADOR EQUIPOS E INSUMOS MÉDICOS MEDECU C.A.","Republic of Ecuador","257040.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549115","2017-04-28T00:00:00.000","EDGAR NUÑEZ LUCIO","Republic of Ecuador","247159.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Civil Works","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607264","2019-11-28T00:00:00.000","TONELLO SOLUCIONES INTEGRALES CIA. LTDA.","Republic of Ecuador","245277.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1618540","2019-08-08T00:00:00.000","TECNICAS CBB S. A.","Republic of Ecuador","239165.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1688082","2021-12-20T00:00:00.000","SEG INGENIERIA SONDEOS ESTRUCTURAS Y GEOTECNIA S.A.","Kingdom of Spain","235708.0"
