"ifc_region","country","number_of_enterprises","ifc_cumulative_commitments_us_thousands","loan_guarantee_participations_cumulative_commitments_us_thousands","total","fiscal_year","as_of_date"
"Europe and Central Asia","Albania","21","487756.81","65692.00","553448.72","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Armenia","16","343801.18","0.00","343801.18","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Azerbaijan","27","559687.48","197930.00","757617.48","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Belarus","19","598994.48","6000.00","604994.48","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Bosnia and Herzegovina","32","345343.16","10578.00","355920.71","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Bulgaria","26","810557.98","183647.00","994204.70","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Croatia","22","774637.47","228199.00","1002836.50","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Czech Republic","19","482772.92","245588.00","728360.84","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Estonia","11","137806.09","11855.00","149661.07","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Georgia","24","890791.40","38325.00","929116.65","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Hungary","34","437985.38","70335.00","508320.21","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Kazakhstan","35","1385519.99","282917.00","1668436.65","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Kosovo","4","35802.11","0.00","35802.11","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Kyrgyz Republic","15","123526.17","0.00","123526.17","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Latvia","7","80966.79","35000.00","115966.79","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Lithuania","11","95040.95","9309.00","104349.95","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of","16","236682.68","25000.00","261682.68","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Moldova","18","263322.94","45000.00","308322.94","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Montenegro","6","86754.20","0.00","86754.20","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Poland","46","454925.93","115317.00","570242.77","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Romania","50","2265739.56","478163.00","2743903.02","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Russian Federation","194","8797860.99","2523372.00","11321232.95","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Serbia","38","1469522.71","135630.00","1605152.96","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Slovak Republic","7","115543.69","0.00","115543.69","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Slovenia","12","241309.47","47383.00","288692.18","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Tajikistan","20","143465.69","0.00","143465.69","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Turkey","190","9256835.67","3664969.00","12921805.09","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Ukraine","51","2341247.68","776700.00","3117947.68","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Uzbekistan","17","120513.67","12900.00","133413.67","FY15","2015-06-30T00:00:00.000"
"Europe and Central Asia","Regional Investments: Europe and Central Asia","63","2811202.04","200880.00","3012082.06","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Argentina","195","5332187.01","3680163.00","9012350.02","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Bolivia","32","512949.12","140500.00","653449.12","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Brazil","267","14473494.45","6787478.00","21260972.15","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Chile","67","2229233.82","1183105.00","3412338.48","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Colombia","130","3160813.42","1286631.00","4447444.44","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Costa Rica","33","757670.01","99709.00","857378.83","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominica","1","700.00","0.00","700.00","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominican Republic","36","658559.59","241850.00","900409.59","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Ecuador","24","451227.78","39240.00","490467.84","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","El Salvador","19","486271.94","113500.00","599771.94","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Grenada","2","8000.00","0.00","8000.00","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Guatemala","28","1294742.30","210000.00","1504742.30","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Guyana","7","76416.96","0.00","76416.96","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Haiti","12","131664.48","25250.00","156914.48","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Honduras","26","1312214.71","142901.00","1455115.46","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Jamaica","24","505295.60","194244.00","699540.09","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Mexico","201","6811502.82","2832134.00","9643636.35","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Nicaragua","24","526651.16","12429.00","539079.73","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Panama","32","1869488.55","153300.00","2022788.55","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Paraguay","18","1117986.51","10000.00","1127986.51","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Peru","78","2192293.70","963099.00","3155393.01","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","St. Lucia","3","45421.91","0.00","45421.91","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Suriname","1","4065.88","0.00","4065.88","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Trinidad and Tobago","15","358653.74","235000.00","593653.74","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Uruguay","19","347857.83","120000.00","467857.83","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de","39","897229.54","703791.00","1601020.96","FY15","2015-06-30T00:00:00.000"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean","78","1765247.38","350000.00","2115247.38","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Afghanistan","8","221320.27","0.00","221320.27","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Egypt, Arab Republic of","96","2889660.25","814871.00","3704531.50","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Iran, Islamic Republic of","11","63342.91","8199.00","71542.37","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Iraq","11","435951.18","50000.00","485951.18","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Jordan","57","1377250.90","604488.00","1981739.21","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Lebanon","37","3285558.93","230430.00","3515988.93","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Morocco","45","965950.97","515014.00","1480965.06","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Oman","7","319853.40","57000.00","376853.40","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Pakistan","136","5714368.98","643307.00","6357675.99","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Saudi Arabia","10","361276.71","0.00","361276.71","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Syrian Arab Republic","4","24731.60","0.00","24731.60","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Tunisia","31","474686.92","417228.00","891914.72","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","United Arab Emirates","3","55000.00","0.00","55000.00","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Yemen, Republic of","14","206004.20","56105.00","262108.86","FY15","2015-06-30T00:00:00.000"
"Middle East and North Africa","Regional Investments: Middle East and North Africa","46","1761941.03","33000.00","1794941.03","FY15","2015-06-30T00:00:00.000"
"Worldwide","Australia","2","975.00","0.00","975.00","FY15","2015-06-30T00:00:00.000"
"Worldwide","Cyprus","7","32181.47","645.00","32826.72","FY15","2015-06-30T00:00:00.000"
"Worldwide","Finland","4","1233.13","1915.00","3147.64","FY15","2015-06-30T00:00:00.000"
"Worldwide","Greece","6","25742.34","40131.00","65873.59","FY15","2015-06-30T00:00:00.000"
"Worldwide","Israel","1","10500.00","0.00","10500.00","FY15","2015-06-30T00:00:00.000"
"Worldwide","Italy","1","960.00","0.00","960.00","FY15","2015-06-30T00:00:00.000"
"Worldwide","Portugal","7","51811.13","11000.00","62811.13","FY15","2015-06-30T00:00:00.000"
"Worldwide","Spain","5","19042.51","1685.00","20727.51","FY15","2015-06-30T00:00:00.000"
"Worldwide","Regional Investments: Worldwide","136","8301046.50","183000.00","8484046.50","FY15","2015-06-30T00:00:00.000"
"Worldwide","Other","25","332651.21","11400.00","344051.21","FY15","2015-06-30T00:00:00.000"
"Sub-Saharan Africa","Angola","7","342350.71","0.00","342350.71","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Benin","10","203565.87","0.00","203565.87","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Burkina Faso","16","119439.29","0.00","119439.29","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Burundi","9","47645.87","0.00","47645.87","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Cameroon","38","629933.49","471500.00","1101433.49","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Central African Republic","1","7880.62","0.00","7880.62","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Chad","8","127375.85","13900.00","141275.85","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Democratic Republic of","22","278153.14","94000.00","372153.14","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Republic of","7","138442.47","25000.00","163442.47","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Cote d'Ivoire","51","737632.43","70964.00","808596.23","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Djibouti","1","4000.00","0.00","4000.00","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Eritrea","1","949.22","0.00","949.22","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Ethiopia","11","326927.52","1719.00","328646.52","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Gabon","5","210588.01","110000.00","320588.01","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Gambia, The","10","26192.78","0.00","26192.78","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Ghana","75","2041893.35","432750.00","2474643.35","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea","14","266204.13","11000.00","277204.13","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea-Bissau","4","7245.99","0.00","7245.99","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Kenya","102","1692136.15","87162.00","1779298.20","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Lesotho","2","454.00","0.00","454.00","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Liberia","8","83427.27","0.00","83427.27","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Madagascar","21","254461.21","21000.00","275461.21","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Malawi","21","166133.33","9500.00","175633.33","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Mali","25","212577.89","40000.00","252577.89","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritania","14","273264.40","9503.00","282767.01","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritius","21","183523.00","96.00","183619.00","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Mozambique","28","378441.14","0.00","378441.14","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Namibia","7","68258.69","0.00","68258.69","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Niger","3","24609.60","0.00","24609.60","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Nigeria","102","7220346.56","312155.00","7532501.60","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Rwanda","16","111686.33","0.00","111686.33","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Sao Tome and Principe","1","552.15","0.00","552.15","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Senegal","36","352244.26","12398.00","364642.25","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Seychelles","7","39443.21","2500.00","41943.21","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Sierra Leone","9","71191.34","25000.00","96191.34","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Somalia","2","974.61","0.00","974.61","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","South Africa","85","2351182.96","15000.00","2366182.96","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","South Sudan","1","5000.00","0.00","5000.00","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Sudan","6","27267.78","6489.00","33756.57","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Swaziland","9","47779.49","0.00","47779.49","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Tanzania","59","383998.97","13041.00","397039.48","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Togo","12","200167.83","0.00","200167.83","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Uganda","53","462155.03","13088.00","475243.39","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Zambia","38","254019.34","20286.00","274305.16","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Zimbabwe","51","284261.86","99000.00","383261.86","FY14","2014-06-30T00:00:00.000"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa","93","2675881.14","130898.00","2806779.61","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Cambodia","10","216136.06","60000.00","276136.06","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","China","245","6987970.53","1680109.00","8668079.82","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Fiji","9","49993.22","2500.00","52493.22","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Indonesia","124","3422051.34","2097055.00","5519106.70","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Kiribati","1","1798.00","0.00","1798.00","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Korea, Republic of","51","868449.18","195700.00","1064149.18","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Lao People's Democratic Republic","12","61026.45","0.00","61026.45","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Malaysia","12","154868.40","5389.00","160257.52","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Mongolia","17","320153.51","31000.00","351153.51","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Myanmar","3","82000.00","0.00","82000.00","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Papua New Guinea","10","354196.63","25000.00","379196.63","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Philippines","101","2785757.39","695880.00","3481636.99","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Samoa","7","20096.57","0.00","20096.57","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Solomon Islands","2","45000.00","0.00","45000.00","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Thailand","85","2037866.14","1748419.00","3786285.48","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Timor-Leste","1","500.00","0.00","500.00","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Tonga","1","6787.00","0.00","6787.00","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Vanuatu","4","18104.05","0.00","18104.05","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Vietnam","53","4316543.78","253135.00","4569678.78","FY14","2014-06-30T00:00:00.000"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific","43","1216564.03","0.00","1216564.03","FY14","2014-06-30T00:00:00.000"
"South Asia","Bangladesh","41","1990600.96","92745.00","2083346.36","FY14","2014-06-30T00:00:00.000"
"South Asia","Bhutan","3","45353.59","0.00","45353.59","FY14","2014-06-30T00:00:00.000"
"South Asia","India","377","10406061.82","1693640.00","12099701.59","FY14","2014-06-30T00:00:00.000"
"South Asia","Maldives","7","168250.00","8500.00","176750.00","FY14","2014-06-30T00:00:00.000"
"South Asia","Nepal","21","178661.26","36000.00","214661.26","FY14","2014-06-30T00:00:00.000"
"South Asia","Sri Lanka","41","635479.15","128616.00","764094.75","FY14","2014-06-30T00:00:00.000"
"South Asia","Regional Investments: South Asia","11","238570.00","0.00","238570.00","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Albania","21","487307.50","65692.00","552999.41","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Armenia","16","320577.01","0.00","320577.01","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Azerbaijan","26","539134.59","197930.00","737064.59","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Belarus","18","577745.26","0.00","577745.26","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Bosnia and Herzegovina","31","334589.21","10578.00","345166.76","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Bulgaria","25","756308.35","183647.00","939955.06","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Croatia","21","749760.14","197097.00","946856.91","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Czech Republic","19","482772.92","245588.00","728360.84","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Estonia","11","137806.09","11855.00","149661.07","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Georgia","23","799608.70","11500.00","811108.70","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Hungary","34","437985.38","70335.00","508320.21","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Kazakhstan","33","1348769.99","282917.00","1631686.65","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Kosovo","4","35654.42","0.00","35654.42","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Kyrgyz Republic","15","117726.17","0.00","117726.17","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Latvia","7","80966.79","35000.00","115966.79","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Lithuania","11","95040.95","9309.00","104349.95","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of","15","213040.19","25000.00","238040.19","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Moldova","18","233322.94","45000.00","278322.94","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Montenegro","6","86754.20","0.00","86754.20","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Poland","45","438121.43","115317.00","553438.27","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Romania","45","1937707.34","478163.00","2415870.80","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Russian Federation","195","8812017.41","2523372.00","11335389.37","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Serbia","38","1440357.93","135630.00","1575988.19","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Slovak Republic","7","115543.69","0.00","115543.69","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Slovenia","12","241309.47","47383.00","288692.18","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Tajikistan","20","118941.21","0.00","118941.21","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Turkey","179","7934199.31","3471033.00","11405231.99","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Ukraine","50","2292684.39","751700.00","3044384.39","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Uzbekistan","17","119818.88","12900.00","132718.88","FY14","2014-06-30T00:00:00.000"
"Europe and Central Asia","Regional Investments: Europe and Central Asia","58","2612732.79","200880.00","2813612.81","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Argentina","191","5062099.42","3654163.00","8716262.43","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Belize","4","31369.88","11000.00","42369.88","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Bolivia","29","495075.71","140500.00","635575.71","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Brazil","257","13478958.29","6327478.00","19806435.99","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Chile","64","2074233.82","1183105.00","3257338.48","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Colombia","125","2892671.62","1286631.00","4179302.64","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Costa Rica","32","614885.50","99709.00","714594.32","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominica","1","700.00","0.00","700.00","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominican Republic","36","648559.59","241850.00","890409.59","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Ecuador","23","348626.97","39240.00","387867.03","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","El Salvador","19","445926.36","113500.00","559426.36","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Grenada","2","8000.00","0.00","8000.00","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Guatemala","27","1131826.99","210000.00","1341826.99","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Guyana","7","31416.96","0.00","31416.96","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Haiti","11","94664.48","25250.00","119914.48","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Honduras","22","1017071.43","124401.00","1141472.18","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Jamaica","22","454495.60","194244.00","648740.09","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Mexico","198","6621803.96","2807134.00","9428937.49","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Nicaragua","23","442710.61","12429.00","455139.18","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Panama","30","1660572.91","153300.00","1813872.91","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Paraguay","18","925227.24","10000.00","935227.24","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Peru","73","2115116.09","923871.00","3038987.29","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","St. Lucia","3","45421.91","0.00","45421.91","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Suriname","1","4065.88","0.00","4065.88","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Trinidad and Tobago","15","358653.74","235000.00","593653.74","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Uruguay","19","347857.83","120000.00","467857.83","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de","39","897229.54","703791.00","1601020.96","FY14","2014-06-30T00:00:00.000"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean","76","1604152.66","350000.00","1954152.66","FY14","2014-06-30T00:00:00.000"
