"country","original_principal_amount","disbursed_amount","board_approval_date"
"India","1243000000.00","919280879.83","1990-01-01T00:00:00.000"
"India","1217000000.00","1170759458.81","1991-01-01T00:00:00.000"
"India","843000000.00","526225539.43","1992-01-01T00:00:00.000"
"India","1070000000.00","932284702.41","1993-01-01T00:00:00.000"
"India","237000000.00","110866416.84","1994-01-01T00:00:00.000"
"India","1142800000.00","598087693.96","1995-01-01T00:00:00.000"
"India","1048277967.31","338441398.01","1996-01-01T00:00:00.000"
"India","1105000000.00","710376396.50","1997-01-01T00:00:00.000"
"India","538000000.00","496450340.86","1998-01-01T00:00:00.000"
"India","400000000.00","337284096.12","1999-01-01T00:00:00.000"
"India","1315270000.00","1033124672.16","2000-01-01T00:00:00.000"
"India","1654000000.00","1529463502.94","2001-01-01T00:00:00.000"
"India","1381000000.00","1221838542.31","2002-01-01T00:00:00.000"
"India","588000000.00","576131073.27","2003-01-01T00:00:00.000"
"India","1573000000.00","1549943893.69","2004-01-01T00:00:00.000"
"India","625000000.00","588974669.23","2005-01-01T00:00:00.000"
"India","1016000000.00","1002725096.35","2006-01-01T00:00:00.000"
"India","2131000000.00","1574667408.53","2007-01-01T00:00:00.000"
"India","1306000000.00","1087932092.97","2008-01-01T00:00:00.000"
"India","5830230000.00","4446063572.41","2009-01-01T00:00:00.000"
"India","1983510000.00","1685358794.90","2010-01-01T00:00:00.000"
"India","3049000000.00","1503717312.15","2011-01-01T00:00:00.000"
"India","481700000.00","429399526.29","2012-01-01T00:00:00.000"
"India","891000000.00","678735919.46","2013-01-01T00:00:00.000"
"India","1300000000.00","776595147.33","2014-01-01T00:00:00.000"
"India","3598000000.00","2826655547.17","2015-01-01T00:00:00.000"
"India","1320000000.00","1168800133.20","2016-01-01T00:00:00.000"
"India","2635900000.00","1339260804.25","2017-01-01T00:00:00.000"
"India","3472900000.00","1577894493.29","2018-01-01T00:00:00.000"
"India","2752780000.00","932524662.09","2019-01-01T00:00:00.000"
"India","4585000000.00","2226299873.69","2020-01-01T00:00:00.000"
"India","2754500000.00","497543969.65","2021-01-01T00:00:00.000"
"India","3236000000.00","312500.00","2022-01-01T00:00:00.000"
"Sri Lanka","19110000.00","15899409.48","1954-01-01T00:00:00.000"
"Sri Lanka","7400000.00","7306483.55","1958-01-01T00:00:00.000"
"Sri Lanka","15000000.00","14106365.02","1961-01-01T00:00:00.000"
"Sri Lanka","4000000.00","2201250.47","1967-01-01T00:00:00.000"
"Sri Lanka","4900000.00","0.00","1968-01-01T00:00:00.000"
"Sri Lanka","29000000.00","19410231.07","1969-01-01T00:00:00.000"
"Sri Lanka","14500000.00","14008897.84","1970-01-01T00:00:00.000"
"Sri Lanka","42700000.00","34171502.19","1982-01-01T00:00:00.000"
"Sri Lanka","12100000.00","30175.00","1984-01-01T00:00:00.000"
"Sri Lanka","62000000.00","24000000.00","1985-01-01T00:00:00.000"
"Sri Lanka","213000000.00","199059117.48","2012-01-01T00:00:00.000"
"Sri Lanka","102000000.00","102000000.00","2014-01-01T00:00:00.000"
"Sri Lanka","67000000.00","51968984.28","2017-01-01T00:00:00.000"
"Sri Lanka","200000000.00","110019915.35","2018-01-01T00:00:00.000"
"Sri Lanka","335000000.00","1192103.26","2019-01-01T00:00:00.000"
"Sri Lanka","35000000.00","27389655.10","2020-01-01T00:00:00.000"
"Sri Lanka","694000000.00","321650302.38","2021-01-01T00:00:00.000"
