"fiscal_year","procurement_category","major_sector","supplier_contract_amount_usd"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15894.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15164.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","12301.0"
"2017","Consultant Services","Education","598.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","15819.0"
"2017","Consultant Services","Education","513.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","18888.0"
"2017","Consultant Services","Transportation;Social Protection;Public Administration","8022.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15164.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13893.0"
"2017","Consultant Services","Energy and Extractives","5867.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15152.0"
"2017","Consultant Services","Education","271.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8832.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","11577.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","10854.0"
"2017","Consultant Services","Education","181.0"
"2017","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6197.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13285.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","17077.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","279302.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8832.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","389198.0"
"2017","Consultant Services","Education","536.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","21091.0"
"2017","Consultant Services","Education","425.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","23733.0"
"2017","Goods","Transportation","920519.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15164.0"
"2017","Consultant Services","Education","151.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","21091.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","3638.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","31039.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","32515.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13025.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","256954.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","137082.0"
"2017","Consultant Services","Education","952.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8832.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","33845.0"
"2017","Consultant Services","Education","265.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","10854.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1602.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","40548.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","219598.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15919.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19424.0"
"2017","Goods","Energy and Extractives","35873.0"
"2017","Consultant Services","Energy and Extractives","18193.0"
"2017","Consultant Services","Energy and Extractives","14886.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","4022.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","193384.0"
"2017","Consultant Services","Education","519.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2017","Consultant Services","Education","158.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","56730.0"
"2017","Consultant Services","Education","2038.0"
"2017","Consultant Services","Education","386.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","11577.0"
"2017","Civil Works","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","143049.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","16611.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15152.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","9344.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15164.0"
"2017","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","16611.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","99135.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9285.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","125307.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9959.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6657.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11163.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","788.0"
"2018","Non-consulting Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6368.0"
"2018","Consultant Services","Energy and Extractives","218965.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","17366.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","43760.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","58282.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","104596.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","58155.0"
"2018","Consultant Services","Education;Social Protection","7282.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","22346.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","99107.0"
"2018","Consultant Services","Energy and Extractives","18508.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","44685.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1281.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6368.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5933.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9140.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9346.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3356.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11421.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","10019.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","2319.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","138373.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","100967.0"
"2018","Consultant Services","Transportation","903091.0"
"2018","Consultant Services","Energy and Extractives","89471.0"
"2018","Consultant Services","Energy and Extractives","20490.0"
"2018","Civil Works","Energy and Extractives","618465.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5068.0"
"2018","Civil Works","Energy and Extractives","785393.0"
"2018","Consultant Services","Energy and Extractives","206381.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5875.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5933.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5933.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9752.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3266.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9450.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5933.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","80274.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11937.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1714.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","2751.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","172788.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1720.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1714.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9562.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","0.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","9407.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3691.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","16452.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","20243.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","16396.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","34808.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9599.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","99104.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6681.0"
"2018","Goods","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13893.0"
"2018","Goods","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","110270.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1881.0"
"2018","Civil Works","Transportation","27304194.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","5789.0"
"2018","Consultant Services","Education;Social Protection","20116.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","44705.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","77741.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","2.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","19224.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6363.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","17282.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","115872.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","14744.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","4892.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","12381.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","14980.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","44685.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","99107.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","5945.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","26530.0"
"2018","Consultant Services","Education;Social Protection","16913.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","29646.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","138417.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","14986.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","27971.0"
"2018","Civil Works","Transportation","25877791.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1626.0"
"2018","Civil Works","Transportation","44871933.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","11577.0"
"2018","Goods","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1880.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","8683.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","16512.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","16512.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","15369.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5061.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","6802.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3471.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","14286.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","128329.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","136302.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1714.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9598.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","10274.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","41041.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11672.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","7722.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9644.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9613.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9181.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8104.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6295.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5448.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6368.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3039.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","2808.0"
"2018","Civil Works","Energy and Extractives","115463.0"
"2018","Non-consulting Services","Energy and Extractives","6758.0"
"2018","Consultant Services","Energy and Extractives","62875.0"
"2018","Consultant Services","Energy and Extractives","72243.0"
"2018","Consultant Services","Energy and Extractives","19711.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","4931.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","36759.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","138417.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","99104.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","44761.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","49871.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","5949.0"
"2018","Consultant Services","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","99104.0"
"2018","Goods","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","7959.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","8683.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","12590.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1513.0"
"2018","Consultant Services","Education;Social Protection","7474.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6184.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","10130.0"
"2018","Civil Works","Energy and Extractives","739469.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3436.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5737.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5933.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5933.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6657.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11623.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9188.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9327.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3520.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8456.0"
"2018","Consultant Services","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","26416.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9966.0"
"2018","Goods","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","24197.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","16512.0"
"2018","Goods","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","4197.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","16455.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","15941.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5040.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","16512.0"
"2018","Goods","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","15798.0"
"2018","Consultant Services","Education;Social Protection","18371.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5014.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","5945.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3075.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","3464.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","7503.0"
"2018","Goods","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1107.0"
"2018","Non-consulting Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","45586.0"
"2018","Non-consulting Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","7164.0"
"2018","Non-consulting Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","14182.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","788.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","12112.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","1720.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","2967.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11424.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9448.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11814.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","10751.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","10056.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8201.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9530.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9485.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","2967.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9070.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9316.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9695.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","10139.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9469.0"
"2018","Consultant Services","Education;Social Protection","7282.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9966.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9982.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","9235.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","8977.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","10274.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","6466.0"
"2018","Consultant Services","Social Protection;Agriculture, Fishing and Forestry;Public Administration","11707.0"
