"document_name","group","document_type","url","project_name","project_id","trust_fund_grant","date","solar_year"
"Official Documents-  Fourteenth Amendment to
            the ARTF Grant Agreement with Denmark for TF050576","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/05/07/1_0/Rendered/PDF/Official0Docum0enmark0for0TF0505760.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-12-03T00:00:00.000","1391"
"Official Documents- Administration Agreement
            with EU for TF050576","Project Documents","Trust Fund Administrative Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/01/14/1_0/Rendered/PDF/Official0Docum0with0EU0for0TF050576.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-11-28T00:00:00.000","1391"
"ARTF Incentive Program Technical Review 1391 1393","Incentive Program","Technical Review ","http://artf.af/images/uploads/ARTF_Incentive_Program_Technical_Review_1391_1393.pdf",,,,"2012-11-21T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_Nov_20,2012.pdf",,,,"2012-11-20T00:00:00.000","1391"
"Official Documents- Thirteenth Amendment to
            the Letter Agreement with Denmark for Additional
            Contribution to TF050576","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/12/17/1_0/Rendered/PDF/Official0Docum0ribution0to0TF050576.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-11-19T00:00:00.000","1391"
"Steering Committee Meeting November 10 Summary of Discussion","Steering Committee","Summary of Discussion","http://artf.af/images/uploads/Steering_Committee_Meeting_November_10_Summary_of_Discussion.pdf",,,,"2012-11-10T00:00:00.000","1391"
"Official Documents- Eleventh Amendment to
            Letter Agreement for TF050576","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/02/05/1_0/Rendered/PDF/Official0Docum0reement0for0TF050576.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-10-30T00:00:00.000","1391"
"Strategy Group Minutes November 21 2012 November 27","Strategy Group","Meeting Minutes","http://artf.af/images/uploads/Strategy_Group_Minutes_November_21_2012_November_27.pdf",,,,"2012-10-29T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_Oct_21,2012.pdf",,,,"2012-10-21T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Financial_Report_September_2012.pdf",,,,"2012-09-20T00:00:00.000","1391"
"Official Documents- Tenth Amendment to
            Letter Agreement for TF050576","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/02/05/1_0/Rendered/PDF/Official0Docum0reement0for0TF050576.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-09-18T00:00:00.000","1391"
"Strategy Group Summary of Discussion September 16 2012","Strategy Group","Summary of Discussion","http://artf.af/images/uploads/Strategy_Group_Summary_of_Discussion_September_16_2012.pdf",,,,"2012-09-16T00:00:00.000","1391"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_September_11,_2012_FINAL.pdf",,,,"2012-09-11T00:00:00.000","1391"
"Project Preparation Paper","Project Documents","Project Preparation Paper","http://artf.af/images/uploads/home-slider/Project_Preparation_Paper_ASDP_II_PPG.pdf","Afghanistan Second Skills Development Project (PPG)","P132742","TF013393","2012-09-11T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_August_21,2012.pdf",,,,"2012-08-21T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_July_21,2012.pdf",,,,"2012-07-21T00:00:00.000","1391"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_July_17,_2012.pdf",,,,"2012-07-17T00:00:00.000","1391"
"FY12SingleAudit","Audit","Single Audit","http://artf.af/images/uploads/home-slider/FY12SingleAudit.pdf",,,,"2012-06-30T00:00:00.000","1391"
"Minutes Steering Committee Meeting June 252012","Steering Committee","Summary of Discussion","http://artf.af/images/uploads/Minutes_Steering_Committee_Meeting_June_252012.pdf",,,,"2012-06-25T00:00:00.000","1391"
"Afghanistan - ARTF -
            Kabul-Aybak/Mazar-e-Sharif Power Project : P106654 -
            Implementation Status Results Report : Sequence 09","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/06/20/0C2A6CB7D45B402885257A23006445A7/1_0/Rendered/PDF/ISR0Disclosabl020201201340216114043.pdf","Kabul-Aybak/Mazar-e-Sharif Power Project","P106654","TF091120","2012-06-20T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_June_20,2012.pdf",,,,"2012-06-20T00:00:00.000","1391"
"Afghanistan - Emergency Power Rehabilitation
            Project : P083908 - Implementation Status Results Report :
            Sequence 17","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/06/20/019374270AE431AA85257A230065226D/1_0/Rendered/PDF/ISR0Disclosabl020201201340216679304.pdf","Rehabilitation of Naghlu Hydropower Plant","P083908","TF054718","2012-06-20T00:00:00.000","1391"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_June_20,2012.pdf",,,,"2012-06-19T00:00:00.000","1391"
"Additional Financing 2012","Project Documents","Additional Financing","http://artf.af/images/uploads/EQUIP_II_Additional_Financing_EPP_Final_June_19_2012.pdf","Second Education Quality Improvement Program","P106259","TF093962","2012-06-19T00:00:00.000","1391"
"Strategy Group Summary of Discussion June 17 2012 final","Strategy Group","Summary of Discussion","http://artf.af/images/uploads/Strategy_Group_Summary_of_Discussion_June_17_2012_final.pdf",,,,"2012-06-17T00:00:00.000","1391"
"Main report","Project Documents","Project Paper","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2012/06/18/000333037_20120618015011/Rendered/PDF/700100v10PJPR000Paper0June011002012.pdf","Kabul-Aybak/Mazar-e-Sharif Power Project","P106654","TF091120","2012-06-13T00:00:00.000","1391"
"ARTF IP MoU SY1393","Incentive Program","Memorandum of Understanding ","http://artf.af/images/uploads/home-slider/ARTF_IP_MoU_SY1393.pdf",,,,"2012-06-12T00:00:00.000","1391"
"Afghanistan - Management Capacity Program Project","Project Documents","Implementation Completion and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2012/07/18/000333038_20120718232949/Rendered/PDF/ICR13130P106170C0disclosed070170120.pdf","Management Capacity Program","P106170","TF090077","2012-06-12T00:00:00.000","1391"
"Official Documents- Amendment No. 40 to the
            Agreement  for Grant TF050577","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/08/17/CCCA9A412F9E952185257A5D00604CD6/1_0/Rendered/PDF/RAD1292088485.pdf","Recurrent & Capital Costs Component","P091258","TF050577","2012-06-12T00:00:00.000","1391"
"Official Documents- Amendment No. 40 to the
            Agreement  for Grant TF050577","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/08/17/CCCA9A412F9E952185257A5D00604CD6/1_0/Rendered/PDF/RAD1292088485.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-06-12T00:00:00.000","1391"
"Data sheet","Project Documents","Project Paper","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2012/06/18/000333037_20120618015616/Rendered/PDF/700100v20PJPR00ructuring0Data0sheet.doc.pdf","Kabul-Aybak/Mazar-e-Sharif Power Project","P106654","TF091120","2012-06-11T00:00:00.000","1391"
"Afghanistan - ARTF - Recurrent and Capital
            Costs : P091258 - Implementation Status Results Report :
            Sequence 08","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/06/03/40DA1F519DA8057385257A12004F8B75/1_0/Rendered/PDF/ISR0Disclosabl003201201338733729622.pdf","Recurrent & Capital Costs Component","P091258","TF050577","2012-06-03T00:00:00.000","1391"
"Emergency Project Paper","Project Documents","Emergency Project Paper","http://artf.af/images/uploads/JDSP_EPP.pdf","Afghanistan Justice Service Delivery Project","P118028","TF012533","2012-05-31T00:00:00.000","1391"
"ARTF Project Paper","Project Documents","Emergency Project Paper","http://artf.af/images/uploads/JDSP_EPP.pdf","Afghanistan Justice Service Delivery Project","P118028","TF012533","2012-05-31T00:00:00.000","1391"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_May_29,_2012.pdf",,,,"2012-05-29T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_May_20,2012.pdf",,,,"2012-05-20T00:00:00.000","1391"
"Fiduciary Framework 15may 2012","Fiduciary Framework","Fiduciary Framework","http://artf.af/images/uploads/Fiduciary-Framework_15may_2012.pdf",,,,"2012-05-14T00:00:00.000","1391"
"Official Documents- Restatement of Standart
            Terms for Canada to TF050576","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2013/04/03/1_0/Rendered/PDF/Official0Docum0r0Canada0to0TF050576.pdf","Monitoring Agent - Recurrent cost","P078069","TF050578","2012-04-24T00:00:00.000","1391"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_ARTF_Financial_Status_Memo_April_19,2012.pdf",,,,"2012-04-19T00:00:00.000","1391"
"Minutes Steering Committee Meeting April 1 2012","Steering Committee","Summary of Discussion","http://artf.af/images/uploads/Minutes_Steering_Committee_Meeting_April_1_2012.pdf",,,,"2012-04-01T00:00:00.000","1391"
"Project's Annual Report 1390","Project Documents","Annual Report","http://artf.af/images/uploads/AREDP_Annual_Progress_Report_1390.pdf","Afghanistan Rural Enterprise Development Project (AREDP)","P110407","TF098045","2012-03-20T00:00:00.000","1391"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes",,,,,"2012-03-19T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Financial_Report_March_2012_FINAL.pdf",,,,"2012-03-19T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes",,,,,"2012-02-28T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_Financial_Report_Feb_19,_2012.pdf",,,,"2012-02-19T00:00:00.000","1390"
"Official Documents- Amendment No. 39 to the
            Agreement for TF050577","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/03/16/04BA400974359E2B852579C300554C35/1_0/Rendered/PDF/RAD471587800.pdf","Recurrent & Capital Costs Component","P091258","TF050577","2012-02-09T00:00:00.000","1390"
"ARTF Project Proposal","Project Documents","Project Paper","http://artf.af/images/uploads/P122235-Irrigation_Rehabilitation-ARTFProposal.pdf","Irrigation Restoration and Development","P122235","TF012029","2012-01-29T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_Copy_Financial_Report_January_20,2012.pdf",,,,"2012-01-20T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/MC_meeting_Minutes,_December_13,_2011.pdf",,,,"2012-01-17T00:00:00.000","1390"
"Afghanistan - AF: ARTF-Management Capacity
            Program : P106170 - Implementation Status Results Report :
            Sequence 05","Project Documents","Implementation Status and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/01/07/101B0F7CE9FEC48C8525797E003E82A6/1_0/Rendered/PDF/P1061700ISR0Di007201201325935366651.pdf","Management Capacity Program","P106170","TF090077","2012-01-07T00:00:00.000","1390"
"PFM II Update 2012","Project Documents","Project Update","http://artf.af/images/uploads/P120427_PFM_II_Status_Update_May_2012.pdf","Second Public Financial Management Reform Project","P120427","TF010024","2012-01-05T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Final_Financial_Report_December_21,_2011.doc.pdf",,,,"2011-12-21T00:00:00.000","1390"
"Amendment No. 38 to Agreement for ARTF Grant
            TF050577 Conformed","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2012/01/04/396B30F76433EBA68525797B00568022/1_0/Rendered/PDF/ARTFGrantAg0Amndt3800Conformed0.pdf","Recurrent & Capital Costs Component","P091258","TF050577","2011-12-19T00:00:00.000","1390"
"Project Preparation Grant","Project Documents","Project Preparation Grant","http://artf.af/images/uploads/Justice_Sector-PPG.pdf","Afghanistan Justice Service Delivery Project","P118028","TF012533","2011-12-13T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_meeting_Minutes,_December_13,_2011.pdf",,,,"2011-12-13T00:00:00.000","1390"
"ARTF Project Paper","Project Documents","Project Paper","http://artf.af/images/uploads/P123845-Capacity_Building-PP.pdf","Capacity Building for Results Facility","P123845","TF011447","2011-12-06T00:00:00.000","1390"
"Afghanistan - Short Term Urban Water Supply
            and Sanitation Project","Project Documents","Implementation Completion and Results Report","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/12/15/000356161_20111215232914/Rendered/PDF/ICR18460P0921600disclosed0120140110.pdf","Urban Water Supply and Sanitation","P092162","TF054729","2011-11-30T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_meeting_Minutes,_November_22,_2011.pdf",,,,"2011-11-22T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Final_Copy_Financial_Report_November_21,_2011.pdf",,,,"2011-11-21T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Final_Copy_Financial_Report_October_22,_2011.pdf",,,,"2011-10-22T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/Minutes_October_MC.pdf",,,,"2011-10-18T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Final_Copy_Financial_Report_September_22,_2011.pdf",,,,"2011-09-22T00:00:00.000","1390"
"Data sheet","Project Documents","Project Paper","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/09/22/000333037_20110922051516/Rendered/PDF/646110v20PJPR00ructuring0Data0sheet.doc.pdf","Kabul-Aybak/Mazar-e-Sharif Power Project","P106654","TF091120","2011-09-16T00:00:00.000","1390"
"Status update 2012","Project Documents","Status Update","http://artf.af/images/uploads/Release_of_ARTF_NSP_III_Grant_July_09_2012.pdf","Third Emergency National Solidarity Project","P117103","TF098459","2011-09-13T00:00:00.000","1390"
"Status update 2011","Project Documents","Status Update","http://artf.af/images/uploads/P117103-National_Solidarity_III-Update2011.pdf","Third Emergency National Solidarity Project","P117103","TF098459","2011-09-13T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_September_13,_2011.pdf",,,,"2011-09-13T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Final_ARTF_Financial_Status_Memo_August_22,_2011.pdf",,,,"2011-08-22T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Final_ARTF_Financial_Status_Memo_July_22,_2011_2.pdf",,,,"2011-07-22T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_July_19_2011.pdf",,,,"2011-07-19T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_June_21,_2011.pdf",,,,"2011-06-21T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_June_2011.pdf",,,,"2011-06-21T00:00:00.000","1390"
"ARTF Incentive Program Technical Review  SY1390","Incentive Program","Technical Review ","http://artf.af/images/uploads/ARTF_Incentive_Program_Technical_Review__SY1390.pdf",,,,"2011-06-16T00:00:00.000","1390"
"Status Update 2011","Project Documents","Project Update","http://artf.af/images/uploads/P112446-SHARP-Update2011.pdf","Strengthening Health Activities for the Rural Poor (SHARP)","P112446","TF096362","2011-06-14T00:00:00.000","1390"
"ARTF Project Paper","Project Documents","Project Paper","http://artf.af/images/uploads/P120427-Public_Financial_Mgmt-PP.pdf","Second Public Financial Management Reform Project","P120427","TF010024","2011-05-25T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_May_21,2011.pdf",,,,"2011-05-21T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_ARTF_Financial_Status_Memo_April_20,2011.pdf",,,,"2011-04-20T00:00:00.000","1390"
"ARTF Project Paper","Project Documents","Project Paper","http://artf.af/images/uploads/P120397-IAIDS_ARTFProjectPaper.pdf","Improving Agricultural Inputs Delivery","P120397","TF099595","2011-04-12T00:00:00.000","1390"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MF_Meeting_Minutes,_April_12,_2011.pdf",,,,"2011-04-12T00:00:00.000","1390"
"Emergency Project Paper","Project Documents","Project Paper","http://artf.af/images/uploads/P122235-Irrigation_Rehabilitation-EPP.pdf","Irrigation Restoration and Development","P122235","TF012029","2011-04-08T00:00:00.000","1390"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_ARTF_Financial_Status_Memo_March_20,2011_final.pdf",,,,"2011-03-20T00:00:00.000","1389"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/DRAFT_ARTF_Financial_Report_February_19,_2011.pdf",,,,"2011-02-19T00:00:00.000","1389"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_February_09,_2011.pdf",,,,"2011-02-09T00:00:00.000","1389"
"ARTF 2011 Board Paper: Strengthening the ARTF Donor Governance Structure",,"Board Paper","http://www.artf.af/images/uploads/ARTF_Board_Paper_2011.pdf",,,,"2011-02-08T00:00:00.000","1389"
"Amendment No. 36 to Grant Agreement for
            TF050577 Conformed","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2011/01/31/B49607C6452A3AEB85257829004E29BB/1_0/Rendered/PDF/TF0505770Am0360to0GA0Conformed.pdf","Recurrent & Capital Costs Component","P091258","TF050577","2011-01-25T00:00:00.000","1389"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_ARTF_Financial_Status_Memo_January_20,_2011.pdf",,,,"2011-01-20T00:00:00.000","1389"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/ARTF_MC_Meeting_Minutes,_January_18,_2011.pdf",,,,"2011-01-18T00:00:00.000","1389"
"ARTF Project Paper 2011","Project Documents","Project Paper","http://artf.af/images/uploads/P120398-Farm_Water_Management-Proposal_2011.pdf","On Farm Water Management project","P120398","TF099074","2011-01-11T00:00:00.000","1389"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_ARTF_Financial_Status_Memo_December_21,_2010.pdf",,,,"2010-12-21T00:00:00.000","1389"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/November_22_Meeting_Minutes.pdf",,,,"2010-11-22T00:00:00.000","1389"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_ARTF_Financial_Status_Memo_November_21,_2010.pdf",,,,"2010-11-21T00:00:00.000","1389"
"ARTF Project Paper ","Project Documents","Project Paper","http://artf.af/images/uploads/P103343-Emergency_Rural_Access-PP.pdf","National Emergency Rural Access Project","P103343","TF095297","2010-11-15T00:00:00.000","1389"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/ARTF_Financial_Status_Memo_Oct_22,_2010.pdf",,,,"2010-10-22T00:00:00.000","1389"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/MC_October_12_Minutes.pdf",,,,"2010-10-12T00:00:00.000","1389"
"Amendment No.35 to Grant Agreement for
            TF050577 Conformed","Project Documents","Agreement","http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/SAR/2010/10/27/A92CAD093B9B82CC852577C9004AB898/1_0/Rendered/PDF/TF0505770Conformed.pdf","Recurrent & Capital Costs Component","P091258","TF050577","2010-10-05T00:00:00.000","1389"
"ARTF Financial Status Report",,"Financial Status Report","http://www.artf.af/images/uploads/Draft_ARTF_Financial_Status_Memo_Sept_22,_2010.pdf",,,,"2010-09-22T00:00:00.000","1389"
"ARTF Management Committee Meeting Minutes","Management Committee","Meeting Minutes","http://www.artf.af/images/uploads/MC_September_15_Minutes.pdf",,,,"2010-09-15T00:00:00.000","1389"
