"fiscal_year","borrower_country","project_name","procurement_category","procurement_method","major_sector","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2019","Brazil","Tocantins Integrated Sustainable Regional Development","Civil Works","Request for Bids","Education;Transportation;Public Administration","OBRAS DE REABILITA&#199;&#195;O E MANUTEN&#199;&#195;O DE RODOVIAS ESTADUAIS COM BASE NO DESEMPENHO - CREMA II - LOTE 7 (R6)","2019-01-24T00:00:00.000","CONSTRUTORA CAIAPÓ LTDA","Federative Republic of Brazil","BR","19907210.0","407"
"2022","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Obras de Restaura&#231;&#227;o e Manuten&#231;&#227;o da Rodovia BA-210 (trecho Juazeiro-Sento S&#233;)","2022-02-28T00:00:00.000","PAVISERVICE SERVIÇOS DE PAVIMENTAÇÃO LTDA","Federative Republic of Brazil","BR","17872666.0","BR-SEINFRA-BA-258226-CW-RFB"
"2019","Brazil","Tocantins Integrated Sustainable Regional Development","Civil Works","Request for Bids","Education;Transportation;Public Administration","Obras de Reabilita&#231;&#227;o e Manuten&#231;&#227;o de Rodovias Estaduais com Base no Desempenho - CREMA II - Lote 8 (R1 e R7)","2019-03-11T00:00:00.000","GAE CONSTRUÇÃO E COMÉRCIO LTDA.","Federative Republic of Brazil","BR","17120055.0","589"
"2017","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","National Competitive Bidding","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Contract awarded to Consorcio SAHLIAH/SANEVIX in the amount of BRL 25.788.440,96, and BRL 26.093.381,11 for Part 1 and Part II.","2016-08-31T00:00:00.000","SAHLIAH ENGENHARIA, CONST. E GER. LTDA","Federative Republic of Brazil","BR","15516755.0","0134/2016"
"2020","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Lote 2 - Obras de Restaura&#231;&#227;o e Manuten&#231;&#227;o de Rodovias Estaduais com base em desempenho, assinado com a Construtora Caiap&#243;. Total: 332,47km.","2020-02-17T00:00:00.000","CONSTRUTORA CAIAPO LTDA","Federative Republic of Brazil","BR","14907513.0","BR-SEINFRA-BA-295233-CW-RFB"
"2020","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Contrato Turnkey para Constru&#231;&#227;o do Centro Estadual de Gerenciamento de Risco e Desastres do Esp&#237;rito Santo - CEGRD (CEPDEC/SEAMA 1H7)","2019-10-02T00:00:00.000","CONSÓRCIO C4IVR","Federative Republic of Brazil","BR","14788079.0","SEAMA 1H7-CT 014/2019"
"2022","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Impl., Reabilita&#231;&#227;o e Amplia&#231;&#227;o de Sistemas de Esgotamento Sanit&#225;rio de Dom. Martins e Af. Cl&#225;udio (Lote 1), Ibatiba, I&#250;na e Irupi (Lote 2) e Dores R. Preto, Distrito Pedra Menina e Apiac&#225; (Lote 3).","2021-10-13T00:00:00.000","CONSTRUTORA AUGUSTO VELLOSO S.A.","Federative Republic of Brazil","BR","14734786.0","CESAN 2B15-CT 0298/2021"
"2022","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Obras de restaura&#231;&#227;o e manuten&#231;&#227;o de trechos da rodovia BA-001 (Itacar&#233;-Ilh&#233;us/Nazar&#233;-Valen&#231;a). Contratada: Construtora Caiap&#243; Ltda.","2021-12-01T00:00:00.000","CONSTRUTORA CAIAPÓ","Federative Republic of Brazil","BR","11541502.0","BR-SEINFRA-BA-246458-CW-RFB"
"2018","Brazil","Sao Paulo Metro Line 5 Project","Goods","Request for Bids","Transportation","SUPPLY OF DATA TRANSPORTATION METROPOLITAN NETWORK  SOLUTION - INFOVIA METRONET, BASED ON IP/MPLS TECHNOLOGY, COMPRISING PROJECT, INFRASTRUCTURE, COMMUNICATION AND MANAGEMENT FOR COMPANHIA DO METROPOL","2017-12-07T00:00:00.000","TELEMONT ENGENHARIA DE TELECOMUNICAÇÕES S/	A","Federative Republic of Brazil","BR","11296962.0","L5-08"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","PAVIMENTACAO DOSTRECHOS DE RODOVIAS ETAPA II: RN 016 (CARNAUBAIS - ESTRADA DO CAJU)","2018-03-16T00:00:00.000","CONSTRUTORA LUIZ COSTA LTDA","Federative Republic of Brazil","BR","11144346.0","ID79 1 CW"
"2022","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Implanta&#231;&#227;o, Reabilita&#231;&#227;o e Amplia&#231;&#227;o de Sistemas de Esgotamento Sanit&#225;rio do Munic&#237;pio de Castelo.","2021-07-27T00:00:00.000","CONSÓRCIO C. E. SANEAR CASTELO","Federative Republic of Brazil","BR","11051203.0","CESAN 2B14-0190/2021"
"2019","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Obras de Implanta&#231;&#227;o do Sistema de Esgotamento sanit&#225;rio de Cariacica 2 (Lote II)","2019-03-01T00:00:00.000","CONSÓRCIO ECS CARIACICA: ENGEFORM - CTL - SALIAH","Federative Republic of Brazil","BR","10816590.0","CESAN-2B10"
"2021","Brazil","Ceara Rural Sustainable Development and Competitiveness Phase II","Consultant Services","Direct Selection","Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","Presta&#231;&#227;o de servi&#231;os para elabora&#231;&#227;o de metodologia e ferramentas referente a implementa&#231;&#227;o do Componente de Inclus&#227;o Econ&#244;mica Sustent&#225;vel","2021-05-03T00:00:00.000","AGMAAC SERVIÇOS ADMINISTRATIVOS, CONSULTORIA E ASSESSORIA","Federative Republic of Brazil","BR","10762562.0","BR-IAC-212373-CS-CDS"
"2018","Brazil","Sao Paulo Metro Line 4 (PHASE 2)","Civil Works","Request for Bids","Transportation","DESIGN DEVELOPMENT, SUPPLY, IMPLEMENTATION, HOMOLOGATION, TESTS AND TECHNICAL DOCUMENTATION FOR THE PERMANENT WAY AND ITS RESPECTIVE SPARE PARTS FOR THE CONCLUSION OF COMPANHIA DO METROPOLITANO DE SAO","2018-03-07T00:00:00.000","COMSA S/A","Federative Republic of Brazil","BR","10524971.0","L42-17 - 4147521302"
"2021","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","CONTRATO DE EMPREITADA N&#176; 081-CT162/2020","2020-12-30T00:00:00.000","RODOCON CONSTRUCOES RODOVIARIAS LTDA","Federative Republic of Brazil","BR","10086664.0","BR-SEINFRA-BA-206105-CW-RFB"
"2020","Brazil","Pernambuco Rural Economic Inclusion","Goods","Direct Selection","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","Aquisi&#231;&#227;o de ventiladores e equipamentos de prote&#231;&#227;o individual para atender as necessidades da Rede Estadual de Sa&#250;de no enfrentamento a emerg&#234;ncia de sa&#250;de p&#250;blica decorrente do Covid-19","2020-04-09T00:00:00.000","GLOBAL TRADING INTERNACIONAL GROUP LLC","United States of America","US","9000000.0","COVID-002"
"2022","Brazil","SABESP - IMPROVING WATER SERVICE ACCESS AND SECURITY IN THE METROPOLITAN REGION OF S&#195;O PAULO PROJECT","Civil Works","Request for Bids","Water, Sanitation and Waste Management","Sistema de Esgotamento Sanit&#225;rio - Itapecerica da Serra","2021-09-10T00:00:00.000","DP BARROS PAVIMENTAÇÃO E CONSTRUÇÃO LTDA.","Federative Republic of Brazil","BR","8995803.0","BR-SABESP-86308-CW-RFB"
"2021","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Contrato de Empreitada n&#176; 054-CT119/2020, obras em estradas vicinais de munic&#237;pios integrantes do CONSISAL","2020-10-28T00:00:00.000","METRO ENGENHARIA E CONSULTORIA","Federative Republic of Brazil","BR","8423601.0","BR-SEINFRA-BA-188220-CW-RFB"
"2019","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","RN 118 - RECUPERA&#199;&#195;O ESTRUTURAL, DRENAGEM, SINALIZA&#199;&#195;O E MELHORIAS - ENTRONCAMENTO DA BR 226 (JUCURUTU - CAIC&#211;)","2018-08-28T00:00:00.000","CONSTRUTORA LUIZ COSTA LTDA","Federative Republic of Brazil","BR","8221544.0","ID99 CW"
"2022","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Obras de Reabilita&#231;&#227;o/Manuten&#231;&#227;o de Rodovias Estaduais com base no desempenho, BA-130, trecho: Entr. BA 052&#8211;Macajuba&#8211;Rui Barbosa&#8211;Entr. BR 242 (Zuca), extens&#227;o de 80,54 km e BA-233 (Ipir&#225;-Itaberaba)","2021-07-13T00:00:00.000","PAVISERVICE SERVIÇOS DE PAVIMENTAÇÃO LTDA","Federative Republic of Brazil","BR","7175443.0","BR-SEINFRA-BA-246454-CW-RFB"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Realiza&#231;&#227;o de Obra Civil para Pavimenta&#231;&#227;o dos trechos de Rodovias etapa II: RN 011 (Serra do Mel - Estrada do Caju)","2018-03-16T00:00:00.000","CONSTRUTORA LUIZ COSTA LTDA","Federative Republic of Brazil","BR","7132832.0","ID79 3 CW"
"2018","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Contrata&#231;&#227;o de Obras de Implantacao, Reabilitacao e Ampliacao de Sistema de Esgotamento Sanitario nas Sedes dos Municipios de Conceicao do Castelo, Divino de Sao Lourenco e Marechal Floriano.","2017-12-18T00:00:00.000","CONSORCIO SAHLIAH ENGENHARIA E CTL ENGENHARIA","Federative Republic of Brazil","BR","7040416.0","CESAN-2B3"
"2017","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Contrata&#231;&#227;o de Empresa especializada para Execu&#231;&#227;o de Obra Civil para Implanta&#231;&#227;o de Sistema de Esgotamento Sanit&#225;rio do Munic&#237;pio de S&#227;o Miguel do Gostoso/RN","2017-06-20T00:00:00.000","CONSTRUTORA A. GASPAR S/A","Federative Republic of Brazil","BR","6941850.0","78100/2016-2"
"2018","Brazil","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Civil Works","Request for Bids","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","Execu&#231;&#227;o de Obras de Infraestrutura de Urbaniza&#231;&#227;o e Saneamento B&#225;sico da &#193;rea Urbana do Munic&#237;pio de Jord&#227;o - Acre, conforme especifica&#231;&#245;es t&#233;cnicas constantes neste termo de refer&#234;ncia e Acordo de E","2018-03-05T00:00:00.000","AMAZÔNIA CONTRUÇÕES ENG. E COMÉRCIO LTDA","Federative Republic of Brazil","BR","6868824.0","BR-SEPLAN - AC-39918-CW-RFB"
"2021","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Goods","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Aquisi&#231;&#227;o de Ve&#237;culos Auto Bomba Tanque e Salvamento - ABTS.","2021-06-29T00:00:00.000","ITURRI S.A.","Federative Republic of Brazil","BR","6405911.0","SEAMA 1H325-CT 001/2021"
"2021","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Contrato n&#176; 057-CT123/2020: Reabilita&#231;&#227;o e Manuten&#231;&#227;o de Rodovias Estaduais com base no desempenho na Rodovia BA 131, trecho entre o Entr. BR-407 (Senhor do Bonfim) &#8211; Entr. BR-324 (Ca&#233;m), lote &#250;nico","2020-11-09T00:00:00.000","PAVISERVICE SERVIÇOS DE PAVIMENTAÇÃO LTDA","Federative Republic of Brazil","BR","6236365.0","BR-SEINFRA-BA-188231-CW-RFB"
"2021","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Contrato Turnkey para obra de pavimenta&#231;&#227;o e drenagem de 14 trechos rurais da bacia do 
Rio Mangara&#237;.","2020-12-28T00:00:00.000","CONSÓRCIO CONTEK-GEOMÉTRICA","Federative Republic of Brazil","BR","6042933.0","INCAPER 3B5-4-CT 052/2020"
"2022","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Proposta da licitante Lucena Infraestrutura","2022-05-20T00:00:00.000","LUCENA INFRAESTRUTURA","Federative Republic of Brazil","BR","5936818.0","BR-SEINFRA-BA-206107-CW-RFB"
"2019","Brazil","BR Sergipe Water","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Execu&#231;&#227;o das Obras da 1&#170; etapa do sistema sistema de drenagem pluvial de Itabaiana - SDP1 - Itabaiana e da 2&#170; etapa do sistema de esgotamento sanit&#225;rio SES2 - Itabaiana, dividida em dois lotes - LOTE2","2018-10-01T00:00:00.000","HECA COMERCIO E CONTRUCOES LTDA","Federative Republic of Brazil","BR","5649574.0","172/2018"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","Execu&#231;&#227;o de Obra Civil de Implanta&#231;&#227;o do Sistema de Esgotamento Sanit&#225;rio do Munic&#237;pio de Cerro Cor&#225;-RN.","2018-04-13T00:00:00.000","CONSTRUTORA A. GASPAR S/A","Federative Republic of Brazil","BR","5531035.0","30027/2015-3"
"2022","Brazil","BR Espirito Santo Integrated Sustainable Water Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Implanta&#231;&#227;o, Reabilita&#231;&#227;o e Amplia&#231;&#227;o de Sistemas de Esgotamento Sanit&#225;rio de Santa Leopoldina e Santa Maria de Jetib&#225;","2021-12-13T00:00:00.000","CTL ENGENHARIA LTDA","Federative Republic of Brazil","BR","5469816.0","CESAN 2B16-CT 0396/2021"
"2020","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Contrato celebrado com a Metro Engenharia e Consultoria","2020-03-31T00:00:00.000","METRO ENGENHARIA E CONSULTORIA","Federative Republic of Brazil","BR","5416477.0","014-CT039/2020"
"2019","Brazil","BR Sergipe Water","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Execu&#231;&#227;o das obras da 1a. etapa do sistema de drenagem pluvial de Itabaiana, SDP1-ITABAIANA, no Estado de Sergipe","2018-10-01T00:00:00.000","CONSTRUTORA CELI LTDA","Federative Republic of Brazil","BR","5314269.0","174/2008"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","PAVIMENTACAO DOSTRECHOS DE RODOVIAS ETAPA III: ESTRADA DO MELAO - BARAUNA","2018-02-09T00:00:00.000","CONSTRUTORA LUIZ COSTA LTDA","Federative Republic of Brazil","BR","5252169.0","ID79 2 CW"
"2021","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Contrato de empreitada n&#176; 060-CT131/2020: execu&#231;&#227;o de obras em estradas vicinais nos munic&#237;pios selecionados no Cons&#243;rcio do Territ&#243;rio da Bacia do Jacu&#237;pe","2020-11-11T00:00:00.000","SANJUAN ENGENHARIA LTDA.","Federative Republic of Brazil","BR","5105404.0","BR-SEINFRA-BA-188222-CW-RFB"
"2021","Brazil","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Civil Works","Request for Bids","Transportation","Obras de restaura&#231;&#227;o e manuten&#231;&#227;o de trechos de rodovias: BA-290 (Alcoba&#231;a-Teixeira de Freitas)","2020-09-09T00:00:00.000","GARCIA, MONTEIRO & CIA LTDA","Federative Republic of Brazil","BR","5077958.0","BR-SEINFRA-BA-254997-CW-RFB"
"2017","Brazil","Acre Social and Economic Inclusion and Sustainable Development Project - PROACRE","Civil Works","Request for Bids","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","Execu&#231;&#227;o Obras de Infraestrutura de Urbaniza&#231;&#227;o e Saneamento B&#225;sico da &#193;rea Urbana do Munic&#237;pio de Santa Rosa do Purus, atendendo as necessidades do DEPASA. no PROSER.","2017-06-06T00:00:00.000","AMAZÔNIA CONTRUÇÕES ENG. E COMÉRCIO LTDA","Federative Republic of Brazil","BR","4937236.0","BR-SEPLAN - AC-33461-CW-RFP"
"2017","Brazil","Energy and Mineral Sector Strengthening","Goods","Request for Proposals","Energy and Extractives","Supply and Installation of Phasor Measurement System - SMSF","2017-02-02T00:00:00.000","GRID SOLUTIONS POWER TRANSMISSION LTDA","Federative Republic of Brazil","BR","4926414.0","BR-ONS-2930-GO-RFP"
"2018","Brazil","Rio Grande do Norte: Regional Development and Governance","Civil Works","Request for Bids","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","ESGOTAMENTO SANIT&#193;RIO DE CERRO COR&#193; - RN","2018-04-13T00:00:00.000","CONSTRUTORA A. GASPAR S/A","Federative Republic of Brazil","BR","4780499.0","30027/2015-4"
"2022","Brazil","Cear&#225; Water Security and Governance","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management","Servi&#231;os T&#233;cnicos Especializados de Engenharia para Atua&#231;&#227;o como Engenheiro conforme Condi&#231;&#245;es do Contrato do Livro Amarelo (Yellow Book) da Federa&#231;&#227;o Internacional de Engenheiros de Consultoria.","2022-03-01T00:00:00.000","KL SERVICOS DE ENGENHARIA S.A","Federative Republic of Brazil","BR","4745265.0","BR-IPECE-CE-225127-CS-QCBS"
"2019","Brazil","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","Request for Quotations","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Ribeira","2018-07-06T00:00:00.000","CPO PROJETOS E OBRAS LTDA","Federative Republic of Brazil","BR","4613513.0","BR-SAA-SP-33038-CW-RFQ"
"2019","Brazil","Recife Swap Education and Public Management","Goods","Request for Bids","Education;Transportation;Public Administration","LIVRO DO ALUNO (ANOS INICIAIS/ENSINO FUNDAMENTAL)","2019-01-30T00:00:00.000","GM QUALITY COMERCIO LTDA - ME","Federative Republic of Brazil","BR","4557797.0","072/2018 SEDUC"
"2021","Brazil","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Civil Works","Request for Bids","Financial Sector;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","Contrata&#231;&#227;o de Empresa especializada para a implanta&#231;&#227;o de 23 sistemas de abastecimento de &#225;gua (padr&#227;o PBSAA-BP), e servi&#231;o social, nos munic&#237;pios de Caetit&#233;, Itua&#231;u, Maca&#250;bas, Riacho de Santana, Mal","2021-03-11T00:00:00.000","METRO ENGENHARIA","Federative Republic of Brazil","BR","4457142.0","BR-CERB-BA-203214-CW-RFB"
"2023","Brazil","SABESP - IMPROVING WATER SERVICE ACCESS AND SECURITY IN THE METROPOLITAN REGION OF S&#195;O PAULO PROJECT","Non-consulting Services","Request for Bids","Water, Sanitation and Waste Management","Servi&#231;os de engenharia para redu&#231;&#227;o de perdas em &#225;reas de alta vulnerabilidade social no setor de abastecimento de Itaim, onde est&#225; localizada a Face Leste da V&#225;rzea do Tiet&#234; - Jardim Pantanal -TR 11.","2022-07-27T00:00:00.000","VITA AMBIENTAL","Federative Republic of Brazil","BR","4421756.0","BR-SABESP-257109-NC-RFB"
