"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.189946023875706, 149.14060516310167)","CAMILLERI WAY"
"FLYNN","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20633999918157, 149.03498432335812)","TILLYARD DR NR LHOTSKY ST"
"AMAROO","VICPOLE","10.5 metres",,"4.5 M SINGLE","GERRARD ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16975717907196, 149.1379509178751)","KATHERINE AVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31253248124898, 149.14689317246615)","KINGSTON FORESHORE"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.19033518619463, 149.14336872051123)","CAMILLERI WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.148596872458775, 149.12089738141012)","KARL LANGER CRES"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.29061824980971, 149.12629279520365)","HENRY ROLLAND PARK"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC AEROSCREEN","METAL HALIDE","1","
,  
(-35.17090727248194, 149.1447678826294)","FRANCIS FORDE BLVD"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17534361995519, 149.13954476861568)","HORSE PARK DRIVE"
"BEARD","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.34095289241348, 149.2141973680723)","COPPER CRES"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14906276537262, 149.10057768528125)","VAHLAND STREET"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.200556183980666, 149.10391135559018)","ABENA AVE"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","2","
,  
(-35.18675658801956, 149.11834894595418)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146828738785956, 149.10348908320915)","DEVENISH STREET"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","2","
,  
(-35.1822520217674, 149.12907807445546)","ANTHONY ROLFE AVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.145926267008186, 149.1209212115022)","ROMBERG WAY"
"DUFFY","BRICK WALL",,,"NONE",,"PHOTOLUMINESCENCE","4","
,  
(-35.33599557704342, 149.03160652100712)",
"CITY","No column hard surface mounted",,,,"SPECIAL","LIGHT EMITTING DIODE","1","
,  
(-35.27917827244719, 149.12993521596036)","VERITY LANE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1457794184804, 149.1183805656112)","IWANOFF STREET"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28223239725611, 149.13213539197352)","LONDON CCT"
"CITY","Rigid column","10.5 metres",,"3.0 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.281277849482315, 149.13445279776727)","BUNDA STREET"
"PHILLIP","Rigid column",,,,,,,"
,  
(-35.42457027575692, 149.07114984257905)","PEDESTRIAN"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.149239570355306, 149.11912743301215)","WHITMAN CRESCENT"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31267902717846, 149.14697806002124)","KINGSTON FORESHORE"
"STRATHNAIRN","FORDE COLUMN","4.5 metres",,"4.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22883620001274, 148.9967236621345)","BOXALL LANE"
"MAJURA (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","1","
,  
(-35.42456993105695, 149.07182148487487)","MT.AINSLIE LOOKOUT"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.172204847652125, 149.13906898663348)","HORSE PARK DRIVE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17256825877867, 149.13951570055698)","HORSE PARK DRIVE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.1852410487283, 149.12189726058412)","GUNDAROO DR"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.170352944143076, 149.14731537008348)","FRANCIS FORDE BLVD"
"BONNER","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16659617985338, 149.13807056872403)","HORSE PARK DRIVE"
"GUNGAHLIN","Energy Absorbing column","12 metres","STEEL ORDINARY","4.5 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.183521814536576, 149.12622116876548)","INTER. GUNDAROO DRIVE & GINN STREET"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.29072645736638, 149.126295228057)","HENRY ROLLAND PARK"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.19019812173566, 149.1420413224827)","CAMILLERI WAY"
"BEARD","Energy Absorbing column","10.5 metres","GALVANISED STEEL","3.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.34159894581184, 149.21446787656328)","RAILWAY ST"
"LATHAM","VICPOLE","10.5 metres","GALVANISED STEEL","4.5 M TWIN","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","2","
,  
(-35.20743770124672, 149.03434567589883)","GINNINDERRA DR ING TILLYARD DR"
"GREENWAY","VICPOLE","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.41510285529887, 149.0670698513449)","ANKETELL STREET"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.2294416612715, 148.9975181604819)","FAIRBROTHER ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145430214937605, 149.11419647984826)","GRUZMAN VIEW"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.149034064758325, 149.12300123150277)","EVERIST ST"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17173159045478, 149.13931805539994)","HORSE PARK DRIVE"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","2","
,  
(-35.18974292444276, 149.1403114853729)","CAMILLERI WAY"
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","4.5 M TWIN","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","2","
,  
(-35.206468945590906, 149.03473417196784)","TILLYARD DR INT LHOTSKY ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31172217422885, 149.1463601392848)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145215528489025, 149.11533721194064)","GRUZMAN VIEW"
"NICHOLLS","MULTIFUNCTION","12 metres",,"4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18629544702171, 149.1193237768949)","GUNDAROO DR INT GUNGAHLIN DR"
"BELCONNEN","STRUCTURE",,,"NONE","CONLUX 2065","PHOTOLUMINESCENCE","8","
,  
(-35.42452525926339, 149.07106172366616)","PATH BTWN SWANSON CT & CHANDLER ST"
"GUNGAHLIN","MULTIFUNCTION","12 metres",,"4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.181848403414676, 149.1289111883334)","GUNDAROO DR INT ANTHONY ROLFE AVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14954721224882, 149.116978924571)","WHITMAN CRESCENT"
"BELCONNEN","STRUCTURE",,,"NONE","REXEL OPTIMUM","MERCURY HIGH PRESURE FLUORESCE","1","
,  
(-35.23854718770647, 149.06963114462474)","PATH OFF SWANSON PL FRONT OF LIBRARY"
"MACGREGOR","Rigid column","6.5 metres",,"1.5 M SINGLE","SYLVANIA BOURKEHILL INC PEC","METAL HALIDE","1","
,  
(-35.20796941475674, 149.00359494733655)","ROWLAND STREET"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.183417936352726, 149.1260523535672)","GINN ST INT GUNDAROO DR"
"BONNER","Rigid column",,,"4.5 M SINGLE","SYLVANIA ROADSTER AERO","METAL HALIDE","1","
,  
(-35.160932408516445, 149.13970694518977)","MABO BOULEVARD"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17290752101772, 149.1396630529585)","FRANCIS FORDE BOULEVARD"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.150447818193776, 149.12135076207088)","MCGLASHAN ST"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.177366482918934, 149.1404291790051)","HORSE PARK DRIVE"
"GUNGAHLIN","MULTIFUNCTION","12 metres",,"4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18174977805286, 149.12878792237188)","GUNDAROO DR INT ANTHONY ROLFE AVE"
"BELCONNEN","FORDE COLUMN","9 metres","GALVANISED STEEL","3.5 M SINGLE","GERRARD ROAD LED","LIGHT EMITTING DIODE","2","
,  
(-35.24005613176842, 149.07137337818872)","EDMONDSTONE PLACE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22879720441399, 148.9965662111528)","BOXALL LANE"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17811597324718, 149.1409378031094)","HORSE PARK DRIVE"
"BEARD","Energy Absorbing column","10.5 metres","GALVANISED STEEL","3.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.34086069363642, 149.21480830491356)","RAILWAY ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN ROADWAY","LIGHT EMITTING DIODE","1","
,  
(-35.14550042512584, 149.11620767527182)","PROUDFOOT RISE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.182236788276505, 149.1281191469085)","GUNDAROO DR NEAR ANTHONY ROLFE AVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1489611897947, 149.1216560250409)","PATH"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.17596201697103, 149.14645464140168)","DAVID WALSHE AVE"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.174449749727195, 149.13940432293364)","HORSE PARK DRIVE"
"BELCONNEN","FORDE COLUMN","9 metres","GALVANISED STEEL","3.5 M SINGLE","GERRARD ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.24070209382867, 149.07132437969818)","EDMONDSTONE PLACE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.1670290149672, 149.1383709430152)","HORSE PARK DRIVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31245490454173, 149.14678456977418)","KINGSTON FORESHORE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17823782069746, 149.1413986579371)","HORSE PARK DRIVE"
"CITY","Energy Absorbing column","5 metres","STEEL ORDINARY","3.5 M TWIN","SPECIAL","METAL HALIDE","2","
,  
(-35.279242719127446, 149.1299281125423)","VERITY LANE BTWN EAST ROW & NTHBOURNE AVE"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18947633635846, 149.13794821958706)","CAMILLERI WAY"
"STRATHNAIRN","FORDE COLUMN","10.5 metres",,"4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","2","
,  
(-35.22691445423499, 148.9953165488938)","PRO HART AVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.147472739273375, 149.11712679146356)","SODERSTEN STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14744440803685, 149.1175156421002)","SODERSTEN STREET"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.311429082135334, 149.14619036888493)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14748477251418, 149.11672025323256)","SODERSTEN STREET"
"CITY","Rigid column","5 metres",,,"SYLVANIA NIGHT STAR","METAL HALIDE","1","
,  
(-35.27637610205282, 149.13171778427892)","MURULLA LANE"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18257834371122, 149.12676130656735)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14803803431876, 149.11553170529695)","WINSOME STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14742608246883, 149.11540861360942)","WINSOME STREET"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.183921459620066, 149.12385369126153)","GUNDAROO DR"
"STRATHNAIRN","FORDE COLUMN","4.5 metres",,"4.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.228530402200285, 148.99674040362382)","BOXALL LANE"
"NGUNNAWAL","Tapered octagonal column","4.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18245021208207, 149.12700949373098)","GUNDAROO DR"
"KAMBAH","Rigid column","5 metres","STEEL SPECIAL","0.3 M SINGLE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.379978209283415, 149.05789975971967)","KAMBAH VILLAGE REST AREA"
"ACTON","TUNNEL",,"TUNNEL",,,"MERCURY HIGH PRESURE PHOSPHOR","582","
,  
(-35.424569587766236, 149.07248211578525)","STREETLIGHTS IN ACTON TUNNEL - EAST BOUND"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.174914656545745, 149.13979704326783)","HORSE PARK DRIVE"
"DICKSON","Rigid column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE",,"LIGHT EMITTING DIODE","1","
,  
(-35.26010681648735, 149.13549047555412)","MCGOWAN PLACE"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.29094290659436, 149.1262904133926)","HENRY ROLLAND PARK"
"GREENWAY","FYNTRIM","4.5 metres","ALUMINIUM","NONE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.415633122519864, 149.0679526934258)","PAVED AERA BTWN ANKETELL & COWLISHAW ST"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18131357335178, 149.12952782363368)","GUNDAROO DR"
"ACTON","TUNNEL",,"TUNNEL",,,"SODIUM VAPOUR LOW PRESSURE","560","
,  
(-35.4245695817174, 149.07249312695203)","STREETLIGHTS IN ACTON TUNNEL - EAST BOUND"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.15036577452686, 149.1211360082781)","MCGLASHAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14306901963325, 149.11411433266716)","PROUDFOOT RISE"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.31279576307069, 149.1467505392836)","KINGSTON FORESHORE"
"MACGREGOR","Rigid column","6.5 metres",,"1.5 M SINGLE","SYLVANIA BOURKEHILL INC PEC","METAL HALIDE","1","
,  
(-35.210308200488846, 149.00030145573677)","KEANEY STREET"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.172979806458926, 149.13953479719336)","HORSE PARK DRIVE"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.31358183131928, 149.14735402033457)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14964071742277, 149.11839291940137)","WHITMAN CRESCENT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14717122837656, 149.11726525768967)","PROUDFOOT RISE"
"BRUCE","Rigid column",,,"NONE",,"MERCURY LOW PRESURE FLUORESCEN","4","
,  
(-35.42451598107924, 149.07157921181275)","LEV.CR FACING NATIONAL INDOOR SPORTS CTR"
