"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"192","POINT (-35.272857666015625 149.13018798828125)","210534104.0","2022-08-30T10:03:15.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","14","16741442","None","-35.272857666015625","149.13018798828125","7.274123668670654","IN_TRANSIT_TO","8129"
"64","POINT (-35.2679557800293 149.13092041015625)","206027405.0","2022-08-30T10:03:00.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","3","16741163","None","-35.2679557800293","149.13092041015625","186.89476013183594","IN_TRANSIT_TO","8125"
"62","POINT (-35.244747161865234 149.13450622558594)","217616866.0","2022-08-30T10:03:00.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","6","16741167","None","-35.244747161865234","149.13450622558594","186.39210510253906","STOPPED_AT","8119"
"194","POINT (-35.1877326965332 149.14817810058594)","259238317.0","2022-08-30T10:03:00.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","3","16741165","None","-35.1877326965332","149.14817810058594","281.49774169921875","IN_TRANSIT_TO","8106"
"58","POINT (-35.18699264526367 149.14328002929688)","238371144.0","2022-08-30T10:03:00.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","13","16741168","None","-35.18699264526367","149.14328002929688","0.0","STOPPED_AT","8105"
"61","POINT (-35.22907257080078 149.1443634033203)","217859652.0","2022-08-30T10:03:00.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","8","16741166","None","-35.22907257080078","149.1443634033203","169.26626586914062","IN_TRANSIT_TO","8115"
"193","POINT (-35.232669830322266 149.14483642578125)","255092832.0","2022-08-30T10:03:00.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","8","16741164","None","-35.232669830322266","149.14483642578125","358.9033508300781","IN_TRANSIT_TO","8116"
"192","POINT (-35.27272033691406 149.1302032470703)","210534087.0","2022-08-30T10:03:00.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","13","16741162","None","-35.27272033691406","149.1302032470703","7.717028617858887","STOPPED_AT","8126"
"193","POINT (-35.229698181152344 149.14456176757812)","255092515.0","2022-08-30T10:02:30.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","8","16740613","None","-35.229698181152344","149.14456176757812","349.0008850097656","IN_TRANSIT_TO","8116"
"194","POINT (-35.18698501586914 149.14378356933594)","259237902.0","2022-08-30T10:02:30.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","3","16740612","None","-35.18698501586914","149.14378356933594","0.0","IN_TRANSIT_TO","8106"
"64","POINT (-35.2707633972168 149.13047790527344)","206027094.0","2022-08-30T10:02:30.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","3","16740610","None","-35.2707633972168","149.13047790527344","0.0","IN_TRANSIT_TO","8125"
"192","POINT (-35.27272033691406 149.1302032470703)","210534087.0","2022-08-30T10:02:30.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","13","16740608","None","-35.27272033691406","149.1302032470703","7.717028617858887","STOPPED_AT","8126"
"61","POINT (-35.23189926147461 149.14476013183594)","217859343.0","2022-08-30T10:02:30.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","8","16740614","None","-35.23189926147461","149.14476013183594","177.39366149902344","IN_TRANSIT_TO","8115"
"58","POINT (-35.18718719482422 149.14459228515625)","238371023.0","2022-08-30T10:02:30.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","13","16740611","None","-35.18718719482422","149.14459228515625","101.42220306396484","IN_TRANSIT_TO","8105"
"62","POINT (-35.24720001220703 149.13417053222656)","217616605.0","2022-08-30T10:02:30.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","6","16740609","None","-35.24720001220703","149.13417053222656","183.5830078125","IN_TRANSIT_TO","8119"
"194","POINT (-35.18695068359375 149.14358520507812)","259237877.0","2022-08-30T10:02:15.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","2","16740331","None","-35.18695068359375","149.14358520507812","281.4201354980469","STOPPED_AT","8104"
"192","POINT (-35.27191925048828 149.1303253173828)","210533999.0","2022-08-30T10:02:15.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","13","16740334","None","-35.27191925048828","149.1303253173828","6.853638172149658","IN_TRANSIT_TO","8126"
