"business","branch","suburb","street_address","latitude","longitude","geocoded_column"
"TUGGERANONG LIBRARY","LIBRARIES ACT","GREENWAY","COWLISHAW ST, TUGGERANONG","-35.4150408478128","149.068453596294","POINT (149.068453596294 -35.4150408478128)"
"HEAD OFFICE AND TRAFFIC MGT CENTRE","TRANSPORT CANBERRA AND CITY SERVICES","DICKSON","496 NORTHBOURNE AVE, DICKSON","-35.2487599818326","149.134903545014","POINT (149.134903545014 -35.2487599818326)"
"TUGGERANONG BUS DEPOT AND OPERATIONS","ACTION","GREENWAY","200 - 220 SCOLLAY ST, TUGGERANONG","-35.4225396334072","149.068758164584","POINT (149.068758164584 -35.4225396334072)"
"HERITAGE LIBRARY","LIBRARIES ACT","FYSHWICK","255 CANBERRA AVE, FYSHWICK","-35.3315995012201","149.165206194108","POINT (149.165206194108 -35.3315995012201)"
"HOLT SPORTS DEPOT","SPORTSGROUNDS ACT","HOLT","ORMSBY PLACE, HOLT","-35.2262495742123","149.023900547957","POINT (149.023900547957 -35.2262495742123)"
"HALL CEMETERY","CANBERRA CEMETERIES","HALL","WALLAROO RD, HALL","-35.1723210675828","149.057045531477","POINT (149.057045531477 -35.17232106758281)"
"PHILLIP RECYCLING DROP OFF CENTRE","ACT NOWASTE","PHILLIP","BOTANY ST, PHILLIP","-35.3506703267726","149.088915354702","POINT (149.088915354702 -35.3506703267726)"
"COPPINS CROSSING SEWAGE TREATMENT WORKS","ACT NOWASTE","MOLONGLO VALLEY (RURAL DIST.)","COPPINS CROSSING RD, MOLONGLO","-35.2826781910785","149.029447135109","POINT (149.029447135109 -35.2826781910785)"
"BELCONNEN COMMUNITY BUS STATION","ACTION","BELCONNEN","COHEN ST B/W BENJAMIN WY AND EMU BANK","-35.2398813397574","149.068972138742","POINT (149.068972138742 -35.2398813397574)"
"CIVIC LIBRARY","LIBRARIES ACT","CITY","CIVIC SQUARE, LONDON CCT, CANBERRA CITY","-35.2816420087699","149.131236994774","POINT (149.131236994774 -35.2816420087699)"
"KAMBAH CITY PRESENTATION DEPOT","CITY PRESENTATION","KAMBAH","CORNER OHALLORAN & CHIRNSIDE STS, KAMBAH","-35.3873214541222","149.060106166294","POINT (149.06010616629402 -35.3873214541222)"
"KINGSTON LIBRARY","LIBRARIES ACT","KINGSTON","SHOP 4, 52 GILES ST, KINGSTON","-35.3157373939961","149.14071061654","POINT (149.14071061654 -35.3157373939961)"
"DICKSON CITY PRESENTATION DEPOT","CITY PRESENTATION","DICKSON","HAWDON ST, DICKSON","-35.2509620011758","149.147282907913","POINT (149.147282907913 -35.2509620011758)"
"YARRALUMLA NURSERY","BUSINESS ENTERPRISES","YARRALUMLA","BANKS ST, YARRALUMLA","-35.2972198492289","149.091990920911","POINT (149.091990920911 -35.2972198492289)"
"MITCHELL ROADS YARD","TRANSPORT CANBERRA AND CITY SERVICES","MITCHELL","DACRE ST, MITCHELL","-35.2086712820991","149.137405183044","POINT (149.137405183044 -35.2086712820991)"
"BELCONNEN RECYCLING DROP OFF CENTRE","ACT NOWASTE","BELCONNEN","JOLLY ST, BELCONNEN","-35.2405938227783","149.059894920065","POINT (149.059894920065 -35.2405938227783)"
"GUNGAHLIN LIBRARY","LIBRARIES ACT","GUNGAHLIN","CORNER HIBBERSON & GOZZARD STS, GUNGAHLIN","-35.1855376907144","149.130524499839","POINT (149.130524499839 -35.1855376907144)"
"BIRRIGAI OUTDOOR SCHOOL","TRANSPORT CANBERRA AND CITY SERVICES","PADDYS RIVER (RURAL DIST.)","142 TIDBINBILLA RD, PADDYS RIVER","-35.4483487049599","148.957615911976","POINT (148.95761591197603 -35.4483487049599)"
"ERINDALE LIBRARY","LIBRARIES ACT","WANNIASSA","MCBRYDE CRES, WANNIASSA","-35.4042149261267","149.096597658426","POINT (149.096597658426 -35.4042149261267)"
"MAWSON CITY PRESENTATION DEPOT","CITY PRESENTATION","MAWSON","46 MAWSON DR, MAWSON","-35.360670525233","149.100392821451","POINT (149.100392821451 -35.360670525233)"
"DICKSON LIBRARY","LIBRARIES ACT","DICKSON","DICKSON SHOPPING CENTRE, DICKSON","-35.2495948208726","149.13949772118","POINT (149.13949772118 -35.2495948208726)"
"BELCONNEN CITY PRESENTATION DEPOT","CITY PRESENTATION","BELCONNEN","MOUBRAY PL, BELCONNEN","-35.2432748923329","149.058777661549","POINT (149.058777661549 -35.2432748923329)"
"WARAMANGA SPORTS DEPOT","SPORTSGROUNDS ACT","WARAMANGA","BADIMARA STREET, WARAMANGA","-35.3556760655666","149.055924340402","POINT (149.055924340402 -35.3556760655666)"
"NICHOLLS CITY PRESENTATION DEPOT","CITY PRESENTATION","NICHOLLS","CLARRIE-HERMES DR, NICHOLLS","-35.1770356467991","149.096699469536","POINT (149.096699469536 -35.1770356467991)"
"GUNGAHLIN RECYCLING DROP OFF CENTRE","ACT NOWASTE","GUNGAHLIN","O¿BRIEN PL, GUNGAHLIN","-35.1849628316013","149.125210900713","POINT (149.125210900713 -35.1849628316013)"
"MITCHELL RECYCLING DROP OFF CENTRE","ACT NOWASTE","MITCHELL","BAILLIEU CT, MITCHELL","-35.217269294998","149.142013538913","POINT (149.142013538913 -35.217269294998)"
