"lotcode","baycount","baytype","city","latitude","longitude","location","maxstayperiod","operatinghourcode","street","subzone","tariffcode","ward","zone"
"301","2","Disabled","Manuka","-35.319649","149.131909","(-35.319649, 149.131909)","0","All_Day","Furneaux Street","1","Free","Furneaux","1"
"302","11","30m Voucher","Manuka","-35.319557","149.132115","(-35.319557, 149.132115)","30","Voucher","Furneaux Street","1","SS06_30m","Furneaux","1"
"311","7","2P Free","Manuka","-35.320252","149.130602","(-35.320252, 149.130602)","120","Free","Furneaux Street","1","Free_2_hrs","Furneaux","1"
"312","3","30m Voucher","Manuka","-35.319634","149.132171","(-35.319634, 149.132171)","30","Voucher","Furneaux Street","1","SS06_30m","Furneaux","1"
"401","1","Dropoff","Manuka","-35.31999","149.133689","(-35.31999, 149.133689)","5","All_Day","Flinders Way","1","Free_5_mins","Flinders","1"
"402","8","30m Voucher","Manuka","-35.319879","149.13373","(-35.319879, 149.13373)","30","Voucher","Flinders Way","1","SS06_30m","Flinders","1"
"411","4","30m Free","Manuka","-35.321976","149.133417","(-35.321976, 149.133417)","30","Free","Flinders Way","1","Free_30_mins","Flinders","1"
"412","4","30m Free","Manuka","-35.321869","149.133445","(-35.321869, 149.133445)","30","Free","Flinders Way","1","Free_30_mins","Flinders","1"
"413","4","1P Free","Manuka","-35.32175","149.133464","(-35.32175, 149.133464)","60","Free","Flinders Way","1","Free_1_hr","Flinders","1"
"414","4","1P Free","Manuka","-35.321654","149.13349","(-35.321654, 149.13349)","60","Free","Flinders Way","1","Free_1_hr","Flinders","1"
"415","4","1P Free","Manuka","-35.321535","149.133511","(-35.321535, 149.133511)","60","Free","Flinders Way","1","Free_1_hr","Flinders","1"
"416","1","5Min Free","Manuka","-35.320933","149.133637","(-35.320933, 149.133637)","5","All_Day","Flinders Way","1","Free_5_mins","Flinders","1"
"417","3","5Min Free","Manuka","-35.320573","149.13372","(-35.320573, 149.13372)","5","All_Day","Flinders Way","1","Free_5_mins","Flinders","1"
"501","12","1P Voucher","Manuka","-35.321103","149.134606","(-35.321103, 149.134606)","60","Voucher","Captain Cook Cres","1","SS06_1P","Captain Cook Cres","1"
"502","11","1P Voucher","Manuka","-35.320821","149.134663","(-35.320821, 149.134663)","60","Voucher","Captain Cook Cres","1","SS06_1P","Captain Cook Cres","1"
"503","4","30m Voucher","Manuka","-35.320141","149.134852","(-35.320141, 149.134852)","30","Voucher","Captain Cook Cres","1","SS06_30m","Captain Cook Cres","1"
"511","11","2P Free","Manuka","-35.321474","149.135028","(-35.321474, 149.135028)","120","Free","Captain Cook Cres","1","Free_2_hrs","Captain Cook Cres","1"
"512","8","2P Free","Manuka","-35.320302","149.135269","(-35.320302, 149.135269)","120","Free","Captain Cook Cres","1","Free_2_hrs","Captain Cook Cres","1"
"601","71","4P","Manuka","-35.31942","149.131437","(-35.31942, 149.131437)","240","Voucher","Furneaux St Multi Storey - Ground","2","SS03","Off Street","2"
"602","36","4P","Manuka","-35.31918","149.131562","(-35.31918, 149.131562)","240","Voucher","Furneaux St Multi Storey - Level 1","2","SS03","Off Street","2"
"603","82","8P","Manuka","-35.319298","149.130982","(-35.319298, 149.130982)","480","Voucher","Furneaux St Multi Storey - Roof","2","MS04","Off Street","2"
"701","4","LZ","Manuka","-35.320019","149.132024","(-35.320019, 149.132024)","30","All_Day","Palmerston Lane","1","LZ_&_1P","Palmerston","1"
"600","2","EV","Manuka","-35.31918","149.131562","(-35.31918, 149.131562)","0","All_Day","Furneaux St Multi Storey - Level 1","1","Free","Off Street","2"
