"site","town_centre","location","cyclists_total_average","pedestrians_total_average","cyclists_total_2015","pedestrians_total_2015","cyclists_inbound_am_2015","cyclists_outbound_am_2015","pedestrians_inbound_am_2015","pedestrians_outbound_am_2015","cyclists_inbound_pm_2015","cyclists_outbound_pm_2015","pedestrians_inbound_pm_2015","pedestrians_outbound_pm_2015","cyclists_total_2016","pedestrians_total_2016","cyclists_inbound_am_2016","cyclists_outbound_am_2016","pedestrians_inbound_am_2016","pedestrians_outbound_am_2016","cyclists_inbound_pm_2016","cyclists_outbound_pm_2016","pedestrians_inbound_pm_2016","pedestrians_outbound_pm_2016","cyclists_total_2017","pedestrians_total_2017","cyclists_inbound_am_2017","cyclists_outbound_am_2017","pedestrians_inbound_am_2017","pedestrians_outbound_am_2017","cyclists_inbound_pm_2017","cyclists_outbound_pm_2017","pedestrians_inbound_pm_2017","pedestrians_outbound_pm_2017","cyclists_total_2018","pedestrians_total_2018","cyclists_inbound_am_2018","cyclists_outbound_am_2018","pedestrians_inbound_am_2018","pedestrians_outbound_am_2018","cyclists_inbound_pm_2018","cyclists_outbound_pm_2018","pedestrians_inbound_pm_2018","pedestrians_outbound_pm_2018"
"G04","Gungahlin","(-35.183213, 149.134679)","7","118","6","96","0","1","53","6","0","5","10","27","14","204","10","1","78","12","0","3","44","70","3","95","1","0","30","19","0","2","16","30","5","77","0","0","19","12","0","5","18","28"
"B01","Belconnen","(-35.235829, 149.062861)","13","74","9","85","6","1","34","3","0","2","9","39","13","71","9","1","27","3","0","3","6","35","15","73","5","0","32","1","5","5","6","34","13","67","0","3","26","2","1","9","2","37"
"C22","Civic","(-35.282435, 149.138039)","54","152","61","156","28","6","71","10","3","24","17","58","52","133","23","1","62","6","2","26","13","52","51","130","26","5","60","11","4","16","12","47","50","189","21","5","77","9","7","17","25","78"
"B15","Belconnen","(-35.243095, 149.069658)","27","349","20","374","10","2","168","12","2","6","50","144","44","437","18","17","199","105","4","5","23","110","17","401","2","1","159","13","5","9","63","166","27","184","4","11","26","53","2","10","58","47"
"C19","Civic","(-35.277275, 149.134572)","89","405","101","484","43","2","154","16","15","41","70","244","86","369","32","6","132","11","9","39","68","158","87","386","29","6","121","23","7","45","74","168","81","381","25","4","119","23","9","43","63","176"
"C05-C06","Civic","(-35.272188, 149.117019)","360","179","372","177","195","21","97","0","17","139","11","69","393","210","204","33","125","19","20","136","13","53","416","199","190","35","97","17","38","153","21","64","260","131","129","9","67","5","15","107","8","51"
"W03","Woden","(-35.337861, 149.08676)","52","33","43","32","20","4","21","6","8","11","2","3","103","44","37","59","15","15","1","6","3","11","37","19","20","4","9","3","2","11","2","5","24","35","9","5","7","11","5","5","3","14"
"G01","Gungahlin","(-35.182266, 149.129051)","40","85","32","130","12","2","48","13","4","14","30","39","37","63","24","7","34","6","0","6","10","13","29","68","17","5","44","6","1","6","6","12","63","78","23","3","34","12","18","19","7","25"
"B04","Belconnen","(-35.237449, 149.073411)","202","392","232","406","98","22","131","57","30","82","83","135","186","245","109","19","102","83","4","54","24","36","181","472","67","13","82","88","27","74","124","178","209","446","75","28","90","72","31","75","121","163"
"W06","Woden","(-35.342009, 149.087855)","31","31","33","8","15","4","3","4","2","12","1","0","26","25","10","0","3","17","12","4","3","2","23","33","7","5","7","20","5","6","3","3","42","58","20","3","8","40","4","15","5","5"
