"activity","authorisationno","status","partyname","date","ceaseexpirydate","suburb","pdf"
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,,"YES"
"Petroleum storage (Activity 30)","1191","Current","Octane DCP Pty Ltd","2019-03-29T00:00:00.000",,,
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,,"YES"
"Petroleum storage (Activity 30)","0719","Current","EG Fuelco (Australia) Limited - DICKSON","2010-01-14T00:00:00.000",,"Dickson","YES"
"Petroleum storage (Activity 30)","0723","Current","EG Fuelco (Australia) Limited - MAWSON","2010-01-14T00:00:00.000",,"MAWSON","YES"
"Petroleum storage (Activity 30)","0901","Current","EG Fuelco (Australia) Limited - GUNGAHLIN (Canberra Gateway)","2012-05-28T00:00:00.000",,"Gungahlin","YES"
"Petroleum storage (Activity 30)","0720","Current","EG Fuelco (Australia) Limited - WANNIASSA","2010-01-14T00:00:00.000",,"WANNIASSA","YES"
"Petroleum storage (Activity 30)","0722","Current","EG Fuelco (Australia) Limited - HUME","2010-01-14T00:00:00.000",,"Hume","YES"
"Petroleum storage (Activity 30)","0724","Current","EG Fuelco (Australia) Limited - TUGGERANONG","2010-01-14T00:00:00.000",,"Greenway","YES"
"Petroleum storage (Activity 30)","0829","Current","EG Fuelco (Australia) Limited - MAJURA (Airport)","2011-04-18T00:00:00.000",,"Canberra Airport","YES"
"Petroleum storage (Activity 30)","0718","Current","EG Fuelco (Australia) Limited - CONDER","2010-01-14T00:00:00.000",,"Conder","YES"
"Petroleum storage (Activity 30)","0717","Current","EG Fuelco (Australia) Limited - BELCONNEN","2010-01-14T00:00:00.000",,"Belconnen","YES"
"Petroleum storage (Activity 30)","0721","Current","EG Fuelco (Australia) Limited - GUNGAHLIN","2010-01-14T00:00:00.000",,"Gungahlin","YES"
"Placement of soil on land (Activity 7)","1192","Current","Director-General, EPSDD - ACT Parks and Conservation Services","2019-04-18T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1157","Ceased","HL Landscapes Pty Ltd","2018-04-11T00:00:00.000","2020-04-15T00:00:00.000",,"YES"
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,,"YES"
"Operation of waste transfer (Activity 48)","1171","Cancelled","Re-Cycle Operations (Canberra) Pty Ltd","2018-11-30T00:00:00.000",,"Hume",
"Commercial use of chemicals (Activity 29)","0997","Cancelled","Actfast Termi Spray","2014-08-01T00:00:00.000","2019-11-21T00:00:00.000","FORDE","YES"
"Commercial use of chemicals (Activity 29)","1203","Current","Capital Weed Control Pty Ltd","2019-05-22T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1237","Current","Spot On Rural Contractors","2020-06-05T00:00:00.000",,,
"Petroleum storage (Activity 30)","1199","Current","The Capital Aus Pty Ltd","2019-05-30T00:00:00.000",,"Mitchell",
"Commercial use of chemicals (Activity 29)","0474","Cancelled","Landscape Direct","2004-08-19T00:00:00.000","2018-10-22T00:00:00.000","Campbell","YES"
"Commercial use of chemicals (Activity 29)","1206","Current","Pestpro Pest Control Canberra","2019-06-05T00:00:00.000",,,
"Regulated Waste (Activity 9)","1016","Current","Flexible Drain Clear Service Australia","2015-01-23T00:00:00.000",,"Oaks Estate","YES"
"Regulated Waste (Activity 9)","1002","Ceased","ABAC Earthwork and Demolition","2014-10-02T00:00:00.000","2015-10-07T00:00:00.000","Bywong","YES"
"Regulated Waste (Activity 9)","1009","Ceased","D & F Demolitions and Asbestos Removal","2014-12-02T00:00:00.000","2016-12-07T00:00:00.000","Mitchell","YES"
"Regulated Waste (Activity 9)","1125","Current","A1 Bins ACT","2017-05-10T00:00:00.000",,,"YES"
"Regulated Waste (Activity 9)","0790","Suspended","Haden Engineering Pty Ltd","2010-08-03T00:00:00.000",,"Mitchell","YES"
"Regulated Waste (Activity 9)","0946","Ceased","Custom Hire","2013-07-01T00:00:00.000","2017-07-19T00:00:00.000","Batemans Bay","YES"
"Regulated Waste (Activity 9)","0940","Current","Veolia Environmental Services (Australia) Pty Ltd","2013-04-19T00:00:00.000",,"Queanbeyan","YES"
"Regulated Waste (Activity 9)","1011","Ceased","Brema Group Pty Ltd","2014-12-09T00:00:00.000","2018-12-11T00:00:00.000",,"YES"
"Regulated Waste (Activity 9)","1032","Current","Remondis Australia Pty Ltd","2015-08-12T00:00:00.000",,"various","YES"
"Regulated Waste (Activity 9)","1040","Ceased","McMahon Services Australia Pty Ltd","2015-09-11T00:00:00.000","2017-04-11T00:00:00.000","various","YES"
"Regulated Waste (Activity 9)","0977","Ceased","Zubus Import & Export","2014-05-02T00:00:00.000","2015-04-07T00:00:00.000","BANKS","YES"
"Regulated Waste (Activity 9)","1112","Current","Poo Carters","2016-11-19T00:00:00.000",,,"YES"
"Regulated Waste (Activity 9)","1012","Ceased","Delta Pty Ltd","2014-11-28T00:00:00.000","2018-11-16T00:00:00.000",,"YES"
"Regulated Waste (Activity 9)","0945","Ceased","Check It Services Pty Ltd","2013-06-18T00:00:00.000","2015-06-18T00:00:00.000","Yass","YES"
"Regulated Waste (Activity 9)","1077","Current","Indetail Design & Construction Pty Ltd","2016-03-09T00:00:00.000",,,"YES"
"Regulated Waste (Activity 9)","1031","Ceased","D Group Civil Pty Ltd","2015-07-30T00:00:00.000",,,"YES"
"Petroleum storage (Activity 30)","1231","Current","7-Eleven Stores Pty Ltd - PHILLIP","2020-02-07T00:00:00.000",,"PHILLIP",
"Regulated Waste (Activity 9)","0674","Current","Cleanaway Pty Ltd","2009-08-26T00:00:00.000",,"Hume","YES"
"Regulated Waste (Activity 9)","1027","Ceased","Aussie Toilet Hire and Power Waste","2015-05-25T00:00:00.000","2015-09-01T00:00:00.000",,"YES"
"Regulated Waste (Activity 9)","1153","Current","Supercharge Batteries Pty Ltd","2018-02-22T00:00:00.000",,,"YES"
"Regulated Waste (Activity 9)","1186","Current","J.R & E.G Richards (NSW) Pty Ltd","2019-02-04T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","0359a","Ceased","Skyline Tree Surgery & Knights Tree Service","2002-01-24T00:00:00.000","2007-11-01T00:00:00.000",,"YES"
"Regulated Waste (Activity 9)","1030","Current","AGH Demolition & Asbestos Removal Pty Ltd","2015-07-03T00:00:00.000",,,"YES"
"Regulated Waste (Activity 9)","0834","Current","Traction Tyre Disposal & Recycling Pty Ltd","2011-04-19T00:00:00.000",,"Belconnen","YES"
"Regulated Waste (Activity 9)","1034","Cancelled","Caylamax Demolitions Pty Ltd","2015-08-12T00:00:00.000","2018-11-08T00:00:00.000","variuos","YES"
"Regulated Waste (Activity 9)","1062","Ceased","Aculed Group Pty Ltd T/A ACT Demolition","2015-12-21T00:00:00.000","2018-02-05T00:00:00.000","Various Locations on leased and unleased ACT Land","YES"
"Regulated Waste (Activity 9)","0996","Ceased","Samarkos Earthmoving Pty Ltd","2014-08-01T00:00:00.000","2017-11-15T00:00:00.000","City","YES"
"Regulated Waste (Activity 9)","0669","Current","Suez Recycling & Recovery Pty Ltd","2009-06-01T00:00:00.000",,"Hume","YES"
"Commercial use of chemicals (Activity 29)","0385a","Ceased","James William Finch","2002-11-07T00:00:00.000","2010-07-09T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1298","Current","Hand Picked Events and Marketing Pty Ltd","2022-07-19T00:00:00.000","2023-07-19T00:00:00.000",,
"Outdoor concerts (Activity 23)","1205","Expired","Sweet Dreams Festival Pty Ltd","2019-07-11T00:00:00.000","2019-07-22T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1209","Current","Dan & Dan Landscaping - (Copa Enterprises Pty Ltd)","2019-07-23T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","0951","Current","Wild Rivers Environmental Management","2013-07-30T00:00:00.000",,,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1173","Expired","Lendlease Building Pty Limited","2018-11-09T00:00:00.000","2019-11-08T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","0306","Current","ICON Water Limited","2001-04-30T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1210","Current","Canberra's Best Group","2019-07-29T00:00:00.000",,,
"Placement of soil on land (Activity 7)","1176","Expired","Dale & Hitchcock Civil Engineering and Landscaping","2018-10-23T00:00:00.000","2019-10-23T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1046","Current","Bugalugs Pest Control","2015-10-15T00:00:00.000",,"various","YES"
"Commercial use of chemicals (Activity 29)","1202","Ceased","Cameron Vertebrate Pest Management","2019-05-21T00:00:00.000","2022-07-21T00:00:00.000",,
"Regulated Waste (Activity 9)","1026","Current","Dale & Hitchcock Civil Pty Ltd","2015-05-07T00:00:00.000",,,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0673","Ceased","Guideline ACT Pty Ltd","2009-06-15T00:00:00.000","2010-06-15T00:00:00.000","Dickson","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0622","Expired","Land Development Agency","2008-06-10T00:00:00.000","2010-06-10T00:00:00.000","Bonner","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0893","Expired","Canberra Contractors Pty Limited","2012-04-11T00:00:00.000","2014-04-11T00:00:00.000","Mitchell","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0872","Expired","Guideline ACT Pty Ltd","2011-12-07T00:00:00.000","2012-12-07T00:00:00.000","Queanbeyan",
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0675","Expired","Guideline ACT PTY LTD","2009-08-17T00:00:00.000","2011-08-17T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0811","Expired","Guideline ACT Pty Ltd","2010-11-02T00:00:00.000","2011-11-02T00:00:00.000","Dickson","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0907","Ceased","Group One","2012-08-20T00:00:00.000","2014-08-19T00:00:00.000","Mitchell","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0681","Expired","ACT Parks, Conservation and Lands","2009-08-31T00:00:00.000","2010-08-31T00:00:00.000","Mitchell","NO"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0673","Ceased","Guideline ACT Pty Ltd","2009-06-15T00:00:00.000","2010-06-15T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0286","Expired","ACT Government operating as Environment ACT","2001-02-28T00:00:00.000","2001-12-31T00:00:00.000","Tharwa","NO"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0654","Current","Roads ACT, Transport and City Services Directorate, ACT Government","2008-12-19T00:00:00.000",,"Fyshwick","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0905","Expired","BMD Constructions","2012-06-21T00:00:00.000","2013-05-21T00:00:00.000","Mitchell","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0408","Ceased","Agility Management Pty Ltd","2003-04-10T00:00:00.000","2004-06-07T00:00:00.000","giralang","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0676","Ceased","Group One Pty Ltd","2009-06-03T00:00:00.000","2010-06-03T00:00:00.000","Hall","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0810","Expired","Guideline ACT Pty Ltd","2010-11-02T00:00:00.000","2011-11-02T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0678","Ceased","Kenoss Contractors Pty Ltd","2009-07-16T00:00:00.000","2010-07-17T00:00:00.000","Weston","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1035","Cancelled","St Hilliers Property Pty Ltd","2015-09-23T00:00:00.000","2018-09-22T00:00:00.000","Barton","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0526","Ceased","Environment ACT","2005-10-07T00:00:00.000","2006-10-06T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0877","Expired","Cut and Fill Pty Ltd","2012-01-19T00:00:00.000","2014-01-19T00:00:00.000","Symonston","YES"
"Incineration (Activity 12)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,"Mitchell","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0989","Cancelled","Group One Pty Ltd","2014-06-27T00:00:00.000","2016-08-17T00:00:00.000","Greenway","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0603","Expired","Forde Developments Pty Ltd.","2008-01-08T00:00:00.000","2009-11-05T00:00:00.000","Canberra City","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0802","Ceased","John Holland Pty Ltd","2010-11-03T00:00:00.000",,"Mt Stromlo","YES"
"Production of concrete (Activity 41)","1213","Current","Hi Quality Concrete ACT Pty Ltd","2019-11-18T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1207","Current","Andrew Kemp","2019-06-11T00:00:00.000",,,
"Motor racing event (Activity 26)","0006","Current","Exhibition Park Corporation","1998-06-12T00:00:00.000",,"Lyneham","YES"
"Motor racing event (Activity 26)","1197","Expired","Brindabella Motor Sports Club","2019-05-01T00:00:00.000","2019-05-11T00:00:00.000",,
"Outdoor concerts (Activity 23)","1196","Expired","Peking Duk Touring Pty Ltd","2019-05-08T00:00:00.000","2019-05-11T00:00:00.000",,
"Outdoor concerts (Activity 23)","1178","Expired","GIO Stadium/Venues Canberra","2019-01-03T00:00:00.000","2019-01-27T00:00:00.000",,
"Outdoor concerts (Activity 23)","1189","Expired","Regional Touring","2019-02-19T00:00:00.000","2019-02-25T00:00:00.000",,
"Placement of soil on land (Activity 7)","1025","Expired","Pialligo Stone Quarry","2015-05-09T00:00:00.000","2016-05-08T00:00:00.000","Pialligo","YES"
"Commercial use of chemicals (Activity 29)","1198","Current","Aus-Scan Pty Ltd -Trading as Superb Asset Management","2019-05-06T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","0616","Cancelled","S & J Morrison","2008-04-08T00:00:00.000","2019-07-05T00:00:00.000","The Angle","YES"
"Commercial use of chemicals (Activity 29)","1156","Ceased","Stephen Button","2018-04-03T00:00:00.000","2019-07-05T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0775","Expired","Cord Civil Pty Ltd","2010-06-25T00:00:00.000","2012-06-25T00:00:00.000","Lyneham","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0526","Ceased","Environment ACT","2005-10-07T00:00:00.000","2006-10-06T00:00:00.000","Lyneham","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0580","Expired","Arenco (NSW) Pty Ltd former Connell Wagner Pty Ltd","2007-08-07T00:00:00.000","2009-08-07T00:00:00.000","Neutral Bay","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0986","Expired","Fulton Hogan Construction Pty Ltd","2014-06-04T00:00:00.000","2015-06-04T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1090","Cancelled","Group One Pty Ltd","2016-07-11T00:00:00.000","2019-07-11T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0580","Expired","Arenco (NSW) Pty Ltd former Connell Wagner Pty Ltd","2007-08-07T00:00:00.000","2009-08-07T00:00:00.000","Tharwa","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0985","Expired","BMD Constructions Pty Ltd","2014-06-30T00:00:00.000","2015-06-29T00:00:00.000","Lawson","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0672","Expired","Kenoss Contractors Pty Ltd","2009-07-13T00:00:00.000","2010-07-13T00:00:00.000","Fyshwick","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0507","Ceased","Canberra Urban Parks and PLaces","2005-03-31T00:00:00.000","2007-01-12T00:00:00.000","latham","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0589","Expired","Canberra Contractors Pty ltd","2007-10-18T00:00:00.000","2009-10-18T00:00:00.000","Mitchell","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0534","Ceased","Northrop Engineers","2006-01-17T00:00:00.000","2008-08-08T00:00:00.000","Phillip","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0931","Expired","Guideline ACT","2013-04-12T00:00:00.000","2014-04-12T00:00:00.000","Queanbeyan","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0683","Expired","GHD Pty Ltd","2010-06-08T00:00:00.000","2011-06-08T00:00:00.000","Canberra","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0893","Expired","Canberra Contractors Pty Limited","2012-04-11T00:00:00.000","2014-04-11T00:00:00.000","Belconnen","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0838","Expired","BMD Constructions","2011-05-16T00:00:00.000","2012-05-16T00:00:00.000","Mitchell","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0599","Expired","ActewAGL Distribution","2008-01-23T00:00:00.000","2009-01-23T00:00:00.000","Canberra","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0886","Expired","Manteena Pty Ltd","2012-03-06T00:00:00.000","2014-03-06T00:00:00.000","Belconnen","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0593","Expired","Huon Contractors Pty Ltd","2007-11-23T00:00:00.000","2008-11-23T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0876","Expired","Cut and Fill Pty Ltd","2011-12-20T00:00:00.000","2012-12-20T00:00:00.000","Kew","YES"
"Incineration (Activity 12)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,"Mitchell","YE"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0629","Expired","Canberra Contractors Pty Ltd","2008-06-20T00:00:00.000","2009-06-20T00:00:00.000","Macgregor","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0594","Expired","BMD Constructions","2007-11-08T00:00:00.000","2008-11-18T00:00:00.000","Homebush Bay","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0607","Ceased","Martam Pest Control Pty Ltd","2008-01-14T00:00:00.000","2009-11-21T00:00:00.000","Gordon","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0786","Expired","Group One Pty Ltd (Formerly Sayers Australia Pty Ltd)","2010-05-27T00:00:00.000","2011-05-27T00:00:00.000","Moncrieff","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0650","Expired","TransGrid","2008-11-24T00:00:00.000","2009-11-24T00:00:00.000","YASS","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0631","Expired","Parks Conservation and Lands","2008-08-12T00:00:00.000","2011-08-12T00:00:00.000","Lynham","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0628","Ceased","AKRON","2008-07-18T00:00:00.000","2009-07-18T00:00:00.000","Seaford","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0675","Expired","Guideline ACT PTY LTD","2009-08-17T00:00:00.000","2011-08-17T00:00:00.000","Queanbeyan","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0625","Expired","Territory and Municipal Services - Roads ACT","2008-05-30T00:00:00.000","2008-06-01T00:00:00.000","Pialligo","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1086","Cancelled","Chincivil Pty Ltd","2016-06-09T00:00:00.000","2019-06-09T00:00:00.000","Acton","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1086","Cancelled","Chincivil Pty Ltd","2016-06-09T00:00:00.000","2019-06-09T00:00:00.000","Acton","YES"
"Commercial use of chemicals (Activity 29)","1233","Current","2 Stix Pty Ltd","2020-03-24T00:00:00.000",,,
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0909","Expired","Hewatt Earthworks Pty Ltd","2012-08-16T00:00:00.000","2014-08-17T00:00:00.000","Murrumbatemen","YES"
"Petroleum storage (Activity 30)","1225","Current","Whitehorse Petroleum Pty Ltd","2019-12-20T00:00:00.000",,"Nicholls",
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0600","Ceased","Huon Management Services Pty Ltd","2008-01-18T00:00:00.000","2009-03-13T00:00:00.000","Fyshwick","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0413","Ceased","Urban Contractors Pty Ltd","2003-05-01T00:00:00.000",,"Pialligo","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0805","Expired","Group One Pty Ltd","2010-09-07T00:00:00.000","2013-09-07T00:00:00.000","Hall","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1120","Expired","Guideline ACT Pty Ltd","2017-03-23T00:00:00.000","2018-03-23T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0652","Ceased","Australian National University","2009-02-20T00:00:00.000","2010-02-20T00:00:00.000","Acton","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0636","Expired","Bill Guy & Partners","2008-10-20T00:00:00.000","2009-10-20T00:00:00.000","Deakin","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0602","Ceased","Group One Pty Ltd","2008-01-07T00:00:00.000","2009-01-07T00:00:00.000","Hall","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0811","Expired","Guideline ACT Pty Ltd","2010-11-02T00:00:00.000","2011-11-02T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0693","Expired","ACT Procurement Solutions","2009-10-03T00:00:00.000","2011-10-03T00:00:00.000","Dickson","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0688","Ceased","Department of the Environment, Climate Change, Energy and Water (DECCEW)","2009-11-27T00:00:00.000","2010-11-27T00:00:00.000","Lyneham","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1088","Expired","Huon Contractors Pty Ltd","2016-06-21T00:00:00.000","2017-06-21T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0621","Expired","Canberra United Landscapers","2008-06-10T00:00:00.000","2009-06-10T00:00:00.000",,"YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0541","Ceased","ACTEW Corporation","2006-01-13T00:00:00.000","2009-01-13T00:00:00.000","Canberra","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0457","Ceased","BMD Constructions Pty Ltd","2004-12-06T00:00:00.000","2013-02-12T00:00:00.000","Kingston","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0656","Ceased","Bulk Water Alliance Joint Venture","2009-03-10T00:00:00.000","2010-03-02T00:00:00.000","Mt Stromlo","YES"
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","0780","Expired","Hewatt Earthworks PTY LTD","2010-05-11T00:00:00.000","2012-05-11T00:00:00.000","weston","YES"
