"id","suburb","split_suburb","collection_week","garbage_collection_day","garbage_collection_frequency","garbage_pickup_date","recycling_collection_day","recycling_collection_frequency","recycling_pickup_date","greenwaste_collection_week","greenwaste_collection_day","greenwaste_collection_frequency","next_greenwaste_date","greenwaste_type"
"43","FORREST",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"44","FRANKLIN",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"45","FRASER",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"46","FYSHWICK",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"47","GARRAN",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"48","GILMORE",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"49","GIRALANG",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"50","GORDON",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"51","GOWRIE",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"52","GREENWAY",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"53","GRIFFITH",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"54","GUNGAHLIN",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"55","HACKETT",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"56","HALL",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"57","HARMAN",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"58","HARRISON",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"59","HAWKER",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"60","HIGGINS",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"61","HOLDER",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"62","HOLT",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"63","HUGHES",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"64","ISAACS",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"65","ISABELLA PLAINS",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"66","JACKA",,"B","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","31/08/2022","Green","Wednesday","Fortnightly","07/09/2022","Greenwaste"
"67","JERRABOMBERRA",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"68","KALEEN",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"69","KAMBAH",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"70","KINGSTON",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"71","LATHAM",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"72","LAWSON",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"73","LYNEHAM","North","A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"74","LYNEHAM","South","B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"75","LYONS",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"76","MACARTHUR",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"77","MACGREGOR",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"78","MACQUARIE",,"B","Thursday","Fortnightly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green and Yellow","Tuesday","Weekly","30/08/2022","FOGO Pilot"
"79","MAWSON",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"80","MCKELLAR",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"81","MELBA",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"82","MOLONGLO",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"83","MONASH",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"84","MONCRIEFF",,"B","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","31/08/2022","Green","Wednesday","Fortnightly","07/09/2022","Greenwaste"
"85","NARRABUNDAH",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"86","NGUNNAWAL",,"B","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","31/08/2022","Green","Wednesday","Fortnightly","07/09/2022","Greenwaste"
"87","NICHOLLS",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"88","O'CONNOR",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"89","O'MALLEY",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"90","OAKS ESTATE",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"91","OXLEY",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"92","PAGE",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"93","PALMERSTON",,"B","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","31/08/2022","Green","Wednesday","Fortnightly","07/09/2022","Greenwaste"
"94","PEARCE",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"95","PHILLIP",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"96","PIALLIGO",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"97","RED HILL",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"98","REID",,"A","Friday","Weekly","02/09/2022","Friday","Fortnightly","09/09/2022","Yellow","Friday","Fortnightly","02/09/2022","Greenwaste"
"99","RICHARDSON",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"100","RIVETT",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"101","SCULLIN",,"A","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","08/09/2022","Yellow","Thursday","Fortnightly","01/09/2022","Greenwaste"
"102","SPENCE",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"103","STIRLING",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"104","STRATHNAIRN",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"105","TAYLOR",,"A","Wednesday","Weekly","31/08/2022","Wednesday","Fortnightly","07/09/2022","Yellow","Wednesday","Fortnightly","31/08/2022","Greenwaste"
"106","THARWA",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"107","THEODORE",,"B","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","30/08/2022","Green","Tuesday","Fortnightly","06/09/2022","Greenwaste"
"108","THROSBY",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"109","TORRENS",,"A","Monday","Weekly","05/09/2022","Monday","Fortnightly","05/09/2022","Yellow","Monday","Fortnightly","12/09/2022","Greenwaste"
"110","TURNER",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"111","URIARRA VILLAGE",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"112","WANNIASSA",,"A","Tuesday","Weekly","30/08/2022","Tuesday","Fortnightly","06/09/2022","Yellow","Tuesday","Fortnightly","30/08/2022","Greenwaste"
"113","WARAMANGA",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"114","WATSON",,"B","Friday","Weekly","02/09/2022","Friday","Fortnightly","02/09/2022","Green","Friday","Fortnightly","09/09/2022","Greenwaste"
"115","WEETANGERA",,"B","Thursday","Weekly","01/09/2022","Thursday","Fortnightly","01/09/2022","Green","Thursday","Fortnightly","08/09/2022","Greenwaste"
"116","WESTON",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"117","WHITLAM",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"118","WRIGHT",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
"119","YARRALUMLA",,"B","Monday","Weekly","05/09/2022","Monday","Fortnightly","12/09/2022","Green","Monday","Fortnightly","05/09/2022","Greenwaste"
