"category","year","region","age_group","persons","total_population","per_cent","comments"
"Population projections","2026","ACT","15-64","322991","483409","66.82",
"Population projections","2027","ACT","15-64","327629","490850","66.75",
"Population projections","2028","ACT","15-64","332431","498167","66.73",
"Population projections","2029","ACT","15-64","337069","505360","66.70",
"Population projections","2030","ACT","15-64","341955","512483","66.73",
"Population projections","2031","ACT","15-64","346753","519536","66.74",
"Population projections","2032","ACT","15-64","351476","526525","66.75",
"Population projections","2033","ACT","15-64","356247","533449","66.78",
"Population projections","2034","ACT","15-64","360862","540316","66.79",
"Population projections","2035","ACT","15-64","365389","547134","66.78",
"Population projections","2036","ACT","15-64","369638","553914","66.73",
"Population projections","2037","ACT","15-64","373986","560664","66.70",
"Population projections","2038","ACT","15-64","378456","567395","66.70",
"Population projections","2039","ACT","15-64","382987","574117","66.71",
"Population projections","2040","ACT","15-64","387581","580838","66.73",
"Population projections","2041","ACT","15-64","392230","587565","66.76",
"Population projections","2042","ACT","15-64","396805","594307","66.77",
"Population projections","2043","ACT","15-64","401386","601065","66.78",
"Population projections","2044","ACT","15-64","405745","607841","66.75",
"Population projections","2045","ACT","15-64","409962","614633","66.70",
"Population projections","2046","ACT","15-64","413989","621441","66.62",
"Population projections","2047","ACT","15-64","417862","628262","66.51",
"Population projections","2048","ACT","15-64","421648","635093","66.39",
"Population projections","2049","ACT","15-64","425293","641931","66.25",
"Population projections","2050","ACT","15-64","428956","648774","66.12",
"Population projections","2051","ACT","15-64","432563","655620","65.98",
"Population projections","2052","ACT","15-64","436247","662466","65.85",
"Population projections","2053","ACT","15-64","439879","669311","65.72",
"Population projections","2054","ACT","15-64","443465","676151","65.59",
"Population projections","2055","ACT","15-64","446966","682986","65.44",
"Population projections","2056","ACT","15-64","450512","689810","65.31",
"Population projections","2057","ACT","15-64","454195","696623","65.20",
"Population projections","2058","ACT","15-64","457859","703422","65.09",
"Population projections","2017","ACT","65+","51624","411667","12.54","actual"
"Population projections","2018","ACT","65+","53582","420321","12.75","estimate"
"Population projections","2019","ACT","65+","55410","428509","12.93",
"Population projections","2020","ACT","65+","57180","436635","13.10",
"Population projections","2021","ACT","65+","59048","444651","13.28",
"Population projections","2022","ACT","65+","60921","452590","13.46",
"Population projections","2023","ACT","65+","62828","460440","13.65",
"Population projections","2024","ACT","65+","64709","468195","13.82",
"Population projections","2025","ACT","65+","66599","475856","14.00",
"Population projections","2026","ACT","65+","68529","483409","14.18",
"Population projections","2027","ACT","65+","70446","490850","14.35",
"Population projections","2028","ACT","65+","72149","498167","14.48",
"Population projections","2029","ACT","65+","73844","505360","14.61",
"Population projections","2030","ACT","65+","75322","512483","14.70",
"Population projections","2031","ACT","65+","76827","519536","14.79",
"Population projections","2032","ACT","65+","78154","526525","14.84",
"Population projections","2033","ACT","65+","79535","533449","14.91",
"Population projections","2034","ACT","65+","81052","540316","15.00",
"Population projections","2035","ACT","65+","82633","547134","15.10",
"Population projections","2036","ACT","65+","84465","553914","15.25",
"Population projections","2037","ACT","65+","86160","560664","15.37",
"Population projections","2038","ACT","65+","87691","567395","15.45",
"Population projections","2039","ACT","65+","89126","574117","15.52",
"Population projections","2040","ACT","65+","90463","580838","15.57",
"Population projections","2041","ACT","65+","91707","587565","15.61",
"Population projections","2042","ACT","65+","92979","594307","15.65",
"Population projections","2043","ACT","65+","94203","601065","15.67",
"Population projections","2044","ACT","65+","95615","607841","15.73",
"Population projections","2045","ACT","65+","97128","614633","15.80",
"Population projections","2046","ACT","65+","98791","621441","15.90",
"Population projections","2047","ACT","65+","100579","628262","16.01",
"Population projections","2048","ACT","65+","102427","635093","16.13",
"Population projections","2049","ACT","65+","104394","641931","16.26",
"Population projections","2050","ACT","65+","106330","648774","16.39",
"Population projections","2051","ACT","65+","108318","655620","16.52",
"Population projections","2052","ACT","65+","110227","662466","16.64",
"Population projections","2053","ACT","65+","112200","669311","16.76",
"Population projections","2054","ACT","65+","114232","676151","16.89",
"Population projections","2055","ACT","65+","116375","682986","17.04",
"Population projections","2056","ACT","65+","118489","689810","17.18",
"Population projections","2057","ACT","65+","120491","696623","17.30",
"Population projections","2058","ACT","65+","122528","703422","17.42",
