"year","month","labor_force","employment","unemployment","unemployment_rate","percent_change","maryland_unemployment_rate","aa_vs_md","national_unemployment_rate","aa_vs_us"
"2011","YTD Average","300763","281120","19643",,"-7.1",,"-0.8",,"-2.4"
"2012","01 - January","301589","282547","19042",,"6.8",,"-1.0",,"-2.5"
"2012","02 - February","302622","283191","19431",,"1.6",,"-0.9",,"-2.3"
"2012","03 - March","304283","285881","18402",,"-6.3",,"-0.8",,"-2.4"
"2012","04 - April","302912","285761","17151",,"-5.0",,"-0.7",,"-2.0"
"2012","05 - May","305178","286635","18543",,"7.0",,"-0.6",,"-1.8"
"2012","06 - June","307780","287261","20519",,"9.8",,"-0.6",,"-1.7"
"2012","07 - July","308760","288309","20451",,"-1.5",,"-0.7",,"-2.0"
"2012","08 - August","305664","285814","19850",,"-1.5",,"-0.6",,"-1.7"
"2012","09 - September","305969","288027","17942",,"-9.2",,"-0.8",,"-1.7"
"2012","10 - October","308158","290183","17975",,"-1.7",,"-0.9",,"-1.7"
"2012","11 - November","306546","289135","17411",,"-1.7",,"-0.9",,"-1.7"
"2012","12 - December","306341","288435","17906",,"1.8",,"-0.9",,"-1.8"
"2012","YTD Average","305484","286765","18719",,"-6.2",,"-0.8",,"-2.0"
"2013","01 - January","305462","285848","19614",,"10.3",,"-1.0",,"-2.1"
"2013","02 - February","305269","286241","19028",,"-3.1",,"-0.9",,"-1.9"
"2013","03 - March","306355","288150","18205",,"-4.8",,"-0.8",,"-1.7"
"2013","04 - April","305869","288713","17156",,"-5.1",,"-0.7",,"-1.5"
"2013","05 - May","308065","289507","18558",,"7.1",,"-0.6",,"-1.3"
"2013","06 - June","310012","289959","20053",,"8.3",,"-0.6",,"-1.3"
"2013","07 - July","310125","290574","19551",,"-3.1",,"-0.5",,"-1.4"
"2013","08 - August","306504","287798","18706",,"-3.2",,"-0.5",,"-1.2"
"2013","09 - September","306863","289348","17515",,"-6.6",,"-0.5",,"-1.3"
"2013","10 - October","306643","288606","18037",,"3.5",,"-0.5",,"-1.1"
"2013","11 - November","306470","290294","16176",,"-10.2",,"-0.6",,"-1.3"
"2013","12 - December","303821","288789","15032",,"-7.5",,"-0.7",,"-1.6"
"2013","YTD Average","306788","288652","18136",,"-3.3",,"-0.7",,"-1.5"
"2014","01 - January","303643","287340","16303",,"10.2",,"-0.7",,"-1.6"
"2014","02 - February","303232","287208","16024",,"-1.9",,"-0.6",,"-1.7"
"2014","03 - March","305197","289254","15943",,"-1.9",,"-0.6",,"-1.6"
"2014","04 - April","305342","290821","14521",,"-7.7",,"-0.5",,"-1.1"
"2014","05 - May","307130","291148","15982",,"8.3",,"-0.5",,"-0.9"
"2014","06 - June","308678","291290","17388",,"7.7",,"-0.6",,"-0.7"
"2014","YTD Average","305537","289510","16027",,"-11.9",,"-0.7",,"-1.3"
