"month","new_claims_filed_total","new_claims_filed_ui","new_claims_filed_ucfe","new_claims_filed_ucx","euc_claims_filed_total","euc_dollars_paid_in_benefits_in_millions","persons_currently_drawing_ui_benefits","dollars_paid_in_benefits_in_millions","trust_fund_balance_in_millions","of_first_ui_checks_issued_regular_ui","of_first_ui_checks_issued_ex_fed_employees","of_first_ui_checks_issued_ex_military","of_claims_filed_via_the_internet","final_payments","of_first_ui_checks_issued_21_days_regular_ui_dla_87","of_first_ui_checks_issued_21_days_ex_fed_emp_dla_70","of_first_ui_checks_issued_21_days_ex_military_dla_87","determinations_nonmontetary_e_g_quit_fired","of_determinations_issued_in_21_days_of_issue_detection_dla_80","open_employer_accounts"
"Sept-10","27058","26441","433","184","7691","55.9","55687","59.9","418","9932","137","93","41","5872","80.0","86.0","97.0","15103","55.0","135941"
"Oct-10","30620","30062","385","173","7117","54.8","57501","59","387","11006","170","105","40","6417","86.0","92.0","93.0","13743","60.8","136035"
"Nov-10","30296","29903","240","153","6520","65.400000000000006","57040","72.599999999999994","393","11449","100","118","42","6853","86.0","70.0","91.0","12404","63.0","136684"
"Dec-10","37702","37284","265","153","6705","53.7","60429","66.599999999999994","200","13414","90","78","45","5464","88.0","80.0","96.0","14576","65.0","136519"
"Jan-11","38587","37987","434","166","7621","65.5","68354","89.9","141","20479","222","94","45","7744","94.0","97.0","95.0","14187","82.0","136950"
"Feb-11","25996","25574","277","145","6580","52.7","66547","75.2","138","12999","109","92","42","5406","91.0","91.0","97.0","13859","87.3","137459"
"Mar-11","27630","27188","297","145","7599","52.9","59479","72.099999999999994","58","10738","68","91","39","5424","89.0","83.0","93.0","14516","90.0","137173"
"Apr-11","27698","27340","210","148","6840","50.7","55892","63.2","107","9771","63","95","34","6038","92.0","90.0","98.0","12268","91.6","137361"
"May-11","26801","26395","262","144","6237","61.3","52078","70.3","506","9695","56","98","36","6210","91.0","90.0","96.0","12264","89.9","138149"
"Jun-11","30693","30226","303","164","6256","49.6","54800","58.9","472","10646","90","97","40","4876","90.0","81.0","98.0","12850","86.2","137776"
"Jul-11","27256","26723","367","166","6758","47.5","55988","59.7","460","11836","74","94","44","6202","90.0","92.0","96.0","13123","69.5","137540"
"Aug-11","29462","28525","759","178","7074","58.9","53400","72.599999999999994","515","11172","95","117","39","6417","86.0","88.0","98.0","14927","65.0","135388"
"Sept-11","26501","25996","334","171","6114","47.4","49278","55.3","466","9964","114","98","41","4907","87.0","92.0","94.0","15156","75.1","135489"
"Oct-11","26866","26317","370","179","5512","56","56788","62.6","449","9727","133","100","45","6334","90.0","93.0","98.0","11825","86.2","135722"
"Nov-11","29592","29194","232","166","5744","46.9","56114","55.5","472","10093","66","111","46","4936","87.0","78.0","93.0","10336","70.2","136273"
"Dec-11","34180","33852","201","127","5553","46.5","49867","60.4","418","12340","75","82","47","4894","86.0","84.0","93.0","13166","53.0","136282"
"Jan-12","36594","36158","229","207","6560","57.9","57409","84.2","375","20149","72","121","49","6876","93.0","77.0","91.0","15747","76.4","137077"
"Feb-12","25741","25345","228","168","5603","45.7","57882","68.900000000000006","356","12368","54","129","46","4822","91.0","81.0","93.0","13524","89.8","137460"
"Mar-12","23991","23625","174","192","5733","44.5","52167","65.2","310","10044","57","147","41","5007","91.0","76.0","97.0","13774","89.7","137446"
"Apr-12","26008","25622","204","182","5401","53.1","53112","70.0","376","9693","52","114","39","5964","92.0","82.0","99.0","12338","90.8","138008"
"May-12","26034","25619","222","193","4232","44.1","51005","56.6","842","9754","66","119","40","4808","91.0","76.0","98.0","12777","90.2","138575"
"Jun-12","28499","28057","251","191","4985","41.8","51430","56.3","805","10267","69","120","44","4685","92.0","83.0","97.0","11647","87.9","138546"
"Jul-12","27702","27287","220","195","5377","48.2","53251","71.900000000000006","783","12100","83","124","42","6568","89.0","87.0","97.0","11964","64.5","138588"
"Aug-12","25120","24738","188","194","4539","37.1","55199","60.3","848","10711","44","111","42","5031","86.0","82.0","95.0","15215","73.9","136058"
"Sep-12","20555","20221","178","156","3560","32.700000000000003","48869","54","807","8318","60","100","45","4426","86.0","81.0","96.0","12132","76.5","136427"
"Oct-12","26967","26418","282","267","4906","37.6","48484","65.2","769","10523","80","131","47","5880","90.0","88.0","97.0","12504","80.3","137229"
"Nov-12","27793","27398","215","180","5512","42.8","52569","56.3","805","10268","58","105","53","4875","88.0","65.0","94.0","11833","70.8","137403"
"Dec-12","31505","31164","196","145","4921","47.4","52207","69.599999999999994","767","12359","80","115","42","6329","90.0","82.0","98.0","10901","66.9","137361"
"Jan-13","33419","32876","336","207","6107","35.6","60760","68.8","702","17337","80","108","49","5370","90.0","70.0","95.0","13478","56.1","137893"
"Feb-13","22550","22129","262","159","4731","32.200000000000003","59618","66","716","11270","52","106","44","4560","86.0","74.0","91.0","12183","57.9","138411"
"Mar-13","23045","22701","195","149","4601","30.1","55724","63.5","666","9723","65","93","42","4424","85.0","84.0","98.0","13017","70.1","139000"
"Apr-13","24020","23603","245","172","5232","31.2","54797","64.900000000000006","864","9887","73","99","40","5680","89.0","81.0","89.0","12984","83.9","139331"
