"overflow_type","municipality_facility","npdes","date_discovered","time_discovered","days","hours","minutes","location","zip_code","collection_system","quantity_in_gallons_estimated","net_in_gallons_estimated","cause","watershed","receiving_waters","county","notes","penalty_collected","penalty_comments","latitude","longitude"
"Bypass","La Plata WWTP","MD0020524","2017-01-23T00:00:00.000","7:00 PM","1","0","0","6505 Curly Hall Rd","20646","La Plata WWTP","400000","400000","Rain","Port Tobacco River","unnamed tributary to Port Tobacco Creek","Charles County",,,,"38.314966","-76.591150"
"Bypass","Myersville WWTP","MD0020699","2017-04-07T00:00:00.000","7:10 AM","3","23","30","2868 Milt Summer Rd","21769","Mayor and Council of Myersville","0","0","Major rain event and a minor control issue with the filters","Upper Potomac River","Grindstone Run","Frederick County",,,,"39.29362","-77.341766"
"Bypass","Town of Myersville WWTP","MD0020699","2017-04-07T00:00:00.000","7:10 AM","0","0","0","301 Main St ","21773","Town of Myersville WWTP","0","0","Necessary to prevent damage to property, treatment fac, or loss of natural resources","Upper Potomac River",,"Frederick County",,,,"39.29362","-77.341766"
"Bypass","MES",,"2017-04-19T00:00:00.000",,"0","0","0","6505 Curly Hall Rd","20646","LaPlata Wastewater Reclamation Facility","60000","60000","Clogged filters","Port Tobacco Creek","Unnamed tributary of Port Tobacco Creek","Charles County",,,,"38.314966","-76.5911504"
"Bypass","MES",,"2017-04-19T00:00:00.000","9:30 AM","1","0","0","1000 College Circle","21679","Chesapeake College WWTP","3000","3000","Effluent chart recorder not receiving signal from flow transmitter, therefore not recording flow",,"Wye East River","Queen Anne's County",,,,"38.953369","-76.083154"
"Bypass","MES","MD0053066","2017-04-20T00:00:00.000","2:00 PM","111","18","6","8507 Mapleville Rd ","21713","Fahrney Keedy WWTP","2195700","2195700","Filter bypassed due to mechanical failure found in the interior of the filter","Little Beaver Creek","Unnamed tributary of Little Bear Creek","Washington County",,,,"39.549511","-77.645723"
"Bypass","MES","MD0020699","2017-04-27T00:00:00.000","11:50 AM","0","23","50","2865 Milt Summer Rd","21769","Myersville WWTP","100000","100000","Filters manually bypassed due to repairs needed on  control valves","Upper Potomac River","Grindstone Run","Frederick County",,,,"39.29362","-77.341766"
"Bypass","MES",,"2017-05-13T00:00:00.000","2:00 AM","0","7","20","6505 Curly Hall Rd","20646","LaPlata Wastewater Reclamation Facility","900000","900000","Rain","Port Tobacco Creek","Unnamed tributary of Port Tobacco Creek","Charles County",,,,"38.529463","-76.98677"
"Bypass","LaFarge Rockville RMC",,"2017-07-28T00:00:00.000","10:30 AM","0","1","30","14824 Southlawn Lane","20850","LaFarge MidAtlantic Rockville Ready Mix","0","0","Rain",,,"Montgomery County",,,,"39.099938","-77.136573"
"Bypass","CSX Transportation","MD0057371","2017-07-29T00:00:00.000",,"0","3","0","1910 Benhill Ave","21226","Curtis Bay Piers","126000","126000","System exceeded capacity because of high volume of rain","Curtis Bay","drainage ditch","Baltimore City",,,,"39.221352","-76.583357"
"Bypass","MES","MD0020524","2017-08-21T00:00:00.000",,,,,"6505 Curley Hall Rd.","20646","La Plata Wastewater Reclamation Facility","856000","856000","Heavy rain.","Port Tobacco Creek","unnamed tributary of Tobacco Creek","Charles County",,,,"38.529317","-76.986605"
"Bypass","Myersville WWTP","MD0020699","2018-01-13T00:00:00.000","12:30 PM",,,,"2868 Milt Summers Rd.","21769","Myersville WWTP",,,,,,"Frederick",,,,"39.493194","-77.571935"
"Bypass","MES",,"2018-01-13T00:00:00.000","12:30 PM","0","8","30","2868 Milt Summer Rd.","21769","Myersville WWTP","208600","208600","Effluent flow surge after heavy rain. Filters became overwhelmed and couldn't handle surging flow.",,"Grindstone Run","Frederick",,,,"39.493194","-77.571935"
"Bypass","MES","MD0020699","2018-01-25T00:00:00.000","11:53 PM",,,,"2868 Summer Rd.","21769","Myersville WWTP",,,"A faulty backwash valve caused numerous backwashes.",,"Grindstone Run","Frederick",,,,"39.493194","-77.571935"
"Bypass","MES",,"2018-02-10T00:00:00.000","9:00 PM","1","5","0","6505 Curly Hall Rd.","20646","LaPlata WWTP","1000000","1000000","Heavy rainfall increased plant flows and filled EQ tanks. Extra flow to sand filters increased head loss to overflow point.","Port Tobacco Creek","unnamed tributary of Port Tobacco Creek","Charles",,,,"38.529317","-76.986605"
"Bypass","MES",,"2018-02-11T00:00:00.000","3:10 PM","0","17","20","13265 Augustne Herman Highway","21635","Town of Galena Wastewater Treatment Facility","31030","31030","Excessively heavy rainfall.",,,"Kent",,,,"39.33836","-75.886696"
"Bypass","MES",,"2018-02-16T00:00:00.000","8:00 AM","0","2","0","6505 Curly Hall Rd.","20646","LaPlata WWTP","5000","5000","Heavy rainfall.","Port Tobacco Creek","unnamed tributary of Port Tobacco Creek","Charles",,,,"38.529463","-76.98677"
"Bypass","City of Frederick DPW",,"2018-03-28T00:00:00.000","5:00 PM","0","1","0","100 Treatment Plant Rd.","21701","City of Frederick WWTP","250000","250000","Fire in the plant electrical switchgear.",,"Carroll Creek","Frederick",,,,"39.2534","-77.2246"
"Bypass","MES",,"2018-04-16T00:00:00.000","8:00 PM","1","12","11","Foxville Deerfield Rd.","21780","Foxville Gardens WWTP","178260","178260","Extremely high flows due to 2.5 inches of rain.",,"unnamed tributary to Owens Creek","Frederick",,,,"39.38426","-77.29348"
"Bypass","City of Frederick",,"2018-05-16T00:00:00.000","3:00 AM","4","0","30","100 Treatment Plant Rd.","21701","Frederick City WWTP","30215650","30215650","Heavy rain.",,"Carroll Creek","Frederick",,,,"39.426226","-77.381892"
"Bypass","MES",,"2018-05-18T00:00:00.000","10:00 AM","0","8","0","6505 Curly Hall Rd.","20646","LaPlata WWTP","2933000","2933000","Heavy plant influent flows washed the plant solids out and the filters were bypassed to keep them clear.","Port Tobacco Creek","unnamed tributary of Port Tobacco Creek","Charles",,,,"38.529317","-76.986605"
"Bypass","American Water Enterprises",,"2018-05-28T00:00:00.000","6:30 PM","1","0","0","2212 Chisolm Ave.","20755","American Water WWTP","20000","20000","Heavy rainfall with flash flood warning.",,"Little Patuxent River","Anne Arundel",,,,"39.091249","-76.722014"
"Bypass","MES",,"2018-06-03T00:00:00.000","4:30 PM","0","9","30","6505 Curly Hall Rd.","20646","LaPlata WWTP","977900","977900","Heavy plant influent flows washed the plant solids out and the filters were bypassed to keep them clear.","Port Tobacco Creek","unnamed tributary of Port Tobacco Creek","Charles",,,,"38.529317","-76.986605"
"Bypass","MES",,"2018-06-03T00:00:00.000","4:30 PM","0","14","0","1301 Raincliff Rd.","21784","Freedom District WWTP","3456000","3456000","Steady rainfall caused flows at plant to exceed the hydraulic flow capacity.",,"South branch of Patapsco River","Carroll",,,,"39.370649","-76.946684"
"Bypass","MES",,"2018-06-03T00:00:00.000","3:30 PM","0","10","30","6505 Curly Hall Rd.","20646","LaPlata WWTP","977900","977900","Heavy plant influent flows washed the plant solids out and the filters were bypassed to keep them clear.",,"unnamed tributary of Port Tobacco Creek","Charles",,,,"38.529463","-76.98677"
"Bypass","American Water Enterprises",,"2018-06-04T00:00:00.000","1:30 AM","0","12","0","2212 Chisolm Ave.","20755","Fort George G. Meade","1500000","1500000","Flooding due to heavy rain event.",,"Little Patuxent River","Anne Arundel",,,,"39.091249","-76.722014"
"Bypass","Town of Middletown",,"2018-06-06T00:00:00.000","10:00 AM","2","4","30","600 Knoll Side Place","21769","Middletown West WWTP","1320000","1320000","Heavy rainfall.",,"Catoctin Creek","Frederick",,,,"39.445103","-77.557894"
"BYPASS","Cumberland, City of","MD0021598","2005-01-05T00:00:00.000","7:50:00 AM","0","10","35","001 Cumberland WWTP","26767","Cumberland WWTP","61400","61400","Precipitation",,"Potomac River","Allegany","None",,,,
"BYPASS","Friendsville WWTP","MD0021083","2005-01-06T00:00:00.000","10:30:00 AM","0","3","10","Friendsville WWTP","21531",,"10000","10000","Heavy flow",,"Little Youghiogheny","Garrett","Collection system not provided",,,,
"BYPASS","Cumberland, City of","MD0021598","2005-01-08T00:00:00.000","7:45:00 AM","0","4","15","001 Cumberland WWTP","26767","Cumberland WWTP","369100","369100","Precipitation",,"Potomac River","Allegany","None",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-01-14T00:00:00.000","7:00:00 AM","0","1","0","74 Moser Rd, Thurmont WWTP, San Filter Building","21788","Thurmont WWTP","3000","3000","Precipitation",,"Unknown","Frederick","None",,,,
"BYPASS","Brunswick, City of","MD0020958","2005-01-14T00:00:00.000","7:30:00 AM","1","3","0","20 C & O Canal Rd, Brunswick WWTP","21716",,"1946000","1946000","Precipitation",,"Potomac River","Frederick","Collection system not provided",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-01-14T00:00:00.000","7:30:00 AM","0","1","15","74 Moser Rd, Thurmont WWTP, MH on Ironmaster Ct","21788","Thurmont WWTP","3000","3000","Precipitation",,"Unknown","Frederick","None",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-01-14T00:00:00.000","7:45:00 AM","0","1","45","74 Moser Rd, Thurmont WWTP, MH 01 outside gate to treatment off Moser Rd","21788","Thurmont WWTP","10500","10500","Precipitation",,"Unknown","Frederick","None",,,,
"BYPASS","Army, Department of","MD0021229","2005-01-14T00:00:00.000","7:45:00 AM","0","4","0","Aberdeen Proving Ground, Edgewood Area","21010",,"270780","270780","Precipitation",,"Bush River","Harford","Collection system not provided",,,,
"BYPASS","Army, Department of","MD0021717","2005-01-14T00:00:00.000","9:00:00 AM","0","0","0","Ft. Meade WWTP","20755","Ft. Meade WWTP","0","0","Precipitation",,"Little Patuxent River","Anne Arundel","None",,,,
"BYPASS","La Plata, Town of (MES)","MD0020524","2005-01-14T00:00:00.000","12:30:00 PM","0","0","0","6505 Curley Hall Rd, La Plata WWTP","20646","La Plata WWTP","0","0","Precipitation",,"Port Tobacco Creek","Charles","None",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-01-22T00:00:00.000","12:30:00 PM","0","2","50","74 E Moser Rd, Thurmont WWTP","21788","Thurmont WWTP","86400","86400","Power Outage",,"Hunting Creek","Frederick","None",,,,
"BYPASS","Ocean City, Town of","MD0020044","2005-02-08T00:00:00.000","12:00:00 AM","0","0","6","Ocean City WWTP","21842","Ocean City WWTP","56000","56000","Test",,"Atlantic Ocean","Worcester","Collection system not provided",,,,
"BYPASS","St. Michaels, City of / MES","MD0023674","2005-02-25T00:00:00.000","6:00:00 PM","10","0","0","St. Michaels WWTP","21663",,"9300000","9300000","Precipitation",,"Unknown","Talbot","Collection system not provided",,,,
"BYPASS","La Vale","MD0067547","2005-03-06T00:00:00.000","8:30:00 AM","8","3","30","001 LA Vale PS","21504",,"2951537","2951537","Excessive flow",,"Braddock Run","Allegany","Collection system not provided",,,,
"BYPASS","Accident, Town of","MD0051721","2005-03-12T00:00:00.000","3:00:00 PM","0","3","0","Accident WWTP","21520","Accident WWTP","90000","90000","Loss of power",,"South Branch of Bear Creek","Garrett","None",,,,
"BYPASS","Cumberland, City of","MD0021598","2005-03-23T00:00:00.000","12:05:00 PM","0","3","25","001 Cumberland WWTP","26767","Cumberland WWTP","515000","515000","Precipitation",,"Potomac River","Allegany","None",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-03-23T00:00:00.000","1:45:00 PM","0","6","15","74 Moser Rd, Thurmont WWTP, Primary clarifiers","21788","Thurmont WWTP","20250","20250","Precipitation",,"Unknown","Frederick","None",,,,
"BYPASS","St. Michaels, City of / MES","MD0023674","2005-03-23T00:00:00.000","6:00:00 PM","25","0","0","St. Michaels WWTP","21663",,"9000000","9000000","Precipitation",,"Miles River","Talbot","Collection system not provided",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-03-23T00:00:00.000","6:30:00 PM","0","1","30","74 Moser Rd, Thurmont WWTP, effluent UV","21788","Thurmont WWTP","2000","2000","Precipitation",,"Unknown","Frederick","None",,,,
"BYPASS","Chesapeake Beach, Town of","MD0020281","2005-03-24T00:00:00.000","12:00:00 AM","0","0","6","Effluent bypassing outfall 001 through #4","20732","Chesapeake Beach WWTP","0","0","N/P",,"Unknown","Calvert","None",,,,
"BYPASS","Cumberland, City of","MD0021598","2005-03-28T00:00:00.000","9:30:00 AM","1","4","30","001 Cumberland WWTP","26767","Cumberland WWTP","10504100","10504100","Precipitation",,"Potomac River","Allegany","None",,,,
"BYPASS","Army, Department of","MD0021229","2005-03-28T00:00:00.000","12:30:00 PM","0","8","0","Aberdeen Proving Ground, Edgewood Area","21010",,"464400","464400","Precipitation",,"Bush River","Harford","Collection system not provided",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-03-28T00:00:00.000","1:45:00 PM","0","6","45","74 Moser Rd, Thurmont WWTP, MH 01","21788","Thurmont WWTP","20250","20250","Precipitation",,"Frederick","None","None",,,,
"BYPASS","Hagerstown, City of","MD0021776","2005-03-28T00:00:00.000","2:00:00 PM","0","0","0","Hagerstown WWTP","21740","Hagerstown WWTP","0","0","N/P",,"Unknown","Washington","Collection system not provided",,,,
"BYPASS","Brunswick, City of","MD0020958","2005-03-28T00:00:00.000","5:20:00 PM","0","22","40","20 C & O Canal Rd, Brunswick WWTP","21716",,"2581888","2581888","Precipitation",,"Potomac River","Frederick","Collection system not provided",,,,
"BYPASS","Rocky Gap State Park, MES","MD0051667","2005-03-28T00:00:00.000","9:30:00 PM","0","0","0","16401 Gorge Rd","21530","Rocky Gap WWTP","132000","132000","Precipitation",,"Lake Habeeb","Allegany","Collection system not provided",,,,
"BYPASS","Poolesville WWTP","MD0023001","2005-03-29T00:00:00.000","12:10:00 AM","0","3","50","Manual back wash till filters","20837",,"310000","310000","Precipitation",,"Dry Seneca Creek","Montgomery","Collection system not provided",,,,
"BYPASS","Cumberland, City of","MD0021598","2005-04-02T00:00:00.000","8:20:00 AM","0","1","10","002 WWTP Bypass","26767","Cumberland WWTP","59200","59200","Precipitation",,"Potomac River","Allegany","None",,,,
"BYPASS","The Commissioners of Thurmont","MD0021121","2005-04-02T00:00:00.000","11:00:00 AM","0","0","0","74 Moser Rd, Thurmont WWTP","21788","Thurmont WWTP","0","0","Precipitation",,"Hunting Creek","Frederick","None",,,,
"BYPASS","North Chesapeake City, MES","MD0020397","2005-04-02T00:00:00.000","4:50:00 PM","0","1","15","Chesapeake City (S) WWTP",,,"5000","5000","Precipitation",,"C & D Canal","Cecil","Zip Code not provided",,,,
"BYPASS","Poolesville WWTP","MD0023001","2005-04-04T00:00:00.000","10:00:00 AM","0","0","0","Poolesville WWTP","20837",,"400000","400000","Precipitation",,"Dry Seneca Creek","Montgomery","Collection system not provided",,,,
"BYPASS","Chesapeake Beach, Town of","MD0020281","2005-04-08T00:00:00.000","12:00:00 AM","0","0","6","Effluent bypassing outfall 001 through #4","20732","Chesapeake Beach WWTP","0","0","N/P",,"Unknown","Calvert","None",,,,
"BYPASS","St. Michaels, City of / MES","MD0023674","2005-04-08T00:00:00.000","5:30:00 AM","0","0","0","St. Michaels WWTP","21663",,"4200","4200","Precipitation",,"Miles River","Talbot","Collection system not provided",,,,
"BYPASS","Chesapeake Beach, Town of","MD0020281","2005-05-10T00:00:00.000","12:00:00 AM","0","0","6","Effluent bypassing outfall 001 through #4","20732","Chesapeake Beach WWTP","0","0","N/P",,"Unknown","Calvert","None",,,,
"BYPASS","Chesapeake Beach, Town of","MD0020281","2005-05-11T00:00:00.000","6:00:00 AM","0","7","0","Effluent bypassing outfall 001 through #4","20732","Chesapeake Beach WWTP","0","0","N/P",,"Unknown","Calvert","None",,,,
"BYPASS","Chesapeake Beach, Town of","MD0020281","2005-05-20T00:00:00.000","12:00:00 AM","0","0","6","Effluent bypassing outfall 001 through #4","20732","Chesapeake Beach WWTP","576000","576000","N/P",,"Unknown","Calvert","None",,,,
"BYPASS","St. Michaels, City of / MES","MD0023674","2005-05-20T00:00:00.000","1:00:00 PM","0","0","0","St. Michaels WWTP","21663",,"0","0","Precipitation",,"Miles River","Talbot","Collection system not provided",,,,
"BYPASS","St. Michaels, City of / MES","MD0023674","2005-06-07T00:00:00.000","8:00:00 AM","0","0","0","St. Michaels WWTP, Sand filters","21663",,"0","0","Precipitation",,"Miles River","Talbot","Collection system not provided",,,,
"BYPASS","Cumberland, City of","MD0021598","2005-06-10T00:00:00.000","11:45:00 PM","1","0","50","002 WWTP Bypass","26767","Cumberland WWTP","493514","493514","Precipitation",,"Potomac River","Allegany","None",,,,
"BYPASS","Brunswick, City of","MD0020958","2005-07-08T00:00:00.000","4:40:00 AM","0","6","10","20 C & O Canal Rd, Brunswick WWTP","21716","Brunswick WWTP","766000","766000","Precipitation",,"Potomac River","Frederick","Zip Code not provided",,,,
"BYPASS","Salisbury, City of","MD0021571","2005-07-08T00:00:00.000","6:45:00 AM","0","1","15","Effluent line into river","21801","Salisbury WWTP","0","0","Precipitation",,"Wi County River","Wicomico","None",,,,
"BYPASS","Princess Anne WWTP","MD0020656","2005-07-08T00:00:00.000","7:15:00 AM","0","1","0","Princess Anne WWTP, chlorine treatment","21853","Princess Ann WWTP","1200","1200","Precipitation",,"Unknown","Somerset","Collection system not provided",,,,
"BYPASS","Army, Department of","MD0021229","2005-07-16T00:00:00.000","11:30:00 PM","0","5","30","Aberdeen Proving Ground, Edgewood area, trickling filters & secondary tanks","21005",,"560100","560100","Precipitation",,"Bush River","Harford","Collection system not provided",,,,
"BYPASS","St. Michaels, City of / MES","MD0023674","2005-07-30T00:00:00.000","11:00:00 AM","0","31","0","St. Michaels WWTP","21663",,"31000","31000","Precipitation",,"Miles River","Talbot","Collection system not provided",,,,
"BYPASS","Rocky Gap State Park, MES","MD0051667","2005-07-31T00:00:00.000","5:15:00 AM","0","0","30","Rocky Gap State Park, tertiary filters","21540","Rocky Gap WWTP","4800","4800","Heavy usage",,"Unknown","Allegany","Collection system not provided",,,,
"BYPASS","Rocky Gap State Park, MES","MD0051667","2005-08-07T00:00:00.000","12:00:00 AM","0","0","30","Rocky Gap State Park, tertiary filters","21540","Rocky Gap WWTP","4000","4000","Heavy usage",,"Unknown","Allegany","Collection system not provided",,,,
"BYPASS","St. Michaels, City of / MES","MD0023604","2005-08-09T00:00:00.000","5:00:00 PM","0","21","0","Sand filters","21663",,"19000","19000","Precipitation",,"Miles River","Talbot","Collection system not provided",,,,
"BYPASS","Rocky Gap State Park, MES","MD0051667","2005-08-20T00:00:00.000","9:30:00 AM","0","1","30","Sand filters","21540","Rocky Gap WWTP","9300","9300","Equipment failure",,"Unknown","Allegany","Collection system not provided",,,,
