"month","number_of_business","date","_01_financial","_02_bank","_03_ordinary_business","_04_ordinary_business_non_stock","_05_savings_bank_building_loan","_06_professional","_07_public_utility_railroad","_08_unincorporated_public_utility","_09_cooperative_stock_domestic","_10_cooperative_non_stock_domestic","_11_credit_union","_12_interstate_foreign","_13_investment_trust","_14_insurance_foreign","_15_utility_cooperative","_16_church","_17_cable_incorporated","_18_cable_unincorporated","_19_g_p_statement_of_authority","_20_entities_other_than_corporations","_22_unincorporated_non_utility_generator","_25_family_farm"
"January, 2018","363566","2018-01-02T00:00:00.000","43","111","100422","33222","0","5427","0","0","0","0","0","156","353","0","0","5416","6","0","0","217681","51","668"
"February, 2018","372899","2018-02-01T00:00:00.000","44","110","101868","33812","0","5477","0","0","0","0","0","177","353","0","0","5808","6","0","0","224521","51","672"
"March, 2018","379966","2018-03-01T00:00:00.000","43","110","102779","34308","0","5497","0","0","0","0","0","180","354","0","0","5887","5","0","0","230076","51","676"
"April, 2018","388902","2018-04-02T00:00:00.000","43","112","104025","34863","0","5520","0","0","0","0","0","182","357","0","0","5979","6","0","0","237085","51","679"
"May, 2018","397313","2018-05-01T00:00:00.000","43","113","105191","35373","0","5532","0","0","0","0","0","183","362","0","0","6055","6","0","0","243721","51","683"
"June, 2018","305285","2018-06-01T00:00:00.000","36","93","87557","25754","0","5107","0","0","0","0","0","151","319","0","0","3422","4","0","0","182171","51","620"
"July, 2018","321336","2018-07-02T00:00:00.000","37","95","90526","27295","0","5206","0","0","0","0","0","155","338","0","0","3730","5","0","0","193257","58","634"
"August, 2018","311228","2018-08-01T00:00:00.000","36","89","86341","26736","0","4890","0","0","0","0","0","149","339","0","0","3826","5","0","0","188161","57","599"
"September, 2018","325549","2018-09-04T00:00:00.000","36","96","89165","28059","0","4983","0","0","0","0","0","150","344","0","0","4095","5","0","0","197948","57","611"
"October, 2018","339262","2018-10-01T00:00:00.000","36","95","92814","29150","0","5058","0","0","0","0","0","151","350","0","0","4271","5","0","0","206648","57","627"
"November, 2018","353679","2018-11-01T00:00:00.000","38","93","95822","30245","0","5126","0","0","0","0","0","154","348","0","0","4466","5","0","0","216684","59","639"
"December, 2018","366905","2018-12-03T00:00:00.000","36","101","98662","31325","0","5193","0","0","0","0","0","154","353","0","0","4608","5","0","0","225749","60","659"
"January, 2019","375797","2019-01-02T00:00:00.000","36","105","99792","32528","0","5239","0","0","0","0","0","155","342","0","0","4740","5","0","0","232123","60","672"
"February, 2019","384795","2019-02-01T00:00:00.000","36","106","100954","33129","0","5263","0","0","0","0","0","168","351","0","0","4926","5","0","0","239117","60","680"
"March, 2019","392519","2019-03-01T00:00:00.000","36","105","101868","33674","0","5272","0","0","0","0","0","169","345","0","0","5047","5","0","0","245251","60","687"
"April, 2019","401828","2019-04-01T00:00:00.000","36","106","102900","34316","0","5283","0","0","0","0","0","169","347","0","0","5182","5","0","0","252727","60","697"
"May, 2019","294750","2019-05-01T08:30:00.000","23","68","82483","24280","0","4807","0","0","0","0","0","143","280","0","0","3157","4","0","0","178796","59","650"
"June, 2019","315241","2019-06-03T08:30:00.000","34","87","86826","26147","0","4902","0","0","0","0","0","147","302","0","0","3485","5","0","0","192575","59","672"
"July, 2019","331648","2019-07-01T08:30:00.000","34","91","89672","27584","0","4973","0","0","0","0","0","146","318","0","0","3785","5","0","0","204289","62","689"
"August, 2019","321818","2019-08-01T08:53:00.000","36","82","85590","26997","0","4668","0","0","0","0","0","146","329","0","0","3958","5","0","0","199290","59","658"
"September, 2019","336865","2019-09-02T11:54:00.000","36","87","88581","28351","0","4774","0","0","0","0","0","154","329","0","0","4207","5","0","0","209600","62","680"
"October, 2019","351923","2019-10-01T09:00:00.000","36","88","92195","29437","0","4864","0","0","0","0","0","154","333","0","0","4501","5","0","0","219560","62","688"
"November, 2019","368281","2019-11-01T09:47:00.000","36","89","93340","30643","0","4953","0","0","0","0","0","157","336","0","0","4706","4","0","0","231255","62","700"
"December, 2019","381308","2019-12-03T11:13:00.000","36","88","97610","32302","0","5008","0","0","0","0","0","158","337","0","0","5428","4","0","0","239565","62","710"
"January, 2020","391768","2020-01-02T09:45:00.000","36","90","99207","33265","0","5057","0","0","0","0","0","161","332","0","0","5636","4","0","0","247197","63","720"
"February, 2020","401150","2020-02-03T09:15:00.000","36","91","100265","33940","0","5080","0","0","0","0","0","163","334","0","0","5808","4","0","0","254637","63","729"
"March, 2020","410012","2020-03-04T10:15:00.000","36","93","101257","34571","0","5109","0","0","0","0","0","166","336","0","0","5918","4","0","0","261720","64","738"
"April, 2020","418193","2020-04-01T08:15:00.000","36","95","102153","35087","0","5121","0","0","0","0","0","168","338","0","0","6016","4","0","0","268364","64","747"
"May, 2020","425999","2020-05-01T08:28:00.000","36","94","103042","35607","0","5143","0","0","0","0","0","169","340","0","0","6154","4","0","0","274594","64","752"
"June, 2020","432628","2020-06-01T08:28:00.000","36","95","103688","36075","0","5153","0","0","0","0","0","171","341","0","0","6231","4","0","0","280014","64","756"
"July, 2020","441209","2020-07-01T12:22:00.000","36","94","104597","36707","0","5156","0","0","0","0","0","170","343","0","0","6308","4","0","0","286960","70","764"
"August, 2020","455237","2020-08-03T09:23:00.000","36","94","105804","37438","0","5182","0","0","0","0","0","174","343","0","0","6404","4","0","0","298917","72","769"
"September, 2020","337946","2020-09-01T09:23:00.000","31","76","83221","27381","0","4478","0","0","0","0","0","139","316","0","0","4030","3","0","0","217531","53","687"
"October, 2020","361105","2020-10-01T08:29:00.000","32","79","88020","28829","0","4613","0","0","0","0","0","143","317","0","0","4277","4","0","0","234027","53","711"
"November, 2020","381883","2020-11-02T08:28:00.000","33","82","91616","30510","0","4710","0","0","0","0","0","147","325","0","0","4536","4","0","0","248126","57","737"
"December, 2020","400950","2020-12-01T08:39:00.000","33","81","94872","32111","0","4781","0","0","0","0","0","150","329","0","0","4814","4","0","0","262965","58","752"
"January, 2021","415734","2021-01-04T08:23:00.000","33","84","96623","33256","0","4829","0","0","0","0","0","152","328","0","0","5014","3","0","0","274589","58","765"
"February, 2021","426387","2021-02-02T08:49:00.000","33","87","97740","33863","0","4858","0","0","0","0","0","156","327","0","0","5154","3","0","0","283336","58","772"
"March, 2021","439821","2021-03-01T09:21:00.000","33","85","99192","34591","0","4897","0","0","0","0","0","156","328","0","0","5301","3","0","0","394403","58","774"
"April, 2021","455237","2021-04-01T08:22:00.000","33","87","100540","35459","0","4908","0","0","0","0","0","158","331","0","0","5540","3","0","0","307336","58","784"
"May, 2021","470784","2021-05-03T09:44:00.000","33","86","101783","36423","0","4897","0","0","0","0","0","164","333","0","0","5746","4","0","0","320459","64","792"
"June, 2021","359890","2021-06-02T15:12:00.000","29","71","85923","27813","0","4518","0","0","0","0","0","142","301","0","0","4097","3","0","0","236193","62","738"
"July, 2021","348601","2021-07-01T08:46:00.000","27","54","79798","27151","0","4006","0","0","0","0","0","136","306","0","0","4275","4","0","0","232138","56","650"
"August, 2021","375534","2021-08-02T09:37:00.000","30","71","85232","29093","0","4309","0","0","0","0","0","142","312","0","0","4543","4","0","0","251035","59","704"
"September, 2021","399274","2021-09-01T08:24:00.000","30","74","89380","30444","0","4432","0","0","0","0","0","142","311","0","0","4757","4","0","0","268910","59","731"
"October, 2021","417811","2021-10-01T08:57:00.000","31","76","92630","31453","0","4534","0","0","0","0","0","142","310","0","0","4924","4","0","0","282900","62","745"
"November, 2021","433674","2021-11-01T08:38:00.000","31","79","94954","32734","0","4597","0","0","0","0","0","143","312","0","0","5211","4","0","0","294784","67","758"
"December, 2021","448754","2021-12-01T08:48:00.000","31","81","97208","34005","0","4652","0","0","0","0","0","144","315","0","0","5468","4","19","0","305984","68","775"
"January, 2022","462082","2022-01-04T08:33:00.000","31","82","98542","34917","0","4703","0","0","0","0","0","149","316","0","0","5686","5","19","0","316787","68","777"
"February, 2022","473110","2022-02-01T08:30:00.000","31","81","99560","35454","0","4711","0","0","0","0","0","154","325","0","0","5805","5","19","0","326100","83","782"
"March, 2022","483215","2022-03-01T08:40:00.000","31","80","100506","36055","0","4728","0","0","0","0","0","153","325","0","0","5913","5","19","0","334528","83","789"
"April, 2022","496106","2022-04-01T08:48:00.000","31","79","101430","36757","0","4751","0","0","0","0","0","155","327","0","0","6062","5","19","0","345612","84","794"
"May, 2022","346405","2022-05-02T09:05:00.000","24","63","81566","26882","0","4216","0","0","0","0","0","132","276","0","0","4143","1","18","0","228330","73","681"
"June, 2022","373266","2022-06-01T08:46:00.000","26","70","86100","29019","0","4360","0","0","0","0","0","138","297","0","0","4529","3","19","0","247896","80","729"
"July, 2022","359662","2022-07-01T08:56:00.000","24","59","81124","28132","0","4025","0","0","0","0","0","125","311","0","0","4805","3","16","0","240280","70","688"
"August, 2022","383251","2022-08-02T09:08:00.000","25","72","85003","29953","0","4171","0","0","0","0","0","134","318","0","0","5192","3","17","0","257570","76","717"
"September, 2022","404598","2022-09-01T08:35:00.000","26","72","88907","31376","0","4282","0","0","0","0","0","137","319","0","0","5540","3","18","0","273106","77","735"
