"vaccination_date","gender","firstdosedaily","firstdosecumulative","seconddosedaily","seconddosecumulative","singledosedaily","singledosecumulative","thirddosedaily","thirddosecumulative","fullyvaccinatedcumulative","firstboosterdailydose","additionaldosecumulative","fourthdailydose","secondadditionaldosecumulative","atleastonedailydose","atleastonedailydosecumulative","fullyvaccinateddailydose"
"2010-09-08T11:00:00.000","Female","1.0","42",,"0",,"0",,"0","0",,"0",,"0","1.0","42",
"2010-10-13T11:00:00.000","Female","1.0","43",,"0",,"0",,"0","0",,"0",,"0","1.0","43",
"2010-12-01T10:00:00.000","Female","1.0","44",,"0",,"0",,"0","0",,"0",,"0","1.0","44",
"2010-12-10T10:00:00.000","Male","1.0","31",,"0",,"0",,"0","0",,"0",,"0","1.0","31",
"2011-01-11T10:00:00.000","Female","1.0","45",,"0",,"0",,"0","0",,"0",,"0","1.0","45",
"2011-01-21T10:00:00.000","Male","1.0","32",,"0",,"0",,"0","0",,"0",,"0","1.0","32",
"2011-01-30T10:00:00.000","Female","1.0","46",,"0",,"0",,"0","0",,"0",,"0","1.0","46",
"2011-02-04T10:00:00.000","Male","2.0","34",,"0",,"0",,"0","0",,"0",,"0","2.0","34",
"2011-02-09T10:00:00.000","Male","1.0","35",,"0",,"0",,"0","0",,"0",,"0","1.0","35",
"2011-02-11T10:00:00.000","Female","2.0","48",,"0",,"0",,"0","0",,"0",,"0","2.0","48",
"2011-02-11T10:00:00.000","Male","2.0","37",,"0",,"0",,"0","0",,"0",,"0","2.0","37",
"2011-02-24T10:00:00.000","Male","1.0","38",,"0",,"0",,"0","0",,"0",,"0","1.0","38",
"2011-02-25T10:00:00.000","Female","1.0","49",,"0",,"0",,"0","0",,"0",,"0","1.0","49",
"2011-03-11T10:00:00.000","Female","1.0","50",,"0",,"0",,"0","0",,"0",,"0","1.0","50",
"2011-03-11T10:00:00.000","Male","1.0","39",,"0",,"0",,"0","0",,"0",,"0","1.0","39",
"2011-03-21T11:00:00.000","Female","1.0","51",,"0",,"0",,"0","0",,"0",,"0","1.0","51",
"2011-03-27T11:00:00.000","Female","1.0","52",,"0",,"0",,"0","0",,"0",,"0","1.0","52",
"2011-03-30T11:00:00.000","Female","1.0","53",,"0",,"0",,"0","0",,"0",,"0","1.0","53",
"2011-04-01T11:00:00.000","Male","1.0","40",,"0",,"0",,"0","0",,"0",,"0","1.0","40",
"2011-04-02T11:00:00.000","Female","1.0","54",,"0",,"0",,"0","0",,"0",,"0","1.0","54",
"2011-04-11T11:00:00.000","Female","1.0","55",,"0",,"0",,"0","0",,"0",,"0","1.0","55",
"2011-04-13T11:00:00.000","Male","1.0","41",,"0",,"0",,"0","0",,"0",,"0","1.0","41",
"2011-04-16T11:00:00.000","Male","1.0","42",,"0",,"0",,"0","0",,"0",,"0","1.0","42",
"2011-04-22T11:00:00.000","Female","1.0","56",,"0",,"0",,"0","0",,"0",,"0","1.0","56",
"2011-04-22T11:00:00.000","Male","1.0","43",,"0",,"0",,"0","0",,"0",,"0","1.0","43",
"2011-04-26T11:00:00.000","Male","1.0","44",,"0",,"0",,"0","0",,"0",,"0","1.0","44",
"2011-04-27T11:00:00.000","Male","1.0","45",,"0",,"0",,"0","0",,"0",,"0","1.0","45",
"2011-04-28T11:00:00.000","Male","1.0","46",,"0",,"0",,"0","0",,"0",,"0","1.0","46",
"2011-05-02T11:00:00.000","Male","1.0","47",,"0",,"0",,"0","0",,"0",,"0","1.0","47",
"2011-05-05T11:00:00.000","Male","1.0","48",,"0",,"0",,"0","0",,"0",,"0","1.0","48",
"2011-05-09T11:00:00.000","Female","1.0","57",,"0",,"0",,"0","0",,"0",,"0","1.0","57",
"2011-05-09T11:00:00.000","Male","1.0","49",,"0",,"0",,"0","0",,"0",,"0","1.0","49",
"2011-05-18T11:00:00.000","Male","1.0","50",,"0",,"0",,"0","0",,"0",,"0","1.0","50",
"2011-05-26T11:00:00.000","Female","1.0","58",,"0",,"0",,"0","0",,"0",,"0","1.0","58",
"2011-07-05T11:00:00.000","Female","1.0","59",,"0",,"0",,"0","0",,"0",,"0","1.0","59",
"2011-08-15T11:00:00.000","Female","1.0","60",,"0",,"0",,"0","0",,"0",,"0","1.0","60",
"2011-11-03T11:00:00.000","Female","1.0","61",,"0",,"0",,"0","0",,"0",,"0","1.0","61",
"2011-11-20T10:00:00.000","Female","1.0","62",,"0",,"0",,"0","0",,"0",,"0","1.0","62",
"2011-11-30T10:00:00.000","Female","1.0","63",,"0",,"0",,"0","0",,"0",,"0","1.0","63",
"2011-12-01T10:00:00.000","Male","1.0","51",,"0",,"0",,"0","0",,"0",,"0","1.0","51",
"2012-01-06T10:00:00.000","Male","1.0","52",,"0",,"0",,"0","0",,"0",,"0","1.0","52",
"2012-01-08T10:00:00.000","Female","1.0","64",,"0",,"0",,"0","0",,"0",,"0","1.0","64",
"2012-01-12T10:00:00.000","Female","1.0","65",,"0",,"0",,"0","0",,"0",,"0","1.0","65",
"2012-01-22T10:00:00.000","Female","1.0","66",,"0",,"0",,"0","0",,"0",,"0","1.0","66",
"2012-01-26T10:00:00.000","Female","1.0","67",,"0",,"0",,"0","0",,"0",,"0","1.0","67",
"2012-02-01T10:00:00.000","Female","1.0","68",,"0",,"0",,"0","0",,"0",,"0","1.0","68",
"2012-02-01T10:00:00.000","Male","1.0","53",,"0",,"0",,"0","0",,"0",,"0","1.0","53",
"2012-02-02T10:00:00.000","Male","1.0","54",,"0",,"0",,"0","0",,"0",,"0","1.0","54",
"2012-02-03T10:00:00.000","Female","1.0","69",,"0",,"0",,"0","0",,"0",,"0","1.0","69",
"2012-02-09T10:00:00.000","Male","1.0","55",,"0",,"0",,"0","0",,"0",,"0","1.0","55",
"2012-02-11T10:00:00.000","Female","1.0","70",,"0",,"0",,"0","0",,"0",,"0","1.0","70",
"2012-02-12T10:00:00.000","Female","2.0","72",,"0",,"0",,"0","0",,"0",,"0","2.0","72",
"2012-02-12T10:00:00.000","Male","1.0","56",,"0",,"0",,"0","0",,"0",,"0","1.0","56",
"2012-02-15T10:00:00.000","Female","1.0","73",,"0",,"0",,"0","0",,"0",,"0","1.0","73",
"2012-02-16T10:00:00.000","Female","1.0","74",,"0",,"0",,"0","0",,"0",,"0","1.0","74",
"2012-02-26T10:00:00.000","Male","1.0","57",,"0",,"0",,"0","0",,"0",,"0","1.0","57",
"2012-02-28T10:00:00.000","Male","1.0","58",,"0",,"0",,"0","0",,"0",,"0","1.0","58",
"2012-03-01T10:00:00.000","Male","1.0","59",,"0",,"0",,"0","0",,"0",,"0","1.0","59",
"2012-03-02T10:00:00.000","Female","1.0","75",,"0",,"0",,"0","0",,"0",,"0","1.0","75",
"2012-03-03T10:00:00.000","Female","1.0","76",,"0",,"0",,"0","0",,"0",,"0","1.0","76",
"2012-03-04T10:00:00.000","Male","1.0","60",,"0",,"0",,"0","0",,"0",,"0","1.0","60",
"2012-03-10T10:00:00.000","Female","1.0","77",,"0",,"0",,"0","0",,"0",,"0","1.0","77",
"2012-03-12T11:00:00.000","Female","1.0","78",,"0",,"0",,"0","0",,"0",,"0","1.0","78",
"2012-03-12T11:00:00.000","Male",,"60","1.0","1",,"0",,"0","1",,"0",,"0",,"60","1.0"
"2012-03-15T11:00:00.000","Female","2.0","80",,"0",,"0",,"0","0",,"0",,"0","2.0","80",
"2012-03-17T11:00:00.000","Female","1.0","81",,"0",,"0",,"0","0",,"0",,"0","1.0","81",
"2012-03-18T11:00:00.000","Female","1.0","82",,"0",,"0",,"0","0",,"0",,"0","1.0","82",
"2012-03-19T11:00:00.000","Female","1.0","83",,"0",,"0",,"0","0",,"0",,"0","1.0","83",
"2012-03-22T11:00:00.000","Female","1.0","84",,"0",,"0",,"0","0",,"0",,"0","1.0","84",
"2012-03-31T11:00:00.000","Female","1.0","85",,"0",,"0",,"0","0",,"0",,"0","1.0","85",
"2012-03-31T11:00:00.000","Male","1.0","61",,"1",,"0",,"0","1",,"0",,"0","1.0","61",
"2012-04-01T11:00:00.000","Female","2.0","87",,"0",,"0",,"0","0",,"0",,"0","2.0","87",
"2012-04-02T11:00:00.000","Male","1.0","62",,"1",,"0",,"0","1",,"0",,"0","1.0","62",
