"date","month","fiscal_year","expedited_fs_approved_cases_expedited_fs_cases_are_included_in_the_overall_active_fsp_cases_if_the_expedited_fs_cases_are_still_active_at_the_end_of_the_calendar_month","number_of_cases_in_food_supplement_program","number_of_customers_served_through_tca","month_year"
"2012-09-30T00:00:00.000","Sep.","2012-01-01T00:00:00.000","9985","373372","27572","12-Sep"
"2012-10-31T00:00:00.000","Oct.","2012-01-01T00:00:00.000","10131","378116","27509","12-Oct"
"2012-11-30T00:00:00.000","Nov.","2012-01-01T00:00:00.000","9739","380139","27044","12-Nov"
"2012-12-31T00:00:00.000","Dec.","2012-01-01T00:00:00.000","8960","381713","27402","12-Dec"
"2013-01-31T00:00:00.000","Jan.","2013-01-01T00:00:00.000","12183","386397","26601","13-Jan"
"2013-02-28T00:00:00.000","Feb.","2013-01-01T00:00:00.000","9467","387924","26376","13-Feb"
"2013-03-31T00:00:00.000","Mar.","2013-01-01T00:00:00.000","9371","390689","26080","13-Mar"
"2013-04-30T00:00:00.000","Apr.","2013-01-01T00:00:00.000","10077","394312","25638","13-Apr"
"2013-05-31T00:00:00.000","May.","2013-01-01T00:00:00.000","9728","396443","25958","13-May"
"2013-06-30T00:00:00.000","Jun.","2013-01-01T00:00:00.000","9614","399175","25508","13-Jun"
"2013-07-31T00:00:00.000","Jul.","2013-01-01T00:00:00.000","11197","401323","25702","13-Jul"
"2013-08-31T00:00:00.000","Aug.","2013-01-01T00:00:00.000","10661","404314","26119","13-Aug"
"2013-09-30T00:00:00.000","Sep.","2013-01-01T00:00:00.000","10050","405658","25765","13-Sep"
"2013-10-31T00:00:00.000","Oct.","2013-01-01T00:00:00.000","10600","408103","25752","13-Oct"
"2013-11-30T00:00:00.000","Nov.","2013-01-01T00:00:00.000","9245","406022","25325","13-Nov"
"2013-12-31T00:00:00.000","Dec.","2013-01-01T00:00:00.000","8887","402791","25371","13-Dec"
"2014-01-31T00:00:00.000","Jan.","2014-01-01T00:00:00.000","12616","401137","24325","14-Jan"
"2014-02-28T00:00:00.000","Feb.","2014-01-01T00:00:00.000","10471","400323","24495","14-Feb"
"2014-03-31T00:00:00.000","Mar.","2014-01-01T00:00:00.000","10713","400738","24367","14-Mar"
"2014-04-30T00:00:00.000","Apr.","2014-01-01T00:00:00.000","11613","402864","24404","14-Apr"
"2014-05-31T00:00:00.000","May","2014-01-01T00:00:00.000","10377","403554","24946","14-May"
"2014-06-30T00:00:00.000","Jun.","2014-01-01T00:00:00.000","10547","405458","24664","14-Jun"
"2014-07-31T00:00:00.000","Jul.","2014-01-01T00:00:00.000","12275","405601","24880","14-Jul"
"2014-08-31T00:00:00.000","Aug.","2014-01-01T00:00:00.000","11261","404832","24835","14-Aug"
"2014-09-30T00:00:00.000","Sep.","2014-01-01T00:00:00.000","11591","403983","24809","14-Sep"
"2014-10-31T00:00:00.000","Oct.","2014-01-01T00:00:00.000","12407","406148","24966","14-Oct"
"2014-11-30T00:00:00.000","Nov.","2014-01-01T00:00:00.000","9560","404626","24951","14-Nov"
"2014-12-31T00:00:00.000","Dec.","2014-01-01T00:00:00.000","10677","405712","25176","14-Dec"
"2015-01-31T00:00:00.000","Jan.","2015-01-01T00:00:00.000","12060","403788","24113","15-Jan"
"2015-02-28T00:00:00.000","Feb.","2015-01-01T00:00:00.000","9788","403097","23875","15-Feb"
"2015-03-31T00:00:00.000","Mar.","2015-01-01T00:00:00.000","11540","403066","23202","15-Mar"
"2015-04-30T00:00:00.000","Apr.","2015-01-01T00:00:00.000","11121","402834","23289","15-Apr"
"2015-05-31T00:00:00.000","May","2015-01-01T00:00:00.000","8632","406276","21989","15-May"
"2015-06-30T00:00:00.000","Jun.","2015-01-01T00:00:00.000","11494","404041","21906","15-Jun"
"2015-07-31T00:00:00.000","Jul.","2015-01-01T00:00:00.000","11785","404632","23451","15-Jul"
"2015-08-31T00:00:00.000","Aug.","2015-01-01T00:00:00.000","11052","406245","23383","15-Aug"
"2015-09-30T00:00:00.000","Sep.","2015-01-01T00:00:00.000","11096","406025","23149","15-Sep"
"2015-10-31T00:00:00.000","Oct.","2015-01-01T00:00:00.000","10770","406209","23323","15-Oct"
"2015-11-30T00:00:00.000","Nov.","2015-01-01T00:00:00.000","9263","405131","22777","15-Nov"
"2015-12-31T00:00:00.000","Dec.","2015-01-01T00:00:00.000","9994","401618","22709","15-Dec"
"2016-01-31T00:00:00.000","Jan.","2016-01-01T00:00:00.000","10078","395615","21875","16-Jan"
"2016-02-29T00:00:00.000","Feb.","2016-01-01T00:00:00.000","10305","393227","21487","16-Feb"
"2016-03-31T00:00:00.000","Mar.","2016-01-01T00:00:00.000","11169","390551","21240","16-Mar"
"2016-04-30T00:00:00.000","Apr.","2016-01-01T00:00:00.000","10058","383712","21221","16-Apr"
"2016-05-31T00:00:00.000","May","2016-01-01T00:00:00.000","9913","381614","21120","16-May"
"2016-06-30T00:00:00.000","Jun.","2016-01-01T00:00:00.000","10689","378841","21078","16-Jun"
"2016-07-31T00:00:00.000","Jul.","2016-01-01T00:00:00.000","10225","376619","21048","16-Jul"
"2016-08-31T00:00:00.000","Aug.","2016-01-01T00:00:00.000","11005","377503","20903","16-Aug"
"2016-09-30T00:00:00.000","Sep.","2016-01-01T00:00:00.000","10594","375724","21012","16-Sep"
"2016-10-31T00:00:00.000","Oct.","2016-01-01T00:00:00.000","9961","373911","21042","16-Oct"
"2016-11-30T00:00:00.000","Nov.","2016-01-01T00:00:00.000","8761","370767","20642","16-Nov"
"2016-12-31T00:00:00.000","Dec.","2016-01-01T00:00:00.000","9002","367095","20541","16-Dec"
"2017-01-31T00:00:00.000","Jan.","2017-03-01T00:00:00.000","10559","365297","19749","17-Jan"
"2017-02-28T00:00:00.000","Feb.","2017-03-01T00:00:00.000","8905","360325","19797","17-Feb"
"2017-03-31T00:00:00.000","Mar.","2017-04-01T00:00:00.000","9343","357191","19506","17-Mar"
"2017-04-30T00:00:00.000","Apr.","2017-06-01T00:00:00.000","8880","354043","19156","17-Apr"
"2017-05-31T00:00:00.000","May","2017-06-01T00:00:00.000","9358","353807","19170","17-May"
"2017-06-30T00:00:00.000","Jun.","2017-09-01T00:00:00.000","9758","352612","19215","17-Jun"
"2017-07-31T00:00:00.000","Jul.","2017-09-01T00:00:00.000","9128","350409","19105","17-Jul"
"2017-08-31T00:00:00.000","Aug.","2017-09-01T00:00:00.000","10041","352798","19229","17-Aug"
"2017-09-30T00:00:00.000","Sep.","2017-10-01T00:00:00.000","9307","351092","18979","17-Sep"
"2017-10-31T00:00:00.000","Oct.","2017-01-01T00:00:00.000","10021","351191","19292","17-Oct"
"2017-11-30T00:00:00.000","Nov.","2017-01-01T00:00:00.000","10023","349712","18935","17-Nov"
"2017-12-31T00:00:00.000","Dec.","2017-03-01T00:00:00.000","9228","347556","19052","17-Dec"
"2018-01-31T00:00:00.000","Jan.","2018-03-01T00:00:00.000","11230","346528","18292","18-Jan"
"2018-02-28T00:00:00.000","Feb.","2018-05-01T00:00:00.000","9348","345491","18210","18-Feb"
"2018-03-31T00:00:00.000","Mar.","2018-05-01T00:00:00.000","8974","343352","17942","18-Mar"
"2018-04-30T00:00:00.000","Apr.","2018-06-01T00:00:00.000","9490","341188","17482","18-Apr"
"2018-05-31T00:00:00.000","May","2018-05-31T00:00:00.000","9575","340106","17788","18-May"
"2018-06-30T00:00:00.000","Jun.","2018-06-30T00:00:00.000","9337","339795","17841","18-Jun"
"2018-07-31T00:00:00.000","Jul.","2018-07-31T00:00:00.000","10187","339411","17701","18-Jul"
"2018-08-31T00:00:00.000","Aug.","2018-08-31T00:00:00.000","10494","342016","17765","18-Aug"
"2018-09-30T00:00:00.000","Sep.","2018-09-30T00:00:00.000","8692","340855","17633","18-Sep"
"2018-10-31T00:00:00.000","Oct.","2018-10-31T00:00:00.000","9743","341809","17786","18-Oct"
"2018-11-30T00:00:00.000","Nov.","2018-11-30T00:00:00.000","8597","339964","17497","18-Nov"
"2018-12-31T00:00:00.000","Dec.","2018-12-31T00:00:00.000","8313","337043","17375","18-Dec"
"2019-01-31T00:00:00.000","Jan.","2019-01-31T00:00:00.000","11158","337895","16925","19-Jan"
"2019-02-28T00:00:00.000","Feb.","2019-02-01T00:00:00.000","7187","335754","16575","19-Feb"
"2019-03-31T00:00:00.000","Mar.","2019-03-31T00:00:00.000","9255","333753","16351","19-Mar"
"2019-04-30T00:00:00.000","Apr.","2019-04-30T00:00:00.000","9646","332146","16284","19-Apr"
"2019-05-31T00:00:00.000","May","2019-05-31T00:00:00.000","9410","331601","16380","19-May"
"2019-06-30T00:00:00.000","Jun.","2019-06-30T00:00:00.000","9105","330887","16274","19-Jun"
"2019-07-31T00:00:00.000","Jul.","2019-07-31T00:00:00.000","10384","331092","16215","19-Jul"
"2019-08-31T00:00:00.000","Aug.","2019-08-31T00:00:00.000","9706","333459","16633","19-Aug"
"2019-09-30T00:00:00.000","Sep.","2019-09-30T00:00:00.000","8630","332027","16707","19-Sep"
"2019-10-31T00:00:00.000","Oct.","2019-10-31T00:00:00.000","9520","332343","17168","19-Oct"
"2019-11-30T00:00:00.000","Nov.","2019-11-30T00:00:00.000","8490","331108","17003","19-Nov"
"2019-12-31T00:00:00.000","Dec.","2019-12-31T00:00:00.000","8088","328342","16964","19-Dec"
"2020-01-31T00:00:00.000","Jan.","2020-01-31T00:00:00.000","10117","325982","16426","20-Jan"
"2020-02-29T00:00:00.000","Feb.","2020-02-29T00:00:00.000","7978","332413","16482","20-Feb"
"2020-03-31T00:00:00.000","Mar.","2020-03-31T00:00:00.000","9540","333690","16581","20-Mar"
"2020-04-30T00:00:00.000","Apr.","2020-04-30T00:00:00.000","25559","374439","21084","20-Apr"
"2020-05-31T00:00:00.000","May","2020-05-31T00:00:00.000","20788","426724","22825","20-May"
"2020-06-30T00:00:00.000","Jun.","2020-06-30T00:00:00.000","16505","460297","26350","20-Jun"
"2020-07-31T00:00:00.000","Jul.","2020-07-31T00:00:00.000","6648","469743","27249","20-Jul"
"2020-08-31T00:00:00.000","Aug.","2020-08-31T00:00:00.000","8349","459185","26205","20-Aug"
"2020-09-30T00:00:00.000","Sep.","2020-09-30T00:00:00.000","4327","439353","25283","20-Sep"
"2020-10-31T00:00:00.000","Oct.","2020-10-31T00:00:00.000","13666","386540","24563","20-Oct"
"2020-11-30T00:00:00.000","Nov.","2020-11-30T00:00:00.000","10817","420031","24095","20-Nov"
"2020-12-31T00:00:00.000","Dec.","2020-12-31T00:00:00.000","2742","441302","24202","20-Dec"
"2021-01-31T00:00:00.000","Jan.","2021-01-31T00:00:00.000","9307","457289","24127","21-Jan"
"2021-02-28T00:00:00.000","Feb.","2021-02-28T00:00:00.000","6954","468756","24212","21-Feb"
"2021-03-31T00:00:00.000","Mar.","2021-03-31T00:00:00.000","4571","476405","24101","21-Mar"
"2021-04-30T00:00:00.000","Apr.","2021-04-30T00:00:00.000","2983","473066","22201","21-Apr"
"2021-05-31T00:00:00.000","May","2021-05-31T00:00:00.000","2919","473907","21913","21-May"
"2021-06-30T00:00:00.000","Jun.","2021-06-30T00:00:00.000","4866","470844","21635","21-Jun"
