"race","candidate","precinct","election_day","absentee_by_mail","advance_in_person","provisional","total_votes","election_name","election_date","registered_voters","ballots_cast","voter_turnout"
"STATE HOUSE 58","RALPH LONG III (D)","05J","3","0","0","0","3","Special Election Runoff","2016-02-16T00:00:00.000","408","15","3.68"
"STATE HOUSE 58","PARK CANNON (D)","05K","14","0","0","0","14","Special Election Runoff","2016-02-16T00:00:00.000","1418","33","2.33"
"STATE HOUSE 58","RALPH LONG III (D)","05K","18","0","0","0","18","Special Election Runoff","2016-02-16T00:00:00.000","1418","33","2.33"
"STATE HOUSE 58","PARK CANNON (D)","06B","13","0","1","0","14","Special Election Runoff","2016-02-16T00:00:00.000","1242","21","1.69"
"STATE HOUSE 58","RALPH LONG III (D)","06B","6","1","0","0","7","Special Election Runoff","2016-02-16T00:00:00.000","1242","21","1.69"
"STATE HOUSE 58","PARK CANNON (D)","06F","44","0","0","0","44","Special Election Runoff","2016-02-16T00:00:00.000","1940","52","2.68"
"STATE HOUSE 58","RALPH LONG III (D)","06F","8","0","0","0","8","Special Election Runoff","2016-02-16T00:00:00.000","1940","52","2.68"
"STATE HOUSE 58","PARK CANNON (D)","06G","22","1","4","0","27","Special Election Runoff","2016-02-16T00:00:00.000","355","29","8.17"
"STATE HOUSE 58","RALPH LONG III (D)","06G","0","0","2","0","2","Special Election Runoff","2016-02-16T00:00:00.000","355","29","8.17"
"STATE HOUSE 58","PARK CANNON (D)","11G","6","0","0","0","6","Special Election Runoff","2016-02-16T00:00:00.000","1405","31","2.21"
"STATE HOUSE 58","RALPH LONG III (D)","11G","23","1","1","0","25","Special Election Runoff","2016-02-16T00:00:00.000","1405","31","2.21"
"STATE HOUSE 58","PARK CANNON (D)","11K","30","0","0","0","30","Special Election Runoff","2016-02-16T00:00:00.000","1322","92","6.96"
"STATE HOUSE 58","RALPH LONG III (D)","11K","62","0","0","0","62","Special Election Runoff","2016-02-16T00:00:00.000","1322","92","6.96"
"STATE HOUSE 58","PARK CANNON (D)","11R","8","1","0","0","9","Special Election Runoff","2016-02-16T00:00:00.000","1207","29","2.4"
"STATE HOUSE 58","RALPH LONG III (D)","11R","20","0","0","0","20","Special Election Runoff","2016-02-16T00:00:00.000","1207","29","2.4"
"STATE HOUSE 58","PARK CANNON (D)","12A","108","0","5","0","113","Special Election Runoff","2016-02-16T00:00:00.000","3216","277","8.61"
"STATE HOUSE 58","RALPH LONG III (D)","12A","157","1","5","0","163","Special Election Runoff","2016-02-16T00:00:00.000","3216","277","8.61"
"STATE HOUSE 58","PARK CANNON (D)","12I","8","0","0","0","8","Special Election Runoff","2016-02-16T00:00:00.000","643","15","2.33"
"STATE HOUSE 58","RALPH LONG III (D)","12I","7","0","0","0","7","Special Election Runoff","2016-02-16T00:00:00.000","643","15","2.33"
"STATE HOUSE 58","PARK CANNON (D)","12L","3","0","0","0","3","Special Election Runoff","2016-02-16T00:00:00.000","365","8","2.19"
"STATE HOUSE 58","RALPH LONG III (D)","12L","5","0","0","0","5","Special Election Runoff","2016-02-16T00:00:00.000","365","8","2.19"
"STATE HOUSE 58","PARK CANNON (D)","12N","13","0","0","0","13","Special Election Runoff","2016-02-16T00:00:00.000","573","19","3.32"
"STATE HOUSE 58","PARK CANNON (D)","01D","18","0","6","0","24","Special Election Runoff","2016-02-16T00:00:00.000","745","44","5.91"
"STATE HOUSE 58","RALPH LONG III (D)","01D","18","0","2","0","20","Special Election Runoff","2016-02-16T00:00:00.000","745","44","5.91"
"STATE HOUSE 58","PARK CANNON (D)","01F","4","0","0","0","4","Special Election Runoff","2016-02-16T00:00:00.000","785","8","1.02"
"STATE HOUSE 58","RALPH LONG III (D)","01F","3","0","1","0","4","Special Election Runoff","2016-02-16T00:00:00.000","785","8","1.02"
"STATE HOUSE 58","PARK CANNON (D)","01H","0","0","0","0","0","Special Election Runoff","2016-02-16T00:00:00.000","509","6","1.18"
"STATE HOUSE 58","RALPH LONG III (D)","01H","5","0","1","0","6","Special Election Runoff","2016-02-16T00:00:00.000","509","6","1.18"
"STATE HOUSE 58","PARK CANNON (D)","01I","0","0","0","0","0","Special Election Runoff","2016-02-16T00:00:00.000","3","0","0"
"STATE HOUSE 58","RALPH LONG III (D)","01I","0","0","0","0","0","Special Election Runoff","2016-02-16T00:00:00.000","3","0","0"
"STATE HOUSE 58","PARK CANNON (D)","02C","47","0","11","0","58","Special Election Runoff","2016-02-16T00:00:00.000","1225","87","7.1"
"STATE HOUSE 58","RALPH LONG III (D)","02C","27","0","0","0","27","Special Election Runoff","2016-02-16T00:00:00.000","1225","87","7.1"
"STATE HOUSE 58","PARK CANNON (D)","02D","54","0","5","0","59","Special Election Runoff","2016-02-16T00:00:00.000","2621","75","2.86"
"STATE HOUSE 58","RALPH LONG III (D)","02D","14","0","2","0","16","Special Election Runoff","2016-02-16T00:00:00.000","2621","75","2.86"
"STATE HOUSE 58","PARK CANNON (D)","02F2","11","0","2","0","13","Special Election Runoff","2016-02-16T00:00:00.000","490","17","3.47"
"STATE HOUSE 58","RALPH LONG III (D)","02F2","4","0","0","0","4","Special Election Runoff","2016-02-16T00:00:00.000","490","17","3.47"
"STATE HOUSE 58","PARK CANNON (D)","02G","44","0","2","0","46","Special Election Runoff","2016-02-16T00:00:00.000","2209","48","2.17"
"STATE HOUSE 58","RALPH LONG III (D)","02G","1","0","1","0","2","Special Election Runoff","2016-02-16T00:00:00.000","2209","48","2.17"
"STATE HOUSE 58","PARK CANNON (D)","02J","45","0","2","0","47","Special Election Runoff","2016-02-16T00:00:00.000","1487","63","4.24"
"STATE HOUSE 58","RALPH LONG III (D)","02J","16","0","0","0","16","Special Election Runoff","2016-02-16T00:00:00.000","1487","63","4.24"
"STATE HOUSE 58","RALPH LONG III (D)","12N","6","0","0","0","6","Special Election Runoff","2016-02-16T00:00:00.000","573","19","3.32"
"STATE HOUSE 58","PARK CANNON (D)","12S","22","0","4","0","26","Special Election Runoff","2016-02-16T00:00:00.000","1196","35","2.93"
"STATE HOUSE 58","RALPH LONG III (D)","12S","9","0","0","0","9","Special Election Runoff","2016-02-16T00:00:00.000","1196","35","2.93"
