"service_type","date_opened","date_closed","status","case_origin","suburb"
"Infringement Review - Parking","2018-08-27T13:53:00.000","2018-09-18T14:10:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-12T13:38:00.000","2018-08-07T17:41:00.000","Closed","Web",
"Infringement Review - Parking","2018-08-20T13:57:00.000","2018-08-20T14:05:00.000","Closed","Mail",
"Request for Parking Officer","2018-05-01T14:34:00.000","2018-05-01T15:25:00.000","Closed","Phone","Parkville"
"Tree Maintenance Request","2018-06-18T13:57:00.000",,"In Progress","Email","North Melbourne"
"Request for Parking Officer","2018-07-10T08:12:00.000","2018-07-10T08:14:00.000","Closed","Web","South Yarra"
"Request for Parking Officer","2018-04-16T08:10:00.000","2018-04-16T09:26:00.000","Closed","Web","Melbourne"
"Request for Parking Officer","2018-08-04T08:49:00.000","2018-08-04T09:37:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-08-22T20:38:00.000","2018-09-14T10:13:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-03T13:43:00.000","2018-07-27T15:44:00.000","Closed","Web",
"Request for Parking Officer","2018-08-07T11:45:00.000","2018-08-07T12:14:00.000","Closed","Web","Carlton"
"Request for Parking Officer","2018-03-10T09:21:00.000","2018-03-10T09:54:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-02-06T06:52:00.000","2018-03-01T11:04:00.000","Closed","Web",
"Infringement Review - Parking","2018-02-21T19:16:00.000",,"New","Web",
"Abandoned Vehicles","2018-01-19T12:22:00.000","2018-01-24T14:01:00.000","Closed","Face-to-Face","South Yarra"
"Illegally Dumped Rubbish","2018-03-02T08:20:00.000","2018-03-05T13:40:00.000","Closed","Snap Send Solve",
"Infringement Review - Parking","2018-05-14T15:16:00.000",,"New","Web",
"Rough Sleeping","2018-09-11T12:03:00.000","2018-09-24T12:28:00.000","Closed","Phone",
"Graffiti Removal Request","2018-07-30T09:03:00.000","2018-07-31T15:08:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-07-30T16:56:00.000",,"New","Web",
"Request for Parking Officer","2018-04-19T10:47:00.000","2018-04-19T11:09:00.000","Closed","Web","Southbank"
"Infringement Review - Parking","2018-02-20T09:39:00.000",,"New","Mail",
"Infringement Review - Parking","2018-06-12T12:39:00.000",,"Escalated","Web",
"Request for Parking Officer","2018-03-29T13:35:00.000","2018-03-29T13:55:00.000","Closed","Web","Southbank"
"Infringement Review - Parking","2018-08-10T10:17:00.000","2018-08-31T11:53:00.000","Closed","Mail",
"Infringement Review - Parking","2018-08-10T12:06:00.000","2018-09-03T13:06:00.000","Closed","Mail",
"Request for Parking Officer","2018-02-25T23:56:00.000","2018-02-26T06:54:00.000","Closed","Web","Docklands"
"Infringement Review - Parking","2018-06-07T21:59:00.000",,"In Progress","Web",
"Infringement Review - Parking","2018-05-30T10:09:00.000",,"New","Web",
"Illegally Dumped Rubbish","2018-01-17T13:13:00.000","2018-01-23T16:14:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-05-24T17:05:00.000",,"New","Web",
"Infringement Review - Parking","2018-06-05T02:43:00.000","2018-06-29T14:22:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-23T09:29:00.000",,"New","Web",
"Request for Parking Officer","2018-03-17T15:02:00.000","2018-03-17T15:16:00.000","Closed as Duplicate","Web","Melbourne"
"Infringement Review - Parking","2018-02-19T13:41:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-19T13:15:00.000",,"New","Web",
"Infringement Review","2018-09-17T14:30:00.000","2018-09-17T14:30:00.000","Closed","Phone",
"Rough Sleeping","2018-07-10T09:13:00.000","2018-07-10T10:31:00.000","Closed","Web","Melbourne"
"Illegally Dumped Rubbish","2018-06-01T10:14:00.000","2018-06-07T13:20:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-05-04T14:11:00.000","2018-05-31T12:02:00.000","Closed","Web",
"Infringement Review - Parking","2018-03-04T14:15:00.000","2018-03-29T15:13:00.000","Closed","Web",
"Tree Maintenance Request","2018-02-06T15:24:00.000","2018-02-23T08:24:00.000","Closed","Phone","Southbank"
"Syringe Management","2018-07-06T10:58:00.000","2018-07-06T11:40:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-07-22T20:55:00.000","2018-07-22T20:57:00.000","Closed","Phone","North Melbourne"
"Rough Sleeping","2018-08-26T13:09:00.000","2018-08-27T13:15:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-05-01T10:48:00.000","2018-05-01T16:24:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-08-21T23:13:00.000","2018-09-14T11:39:00.000","Closed","Web",
"Request for Parking Officer","2018-06-30T11:38:00.000","2018-06-30T12:17:00.000","Closed","Web","Melbourne"
"Request for Parking Officer","2018-05-11T13:26:00.000","2018-05-11T13:29:00.000","Closed","Web","Southbank"
"Infringement Review - Parking","2018-05-14T17:45:00.000",,"New","Web",
"Infringement Review - Parking","2018-07-30T09:30:00.000",,"New","Mail",
"Infringement Review - Parking","2018-01-21T09:31:00.000","2018-02-14T07:53:00.000","Closed","Web",
"Infringement Review - Parking","2018-09-10T11:49:00.000","2018-10-03T11:50:00.000","Closed","Web",
"Graffiti Removal Request","2018-01-11T14:19:00.000","2018-01-30T10:40:00.000","Closed","Web","North Melbourne"
"Illegally Dumped Rubbish","2018-01-24T09:36:00.000","2018-01-25T14:50:00.000","Closed","Snap Send Solve",
"Infringement Review - Parking","2018-07-31T11:42:00.000",,"New","Web",
"Request for Parking Officer","2018-05-15T07:55:00.000","2018-05-15T08:27:00.000","Closed","Phone","Southbank"
"Infringement Review - Parking","2018-02-12T08:59:00.000","2018-03-09T09:36:00.000","Closed","Mail",
"Tree Maintenance Request","2018-04-17T07:30:00.000","2018-04-19T09:26:00.000","Closed","Email",
"Infringement Review - Parking","2018-05-08T14:17:00.000","2018-05-09T15:26:00.000","Closed as Duplicate","Web",
"Illegally Dumped Rubbish","2018-02-26T12:57:00.000","2018-03-07T11:42:00.000","Closed","Phone","Kensington"
"Request for Parking Officer","2018-06-25T09:28:00.000","2018-06-25T10:05:00.000","Closed","Web","Kensington"
"Request for Parking Officer","2018-02-24T10:05:00.000","2018-02-24T10:38:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-09-18T18:40:00.000","2018-10-11T14:38:00.000","Closed","Web",
"Infringement Review - Parking","2018-09-10T17:05:00.000",,"Actioned","Web",
"Infringement Review - Parking","2018-08-13T10:04:00.000","2018-09-05T11:43:00.000","Closed","Web",
"Request for Parking Officer","2018-07-16T10:30:00.000","2018-07-16T10:32:00.000","Closed","Phone","North Melbourne"
"Infringement Review - Parking","2018-08-27T11:02:00.000","2018-09-24T08:56:00.000","Closed","Web",
"Infringement Review - Parking","2018-03-19T16:35:00.000",,"New","Email",
"Infringement Review - Parking","2018-03-20T22:19:00.000",,"New","Web",
"Infringement Review - Parking","2018-03-23T19:23:00.000",,"New","Web",
"Infringement Review - Parking","2018-08-22T11:53:00.000","2018-09-17T10:27:00.000","Closed","Web",
"Illegally Dumped Rubbish","2018-03-07T08:13:00.000","2018-03-07T17:12:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-09-06T09:37:00.000","2018-10-01T08:33:00.000","Closed","Web",
"Graffiti Removal Request","2018-05-17T16:51:00.000","2018-05-23T12:47:00.000","Closed","Web","Parkville"
"Infringement Review - Parking","2018-02-04T19:28:00.000","2018-02-27T11:02:00.000","Closed","Web",
"Request for Parking Officer","2018-08-03T09:02:00.000","2018-08-03T12:52:00.000","Closed","Phone","East Melbourne"
"Infringement Review","2018-09-17T15:57:00.000","2018-09-20T08:58:00.000","Closed","Email",
"Illegally Dumped Rubbish","2018-05-21T12:36:00.000","2018-05-22T12:54:00.000","Closed","Web","West Melbourne"
"Illegally Dumped Rubbish","2018-02-08T07:44:00.000","2018-02-14T16:31:00.000","Closed","Phone","South Yarra"
"Infringement Review - Parking","2018-08-07T10:56:00.000","2018-08-29T16:38:00.000","Closed","Web",
"Request for Parking Officer","2018-08-22T10:37:00.000","2018-08-22T11:53:00.000","Closed","Phone","North Melbourne"
"Infringement Review - Parking","2018-05-24T12:51:00.000",,"New","Web",
"Rough Sleeping","2018-06-15T14:39:00.000","2018-06-21T14:36:00.000","Closed","Phone","Melbourne"
"Tree Maintenance Request","2018-05-22T12:20:00.000","2018-05-22T13:47:00.000","Closed","Web","Kensington"
"Request for Parking Officer","2018-08-30T10:40:00.000","2018-08-30T13:13:00.000","Closed","Phone","Melbourne"
"Request for Parking Officer","2018-07-05T13:03:00.000","2018-07-05T13:06:00.000","Closed","Web","Melbourne"
"Request for Parking Officer","2018-02-09T16:27:00.000","2018-02-09T16:56:00.000","Closed","Web","Carlton"
"Infringement Review - Parking","2018-05-03T15:04:00.000","2018-05-30T16:01:00.000","Closed","Mail",
"Graffiti Removal Request","2018-06-21T18:47:00.000","2018-06-25T08:48:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-07-12T12:01:00.000","2018-08-07T14:25:00.000","Closed","Mail",
"Request for Parking Officer","2018-08-27T13:29:00.000","2018-09-09T11:10:00.000","Closed","Snap Send Solve","North Melbourne"
"Rough Sleeping","2018-01-16T12:48:00.000","2018-01-16T14:05:00.000","Closed","Web","Southbank"
"Infringement Review - Parking","2018-08-22T15:34:00.000",,"Awaiting Customer Information","Web",
"Tree Maintenance Request","2018-04-17T08:11:00.000","2018-04-19T09:26:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-04-12T10:25:00.000",,"New","Mail",
"Illegally Dumped Rubbish","2018-05-01T08:14:00.000","2018-05-02T14:10:00.000","Closed","Proactive","North Melbourne"
"Illegally Dumped Rubbish","2018-03-05T12:52:00.000","2018-03-08T14:25:00.000","Closed","Snap Send Solve",
"Illegally Dumped Rubbish","2018-05-22T15:25:00.000","2018-05-28T15:47:00.000","Closed","Snap Send Solve",
"Infringement Review - Parking","2018-07-23T09:42:00.000",,"New","Web",
"Infringement Review - Parking","2018-05-29T07:51:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-08T22:09:00.000","2018-03-05T14:37:00.000","Closed","Web",
"Infringement Review - Parking","2018-08-09T11:10:00.000","2018-08-30T15:47:00.000","Closed","Web",
"Graffiti Removal Request","2018-02-06T09:00:00.000","2018-02-08T10:05:00.000","Closed","Web","North Melbourne"
"Infringement Review - Parking","2018-05-03T22:17:00.000","2018-06-01T11:46:00.000","Closed","Web",
"Infringement Review - Parking","2018-04-09T08:53:00.000","2018-05-08T11:00:00.000","Closed","Email",
"Infringement Review - Parking","2018-09-29T02:45:00.000",,"New","Web",
"Graffiti Removal Request","2018-06-20T13:05:00.000","2018-07-06T14:16:00.000","Closed","Phone","Carlton"
"Infringement Review - Parking","2018-03-01T18:44:00.000","2018-04-05T07:43:00.000","Closed","Web",
"Infringement Review - Parking","2018-01-21T15:59:00.000","2018-02-12T10:43:00.000","Closed","Web",
"Infringement Review - Local Law","2018-05-08T10:24:00.000",,"Assigned for Action","Mail",
"Infringement Review - Parking","2018-08-09T11:49:00.000","2018-08-31T14:54:00.000","Closed","Web",
"Infringement Review - Parking","2018-08-07T21:17:00.000","2018-08-29T12:29:00.000","Closed","Web",
"Illegally Dumped Rubbish","2018-03-26T09:04:00.000","2018-03-28T08:07:00.000","Closed","Phone","North Melbourne"
"Infringement Review - Parking","2018-03-13T13:37:00.000","2018-04-13T13:52:00.000","Closed","Web",
"Request for Parking Officer","2018-04-18T13:44:00.000","2018-04-18T14:03:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-03-02T14:23:00.000","2018-03-28T16:07:00.000","Closed","Web",
"Infringement Review - Parking","2018-06-03T18:39:00.000","2018-07-03T09:58:00.000","Closed","Web",
"Graffiti Removal Request","2018-02-28T14:49:00.000","2018-03-06T14:21:00.000","Closed","Web","Melbourne"
"Abandoned Vehicles","2018-06-05T18:05:00.000","2018-06-19T12:50:00.000","Closed","Phone","Kensington"
"Infringement Review - Parking","2018-04-12T10:45:00.000",,"New","Web",
"Request for Parking Officer","2018-07-22T07:03:00.000","2018-07-22T10:41:00.000","Closed","Web","South Yarra"
"Infringement Review - Parking","2018-02-05T13:07:00.000","2018-02-27T14:31:00.000","Closed","Web",
"Infringement Review - Parking","2018-02-12T09:21:00.000","2018-03-07T13:42:00.000","Closed","Mail",
"Request for Parking Officer","2018-05-01T18:19:00.000","2018-05-01T20:58:00.000","Closed","Web","Carlton"
"Illegally Dumped Rubbish","2018-02-05T10:46:00.000",,"Escalated","Web","Melbourne"
"Infringement Review - Parking","2018-09-23T15:03:00.000",,"New","Web",
"Rough Sleeping","2018-02-01T15:07:00.000","2018-02-05T12:27:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-05-07T10:36:00.000",,"New","Web",
"Infringement Review - Parking","2018-04-11T10:15:00.000",,"New","Mail",
"Infringement Review - Parking","2018-07-18T23:55:00.000",,"New","Web",
"Graffiti Removal Request","2018-08-21T08:55:00.000","2018-08-27T11:12:00.000","Closed","Web","Melbourne"
"Ratepayer waste","2018-09-25T14:25:00.000","2018-10-03T12:31:00.000","Closed","Phone","West Melbourne"
"Infringement Review - Parking","2018-04-13T16:55:00.000",,"New","Web",
"Tree Maintenance Request","2018-04-18T11:25:00.000",,"New","Email","Kensington"
"Tree Maintenance Request","2018-04-23T10:47:00.000","2018-05-04T08:41:00.000","Closed","Web","Docklands"
"Graffiti Removal Request","2018-09-03T11:00:00.000","2018-09-25T11:55:00.000","Closed","Phone","North Melbourne"
"Infringement Review - Parking","2018-04-11T10:53:00.000",,"New","Mail",
"Infringement Review - Parking","2018-02-22T17:27:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-22T17:27:00.000",,"New","Web",
"Request for Parking Officer","2018-08-04T08:06:00.000","2018-08-04T11:20:00.000","Closed","Phone","South Yarra"
"Illegally Dumped Rubbish","2018-06-04T09:29:00.000","2018-06-05T15:51:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-07-25T12:31:00.000",,"New","Web",
"Graffiti Removal Request","2018-08-09T15:49:00.000","2018-08-24T13:17:00.000","Closed","Phone","Carlton"
"Infringement Review - Parking","2018-04-11T20:51:00.000",,"New","Web",
"Request for Parking Officer","2018-06-04T10:30:00.000","2018-06-04T10:59:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-04-30T14:13:00.000",,"New","Phone",
"Infringement Review - Parking","2018-05-23T15:20:00.000",,"New","Web",
"Infringement Review - Parking","2018-08-30T17:53:00.000","2018-10-04T09:48:00.000","Closed","Web",
"Infringement Review - Parking","2018-04-10T18:23:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-21T06:39:00.000","2018-02-22T11:21:00.000","Closed","Web",
"Request for Parking Officer","2018-08-07T13:16:00.000","2018-08-07T13:57:00.000","Closed","Web","North Melbourne"
"Tree Maintenance Request","2018-03-05T09:13:00.000","2018-03-09T12:03:00.000","Closed","Phone","Kensington"
"Tree Maintenance Request","2018-02-26T08:39:00.000","2018-03-05T14:04:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-08-10T17:57:00.000","2018-09-05T11:05:00.000","Closed","Web",
"Abandoned Vehicles","2018-05-23T10:50:00.000",,"In Progress","Phone","Kensington"
"Infringement Review - Parking","2018-08-21T13:30:00.000","2018-08-21T15:11:00.000","Closed","Phone",
"Rough Sleeping","2018-07-27T08:41:00.000","2018-08-02T10:15:00.000","Closed","Phone",
"Infringement Review - Parking","2018-08-11T15:03:00.000","2018-09-04T14:27:00.000","Closed","Web",
"Illegally Dumped Rubbish","2018-02-26T11:29:00.000","2018-02-28T11:30:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-06-25T16:42:00.000",,"New","Web",
"Infringement Review - Parking","2018-02-06T15:55:00.000","2018-02-28T11:22:00.000","Closed","Web",
"Infringement Review - Parking","2018-01-05T17:51:00.000","2018-01-30T13:25:00.000","Closed","Web",
"Request for Parking Officer","2018-07-22T20:23:00.000","2018-07-22T20:24:00.000","Closed","Phone","West Melbourne"
"Request for Parking Officer","2018-01-25T03:58:00.000","2018-01-25T11:09:00.000","Closed","Web","Southbank"
"Graffiti Removal Request","2018-06-27T11:34:00.000","2018-06-27T15:22:00.000","Closed","Snap Send Solve","Melbourne"
"Graffiti Removal Request","2018-03-13T15:37:00.000","2018-03-23T10:39:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-08-16T05:35:00.000","2018-09-07T10:31:00.000","Closed","Web",
"Request for Parking Officer","2018-04-09T08:54:00.000","2018-04-09T12:29:00.000","Closed","Phone",
"Infringement Review - Parking","2018-06-01T14:15:00.000",,"In Progress","Web",
"Rough Sleeping","2018-07-19T10:04:00.000","2018-07-19T19:09:00.000","Closed","Email",
"Tree Maintenance Request","2018-06-19T14:18:00.000",,"Assigned for Action","Phone","Melbourne"
"Infringement Review - Parking","2018-08-24T10:34:00.000","2018-09-18T15:09:00.000","Closed","Mail",
"Request for Parking Officer","2018-05-22T15:34:00.000","2018-05-22T16:22:00.000","Closed","Phone","Southbank"
"Request for Parking Officer","2018-06-15T16:23:00.000","2018-06-15T16:44:00.000","Closed","Web","Docklands"
"Abandoned Vehicles","2018-02-08T11:24:00.000","2018-02-16T12:18:00.000","Closed","Web","Kensington"
"Infringement Review - Parking","2018-07-31T11:49:00.000",,"New","Web",
"Request for Parking Officer","2018-04-19T19:12:00.000","2018-04-19T19:13:00.000","Closed as Duplicate","Web","Docklands"
"Graffiti Removal Request","2018-08-03T21:03:00.000","2018-08-10T16:17:00.000","Closed","Snap Send Solve","Kensington"
"Request for Parking Officer","2018-03-22T13:21:00.000","2018-03-22T14:03:00.000","Closed","Phone","Southbank"
"Graffiti Removal Request","2018-09-19T15:24:00.000","2018-09-19T15:24:00.000","Closed","Phone",
"Infringement Review - Parking","2018-08-02T10:30:00.000","2018-08-24T15:07:00.000","Closed","Web",
"Infringement Review - Parking","2018-04-27T16:53:00.000",,"New","Web",
"Graffiti Removal Request","2018-04-09T13:03:00.000","2018-04-23T16:19:00.000","Closed","Web","Kensington"
"Tree Maintenance Request","2018-03-07T20:55:00.000","2018-03-29T12:13:00.000","Closed","Web","Melbourne"
"Infringement Review - Parking","2018-08-29T15:07:00.000","2018-09-14T14:57:00.000","Closed","Email",
"Illegally Dumped Rubbish","2018-01-02T10:52:00.000","2018-01-22T13:58:00.000","Closed","Phone","Carlton"
"Rough Sleeping","2018-03-04T11:23:00.000","2018-03-06T14:38:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-05-22T00:13:00.000",,"New","Web",
"Infringement Review - Parking","2018-09-11T14:05:00.000","2018-10-05T12:41:00.000","Closed","Web",
"Request for Parking Officer","2018-04-29T12:13:00.000","2018-04-29T14:40:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-05-30T09:30:00.000",,"New","Web",
"Request for Parking Officer","2018-08-09T10:58:00.000","2018-08-09T11:47:00.000","Closed","Web","Southbank"
"Infringement Review - Parking","2018-08-22T20:00:00.000","2018-09-14T09:39:00.000","Closed","Web",
"Illegally Dumped Rubbish","2018-09-14T15:37:00.000","2018-09-19T16:25:00.000","Closed","Phone","Melbourne"
"Graffiti Removal Request","2018-07-24T15:24:00.000","2018-08-01T14:56:00.000","Closed","Phone",
"Infringement Review - Parking","2018-06-07T10:30:00.000","2018-07-03T11:24:00.000","Closed","Mail",
"Infringement Review - Parking","2018-09-13T14:35:00.000","2018-10-08T12:10:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-06T09:55:00.000","2018-08-01T11:57:00.000","Closed","Mail",
"Infringement Review - Parking","2018-02-08T09:39:00.000","2018-03-05T14:20:00.000","Closed","Web",
"Request for Parking Officer","2018-08-13T16:23:00.000","2018-08-16T09:15:00.000","Closed","Phone",
"Infringement Review - Parking","2018-05-02T13:50:00.000","2018-05-29T12:22:00.000","Closed","Web",
"Infringement Review - Parking","2018-07-16T16:24:00.000","2018-08-09T13:31:00.000","Closed","Web",
"Graffiti Removal Request","2018-04-17T14:28:00.000","2018-04-27T09:16:00.000","Closed","Phone","North Melbourne"
"Request for Parking Officer","2018-01-04T09:39:00.000","2018-01-04T09:53:00.000","Closed","Web","Kensington"
"Ratepayer waste","2018-09-26T20:58:00.000","2018-10-04T07:19:00.000","Closed","Web","Parkville"
"Infringement Review - Parking","2018-05-22T10:03:00.000",,"New","Mail",
"Abandoned Vehicles","2018-07-02T16:49:00.000",,"In Progress","Snap Send Solve",
"Request for Parking Officer","2018-08-14T12:36:00.000","2018-08-14T14:04:00.000","Closed","Phone","Parkville"
"Infringement Review - Parking","2018-03-13T15:18:00.000","2018-04-11T15:48:00.000","Closed","Web",
"Request for Parking Officer","2018-05-26T09:27:00.000","2018-05-26T11:14:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-07-02T13:53:00.000","2018-07-03T15:16:00.000","Closed","Web",
"Graffiti Removal Request","2018-09-02T14:23:00.000","2018-09-13T13:14:00.000","Closed","Web","West Melbourne"
"Request for Parking Officer","2018-03-21T14:05:00.000","2018-03-21T15:15:00.000","Closed","Web","Melbourne"
"Request for Parking Officer","2018-01-29T09:28:00.000","2018-02-27T09:47:00.000","Closed","Snap Send Solve",
"Graffiti Removal Request","2018-04-27T10:44:00.000",,"In Progress","Phone","Melbourne"
"Graffiti Removal Request","2018-06-22T15:35:00.000",,"Escalated","Web","Melbourne"
"Infringement Review - Parking","2018-08-30T18:24:00.000","2018-09-24T14:55:00.000","Closed","Web",
"Infringement Review - Parking","2018-08-06T12:29:00.000","2018-08-29T10:48:00.000","Closed","Web",
"Infringement Review - Parking","2018-08-14T21:49:00.000","2018-09-07T09:56:00.000","Closed","Web",
"Infringement Review - Parking","2018-01-30T18:57:00.000","2018-02-21T11:10:00.000","Closed","Web",
"Request for Parking Officer","2018-09-27T15:49:00.000","2018-09-27T21:16:00.000","Closed","Phone","Carlton"
"Infringement Review - Parking","2018-03-19T11:10:00.000",,"New","Mail",
"Infringement Review - Parking","2018-06-13T20:36:00.000",,"New","Web",
"Request for Parking Officer","2018-03-16T09:56:00.000","2018-03-16T10:41:00.000","Closed","Web","East Melbourne"
"Infringement Review - Parking","2018-04-30T09:30:00.000",,"New","Mail",
"Infringement Review - Parking","2018-01-19T09:56:00.000","2018-02-09T08:23:00.000","Closed","Mail",
"Infringement Review - Parking","2018-09-18T09:42:00.000","2018-10-02T12:44:00.000","Closed","Phone",
"Request for Parking Officer","2018-04-18T11:15:00.000","2018-04-18T11:58:00.000","Closed","Web","Melbourne"
"Request for Parking Officer","2018-07-12T15:27:00.000","2018-07-12T16:20:00.000","Closed","Web","Melbourne"
"Tree Maintenance Request","2018-03-25T18:30:00.000",,"In Progress","Web","North Melbourne"
"Abandoned Vehicles","2018-01-05T09:42:00.000","2018-01-08T15:35:00.000","Closed","Web","North Melbourne"
"Request for Parking Officer","2018-02-18T14:55:00.000","2018-02-18T15:14:00.000","Closed","Web","Melbourne"
"Rough Sleeping","2018-05-24T10:57:00.000","2018-05-29T14:46:00.000","Closed","Phone","Southbank"
"Request for Parking Officer","2018-08-05T17:11:00.000","2018-08-05T17:26:00.000","Closed","Phone","Melbourne"
"Infringement Review - Parking","2018-08-16T10:12:00.000","2018-09-07T12:21:00.000","Closed","Web",
"Infringement Review - Parking","2018-03-26T09:27:00.000",,"New","Mail",
"Request for Parking Officer","2018-05-03T11:21:00.000","2018-05-03T11:51:00.000","Closed","Web","Parkville"
"Request for Parking Officer","2018-05-29T13:24:00.000","2018-05-29T15:14:00.000","Closed","Web","Carlton"
"Infringement Review - Parking","2018-02-28T09:47:00.000",,"New","Mail",
"Tree Maintenance Request","2018-03-08T21:36:00.000","2018-03-23T10:54:00.000","Closed","Web","North Melbourne"
"Infringement Review - Parking","2018-05-23T15:32:00.000",,"New","Web",
