"day","date","gross_weight_bin","gross_weight_bin_1","gross_weight_bin_2","gross_weight_bin_3","daily_estimated_net"
"Monday","2016-04-04T00:00:00.000","59.3","30.7",,,"72"
"Tuesday","2016-04-05T00:00:00.000","63.9","58","64.8",,"159.7"
"Wednesday","2016-04-06T00:00:00.000","74.9",,,,"65.9"
"Thursday","2016-04-07T00:00:00.000","64.1","61.8",,,"107.9"
"Friday","2016-04-08T00:00:00.000","48.4","37","69.9","44.9","164.2"
"Saturday","2016-04-09T00:00:00.000","63.1",,,,"54.1"
"Sunday","2016-04-10T00:00:00.000","49.7",,,,"40.7"
"Monday","2016-04-11T00:00:00.000","72.1","56.3",,,"110.4"
"Tuesday","2016-04-12T00:00:00.000","43.9","64.8",,,"90.7"
"Wednesday","2016-04-13T00:00:00.000","47","48.2",,,"77.2"
"Thursday","2016-04-14T00:00:00.000","83.6","62.1",,,"127.7"
"Friday","2016-04-15T00:00:00.000","48.7","57.3","63.3",,"142.3"
"Saturday","2016-04-16T00:00:00.000","36.9","28.9",,,"47.8"
"Sunday","2016-04-17T00:00:00.000","83.4",,,,"74.4"
"Monday","2016-04-18T00:00:00.000","49.9","44.1","52.1",,"119.1"
"Tuesday","2016-04-19T00:00:00.000","49.5","64.7",,,"96.2"
"Wednesday","2016-04-20T00:00:00.000","68.9","88",,,"138.9"
"Thursday","2016-04-21T00:00:00.000","33.8","39.3",,,"55.1"
"Friday","2016-04-22T00:00:00.000","64.4","42.9","67.2",,"147.5"
"Saturday","2016-04-23T00:00:00.000","42.2","63.4",,,"87.6"
"Sunday","2016-04-24T00:00:00.000","68",,,,"59"
"Monday","2016-04-25T00:00:00.000","60.6","50",,,"92.6"
"Tuesday","2016-04-26T00:00:00.000","65.2","51.2","49.5",,"138.9"
"Wednesday","2016-04-27T00:00:00.000","57.5","57.8",,,"97.3"
"Thursday","2016-04-28T00:00:00.000","53.5","53.2",,,"88.7"
"Friday","2016-04-29T00:00:00.000","57.9","69.7","54.8",,"155.4"
"Saturday","2016-04-30T00:00:00.000","64.9","51.2",,,"98.1"
"Sunday","2016-05-01T00:00:00.000","73.4",,,,"64.4"
"Monday","2016-05-02T00:00:00.000","70.2","75","59.3",,"177.5"
"Tuesday","2016-05-03T00:00:00.000","65.7",,,,"56.7"
"Wednesday","2016-05-04T00:00:00.000","72.1","81.4",,,"135.5"
"Thursday","2016-05-05T00:00:00.000","62.2","55",,,"99.2"
"Friday","2016-05-06T00:00:00.000","64.7","60","73.3",,"171"
"Saturday","2016-05-07T00:00:00.000","77.4",,,,"68.4"
"Sunday","2016-05-08T00:00:00.000","45.5",,,,"36.5"
"Monday","2016-05-09T00:00:00.000","67.4","41.9","49.6",,"131.9"
"Tuesday","2016-05-10T00:00:00.000","38",,,,"29"
"Wednesday","2016-05-11T00:00:00.000","52",,,,"43"
"Thursday","2016-05-12T00:00:00.000","56","77.4",,,"115.4"
"Friday","2016-05-13T00:00:00.000","64.7","66.3",,,"113"
"Saturday","2016-05-14T00:00:00.000","46.8","50.2",,,"79"
"Sunday","2016-05-15T00:00:00.000","57.6",,,,"48.6"
"Monday","2016-05-16T00:00:00.000","60.5","68.4",,,"110.9"
"Tuesday","2016-05-17T00:00:00.000","61.9",,,,"52.9"
"Wednesday","2016-05-18T00:00:00.000","92.3","70.6",,,"144.9"
"Thursday","2016-05-19T00:00:00.000","56.8","21.1",,,"59.9"
"Friday","2016-05-20T00:00:00.000","71.4",,,,"62.4"
"Saturday","2016-05-21T00:00:00.000","55.6",,,,"46.6"
"Sunday","2016-05-22T00:00:00.000","65.4",,,,"56.4"
"Monday","2016-05-23T00:00:00.000","56.3",,,,"47.3"
"Tuesday","2016-05-24T00:00:00.000","80.4","72.8",,,"135.2"
"Wednesday","2016-05-25T00:00:00.000","65.8","48.6",,,"96.4"
"Thursday","2016-05-26T00:00:00.000","54.2","62.7",,,"98.9"
"Friday","2016-05-27T00:00:00.000","69.2","60.6","46.2",,"149"
"Saturday","2016-05-28T00:00:00.000","61.6",,,,"52.6"
"Sunday","2016-05-29T00:00:00.000","62.3",,,,"53.3"
"Monday","2016-05-30T00:00:00.000","76.6","68.6",,,"127.2"
"Tuesday","2016-05-31T00:00:00.000","55.4","45.5","50.4",,"124.3"
"Wednesday","2016-06-01T00:00:00.000","44.4","63.4",,,"89.8"
"Thursday","2016-06-02T00:00:00.000","50.6","55.9",,,"88.5"
"Friday","2016-06-03T00:00:00.000","74.6","51.4",,,"108"
"Saturday","2016-06-04T00:00:00.000",,,,,
"Sunday","2016-06-05T00:00:00.000","61","58.3",,,"101.3"
"Monday","2016-06-06T00:00:00.000","52.3","28.2",,,"62.5"
"Tuesday","2016-06-07T00:00:00.000","78.2","70",,,"130.2"
"Wednesday","2016-06-08T00:00:00.000","79.5","72.9",,,"134.4"
"Thursday","2016-06-09T00:00:00.000","54","62.8",,,"98.8"
"Friday","2016-06-10T00:00:00.000","58.4","66.6",,,"107"
"Saturday","2016-06-11T00:00:00.000","66.8",,,,"57.8"
"Sunday","2016-06-12T00:00:00.000","71.7","23.9",,,"77.6"
"Monday","2016-06-13T00:00:00.000","53.8",,,,"44.8"
"Tuesday","2016-06-14T00:00:00.000","63.6","56.8",,,"102.4"
"Wednesday","2016-06-15T00:00:00.000","71.4",,,,"62.4"
"Thursday","2016-06-16T00:00:00.000","77.3","52.9",,,"112.2"
"Friday","2016-06-17T00:00:00.000","63.6","59.8",,,"105.4"
"Saturday","2016-06-18T00:00:00.000","62.8","64.1",,,"108.9"
"Sunday","2016-06-19T00:00:00.000","69.8","45",,,"96.8"
"Monday","2016-06-20T00:00:00.000","64.3","51.5",,,"97.8"
"Tuesday","2016-06-21T00:00:00.000","56.2",,,,"47.2"
"Wednesday","2016-06-22T00:00:00.000","55.3","69",,,"106.3"
"Thursday","2016-06-23T00:00:00.000","61.2","59.5",,,"102.7"
"Friday","2016-06-24T00:00:00.000","48.9","58.6",,,"89.5"
"Saturday","2016-06-25T00:00:00.000","59.2","35.5",,,"76.7"
"Sunday","2016-06-26T00:00:00.000","46.4","23.4",,,"51.8"
"Monday","2016-06-27T00:00:00.000","65.3","51.7","56.9",,"146.9"
"Tuesday","2016-06-28T00:00:00.000","61.8","45.2",,,"89"
"Wednesday","2016-06-29T00:00:00.000",,,,,
"Thursday","2016-06-30T00:00:00.000","89.2",,,,"80.2"
"Friday","2016-07-01T00:00:00.000","58.6","71.6","40.1",,"143.3"
"Saturday","2016-07-02T00:00:00.000","59.7",,,,"50.7"
"Sunday","2016-07-03T00:00:00.000","62.6",,,,"53.6"
"Monday","2016-07-04T00:00:00.000","43.8","56.8","53.5",,"127.1"
"Tuesday","2016-07-05T00:00:00.000","68","21.8",,,"71.8"
"Wednesday","2016-07-06T00:00:00.000","76.8","54.7","48.3",,"152.8"
"Thursday","2016-07-07T00:00:00.000","47.4","63",,,"92.4"
"Friday","2016-07-08T00:00:00.000","60.8","68.4","78.7",,"180.9"
"Saturday","2016-07-09T00:00:00.000","59","51.8",,,"92.8"
"Sunday","2016-07-10T00:00:00.000","47.6",,,,"38.6"
"Monday","2016-07-11T00:00:00.000","63.5","58.3",,,"103.8"
"Tuesday","2016-07-12T00:00:00.000","73.6","74.1",,,"129.7"
"Wednesday","2016-07-13T00:00:00.000","68.2","49.1","61.1",,"151.4"
"Thursday","2016-07-14T00:00:00.000","56.9","45","67.8",,"142.7"
"Friday","2016-07-15T00:00:00.000","59.9","45.9",,,"87.8"
"Saturday","2016-07-16T00:00:00.000","43.6","51.9",,,"77.5"
"Sunday","2016-07-17T00:00:00.000","41.2",,,,"32.2"
"Monday","2016-07-18T00:00:00.000","66.7","56.5","41.7",,"137.9"
"Tuesday","2016-07-19T00:00:00.000","55.4","72",,,"109.4"
"Wednesday","2016-07-20T00:00:00.000","46.6","52.2","38.1",,"109.9"
"Thursday","2016-07-21T00:00:00.000","47.1","46",,,"75.1"
"Friday","2016-07-22T00:00:00.000","67.5","59.1","56.3",,"155.9"
"Saturday","2016-07-23T00:00:00.000","42.5","52.7",,,"77.2"
"Sunday","2016-07-24T00:00:00.000","52.5",,,,"43.5"
"Monday","2016-07-25T00:00:00.000","51.2","53.6",,,"86.8"
"Tuesday","2016-07-26T00:00:00.000","21.6",,,,"12.6"
"Wednesday","2016-07-27T00:00:00.000","63.8","55.7",,,"101.5"
"Thursday","2016-07-28T00:00:00.000","75.3","60.5",,,"117.8"
"Friday","2016-07-29T00:00:00.000","70","56.7","78.9",,"178.6"
"Saturday","2016-07-30T00:00:00.000","37.7","52",,,"71.7"
"Sunday","2016-07-31T00:00:00.000","70.3","43.9",,,"96.2"
"Monday","2016-08-01T00:00:00.000","57.4","36.2",,,"75.6"
"Tuesday","2016-08-02T00:00:00.000","96.9","60.1",,,"139"
"Wednesday","2016-08-03T00:00:00.000","61.4","72.2",,,"115.6"
"Thursday","2016-08-04T00:00:00.000","60.8","64.2",,,"107"
"Friday","2016-08-05T00:00:00.000","66.6","53",,,"101.6"
"Saturday","2016-08-06T00:00:00.000","75.1",,,,"66.1"
"Sunday","2016-08-07T00:00:00.000","60.4","57.7",,,"100.1"
"Monday","2016-08-08T00:00:00.000","57.8","60",,,"99.8"
"Tuesday","2016-08-09T00:00:00.000","57.6","62.1",,,"101.7"
"Wednesday","2016-08-10T00:00:00.000","79.1","61.6",,,"122.7"
"Thursday","2016-08-11T00:00:00.000","60.9","60.2","71.5",,"165.6"
"Friday","2016-08-12T00:00:00.000","82.5",,,,"73.5"
"Saturday","2016-08-13T00:00:00.000","77.5","59.5",,,"119"
"Sunday","2016-08-14T00:00:00.000","46.9",,,,"37.9"
"Monday","2016-08-15T00:00:00.000","63.5",,,,"54.5"
"Tuesday","2016-08-16T00:00:00.000","66",,,,"57"
"Wednesday","2016-08-17T00:00:00.000","71.8",,,,"62.8"
"Thursday","2016-08-18T00:00:00.000","75.6","71.3",,,"128.9"
"Friday","2016-08-19T00:00:00.000","64.4","56.5",,,"102.9"
"Saturday","2016-08-20T00:00:00.000","50.7",,,,"41.7"
"Sunday","2016-08-21T00:00:00.000","63.4",,,,"54.4"
"Monday","2016-08-22T00:00:00.000","59.6","67.3",,,"108.9"
"Tuesday","2016-08-23T00:00:00.000","72.4",,,,"63.4"
"Wednesday","2016-08-24T00:00:00.000","84.1","51.8",,,"117.9"
"Thursday","2016-08-25T00:00:00.000","62.8","44.7",,,"89.5"
"Friday","2016-08-26T00:00:00.000","46.3",,,,"37.3"
"Saturday","2016-08-27T00:00:00.000","46.2","61.3",,,"89.5"
"Sunday","2016-08-28T00:00:00.000","66.2",,,,"57.2"
"Monday","2016-08-29T00:00:00.000","42.2","73.9",,,"98.1"
"Tuesday","2016-08-30T00:00:00.000","66.4","47","32.9",,"119.3"
"Wednesday","2016-08-31T00:00:00.000","67.4","62.1",,,"111.5"
"Thursday","2016-09-01T00:00:00.000","44.5","48.3",,,"74.8"
"Friday","2016-09-02T00:00:00.000","28.3","38.9",,,"49.2"
"Saturday","2016-09-03T00:00:00.000","52.2","51.6",,,"85.8"
"Sunday","2016-09-04T00:00:00.000","49.6","32.2",,,"63.8"
"Monday","2016-09-05T00:00:00.000","51.2","61.8",,,"95"
"Tuesday","2016-09-06T00:00:00.000","52.9","62.7",,,"97.6"
"Wednesday","2016-09-07T00:00:00.000","60","57.3",,,"99.3"
"Thursday","2016-09-08T00:00:00.000","70.6","42.1",,,"94.7"
"Friday","2016-09-09T00:00:00.000","60","52.2",,,"94.2"
"Saturday","2016-09-10T00:00:00.000","59.1","42.3",,,"83.4"
"Sunday","2016-09-11T00:00:00.000","36.4",,,,"27.4"
"Monday","2016-09-12T00:00:00.000","60.8","51.4",,,"94.2"
"Tuesday","2016-09-13T00:00:00.000","60.9",,,,"51.9"
"Wednesday","2016-09-14T00:00:00.000","64.9","72",,,"118.9"
"Thursday","2016-09-15T00:00:00.000","60.7","32.8",,,"75.5"
"Friday","2016-09-16T00:00:00.000","56.6","50.9",,,"89.5"
"Saturday","2016-09-17T00:00:00.000","46.6","54",,,"82.6"
"Sunday","2016-09-18T00:00:00.000","40.5",,,,"31.5"
"Monday","2016-09-19T00:00:00.000","61.3","41.2",,,"84.5"
"Tuesday","2016-09-20T00:00:00.000","69.5","70.6",,,"122.1"
"Wednesday","2016-09-21T00:00:00.000","51","47.7",,,"80.7"
"Thursday","2016-09-22T00:00:00.000","64.8","59.9",,,"106.7"
"Friday","2016-09-23T00:00:00.000","55.1","52.9",,,"90"
"Saturday","2016-09-24T00:00:00.000","55",,,,"46"
"Sunday","2016-09-25T00:00:00.000","67.4",,,,"58.4"
"Monday","2016-09-26T00:00:00.000","56.4",,,,"47.4"
"Tuesday","2016-09-27T00:00:00.000","56","69.5",,,"107.5"
"Wednesday","2016-09-28T00:00:00.000","81.6","57.2",,,"120.8"
"Thursday","2016-09-29T00:00:00.000","68.4","49.3","37.5",,"128.2"
"Friday","2016-09-30T00:00:00.000","50.7",,,,"41.7"
"Saturday","2016-10-01T00:00:00.000","41.4",,,,"32.4"
"Sunday","2016-10-02T00:00:00.000","50",,,,"41"
"Monday","2016-10-03T00:00:00.000","57.5","40.7",,,"80.2"
"Tuesday","2016-10-04T00:00:00.000","48.1","39.5",,,"69.6"
"Wednesday","2016-10-05T00:00:00.000","55","35.5",,,"72.5"
"Thursday","2016-10-06T00:00:00.000","55.1","56",,,"93.1"
"Friday","2016-10-07T00:00:00.000","51.7","42",,,"75.7"
"Saturday","2016-10-08T00:00:00.000","48.6","40.3",,,"70.9"
"Sunday","2016-10-09T00:00:00.000",,,,,
"Monday","2016-10-10T00:00:00.000","69.8","43.8","49.3",,"135.9"
"Tuesday","2016-10-11T00:00:00.000","51.5","42.5","52.6",,"119.6"
"Wednesday","2016-10-12T00:00:00.000","51",,,,"42"
"Thursday","2016-10-13T00:00:00.000","71.2","39.8",,,"93"
"Friday","2016-10-14T00:00:00.000","71.5",,,,"62.5"
"Saturday","2016-10-15T00:00:00.000","51.1","43",,,"76.1"
"Sunday","2016-10-16T00:00:00.000","47.1",,,,"38.1"
"Monday","2016-10-17T00:00:00.000","55.6","43.4",,,"81"
"Tuesday","2016-10-18T00:00:00.000","66","31.1","70.3",,"140.4"
"Wednesday","2016-10-19T00:00:00.000","45.2","46.8",,,"74"
"Thursday","2016-10-20T00:00:00.000","64.3","53.6",,,"99.9"
"Friday","2016-10-21T00:00:00.000","84",,,,"75"
"Saturday","2016-10-22T00:00:00.000","55.4",,,,"46.4"
"Sunday","2016-10-23T00:00:00.000","46.2",,,,"37.2"
"Monday","2016-10-24T00:00:00.000","57.3","51.7",,,"91"
"Tuesday","2016-10-25T00:00:00.000","50.4","45.8",,,"78.2"
"Wednesday","2016-10-26T00:00:00.000","59","59.2",,,"100.2"
"Thursday","2016-10-27T00:00:00.000","79.8","57.1",,,"118.9"
"Friday","2016-10-28T00:00:00.000","68.5","59.2",,,"109.7"
"Saturday","2016-10-29T00:00:00.000","64.8",,,,"55.8"
"Sunday","2016-10-30T00:00:00.000","82.3",,,,"73.3"
"Monday","2016-10-31T00:00:00.000","65.5","74.4",,,"121.9"
"Tuesday","2016-11-01T00:00:00.000","58.5",,,,"49.5"
"Wednesday","2016-11-02T00:00:00.000","82.4",,,,"73.4"
"Thursday","2016-11-03T00:00:00.000","61.7","79.8",,,"123.5"
"Friday","2016-11-04T00:00:00.000","59.2","34.5",,,"75.7"
"Saturday","2016-11-05T00:00:00.000","55",,,,"46"
"Sunday","2016-11-06T00:00:00.000","60",,,,"51"
"Monday","2016-11-07T00:00:00.000","61.2","84",,,"127.2"
"Tuesday","2016-11-08T00:00:00.000","59",,,,"50"
"Wednesday","2016-11-09T00:00:00.000","64.7","38.5",,,"85.2"
"Thursday","2016-11-10T00:00:00.000","43.4","38.8",,,"64.2"
"Friday","2016-11-11T00:00:00.000","68.7","64.3",,,"115"
"Saturday","2016-11-12T00:00:00.000","27","40.2",,,"49.2"
"Sunday","2016-11-13T00:00:00.000","40.8",,,,"31.8"
"Monday","2016-11-14T00:00:00.000","84.2",,,,"75.2"
"Tuesday","2016-11-15T00:00:00.000","49.2","61.8",,,"93"
"Wednesday","2016-11-16T00:00:00.000","54.3","46.9",,,"83.2"
"Thursday","2016-11-17T00:00:00.000","56.4","56","64.3",,"149.7"
"Friday","2016-11-18T00:00:00.000","83.1","61.9",,,"127"
"Saturday","2016-11-19T00:00:00.000","51.9","52.9",,,"86.8"
"Sunday","2016-11-20T00:00:00.000","59.3",,,,"50.3"
"Monday","2016-11-21T00:00:00.000","77.4","54.6",,,"114"
"Tuesday","2016-11-22T00:00:00.000","77.1","54.1",,,"113.2"
"Wednesday","2016-11-23T00:00:00.000","77.3","52",,,"111.3"
"Thursday","2016-11-24T00:00:00.000","76.3","52.7",,,"111"
"Friday","2016-11-25T00:00:00.000","56.1","67.3",,,"105.4"
"Saturday","2016-11-26T00:00:00.000","49.6","46.3",,,"77.9"
"Sunday","2016-11-27T00:00:00.000","30.6","33.8",,,"46.4"
"Monday","2016-11-28T00:00:00.000","59.7","42.8",,,"84.5"
"Tuesday","2016-11-29T00:00:00.000","71.3","36.8",,,"90.1"
"Wednesday","2016-11-30T00:00:00.000","47","54","46.7",,"120.7"
"Thursday","2016-12-01T00:00:00.000","71.6","49.6",,,"103.2"
"Friday","2016-12-02T00:00:00.000","62.3","79.1",,,"123.4"
"Saturday","2016-12-03T00:00:00.000","35.5","64.5","41.2",,"114.2"
"Sunday","2016-12-04T00:00:00.000","56.3",,,,"47.3"
"Monday","2016-12-05T00:00:00.000","67.5","66.8",,,"116.3"
"Tuesday","2016-12-06T00:00:00.000","51.1","50.2",,,"83.3"
"Wednesday","2016-12-07T00:00:00.000","68.1","54.8",,,"104.9"
"Thursday","2016-12-08T00:00:00.000","68.7","49",,,"99.7"
"Friday","2016-12-09T00:00:00.000","58.8","62.8",,,"103.6"
"Saturday","2016-12-10T00:00:00.000",,"44.8","56.1",,"82.9"
"Sunday","2016-12-11T00:00:00.000","39.7",,,,"30.7"
"Monday","2016-12-12T00:00:00.000","44.1","68","70",,"155.1"
"Tuesday","2016-12-13T00:00:00.000","88.9","64.6",,,"135.5"
"Wednesday","2016-12-14T00:00:00.000","71.6","51.1",,,"104.7"
"Thursday","2016-12-15T00:00:00.000","44","39","78.1",,"134.1"
"Friday","2016-12-16T00:00:00.000","67.6","80.3",,,"129.9"
"Saturday","2016-12-17T00:00:00.000","39.5","48",,,"69.5"
"Sunday","2016-12-18T00:00:00.000","52.2",,,,"43.2"
"Monday","2016-12-19T00:00:00.000","50.5","68.2",,,"100.7"
"Tuesday","2016-12-20T00:00:00.000","80.7",,,,"71.7"
"Wednesday","2016-12-21T00:00:00.000","64","39.3","44.1",,"120.4"
"Thursday","2016-12-22T00:00:00.000","69","75.5",,,"126.5"
"Friday","2016-12-23T00:00:00.000","57.4","41.2","29.6",,"101.2"
"Saturday","2016-12-24T00:00:00.000","77.1","52.2",,,"111.3"
"Sunday","2016-12-25T00:00:00.000","54",,,,"45"
"Monday","2016-12-26T00:00:00.000",,,,,
"Tuesday","2016-12-27T00:00:00.000","67.4","27.7",,,"77.1"
"Wednesday","2016-12-28T00:00:00.000","74","45.2",,,"101.2"
"Thursday","2016-12-29T00:00:00.000","73.2","58.3",,,"113.5"
"Friday","2016-12-30T00:00:00.000","81.9","31.2",,,"95.1"
"Saturday","2016-12-31T00:00:00.000","81.7","33.6",,,"97.3"
