"request_status","date_received","date_completed","suburb","category","service_desc","days_to_complete"
"CLOSED    ","2015-01-30T00:00:00.000","2015-02-04T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Waste collection services","5"
"CLOSED    ","2014-12-05T00:00:00.000","2014-12-18T00:00:00.000","Melbourne","Parks and Trees","Tree Maintenance Services","13"
"CLOSED    ","2014-12-06T00:00:00.000","2014-12-15T00:00:00.000","Parkville","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2014-12-10T00:00:00.000","2014-12-11T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2014-12-11T00:00:00.000","2015-01-22T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","42"
"CLOSED    ","2014-12-15T00:00:00.000","2014-12-17T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Damaged Bins ","2"
"CLOSED    ","2014-12-15T00:00:00.000","2014-12-16T00:00:00.000","Southbank","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2014-12-15T00:00:00.000","2014-12-17T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missing Bin ","2"
"CLOSED    ","2014-12-16T00:00:00.000","2015-02-10T00:00:00.000","Kensington","Parks and Trees","Park Cleaning ","56"
"CLOSED    ","2014-12-16T00:00:00.000","2015-02-10T00:00:00.000","Kensington","Parks and Trees","Park Cleaning ","56"
"CLOSED    ","2014-12-16T00:00:00.000","2014-12-18T00:00:00.000","Southbank","Waste, Street Cleaning and Litter ","Public Litter Bin ","2"
"CLOSED    ","2014-12-16T00:00:00.000","2014-12-19T00:00:00.000","South Yarra","Waste, Street Cleaning and Litter ","Public Litter Bin ","3"
"CLOSED    ","2014-12-17T00:00:00.000","2014-12-24T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missing Bin ","7"
"CLOSED    ","2014-12-17T00:00:00.000","2014-12-19T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2014-12-17T00:00:00.000","2015-01-08T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","22"
"CLOSED    ","2014-12-18T00:00:00.000","2014-12-19T00:00:00.000","East Melbourne","Parks and Trees","Condition of Assets in Parks","1"
"CLOSED    ","2014-12-19T00:00:00.000","2014-12-22T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","3"
"CLOSED    ","2014-12-19T00:00:00.000","2014-12-29T00:00:00.000","East Melbourne","Parks and Trees","Tree Maintenance Services","10"
"CLOSED    ","2014-12-19T00:00:00.000","2014-12-22T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Street Cleaning services","3"
"CLOSED    ","2014-12-21T00:00:00.000","2014-12-22T00:00:00.000","East Melbourne","Parks and Trees","Park Cleaning ","1"
"CLOSED    ","2014-12-24T00:00:00.000","2014-12-26T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2014-12-24T00:00:00.000","2015-02-23T00:00:00.000","Melbourne","Parks and Trees","Park Cleaning ","61"
"CLOSED    ","2014-12-30T00:00:00.000","2015-01-08T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2014-12-30T00:00:00.000","2014-12-30T00:00:00.000","Melbourne","Parking","Parking Compliance Services","1"
"CLOSED    ","2014-12-31T00:00:00.000","2015-02-26T00:00:00.000","Parkville","Parks and Trees","Park Cleaning ","57"
"CLOSED    ","2014-12-31T00:00:00.000","2015-01-13T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","13"
"CLOSED    ","2015-01-03T00:00:00.000","2015-01-08T00:00:00.000","Kensington","Parks and Trees","Tree Maintenance Services","5"
"CLOSED    ","2015-01-05T00:00:00.000","2015-01-07T00:00:00.000","Docklands","Waste, Street Cleaning and Litter ","Damaged Bins ","2"
"CLOSED    ","2015-01-05T00:00:00.000","2015-01-12T00:00:00.000","West Melbourne","Parks and Trees","Condition of Assets in Parks","7"
"CLOSED    ","2015-01-05T00:00:00.000","2015-01-06T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-01-06T00:00:00.000","2015-01-13T00:00:00.000","East Melbourne","Parks and Trees","Tree Maintenance Services","7"
"CLOSED    ","2014-11-10T00:00:00.000","2014-11-12T00:00:00.000","Melbourne","Parks and Trees","Tree Maintenance Services","2"
"CLOSED    ","2014-11-10T00:00:00.000","2014-11-12T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2014-11-10T00:00:00.000","2014-11-12T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2014-11-10T00:00:00.000","2014-11-12T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2014-11-11T00:00:00.000","2014-11-12T00:00:00.000","South Yarra","Roads and Traffic","Road and Footpath Maintenance ","1"
"CLOSED    ","2015-01-07T00:00:00.000","2015-01-20T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","13"
"CLOSED    ","2015-01-07T00:00:00.000","2015-01-09T00:00:00.000","West Melbourne","Waste, Street Cleaning and Litter ","Public Litter Bin ","2"
"CLOSED    ","2015-01-08T00:00:00.000","2015-01-10T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2014-11-11T00:00:00.000","2014-11-13T00:00:00.000","South Yarra","Waste, Street Cleaning and Litter ","Missing Bin ","2"
"CLOSED    ","2014-11-11T00:00:00.000","2014-11-13T00:00:00.000","East Melbourne","Waste, Street Cleaning and Litter ","Missing Bin ","2"
"CLOSED    ","2014-11-13T00:00:00.000","2014-11-17T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","4"
"CLOSED    ","2014-11-13T00:00:00.000","2014-12-03T00:00:00.000","Kensington","Parks and Trees","Tree Maintenance Services","20"
"CLOSED    ","2014-11-14T00:00:00.000","2014-11-24T00:00:00.000","Docklands","Graffiti","Graffiti Removal ","10"
"CLOSED    ","2015-01-10T00:00:00.000","2015-01-10T00:00:00.000","Melbourne","Parking","Parking Compliance Services","1"
"CLOSED    ","2014-11-17T00:00:00.000","2014-11-19T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2015-01-13T00:00:00.000","2015-01-15T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missing Bin ","2"
"CLOSED    ","2015-01-13T00:00:00.000","2015-01-21T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","8"
"CLOSED    ","2015-01-14T00:00:00.000","2015-01-27T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","13"
"CLOSED    ","2015-04-21T00:00:00.000","2015-04-23T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Waste collection services","2"
"CLOSED    ","2015-06-18T00:00:00.000","2015-06-19T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-06-19T00:00:00.000","2015-06-22T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","3"
"CLOSED    ","2015-03-02T00:00:00.000","2015-03-03T00:00:00.000","Parkville","Parks and Trees","Condition of Assets in Parks","1"
"CLOSED    ","2015-03-03T00:00:00.000","2015-03-04T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-04-24T00:00:00.000","2015-04-29T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Waste collection services","5"
"CLOSED    ","2015-04-27T00:00:00.000","2015-04-29T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Damaged Bins ","2"
"CLOSED    ","2015-04-27T00:00:00.000","2015-04-28T00:00:00.000","Carlton","Parks and Trees","Tree Maintenance Services","1"
"CLOSED    ","2015-06-21T00:00:00.000","2015-06-25T00:00:00.000","Carlton North","Parks and Trees","Park Cleaning ","4"
"CLOSED    ","2015-06-22T00:00:00.000","2015-06-22T00:00:00.000","Parkville","Waste, Street Cleaning and Litter ","Syringe pick-up services","1"
"CLOSED    ","2015-06-22T00:00:00.000","2015-06-25T00:00:00.000","Melbourne","Parks and Trees","Tree Maintenance Services","3"
"CLOSED    ","2015-06-23T00:00:00.000","2015-07-02T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2015-06-24T00:00:00.000","2015-06-29T00:00:00.000","Kensington","Parks and Trees","Condition of Assets in Parks","5"
"CLOSED    ","2015-08-14T00:00:00.000","2015-10-16T00:00:00.000","Melbourne","Parks and Trees","Park Cleaning ","63"
"CLOSED    ","2015-08-15T00:00:00.000","2015-08-21T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","6"
"CLOSED    ","2015-08-17T00:00:00.000","2015-08-25T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","8"
"CLOSED    ","2015-08-17T00:00:00.000","2015-08-25T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","8"
"CLOSED    ","2015-02-26T00:00:00.000","2015-03-02T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","4"
"CLOSED    ","2015-02-26T00:00:00.000","2015-03-13T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Waste collection services","15"
"CLOSED    ","2015-02-26T00:00:00.000","2015-03-13T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Waste collection services","15"
"CLOSED    ","2015-02-26T00:00:00.000","2015-03-13T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Waste collection services","15"
"CLOSED    ","2015-04-28T00:00:00.000","2015-05-04T00:00:00.000","East Melbourne","Waste, Street Cleaning and Litter ","Missing Bin ","6"
"CLOSED    ","2015-04-29T00:00:00.000","2015-05-01T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2015-06-24T00:00:00.000","2015-07-02T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","8"
"CLOSED    ","2015-06-25T00:00:00.000","2015-07-02T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","7"
"CLOSED    ","2015-06-25T00:00:00.000","2015-06-26T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-06-25T00:00:00.000","2015-06-29T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missed Bin Collection","4"
"CLOSED    ","2015-06-26T00:00:00.000","2015-06-29T00:00:00.000","Carlton","Parks and Trees","Lawns and Irrigation ","3"
"CLOSED    ","2015-06-27T00:00:00.000","2015-07-06T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2015-06-29T00:00:00.000","2015-07-08T00:00:00.000","North Melbourne","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2015-08-18T00:00:00.000","2015-08-20T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Dumped Rubbish ","2"
"CLOSED    ","2015-08-21T00:00:00.000","2015-09-07T00:00:00.000","Southbank","Parks and Trees","Tree Maintenance Services","17"
"CLOSED    ","2015-03-03T00:00:00.000","2015-03-31T00:00:00.000","Kensington","Parks and Trees","Condition of Assets in Parks","28"
"CLOSED    ","2015-03-04T00:00:00.000","2015-03-18T00:00:00.000","Carlton","Parks and Trees","Condition of Assets in Parks","14"
"CLOSED    ","2015-03-05T00:00:00.000","2015-03-05T00:00:00.000","South Yarra","Parks and Trees","Tree Maintenance Services","1"
"CLOSED    ","2015-03-05T00:00:00.000","2015-03-06T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-05-03T00:00:00.000","2015-05-06T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","3"
"CLOSED    ","2015-05-04T00:00:00.000","2015-05-08T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","4"
"CLOSED    ","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","Parkville","Parks and Trees","Tree Maintenance Services","2"
"CLOSED    ","2015-07-01T00:00:00.000","2015-07-02T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-08-21T00:00:00.000","2015-08-24T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missed Bin Collection","3"
"CLOSED    ","2015-08-22T00:00:00.000","2015-08-25T00:00:00.000","West Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","3"
"CLOSED    ","2015-08-23T00:00:00.000","2015-09-02T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","10"
"CLOSED    ","2015-08-24T00:00:00.000","2015-09-03T00:00:00.000","Melbourne","Parks and Trees","Lawns and Irrigation ","10"
"CLOSED    ","2015-03-06T00:00:00.000","2015-03-06T00:00:00.000","Carlton","Parking","Parking Compliance Services","1"
"CLOSED    ","2015-03-10T00:00:00.000","2015-03-11T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Damaged Bins ","1"
"CLOSED    ","2015-03-10T00:00:00.000","2015-03-19T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2015-05-04T00:00:00.000","2015-05-05T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Waste collection services","1"
"CLOSED    ","2015-05-04T00:00:00.000","2015-06-04T00:00:00.000","North Melbourne","Parks and Trees","Park Cleaning ","31"
"CLOSED    ","2015-05-04T00:00:00.000","2015-05-05T00:00:00.000","Melbourne","Parks and Trees","Condition of Assets in Parks","1"
"CLOSED    ","2015-05-04T00:00:00.000","2015-05-20T00:00:00.000","Kensington","Graffiti","Graffiti Removal ","16"
"CLOSED    ","2015-05-05T00:00:00.000","2015-05-08T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","3"
"CLOSED    ","2015-07-01T00:00:00.000","2015-07-02T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-07-02T00:00:00.000","2015-07-08T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","6"
"CLOSED    ","2015-07-02T00:00:00.000","2015-07-03T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-07-03T00:00:00.000","2015-07-10T00:00:00.000","North Melbourne","Graffiti","Graffiti Removal ","7"
"CLOSED    ","2015-07-03T00:00:00.000","2015-07-15T00:00:00.000","West Melbourne","Graffiti","Graffiti Removal ","12"
"CLOSED    ","2015-08-26T00:00:00.000","2015-08-27T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-08-26T00:00:00.000","2015-08-26T00:00:00.000","Melbourne","Parking","Parking Compliance Services","1"
"CLOSED    ","2015-08-27T00:00:00.000","2015-09-03T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","7"
"CLOSED    ","2015-08-27T00:00:00.000","2015-09-24T00:00:00.000","Kensington","Parks and Trees","Tree Maintenance Services","28"
"CLOSED    ","2015-03-10T00:00:00.000","2015-03-23T00:00:00.000","Carlton North","Graffiti","Graffiti Removal ","13"
"CLOSED    ","2015-03-11T00:00:00.000","2015-03-19T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","8"
"CLOSED    ","2015-03-12T00:00:00.000","2015-03-20T00:00:00.000","East Melbourne","Parks and Trees","Tree Maintenance Services","8"
"CLOSED    ","2015-05-07T00:00:00.000","2015-05-07T00:00:00.000","East Melbourne","Parks and Trees","Condition of Assets in Parks","1"
"CLOSED    ","2015-05-07T00:00:00.000","2015-05-18T00:00:00.000","North Melbourne","Graffiti","Graffiti Removal ","11"
"CLOSED    ","2015-05-08T00:00:00.000","2015-05-20T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","12"
"CLOSED    ","2015-05-08T00:00:00.000","2015-05-15T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Damaged Bins ","7"
"CLOSED    ","2015-05-08T00:00:00.000","2015-05-14T00:00:00.000","South Yarra","Waste, Street Cleaning and Litter ","Public Litter Bin ","6"
"CLOSED    ","2015-07-04T00:00:00.000","2015-07-13T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2015-07-06T00:00:00.000","2015-07-07T00:00:00.000","Melbourne","Parks and Trees","Condition of Assets in Parks","1"
"CLOSED    ","2015-07-07T00:00:00.000","2015-07-07T00:00:00.000","South Yarra","Waste, Street Cleaning and Litter ","Missed Bin Collection","1"
"CLOSED    ","2015-07-08T00:00:00.000","2015-07-09T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missing Bin ","1"
"CLOSED    ","2015-01-31T00:00:00.000","2015-02-02T00:00:00.000","Docklands","Parks and Trees","Park Cleaning ","2"
"CLOSED    ","2015-02-02T00:00:00.000","2015-02-04T00:00:00.000","Docklands","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2015-02-03T00:00:00.000","2015-02-16T00:00:00.000","Docklands","Parks and Trees","Condition of Assets in Parks","13"
"CLOSED    ","2015-03-13T00:00:00.000","2015-03-16T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missed Bin Collection","3"
"CLOSED    ","2015-03-13T00:00:00.000","2015-04-10T00:00:00.000","South Yarra","Graffiti","Graffiti Removal ","28"
"CLOSED    ","2015-03-13T00:00:00.000","2015-03-24T00:00:00.000","Docklands","Parks and Trees","Tree Maintenance Services","11"
"CLOSED    ","2015-03-14T00:00:00.000","2015-03-19T00:00:00.000","Melbourne","Parks and Trees","Condition of Assets in Parks","5"
"CLOSED    ","2015-05-08T00:00:00.000","2015-05-08T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Syringe pick-up services","1"
"CLOSED    ","2015-05-08T00:00:00.000","2015-05-15T00:00:00.000","West Melbourne","Waste, Street Cleaning and Litter ","Damaged Bins ","7"
"CLOSED    ","2015-05-11T00:00:00.000","2015-05-15T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Damaged Bins ","4"
"CLOSED    ","2015-05-11T00:00:00.000","2015-05-15T00:00:00.000","Melbourne","Roads and Traffic","Road and Footpath Maintenance ","4"
"CLOSED    ","2015-05-11T00:00:00.000","2015-05-14T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","3"
"CLOSED    ","2015-05-12T00:00:00.000","2015-05-28T00:00:00.000","West Melbourne","Graffiti","Graffiti Removal ","16"
"CLOSED    ","2015-07-09T00:00:00.000","2015-07-10T00:00:00.000","Parkville","Parks and Trees","Lawns and Irrigation ","1"
"CLOSED    ","2015-07-09T00:00:00.000","2015-07-15T00:00:00.000","Melbourne","Graffiti","Graffiti Removal ","6"
"CLOSED    ","2015-07-10T00:00:00.000","2015-07-10T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Syringe pick-up services","1"
"CLOSED    ","2015-02-03T00:00:00.000","2015-02-05T00:00:00.000","South Yarra","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2015-02-04T00:00:00.000","2015-02-05T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Damaged Bins ","1"
"CLOSED    ","2015-02-05T00:00:00.000","2015-03-11T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","34"
"CLOSED    ","2015-02-05T00:00:00.000","2015-02-06T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missing Bin ","1"
"CLOSED    ","2015-02-05T00:00:00.000","2015-02-10T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Waste collection services","5"
"CLOSED    ","2015-03-16T00:00:00.000","2015-03-28T00:00:00.000","Docklands","Roads and Traffic","Road and Footpath Maintenance ","12"
"CLOSED    ","2015-03-17T00:00:00.000","2015-03-26T00:00:00.000","Parkville","Parks and Trees","Tree Maintenance Services","9"
"CLOSED    ","2015-03-17T00:00:00.000","2015-03-31T00:00:00.000","North Melbourne","Graffiti","Graffiti Removal ","14"
"CLOSED    ","2015-03-18T00:00:00.000","2015-04-01T00:00:00.000","West Melbourne","Graffiti","Graffiti Removal ","14"
"CLOSED    ","2015-03-18T00:00:00.000","2015-04-01T00:00:00.000","Kensington","Parks and Trees","Park Cleaning ","14"
"CLOSED    ","2015-05-14T00:00:00.000","2015-05-15T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Street Cleaning services","1"
"CLOSED    ","2015-05-14T00:00:00.000","2015-05-18T00:00:00.000","Carlton","Waste, Street Cleaning and Litter ","Missed Bin Collection","4"
"CLOSED    ","2015-05-15T00:00:00.000","2015-05-22T00:00:00.000","Kensington","Waste, Street Cleaning and Litter ","Missing Bin ","7"
"CLOSED    ","2015-05-17T00:00:00.000","2015-05-18T00:00:00.000","Southbank","Parks and Trees","Condition of Assets in Parks","1"
"CLOSED    ","2015-07-14T00:00:00.000","2015-07-22T00:00:00.000","Carlton","Graffiti","Graffiti Removal ","8"
"CLOSED    ","2015-02-10T00:00:00.000","2015-02-11T00:00:00.000","North Melbourne","Waste, Street Cleaning and Litter ","Missing Bin ","1"
"CLOSED    ","2015-02-10T00:00:00.000","2015-02-12T00:00:00.000","Melbourne","Waste, Street Cleaning and Litter ","Missed Bin Collection","2"
"CLOSED    ","2015-03-19T00:00:00.000","2015-04-08T00:00:00.000","Kensington","Graffiti","Graffiti Removal ","20"
"CLOSED    ","2015-03-19T00:00:00.000","2015-04-10T00:00:00.000","Melbourne","Parks and Trees","Park Cleaning ","22"
"CLOSED    ","2015-03-23T00:00:00.000","2015-03-24T00:00:00.000","North Melbourne","Parks and Trees","Condition of Assets in Parks","1"
"CLOSED    ","2015-03-24T00:00:00.000","2015-04-10T00:00:00.000","Kensington","Graffiti","Graffiti Removal ","17"
"CLOSED    ","2015-05-20T00:00:00.000","2015-05-29T00:00:00.000","Carlton North","Graffiti","Graffiti Removal ","9"
"CLOSED    ","2015-05-20T00:00:00.000","2015-05-22T00:00:00.000","Melbourne","Roads and Traffic","Road and Footpath Maintenance ","2"
"CLOSED    ","2015-07-15T00:00:00.000","2015-07-28T00:00:00.000","West Melbourne","Graffiti","Graffiti Removal ","13"
