"date","fips","county_st","state","gender","age_group","veterans"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Male","65-84","437"
"2020-09-30T00:00:00.000","01067","Henry, AL","Alabama","Male","85+","68"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Female","17-44","411"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Female","45-64","467"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Female","65-84","123"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Female","85+","8"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Male","17-44","1563"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Male","45-64","2981"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Male","65-84","2897"
"2020-09-30T00:00:00.000","01069","Houston, AL","Alabama","Male","85+","401"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Female","17-44","71"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Female","45-64","88"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Female","65-84","43"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Female","85+","6"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Male","17-44","431"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Male","45-64","959"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Male","65-84","1285"
"2020-09-30T00:00:00.000","01071","Jackson, AL","Alabama","Male","85+","214"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Female","17-44","1774"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Female","45-64","2434"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Female","65-84","965"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Female","85+","93"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Male","17-44","6100"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Male","45-64","13389"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Male","65-84","15847"
"2020-09-30T00:00:00.000","01073","Jefferson, AL","Alabama","Male","85+","2629"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Female","17-44","25"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Female","45-64","24"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Female","65-84","15"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Female","85+","2"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Male","17-44","128"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Male","45-64","282"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Male","65-84","290"
"2020-09-30T00:00:00.000","01075","Lamar, AL","Alabama","Male","85+","52"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Female","17-44","172"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Female","45-64","194"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Female","65-84","127"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Female","85+","6"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Male","17-44","911"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Male","45-64","1672"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Male","65-84","2111"
"2020-09-30T00:00:00.000","01077","Lauderdale, AL","Alabama","Male","85+","433"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Female","17-44","43"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Female","45-64","66"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Female","65-84","14"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Female","85+","0"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Male","17-44","251"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Male","45-64","487"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Male","65-84","613"
"2020-09-30T00:00:00.000","01079","Lawrence, AL","Alabama","Male","85+","109"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Female","17-44","643"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Female","45-64","635"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Female","65-84","119"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Female","85+","20"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Male","17-44","2225"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Male","45-64","3702"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Male","65-84","3259"
"2020-09-30T00:00:00.000","01081","Lee, AL","Alabama","Male","85+","620"
"2020-09-30T00:00:00.000","01083","Limestone, AL","Alabama","Female","17-44","276"
"2020-09-30T00:00:00.000","01083","Limestone, AL","Alabama","Female","45-64","413"
"2020-09-30T00:00:00.000","01083","Limestone, AL","Alabama","Female","65-84","125"
