"inventory_item_id","inventory_description","location_description","signals_location_number","signals_location_id","signal_type","latitude","longitude","location"
"982","CABINET - Equipment #: 7","INT - MCDERMOT & PRINCESS","1338","990","VEHICLE","49.8976893171389","-97.1425814994812","POINT (-97.1425814994812 49.8976893171389)"
"1467","SIGNAL - Equipment #: 10","INT - BROADWAY & OSBORNE","1066","1066","VEHICLE","49.8854940988714","-97.149535375328","POINT (-97.149535375328 49.8854940988714)"
"1533","SIGNAL - Equipment #: 3","INT - CHIEF PEGUIS & HENDERSON","1783","313","VEHICLE","49.9476713444695","-97.0837420607434","POINT (-97.0837420607434 49.9476713444695)"
"601","SIGNAL - Equipment #: 6","INT - ARLINGTON & DUFFERIN","1589","906","VEHICLE","49.9165585520855","-97.15850781105554","POINT (-97.15850781105554 49.9165585520855)"
"2068","CABINET - Equipment #: 9","INT - BROADWAY & EDMONTON","1371","1068","VEHICLE","49.886632372627","-97.1438907153225","POINT (-97.1438907153225 49.886632372627)"
"339","SIGNAL - Equipment #: 1","INT - SHERBROOK & WOLSELEY","1552","1088","VEHICLE","49.8803517580764","-97.1598289061571","POINT (-97.1598289061571 49.8803517580764)"
"2100","SIGNAL - Equipment #: 7","INT - BURROWS & KEEWATIN","1142","581","VEHICLE","49.9384410646665","-97.1953360438527","POINT (-97.1953360438527 49.9384410646665)"
"1670","SIGNAL - Equipment #: 1","INT - ACADEMY & KENASTON","1312","653","VEHICLE","49.87443699409035","-97.20336388339105","POINT (-97.20336388339105 49.87443699409035)"
"1506","SIGNAL - Equipment #: 7","INT - NOTRE DAME & PRINCESS (SMITH)","1267","997","VEHICLE","49.8962648305539","-97.1433732924623","POINT (-97.1433732924623 49.8962648305539)"
"1175","SIGNAL - Equipment #: 2","INT - HARGRAVE & MCDERMOT","1114","989","VEHICLE","49.8985565171839","-97.1447176246751","POINT (-97.1447176246751 49.8985565171839)"
"253","SIGNAL - Equipment #: 4","INT - PORTAGE & SHERBROOK","1711","783","VEHICLE","49.8882308899491","-97.1589449262237","POINT (-97.1589449262237 49.8882308899491)"
"1494","SIGNAL - Equipment #: 1","INT - OSBORNE & YORK","1073","1052","VEHICLE","49.887597782399","-97.1497230835095","POINT (-97.1497230835095 49.887597782399)"
"1939","SIGNAL - Equipment #: 10","INT - BURROWS & SHEPPARD","1829","811","VEHICLE","49.93154836824195","-97.1832108906274","POINT (-97.1832108906274 49.93154836824195)"
"2215","SIGNAL - Equipment #: 7","INT - KING EDWARD & SKINNER (30m N OF LISMORE)","1594","590","VEHICLE","49.9190950199205","-97.2069424212403","POINT (-97.2069424212403 49.9190950199205)"
"989","SIGNAL - Equipment #: 6","INT - KING & WILLIAM","1248","970","VEHICLE","49.8992870808343","-97.1400683459515","POINT (-97.1400683459515 49.8992870808343)"
"1767","SIGNAL - Equipment #: 6","INT - EAGLE & OAK POINT","1469","579","VEHICLE","49.9372371972662","-97.2244513212667","POINT (-97.2244513212667 49.9372371972662)"
"1063","SIGNAL - Equipment #: 7","INT - PARTRIDGE & SALTER","1220","220","VEHICLE","49.9435574501304","-97.1198681583658","POINT (-97.1198681583658 49.9435574501304)"
"961","SIGNAL - Equipment #: 2","INT - ARTHUR & MCDERMOT","1402","992","VEHICLE","49.8971397332332","-97.1409110644337","POINT (-97.1409110644337 49.8971397332332)"
"2455","SIGNAL - Equipment #: 7","INT - INKSTER & SINCLAIR","1964","493","VEHICLE","49.9350931891005","-97.1473291471226","POINT (-97.1473291471226 49.9350931891005)"
"1688","CABINET - Equipment #: 9","INT - JAMES & MAIN","1684","968","VEHICLE","49.900092606236","-97.1382814456166","POINT (-97.1382814456166 49.900092606236)"
"1345","SIGNAL - Equipment #: 10","INT - LEILA & WATSON","1906","479","VEHICLE","49.9546694081288","-97.1519280327068","POINT (-97.1519280327068 49.9546694081288)"
"1408","SIGNAL - Equipment #: 2","INT - MACHRAY & MCPHILLIPS","1143","497","VEHICLE","49.9349434107522","-97.1635617312763","POINT (-97.1635617312763 49.9349434107522)"
"830","SIGNAL - Equipment #: 1","INT - ARLINGTON & INKSTER","1196","920","VEHICLE","49.934028033072","-97.1451012986341","POINT (-97.1451012986341 49.934028033072)"
"981","SIGNAL - Equipment #: 5","INT - MCDERMOT & PRINCESS","1338","990","VEHICLE","49.8976957906515","-97.14261441077255","POINT (-97.14261441077255 49.8976957906515)"
"1476","SIGNAL - Equipment #: 8","INT - ALEXANDER & PRINCESS","1316","962","VEHICLE","49.9024195557882","-97.1393482981","POINT (-97.1393482981 49.9024195557882)"
"308","SIGNAL - Equipment #: 5","INT - MARYLAND & PORTAGE","1702","782","VEHICLE","49.88787320732","-97.1603884440225","POINT (-97.1603884440225 49.88787320732)"
"2141","SIGNAL - Equipment #: 4","INT - BROADWAY & GARRY","1276","279","VEHICLE","49.8882099595765","-97.1377780323207","POINT (-97.1377780323207 49.8882099595765)"
"1373","SIGNAL - Equipment #: 8","INT - LOGAN & QUELCH","1525","520","VEHICLE","49.9178111822261","-97.1836111848401","POINT (-97.1836111848401 49.9178111822261)"
"2316","SIGNAL - Equipment #: 6","INT - KING EDWARD & SASKATCHEWAN","1945","600","VEHICLE","49.906068135014","-97.2065487410934","POINT (-97.2065487410934 49.906068135014)"
"1914","SIGNAL - Equipment #: 9","INT - INKSTER & SHEPPARD","1111","487","VEHICLE","49.9438560231237","-97.1755942242698","POINT (-97.1755942242698 49.9438560231237)"
"1036","SIGNAL - Equipment #: 2","INT - DUFFERIN & KING","1401","955","VEHICLE","49.9091113582587","-97.1349800179678","POINT (-97.1349800179678 49.9091113582587)"
"2524","SIGNAL - Equipment #: 9","INT - MAIN & MOUNTAIN","1699","201","VEHICLE","49.9199593813989","-97.1300255302896","POINT (-97.1300255302896 49.9199593813989)"
"1144","SIGNAL - Equipment #: 5","INT - INKSTER & SALTER","1198","923","VEHICLE","49.9292733370781","-97.1298498160093","POINT (-97.1298498160093 49.9292733370781)"
"1279","SIGNAL - Equipment #: 6","INT - BANNATYNE & PRINCESS","1077","984","VEHICLE","49.8984725960641","-97.1420066994048","POINT (-97.1420066994048 49.8984725960641)"
"910","CABINET - Equipment #: 9","INT - BALMORAL & CUMBERLAND","1685","981","VEHICLE","49.8980458648766","-97.1520443121373","POINT (-97.1520443121373 49.8980458648766)"
"508","SIGNAL - Equipment #: 3","INT - MCPHILLIPS & PACIFIC","1823","521","VEHICLE","49.9120105992293","-97.1705223148023","POINT (-97.1705223148023 49.9120105992293)"
"1204","SIGNAL - Equipment #: 6","INT - BALMORAL & SARGENT","1669","1009","VEHICLE","49.8961552715131","-97.152435064723","POINT (-97.152435064723 49.8961552715131)"
"209","CABINET - Equipment #: 9","INT - CUMBERLAND & MARYLAND","1545","898","VEHICLE","49.9012531442749","-97.1590382551794","POINT (-97.1590382551794 49.9012531442749)"
"1569","SIGNAL - Equipment #: 9","INT - MAPLEGLEN & MCPHILLIPS","1156","489","VEHICLE","49.9416524137973","-97.1581896279196","POINT (-97.1581896279196 49.9416524137973)"
"1194","SIGNAL - Equipment #: 1","INT - BANNATYNE & RORIE","1890","987","VEHICLE","49.8975813853726","-97.1368168332612","POINT (-97.1368168332612 49.8975813853726)"
"593","SIGNAL - Equipment #: 4","INT - MCPHILLIPS & SELKIRK","1361","508","VEHICLE","49.9233641948904","-97.1695515856424","POINT (-97.1695515856424 49.9233641948904)"
"923","CABINET - Equipment #: 8","INT - BALMORAL & NOTRE DAME","1013","979","VEHICLE","49.8990188089254","-97.1519906134901","POINT (-97.1519906134901 49.8990188089254)"
"2095","SIGNAL - Equipment #: 12","INT - BURROWS & KEEWATIN","1142","581","VEHICLE","49.9386827949732","-97.1948882024757","POINT (-97.1948882024757 49.9386827949732)"
"1879","SIGNAL - Equipment #: 2","INT - DONALD & ELLICE","1211","1003","VEHICLE","49.8950262611409","-97.1440150351853","POINT (-97.1440150351853 49.8950262611409)"
"237","SIGNAL - Equipment #: 6","INT - SARGENT & SHERBROOK","1676","900","VEHICLE","49.8966682693456","-97.1586061344811","POINT (-97.1586061344811 49.8966682693456)"
"1713","SIGNAL - Equipment #: 5","INT - JEFFERSON & SALTER","1962","917","VEHICLE","49.93540550267795","-97.1251151221022","POINT (-97.1251151221022 49.93540550267795)"
"1762","CABINET - Equipment #: 11","INT - EAGLE & OAK POINT","1469","579","VEHICLE","49.937382520229","-97.2237347725291","POINT (-97.2237347725291 49.937382520229)"
"1068","SIGNAL - Equipment #: 2","INT - LEILA & MAIN","1289","219","VEHICLE","49.9421995435906","-97.1132453092519","POINT (-97.1132453092519 49.9421995435906)"
"2447","SIGNAL - Equipment #: 1","INT - CARLTON & YORK","1967","1056","VEHICLE","49.8884901998712","-97.1438147918697","POINT (-97.1438147918697 49.8884901998712)"
"991","SIGNAL - Equipment #: 8","INT - KING & WILLIAM","1248","970","VEHICLE","49.8991320562508","-97.1402352210609","POINT (-97.1402352210609 49.8991320562508)"
"575","SIGNAL - Equipment #: 8","INT - ARLINGTON & LOGAN","1182","519","VEHICLE","49.9123473262082","-97.1617895550245","POINT (-97.1617895550245 49.9123473262082)"
"2529","SIGNAL - Equipment #: 8","INT - KING EDWARD & SARGENT","1367","610","VEHICLE","49.8981512352003","-97.2072580689673","POINT (-97.2072580689673 49.8981512352003)"
"1702","SIGNAL - Equipment #: 1","INT - LOMBARD & RORIE","1103","1036","VEHICLE","49.8961587715181","-97.1373559831897","POINT (-97.1373559831897 49.8961587715181)"
"2479","SIGNAL - Equipment #: 5","INT - EDMONTON & YORK","1966","1055","VEHICLE","49.888211717221","-97.1448433959836","POINT (-97.1448433959836 49.888211717221)"
"649","SIGNAL - Equipment #: 7","INT - LOGAN & SHERBROOK","1535","956","VEHICLE","49.9078117742961","-97.1525399966354","POINT (-97.1525399966354 49.9078117742961)"
"1455","SIGNAL - Equipment #: 8","INT - HARGRAVE & NOTRE DAME","1269","996","VEHICLE","49.8970158805772","-97.1456293221755","POINT (-97.1456293221755 49.8970158805772)"
"451","SIGNAL - Equipment #: 4","INT - EMILY & NOTRE DAME","1332","536","VEHICLE","49.9021380234974","-97.1619278094518","POINT (-97.1619278094518 49.9021380234974)"
"1732","SIGNAL - Equipment #: 5","INT - BROOKSIDE & INKSTER","1130","576","VEHICLE","49.9458007760407","-97.2293212049876","POINT (-97.2293212049876 49.9458007760407)"
"519","SIGNAL - Equipment #: 7","INT - ARLINGTON & WELLINGTON AVE","1120","890","VEHICLE","49.9003318561827","-97.1685088068994","POINT (-97.1685088068994 49.9003318561827)"
"1311","SIGNAL - Equipment #: 6","INT - ELLICE & YOUNG","1949","1016","VEHICLE","49.8928920227116","-97.1548725473353","POINT (-97.1548725473353 49.8928920227116)"
"746","SIGNAL - Equipment #: 5","INT - MCGREGOR & REDWOOD","1082","936","VEHICLE","49.9219784354629","-97.1451729124857","POINT (-97.1451729124857 49.9219784354629)"
"1177","SIGNAL - Equipment #: 4","INT - HARGRAVE & MCDERMOT","1114","989","VEHICLE","49.8984424225478","-97.144483890597","POINT (-97.144483890597 49.8984424225478)"
"1259","SIGNAL - Equipment #: 7","INT - KING EDWARD & LOGAN","1216","584","VEHICLE","49.9254162174301","-97.2067275889788","POINT (-97.2067275889788 49.9254162174301)"
"1736","SIGNAL - Equipment #: 1","INT - NOTRE DAME & ST. JAMES","1071","592","VEHICLE","49.916301802507","-97.1987638720873","POINT (-97.1987638720873 49.916301802507)"
"1792","SIGNAL - Equipment #: 6","INT - KING & NOTRE DAME","1010","998","VEHICLE","49.8960454823132","-97.1426064240171","POINT (-97.1426064240171 49.8960454823132)"
"463","SIGNAL - Equipment #: 7","INT - MCPHILLIPS & NOTRE DAME","1393","530","VEHICLE","49.9055097108037","-97.1715702002966","POINT (-97.1715702002966 49.9055097108037)"
"940","SIGNAL - Equipment #: 2","INT - ISABEL & MCDERMOT","1158","978","VEHICLE","49.9003197183304","-97.1509081759724","POINT (-97.1509081759724 49.9003197183304)"
"696","SIGNAL - Equipment #: 4","INT - ARLINGTON & MOUNTAIN","1145","927","VEHICLE","49.9265079972001","-97.1512278400057","POINT (-97.1512278400057 49.9265079972001)"
"1838","SIGNAL - Equipment #: 7","INT - CUMBERLAND & HARGRAVE","1757","1008","VEHICLE","49.8964441069673","-97.1463444043282","POINT (-97.1463444043282 49.8964441069673)"
"2123","CABINET - Equipment #: 9","INT - ST. JAMES & SASKATCHEWAN","1779","602","VEHICLE","49.9064468218598","-97.1993152428984","POINT (-97.1993152428984 49.9064468218598)"
"394","SIGNAL - Equipment #: 5","INT - GROSVENOR & WELLINGTON CRES.","1542","61","VEHICLE","49.8727774963656","-97.1563041085383","POINT (-97.1563041085383 49.8727774963656)"
"413","SIGNAL - Equipment #: 2","INT - ARLINGTON & WESTMINSTER","1916","865","VEHICLE","49.8816661748447","-97.1695537732584","POINT (-97.1695537732584 49.8816661748447)"
"1116","SIGNAL - Equipment #: 8","INT - REDWOOD & SALTER","1171","939","VEHICLE","49.9195541836668","-97.1376658394582","POINT (-97.1376658394582 49.9195541836668)"
"1626","SIGNAL - Equipment #: 11","INT - JEFFERSON & MCPHILLIPS","1173","488","VEHICLE","49.9451840957461","-97.154592237919","POINT (-97.154592237919 49.9451840957461)"
"2007","SIGNAL - Equipment #: 10","INT - ACADEMY & LANARK","1562","655","VEHICLE","49.8741999053009","-97.1970677484201","POINT (-97.1970677484201 49.8741999053009)"
"2512","CABINET - Equipment #: 10","INT - CATHEDRAL & MAIN","1112","926","VEHICLE","49.9241400618505","-97.1263486979657","POINT (-97.1263486979657 49.9241400618505)"
"1869","SIGNAL - Equipment #: 8","INT - BROADWAY & KENNEDY","1271","1067","VEHICLE","49.8863401602421","-97.1452166320248","POINT (-97.1452166320248 49.8863401602421)"
"1225","SIGNAL - Equipment #: 7","INT - MCPHILLIPS & MOUNTAIN","1329","501","VEHICLE","49.9314119550561","-97.1666692669336","POINT (-97.1666692669336 49.9314119550561)"
"1787","SIGNAL - Equipment #: 1","INT - KING & NOTRE DAME","1010","998","VEHICLE","49.8961348333319","-97.1429843096742","POINT (-97.1429843096742 49.8961348333319)"
"1983","SIGNAL - Equipment #: 5","INT - ACADEMY & QUEENSTON","1105","652","VEHICLE","49.8739470425655","-97.1862313021335","POINT (-97.1862313021335 49.8739470425655)"
"780","SIGNAL - Equipment #: 2","INT - LOGAN & PRINCESS","1476","960","VEHICLE","49.9034870417113","-97.1383410773618","POINT (-97.1383410773618 49.9034870417113)"
"1808","SIGNAL - Equipment #: 9","INT - OAK POINT & SELKIRK","1478","583","VEHICLE","49.9309222713762","-97.2114364959124","POINT (-97.2114364959124 49.9309222713762)"
"715","SIGNAL - Equipment #: 6","INT - MOUNTAIN & PARR","1184","929","VEHICLE","49.9257624142207","-97.1490697129635","POINT (-97.1490697129635 49.9257624142207)"
"1128","SIGNAL - Equipment #: 3","INT - MOUNTAIN & SALTER","1188","1146","VEHICLE","49.9215253556009","-97.135901676041","POINT (-97.135901676041 49.9215253556009)"
"1708","SIGNAL - Equipment #: 1","INT - JEFFERSON & SALTER","1962","917","VEHICLE","49.9356432552167","-97.1252109809272","POINT (-97.1252109809272 49.9356432552167)"
"312","SIGNAL - Equipment #: 6","INT - ELLICE & MARYLAND","1339","886","VEHICLE","49.8929180414858","-97.1600052210218","POINT (-97.1600052210218 49.8929180414858)"
"2342","SIGNAL - Equipment #: 7","INT - HARGRAVE & YORK","1754","1057","VEHICLE","49.8889611401364","-97.1425192210047","POINT (-97.1425192210047 49.8889611401364)"
"1397","SIGNAL - Equipment #: 4","INT - ALEXANDER & KING","1348","963","VEHICLE","49.9019964031941","-97.1378767873109","POINT (-97.1378767873109 49.9019964031941)"
"1720","SIGNAL - Equipment #: 7","INT - BROOKSIDE & INKSTER","1130","576","VEHICLE","49.9458170578227","-97.2298424605535","POINT (-97.2298424605535 49.9458170578227)"
"875","SIGNAL - Equipment #: 5","INT - PRINCESS & WILLIAM","1116","971","VEHICLE","49.8997076681847","-97.1414658932976","POINT (-97.1414658932976 49.8997076681847)"
"222","SIGNAL - Equipment #: 2","INT - CUMBERLAND & MARYLAND","1545","898","VEHICLE","49.901179164479","-97.1593682733027","POINT (-97.1593682733027 49.901179164479)"
"165","SIGNAL - Equipment #: 4","INT - BANNATYNE & SHERBROOK","1165","976","VEHICLE","49.9031564319827","-97.1566034979169","POINT (-97.1566034979169 49.9031564319827)"
"1719","SIGNAL - Equipment #: 6","INT - KEEWATIN & NOTRE DAME","1391","587","VEHICLE","49.9165960623098","-97.19508202879025","POINT (-97.19508202879025 49.9165960623098)"
"1153","SIGNAL - Equipment #: 7","INT - LEILA & PIPELINE","1825","477","VEHICLE","49.9579143154134","-97.1610082495021","POINT (-97.1610082495021 49.9579143154134)"
"634","SIGNAL - Equipment #: 2","INT - ARLINGTON & BURROWS","1520","935","VEHICLE","49.9222197779391","-97.1541025622606","POINT (-97.1541025622606 49.9222197779391)"
"2021","SIGNAL - Equipment #: 3","INT - KINGSWAY & OAK","1097","861","VEHICLE","49.8702573933671","-97.1811532712263","POINT (-97.1811532712263 49.8702573933671)"
"1338","SIGNAL - Equipment #: 8","INT - KEEWATIN & LOGAN","1255","589","VEHICLE","49.9215791537129","-97.1948659711226","POINT (-97.1948659711226 49.9215791537129)"
"862","SIGNAL - Equipment #: 2","INT - INKSTER & MCGREGOR","1197","922","VEHICLE","49.9318865849914","-97.1373009573469","POINT (-97.1373009573469 49.9318865849914)"
"569","SIGNAL - Equipment #: 8","INT - JARVIS & MCPHILLIPS","1610","512","VEHICLE","49.9192239400393","-97.1697568580504","POINT (-97.1697568580504 49.9192239400393)"
"1029","SIGNAL - Equipment #: 21","INT - LEILA & MCGREGOR","1784","915","VEHICLE","49.9464534008488","-97.1259054404783","POINT (-97.1259054404783 49.9464534008488)"
"2497","SIGNAL - Equipment #: 6","INT - MEMORIAL & ST. MARY","1585","1050","VEHICLE","49.8888795838169","-97.149998906301","POINT (-97.149998906301 49.8888795838169)"
"1638","SIGNAL - Equipment #: 6","INT - INKSTER & KEEWATIN","1144","572","VEHICLE","49.9457782977854","-97.1953132853253","POINT (-97.1953132853253 49.9457782977854)"
"967","CABINET - Equipment #: 8","INT - ARTHUR & MCDERMOT","1402","992","VEHICLE","49.897250317413","-97.1408289088099","POINT (-97.1408289088099 49.897250317413)"
"2454","SIGNAL - Equipment #: 6","INT - INKSTER & SINCLAIR","1964","493","VEHICLE","49.9351458338338","-97.14735204932","POINT (-97.14735204932 49.9351458338338)"
"377","SIGNAL - Equipment #: 8","INT - ACADEMY & WELLINGTON CRES","1078","726","VEHICLE","49.8769407481009","-97.1631531831048","POINT (-97.1631531831048 49.8769407481009)"
"934","SIGNAL - Equipment #: 2","INT - ALBERT & MCDERMOT","1786","993","VEHICLE","49.8971640157647","-97.1401449410671","POINT (-97.1401449410671 49.8971640157647)"
"1890","SIGNAL - Equipment #: 5","INT - BROADWAY & CARLTON","1273","1069","VEHICLE","49.8869263782793","-97.1426177408084","POINT (-97.1426177408084 49.8869263782793)"
"367","SIGNAL - Equipment #: 2","INT - MARYLAND & WESTMINSTER","1705","1087","VEHICLE","49.8817631679619","-97.1608642109532","POINT (-97.1608642109532 49.8817631679619)"
"799","SIGNAL - Equipment #: 6","INT - MCGREGOR & SELKIRK","1055","948","VEHICLE","49.9169248575038","-97.14915943812605","POINT (-97.14915943812605 49.9169248575038)"
"1999","SIGNAL - Equipment #: 5","INT - ACADEMY & LOCKWOOD","1272","654","VEHICLE","49.8745202553497","-97.2019409781167","POINT (-97.2019409781167 49.8745202553497)"
"1490","SIGNAL - Equipment #: 1","INT - PRINCESS & RUPERT","1325","965","VEHICLE","49.9015596619432","-97.1400367252698","POINT (-97.1400367252698 49.9015596619432)"
"1378","SIGNAL - Equipment #: 3","INT - GARDEN PARK & LEILA","1091","475","VEHICLE","49.9513170362567","-97.1414952069644","POINT (-97.1414952069644 49.9513170362567)"
"1563","SIGNAL - Equipment #: 3","INT - MAPLEGLEN & MCPHILLIPS","1156","489","VEHICLE","49.941413472123","-97.1578136887055","POINT (-97.1578136887055 49.941413472123)"
"1586","SIGNAL - Equipment #: 12","INT - MCPHILLIPS & TEMPLETON","1411","478","VEHICLE","49.9571755473593","-97.1442497911789","POINT (-97.1442497911789 49.9571755473593)"
"1597","SIGNAL - Equipment #: 1","INT - KINGSBURY & MCPHILLIPS","1365","484","VEHICLE","49.9505502091075","-97.1500991608598","POINT (-97.1500991608598 49.9505502091075)"
"333","SIGNAL - Equipment #: 6","INT - SHERBROOK & WESTMINSTER","1970","1086","VEHICLE","49.8818657052718","-97.1597187275792","POINT (-97.1597187275792 49.8818657052718)"
"2276","SIGNAL - Equipment #: 4","INT - DONALD & YORK","1388","1058","VEHICLE","49.8892761706958","-97.1409313711951","POINT (-97.1409313711951 49.8892761706958)"
"1133","SIGNAL - Equipment #: 10","INT - MOUNTAIN & SALTER","1188","1146","VEHICLE","49.9218406517765","-97.1350661711497","POINT (-97.1350661711497 49.9218406517765)"
"2492","SIGNAL - Equipment #: 1","INT - MEMORIAL & ST. MARY","1585","1050","VEHICLE","49.888673537664","-97.1494284468671","POINT (-97.1494284468671 49.888673537664)"
"1988","SIGNAL - Equipment #: 3","INT - ACADEMY & LANARK","1562","655","VEHICLE","49.8743869233722","-97.1970037025149","POINT (-97.1970037025149 49.8743869233722)"
"2429","SIGNAL - Equipment #: 5","INT - WATERFRONT & YORK","1856","286","VEHICLE","49.8909933031523","-97.1322818858826","POINT (-97.1322818858826 49.8909933031523)"
"1844","SIGNAL - Equipment #: 3","INT - BORDER & DUBLIN","1357","596","VEHICLE","49.9115023305872","-97.2019238960442","POINT (-97.2019238960442 49.9115023305872)"
"831","SIGNAL - Equipment #: 2","INT - ISABEL & WILLIAM","1550","973","VEHICLE","49.9021648478223","-97.1491189919636","POINT (-97.1491189919636 49.9021648478223)"
"829","SIGNAL - Equipment #: 1","INT - ISABEL & WILLIAM","1550","973","VEHICLE","49.9022578830589","-97.1491625961024","POINT (-97.1491625961024 49.9022578830589)"
"510","SIGNAL - Equipment #: 8","INT - ARLINGTON & SARGENT","1123","552","VEHICLE","49.8969590759776","-97.1686531556623","POINT (-97.1686531556623 49.8969590759776)"
"2359","SIGNAL - Equipment #: 11","INT - BERRY & WELLINGTON","1436","603","VEHICLE","49.9015283872697","-97.2090905735647","POINT (-97.2090905735647 49.9015283872697)"
"1138","SIGNAL - Equipment #: 2","INT - LEILA & PIPELINE","1825","477","VEHICLE","49.9575124999342","-97.1610327813566","POINT (-97.1610327813566 49.9575124999342)"
"2198","SIGNAL - Equipment #: 2","INT - FORT & YORK","1162","282","VEHICLE","49.8901472877519","-97.1372736840145","POINT (-97.1372736840145 49.8901472877519)"
"1908","SIGNAL - Equipment #: 3","INT - INKSTER & SHEPPARD","1111","487","VEHICLE","49.9441482540592","-97.1758754794755","POINT (-97.1758754794755 49.9441482540592)"
"540","SIGNAL - Equipment #: 7","INT - ELLICE & MARYLAND","1339","886","VEHICLE","49.89288225753","-97.1600724262901","POINT (-97.1600724262901 49.89288225753)"
"560","CABINET - Equipment #: 9","INT - ARLINGTON & WILLIAM","1526","902","VEHICLE","49.907506173426","-97.1657256772934","POINT (-97.1657256772934 49.907506173426)"
"343","SIGNAL - Equipment #: 5","INT - SHERBROOK & WOLSELEY","1552","1088","VEHICLE","49.8802015638385","-97.1594740877333","POINT (-97.1594740877333 49.8802015638385)"
"2463","SIGNAL - Equipment #: 8","INT - KING EDWARD & WELLINGTON","1435","604","VEHICLE","49.9013630346017","-97.2071777212621","POINT (-97.2071777212621 49.9013630346017)"
"2541","SIGNAL - Equipment #: 5","INT - ELLICE & KING EDWARD","1065","619","VEHICLE","49.8943647478328","-97.2075728599578","POINT (-97.2075728599578 49.8943647478328)"
"1014","SIGNAL - Equipment #: 5","INT - DUFFERIN & SALTER","1527","189","VEHICLE","49.9116559138528","-97.14332318653115","POINT (-97.14332318653115 49.9116559138528)"
"1502","SIGNAL - Equipment #: 3","INT - NOTRE DAME & PRINCESS (SMITH)","1267","997","VEHICLE","49.8965759094412","-97.14377583347665","POINT (-97.14377583347665 49.8965759094412)"
"1262","SIGNAL - Equipment #: 9","INT - BALMORAL & ELLICE","1650","125","VEHICLE","49.8931233204019","-97.1519575379552","POINT (-97.1519575379552 49.8931233204019)"
"671","SIGNAL - Equipment #: 6","INT - NOTRE DAME & WESTON","1404","525","VEHICLE","49.9094529842558","-97.1838781105872","POINT (-97.1838781105872 49.9094529842558)"
"1814","CABINET - Equipment #: 8","INT - CARLTON & CUMBERLAND","1885","1007","VEHICLE","49.8969811129874","-97.1479625259634","POINT (-97.1479625259634 49.8969811129874)"
"2549","SIGNAL - Equipment #: 8","INT - HARGRAVE & YORK","1754","1057","VEHICLE","49.8890021115168","-97.1423279865381","POINT (-97.1423279865381 49.8890021115168)"
"964","SIGNAL - Equipment #: 5","INT - ARTHUR & MCDERMOT","1402","992","VEHICLE","49.8972351352539","-97.1412130158482","POINT (-97.1412130158482 49.8972351352539)"
"1684","SIGNAL - Equipment #: 5","INT - JAMES & MAIN","1684","968","VEHICLE","49.900060212162","-97.1376778635582","POINT (-97.1376778635582 49.900060212162)"
"1302","SIGNAL - Equipment #: 8","INT - ELLICE & SPENCE","1720","1015","VEHICLE","49.8926656524013","-97.1540035169842","POINT (-97.1540035169842 49.8926656524013)"
