"signals_location_number","camera_description","camera_type","equipment_pole_number","inventory_item_id","latitude","longitude","location"
"1053","St Mary's & St Vital","PTZ","9","6629","49.84243404","-97.11268983","POINT (-97.11268983 49.84243404)"
"1910","Sifton & University","PTZ","2","5785","49.81032587","-97.14372681","POINT (-97.14372681 49.81032587)"
"1933","Headmaster & Lagimodiere","PTZ","2","2960","49.94349627","-97.03463629","POINT (-97.03463629 49.94349627)"
"1984","Kenaston & Waverley","PTZ","14","8196","49.77895294","-97.18805255","POINT (-97.18805255 49.77895294)"
"1294","Century & Ness","PTZ","16","8403","49.88326438","-97.20645314","POINT (-97.20645314 49.88326438)"
"1122","Arlington & Portage","PTZ","4","426","49.88549349","-97.16925895","POINT (-97.16925895 49.88549349)"
"1356","Archibald & Marion","PTZ","13","10781","49.88216682","-97.09906588","POINT (-97.09906588 49.88216682)"
"1969","Portage & E of Queen","PTZ","9","11065","49.8797787","-97.20517301","POINT (-97.20517301 49.8797787)"
"1493","Corydon & Shaftesbury","PTZ","9","5166","49.86700652","-97.22983457","POINT (-97.22983457 49.86700652)"
"1748","Henderson & Hespeler","PTZ","4","3970","49.91261883","-97.11588317","POINT (-97.11588317 49.91261883)"
"1599","Assiniboine & Main","PTZ","4","10644","49.88716191","-97.13364388","POINT (-97.13364388 49.88716191)"
"1783","Cheif Peguis Trail & Henderson","PTZ","2","1532","49.94783582","-97.08361382","POINT (-97.08361382 49.94783582)"
"1109","Main & Portage NORTH","PTZ","4","3301","49.89572409","-97.13852232","POINT (-97.13852232 49.89572409)"
"2055","Bohemier/Southpark & Pembina","PTZ","8","11768","49.81125435","-97.15230253","POINT (-97.15230253 49.81125435)"
"1741","Corydon & Stafford","PTZ","1","4297","49.86819531","-97.16161053","POINT (-97.16161053 49.86819531)"
"1308","Grant & Kenaston","PTZ","4","6329","49.85712363","-97.20681336","POINT (-97.20681336 49.85712363)"
"1386","Dakota & Warde","PTZ","2","6801","49.81186338","-97.09453744","POINT (-97.09453744 49.81186338)"
"1144","Inkster & Keewatin","PTZ","14","10721","49.94563329","-97.1955033","POINT (-97.1955033 49.94563329)"
"1789","Cheif Peguis Trail & Main","PTZ","3","2043","49.88717557","-97.14133662","POINT (-97.14133662 49.88717557)"
"1734","Archibald & Elizabeth","PTZ","2","4751","49.87082855","-97.09311373","POINT (-97.09311373 49.87082855)"
"1284","Ellice & St. James","PTZ","9","8381","49.89435339","-97.20091639","POINT (-97.20091639 49.89435339)"
"1754","Hargrave & York","PTZ","4","2338","49.88876026","-97.14241514","POINT (-97.14241514 49.88876026)"
"1449","Goulet & Tache","PTZ","2","3693","49.88237444","-97.12367356","POINT (-97.12367356 49.88237444)"
"1247","Waverley & Wilkes","PTZ","17","11925","49.84712003","-97.17969863","POINT (-97.17969863 49.84712003)"
"1412","Bishop & Waverley","PTZ","11","5487","49.8133266","-97.17617038","POINT (-97.17617038 49.8133266)"
"1118","Arlington & St. Matthews","PTZ","5","471","49.89012289","-97.1692235","POINT (-97.1692235 49.89012289)"
"1176","Bonita-Havelock & St Anne's","PTZ","9","6702","49.84927337","-97.09930151","POINT (-97.09930151 49.84927337)"
"1638","Maryland & Wellington","Fixed","2","8035","49.8998971","-97.15977506","POINT (-97.15977506 49.8998971)"
"1456","Fermor & St, Mary's","PTZ","6","6217","49.85239387","-97.1121239","POINT (-97.1121239 49.85239387)"
"1894","Grant & William Clement","PTZ","4","6204","49.85915483","-97.26761491","POINT (-97.26761491 49.85915483)"
"1109","Portage & Main","PTZ","10","3314","49.89519553","-97.13851826","POINT (-97.13851826 49.89519553)"
"1133","Inkster & Main","PTZ","11","2436","49.9275184","-97.12382728","POINT (-97.12382728 49.9275184)"
"1522","Ellice & Erin","PTZ","5","2887","49.89382855","-97.18429813","POINT (-97.18429813 49.89382855)"
"1509","Bison & Waverley","PTZ","9","7180","49.80262374","-97.1732134","POINT (-97.1732134 49.80262374)"
"1841","De Vos & Pembina","PTZ","9","11601","49.77901757","-97.15654331","POINT (-97.15654331 49.77901757)"
"1391","Keewatin & Notre Dame","PTZ","4","1726","49.91637263","-97.19521385","POINT (-97.19521385 49.91637263)"
"1237","Bishop Grandin & Lakewood","PTZ","1","6189","49.84086174","-97.07197858","POINT (-97.07197858 49.84086174)"
"1652","Kenaston & McGillivray","PTZ","18","10630","49.82121556","-97.20054585","POINT (-97.20054585 49.82121556)"
"1507","Jubilee & Osborne","PTZ","5","3793","49.85973779","-97.12989402","POINT (-97.12989402 49.85973779)"
"1323","Gateway & Munroe","PTZ","7","4419","49.91489812","-97.08904926","POINT (-97.08904926 49.91489812)"
"1896","William Stephenson & E of Israel Asper-Waterfront","PTZ","9","11021","49.89136741","-97.13065083","POINT (-97.13065083 49.89136741)"
"1956","Cheif Peguis Trail & Lagimodiere","PTZ","18","3149","49.92761031","-97.04823219","POINT (-97.04823219 49.92761031)"
"1913","Shorehill & St Anne's","PTZ","7","6405","49.82186208","-97.08245133","POINT (-97.08245133 49.82186208)"
"1243","Osborne & Roslyn","PTZ","1","5622","49.88011445","-97.14692754","POINT (-97.14692754 49.88011445)"
"1942","Century & Saskatchewan","PTZ","8","2305","49.90600883","-97.20209071","POINT (-97.20209071 49.90600883)"
"1503","Corydon & Hugo","Fixed","2","8126","49.87176828","-97.15064427","POINT (-97.15064427 49.87176828)"
"1686","Main & McDermot","PTZ","5","920","49.89714421","-97.13862282","POINT (-97.13862282 49.89714421)"
"1216","King Edward & Logan","PTZ","11","9921","49.92539523","-97.20649757","POINT (-97.20649757 49.92539523)"
"2045","Dugald & Mazenod","PTZ","9","11595","49.88574539","-97.04935383","POINT (-97.04935383 49.88574539)"
"1463","Henderson & Leighton","PTZ","8","3924","49.93292995","-97.09915455","POINT (-97.09915455 49.93292995)"
"1234","Chevrier & Pembina","PTZ","8","7454","49.83192287","-97.15119593","POINT (-97.15119593 49.83192287)"
"1309","Grant & Pembina","PTZ","13","11345","49.86491538","-97.14692704","POINT (-97.14692704 49.86491538)"
"1253","Erin & Portage","PTZ","2","3575","49.88347915","-97.18506537","POINT (-97.18506537 49.88347915)"
"1458","Fermor & St. Anne's","PTZ","12","11166","49.85498016","-97.104051","POINT (-97.104051 49.85498016)"
"1182","Arlington & Logan","PTZ","3","574","49.91127912","-97.16263911","POINT (-97.16263911 49.91127912)"
"1081","Dugald & Plessis","PTZ","8","8409","49.8861436","-97.02619653","POINT (-97.02619653 49.8861436)"
"1756","Main & Redwood","PTZ","3","2563","49.91745939","-97.13114337","POINT (-97.13114337 49.91745939)"
"1988","Bison & Kenaston","PTZ","10","8160","49.79522246","-97.19376476","POINT (-97.19376476 49.79522246)"
"1616","Donald & Graham","PTZ","4","2618","49.89202603","-97.1427859","POINT (-97.1427859 49.89202603)"
"1662","Taylor & Waverley (Fixed)","Fixed","9","7251","49.85150435","-97.17855964","POINT (-97.17855964 49.85150435)"
"1404","Leila & Mcphillips","PTZ","10","9621","49.90908355","-97.18361943","POINT (-97.18361943 49.90908355)"
"1064","Moray & Ness","PTZ","1","4253","49.88594136","-97.26176029","POINT (-97.26176029 49.88594136)"
"1790","Henderson & 120m S of Knowles","PTZ","1","7963","49.95907697","-97.06992182","POINT (-97.06992182 49.95907697)"
"1150","Bishop & St. Mary's","PTZ","13","6594","49.83101822","-97.1154366","POINT (-97.1154366 49.83101822)"
"1419","Portage & Rutland","PTZ","6","4396","49.87871672","-97.22144215","POINT (-97.22144215 49.87871672)"
"1232","Arthur & Notre Dame","PTZ","9","3909","49.89571854","-97.14156659","POINT (-97.14156659 49.89571854)"
"1330","Portage & Woodlawn","PTZ","8","4648","49.8773713","-97.23447455","POINT (-97.23447455 49.8773713)"
"1343","Corydon & Pembina","PTZ","17","10001","49.87460098","-97.14248867","POINT (-97.14248867 49.87460098)"
"1398","Grant & Harrow","PTZ","8","5321","49.86125968","-97.15870195","POINT (-97.15870195 49.86125968)"
"1462","Des Meurons & Marion","PTZ","4","5295","49.88183139","-97.11074647","POINT (-97.11074647 49.88183139)"
"1151","Bishop &St.Anne's","PTZ","11","6357","49.83881038","-97.09287666","POINT (-97.09287666 49.83881038)"
"1025","Grandmont & Pembina","PTZ","5","7199","49.77145416","-97.1565351","POINT (-97.1565351 49.77145416)"
"1911","Kenaston & Sterling Lyon","PTZ","17","6952","49.84203004","-97.20818215","POINT (-97.20818215 49.84203004)"
"1143","Machray & McPhillips","PTZ","4","1406","49.93496026","-97.16379616","POINT (-97.16379616 49.93496026)"
"1604","Pembina & Point Windemere","PTZ","5","7531","49.84824074","-97.15263997","POINT (-97.15263997 49.84824074)"
"2022","Carriere & St Mary's","PTZ","2","11378","49.87174748","-97.1136338","POINT (-97.1136338 49.87174748)"
"1036","Kenny & St Mary's","PTZ","3","6414","49.87592368","-97.11993403","POINT (-97.11993403 49.87592368)"
"1661","Harrow & Taylor","PTZ","2","7004","49.85743339","-97.15539157","POINT (-97.15539157 49.85743339)"
"1033","Berkely & Roblin","PTZ","7","6145","49.86138936","-97.30331556","POINT (-97.30331556 49.86138936)"
"1080","McMillan & Osborne","PTZ","1","5371","49.87507722","-97.14260361","POINT (-97.14260361 49.87507722)"
"1032","Academy & Oak","PTZ","8","1959","49.87358208","-97.18108755","POINT (-97.18108755 49.87358208)"
"1117","St. Anne's & St. Mary's","PTZ","7","6463","49.86398381","-97.11088866","POINT (-97.11088866 49.86398381)"
"1289","Leila & Main","PTZ","9","1083","49.94235707","-97.11312668","POINT (-97.11312668 49.94235707)"
"1380","Nairn & Panet","PTZ","4","4573","49.89875439","-97.07209084","POINT (-97.07209084 49.89875439)"
"1274","Broadway & Donald","PTZ","10","2059","49.88763429","-97.14039893","POINT (-97.14039893 49.88763429)"
"1121","Arlington & Ellice","PTZ","4","490","49.89314005","-97.16873587","POINT (-97.16873587 49.89314005)"
"1193","Enfield & St. Mary's","PTZ","2","4091","49.87713707","-97.12290038","POINT (-97.12290038 49.87713707)"
"1076","Kenaston & Scurfield","PTZ","17","3627","49.8160945","-97.19632182","POINT (-97.19632182 49.8160945)"
"1435","King Edward & Wellington","PTZ","12","10056","49.90132777","-97.20690749","POINT (-97.20690749 49.90132777)"
"1141","Grant & Waverly","PTZ","11","11085","49.85596052","-97.17860881","POINT (-97.17860881 49.85596052)"
"1139","Leila & Mcphillips","PTZ","11","9002","49.95336374","-97.14693356","POINT (-97.14693356 49.95336374)"
"1346","Marion & St. Mary's","PTZ","9","5459","49.88108581","-97.12789651","POINT (-97.12789651 49.88108581)"
"2037","Donald & Hargrave","PTZ","2","11491","49.88592203","-97.13940971","POINT (-97.13940971 49.88592203)"
"1210","Corydon & Kenaston","PTZ","2","5242","49.86398665","-97.20602485","POINT (-97.20602485 49.86398665)"
"1440","Jubilee & Pembina","PTZ","7","7509","49.8530217","-97.151469","POINT (-97.151469 49.8530217)"
"1195","Archibald & Fermor","PTZ","5","4969","49.85629773","-97.08802966","POINT (-97.08802966 49.85629773)"
"1492","Dunkirk & Fermor","PTZ","2","5993","49.85009733","-97.12067699","POINT (-97.12067699 49.85009733)"
"1336","Ellice & Wall","PTZ","1","2929","49.89376655","-97.18205707","POINT (-97.18205707 49.89376655)"
"1724","Grant & Shaftesbury","PTZ","13","6897","49.85804414","-97.23010497","POINT (-97.23010497 49.85804414)"
"1066","Broadway & Osborne","PTZ","3","405","49.88527933","-97.1498499","POINT (-97.1498499 49.88527933)"
"1225","Grant & 155m East of Kenaston","PTZ","6","6929","49.85715805","-97.20448925","POINT (-97.20448925 49.85715805)"
"1711","Portage & Sherbrook","PTZ","8","257","49.88849157","-97.15921722","POINT (-97.15921722 49.88849157)"
"1634","Ness & St. James","PTZ","4","3819","49.88349717","-97.20124255","POINT (-97.20124255 49.88349717)"
"1630","Ped Corridor Study - Fernwood & St. Anne's FIXED","Fixed","1","6735","49.85120671","-97.100987","POINT (-97.100987 49.85120671)"
"1421","Bannatyne & Hargrave","PTZ","3","1284","49.89935831","-97.14410466","POINT (-97.14410466 49.89935831)"
"1057","Bison Chancellor & Pembina","PTZ","12","5862","49.80112948","-97.15750539","POINT (-97.15750539 49.80112948)"
"1333","1800 Pembina Hwy Detection Study","Fixed","1","7561","49.8291155","-97.15208522","POINT (-97.15208522 49.8291155)"
"1215","Bishop & Dakota","Fixed","11","6225","49.83280938","-97.10917043","POINT (-97.10917043 49.83280938)"
"1282","Broadway & Sherbrook","PTZ","7","271","49.88585081","-97.15907356","POINT (-97.15907356 49.88585081)"
"1443","Pembina  & Stafford","PTZ","4","6104","49.85691404","-97.15206705","POINT (-97.15206705 49.85691404)"
"1621","Bishop & Pembina","PTZ","15","5939","49.82094852","-97.15304569","POINT (-97.15304569 49.82094852)"
"1404","Notre Dame & Weston","PTZ","10","9621","49.90908355","-97.18361943","POINT (-97.18361943 49.90908355)"
"2034","Cornish & Maryland","PTZ","1","11598","49.87891391","-97.16123854","POINT (-97.16123854 49.87891391)"
"1596","Moray & Portage","PTZ","14","9442","49.87489014","-97.26269774","POINT (-97.26269774 49.87489014)"
"1538","Notre Dame & Sherbrook","PTZ","4","109","49.90101585","-97.15814471","POINT (-97.15814471 49.90101585)"
