"the_geom","objectid","asset_id","bmp","emp","b_lat","b_lon","b_ele","e_lat","e_lon","e_ele","beg_frame","end_frame","comments","prefix","route","session_nm","island","lane_id","direction","surveyed","source","type","length","obstructed","damaged","condition","deliveryid","lrm_name","nhs","pfes_id","shape_length","weathered","height","vegetation"
"MULTILINESTRING ((-155.912462816058 19.490225986371, -155.912354355185 19.490132643592, -155.912272472695 19.490065461316))","14065","-LclhhcrHNTFZu6A9yJox-","109.51919","109.50275","19.49022948","-155.91247731","1517","19.49006895","-155.91228697","1520.19995117188","6282","6290",,"SR","11","Hawaii_SR_11_CTR_-_2019","Hawaii","CTR","-MP","22-MAR-2019","MS2019","Ground-Mounted Delineator","88","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","28.4324172913119","NO","47","NO"
"MULTILINESTRING ((-155.999769072838 19.647895800197, -155.999793814827 19.647887542483))","5728","-LazeW49FYLGtS8WwGIHEV","0.09291","0.0941","19.64789928","-155.99978356","127.5","19.64789103","-155.99980831","128","99","100",,"CR","1835","Hawaii_CR_1835_CTR_+_2019","Hawaii","CTR","+MP","07-MAR-2019","MS2019","Tubular Marker Yellow","9","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","2.9221055748685","NO","39","NO"
"MULTILINESTRING ((-155.813819948787 20.008291360951, -155.813809948258 20.008291361421))","11335","-LeDJLs5IYmgCJU1BxHnDV","67.7309","67.7309","20.00829482","-155.81383444","379.399993896484","20.00829482","-155.81383444","379.399993896484","15908","15908",,"SR","19","Hawaii_SR_19_CTR_-_2019","Hawaii","CTR","-MP","13-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","1.11325371404287","NO","36","NO"
"MULTILINESTRING ((-155.314796718595 19.415552168236, -155.314786719184 19.415552169017))","14522","-LcdTbqiFtudSCApUsL5DV","32.91959","32.91959","19.41555565","-155.31481123","3778.80004882813","19.41555565","-155.31481123","3778.80004882813","16460","16460",,"SR","11","Hawaii_SR_11_CTR_+_2019","Hawaii","CTR","+MP","19-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Hawaii_11_+MP_30.6","1.11312936255502","NO","42","NO"
"MULTILINESTRING ((-154.985921947156 19.553504081615, -154.985911947971 19.553504080873))","13309","-LdM9b1xIRqsfIzWO_wW4V","6.69917","6.69917","19.55350755","-154.98593646","488.700012207031","19.55350755","-154.98593646","488.700012207031","3398","3398",,"SR","130","Hawaii_SR_130_CTR_+_2019","Hawaii","CTR","+MP","23-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Hawaii_130_+MP_6.49","1.11310413080289","NO","46","NO"
"MULTILINESTRING ((-158.067983085435 21.324796620407, -158.067973085678 21.324796620086))","2266","-M1Tp0kjIKm8t7-P_IZpkk","0.00478","0.00478","21.32480005","-158.06799748","109","21.32480005","-158.06799748","109","746","746",,"SR","901","Oahu_SR_901_CTR_-_2019","Oahu","CTR","-MP","23-DEC-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","FAIR","MARCH_2020_1","CDS","YES","NA","1.11316789007701","NO","58","YES"
"MULTILINESTRING ((-159.641145757463 21.932699719294, -159.641086578897 21.932658826255, -159.641028308273 21.932618286507, -159.640967051686 21.932577581308))","10167","-LdlFWP2Hw51MkUzdFaG3k","20.37554","20.36131","21.93270312","-159.64116008","88.0999984741211","21.93258098","-159.64098137","90.5999984741211","6272","6279",,"SR","50","Kauai_SR_50_CTR_-_2019","Kauai","CTR","-MP","10-APR-2019","MS2019","Ground-Mounted Delineator","75","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","24.711104009395","NO","46","NO"
"MULTILINESTRING ((-156.33622865202 20.614078753478, -156.336218651915 20.614078753645))","4527","-LemfzVOFVe8evY-byHQrF","6.54713","6.54713","20.6140822","-156.33624311","1732.09997558594","20.6140822","-156.33624311","1732.09997558594","3324","3324",,"CR","3700","Maui_CR_3700_CTR_+_2019","Maui","CTR","+MP","27-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11320660653611","NO","31","NO"
"MULTILINESTRING ((-155.736429818486 19.071137439469, -155.73617292036 19.07104847437, -155.735733093866 19.07089557691, -155.735291244999 19.07074056668, -155.734850121151 19.070585714562, -155.734410057812 19.070431726925, -155.733968232518 19.070277064451, -155.733526502563 19.070123204217, -155.733088153587 19.069967428993, -155.733047392714 19.069915308617))","13581","-LdEhRv9HePaIzCVVQ3ssk","74.40068","74.16504","19.07114095","-155.73644433","1990.69995117188","19.06991881","-155.73306191","2002.19995117188","23816","23934",,"SR","11","Hawaii_SR_11_CTR_-_2019","Hawaii","CTR","-MP","22-MAR-2019","MS2019","Ground-Mounted Delineator","1253","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","404.333112862287","NO","38","NO"
"MULTILINESTRING ((-156.313553234696 20.748972365938, -156.313543234501 20.748972365759))","7588","-LccDgwkHeaYonnAu_u9y-","7.52811","7.52811","20.7489758","-156.3135677","3663.10009765625","20.7489758","-156.3135677","3663.10009765625","3812","3812",,"SR","377","Maui_SR_377_CTR_+_2019","Maui","CTR","+MP","20-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Maui_377_+MP_6","1.11321658661639","NO","30","NO"
"MULTILINESTRING ((-156.001033039282 19.692730657983, -156.001003183837 19.692762815271))","5586","-Lb4PRAlGuLE82C4DVhBV-","1.62048","1.62344","19.69273414","-156.00104753","579.700012207031","19.6927663","-156.00101767","580.400024414063","863","864",,"CR","192","Hawaii_CR_192_CTR_+_2019","Hawaii","CTR","+MP","12-MAR-2019","MS2019","Tubular Marker Yellow","16","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","5.04991231693404","NO","37","NO"
"MULTILINESTRING ((-154.942161670036 19.380661968171, -154.94215167053 19.380661968455))","6005","-LeyCsQmGyP0MrU_RdNAJ-","12.39772","12.39772","19.38066544","-154.94217619","115.900001525879","19.38066544","-154.94217619","115.900001525879","4512","4512",,"CR","137","Hawaii_CR_137_CTR_+_2019","Hawaii","CTR","+MP","29-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.1131399353404","NO","40","NO"
"MULTILINESTRING ((-157.771551241636 21.398497613838, -157.771541242416 21.398497613746))","759","-LdLMSXsIKLEWkc64yb86k","12.49346","12.49346","21.39850103","-157.77156565","118.599998474121","21.39850103","-157.77156565","118.599998474121","6285","6285",,"SR","H-3","Oahu_SR_H-3_CTR_+_2019","Oahu","CTR","+MP","14-FEB-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","Oahu_H-3_+MP_11.16","1.11310805758335","NO","29","NO"
"MULTILINESTRING ((-159.706864826186 21.99736619578, -159.706854825066 21.997366195518))","4873","-LeKPRL6Gaevv3LAuDMSmk","2.46198","2.46198","21.99736959","-159.70687914","630.099975585938","21.99736959","-159.70687914","630.099975585938","2606","2606",,"CR","552","Kauai_CR_552_CTR_-_2019","Kauai","CTR","-MP","10-APR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.1133195203523","NO","48","NO"
"MULTILINESTRING ((-158.057136650245 21.43232623674, -158.05712665092 21.432326236451))","3304","-M1Th0hKG_ynUOKjCRN7B-","3.73017","3.73017","21.43232966","-158.05715104","839","21.43232966","-158.05715104","839","2210","2210",,"SR","750","Oahu_SR_750_CTR_-_2019","Oahu","CTR","-MP","23-DEC-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","1.1131198039046","NO","30","NO"
"MULTILINESTRING ((-156.960473385345 20.793776168975, -156.960463384436 20.793776169295))","9368","-L_hs3f_HjuW7Vf6gUPi3k","2.7443","2.7443","20.79377961","-156.96048783","1184.90002441406","20.79377961","-156.96048783","1184.90002441406","5246","5246",,"SR","440","Lanai_SR_440_CTR_-_2019","Lanai","CTR","-MP","01-FEB-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.1132960959356","NO","40","NO"
"MULTILINESTRING ((-155.880817249361 19.41362326767, -155.880833190643 19.41360015596, -155.880830673028 19.413568024303))","14085","-Ld9lrL6FYmnh5A2ujx7C-","103.21012","103.20637","19.41362676","-155.88083175","997","19.41357152","-155.88084517","997.400024414063","9431","9433",,"SR","11","Hawaii_SR_11_CTR_-_2019","Hawaii","CTR","-MP","22-MAR-2019","MS2019","Ground-Mounted Delineator","22","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","7.05714559006156","NO","35","NO"
"MULTILINESTRING ((-155.099535585882 19.693798076821, -155.099525585431 19.693798076586))","11126","-LhD8cAdFAHc0IiP3bTdGV","2.8053","2.8053","19.69380154","-155.0995501","450.5","19.69380154","-155.0995501","450.5","1959","1959",,"SR","2000","Hawaii_SR_2000_CTR_-_2019","Hawaii","CTR","-MP","28-MAR-2019","MS2019","Tubular Marker Yellow","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.1132450926802","NO","31","NO"
"MULTILINESTRING ((-156.330502445537 20.829551447327, -156.330492445661 20.829551447648))","4547","-Lc4IDLQF451-Rf5-arOmV","1.87683","1.87683","20.82955488","-156.3305169","1782.69995117188","20.82955488","-156.3305169","1782.69995117188","62","62",,"CR","367","Maui_CR_367_CTR_-_2019","Maui","CTR","-MP","20-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11318108877798","NO","43","NO"
"MULTILINESTRING ((-155.948670368462 19.628896465184, -155.94866036886 19.628896465225))","5887","-LbQaeh1G1D0qadCHqfEwF","4.48707","4.48707","19.62889995","-155.94868486","1556.40002441406","19.62889995","-155.94868486","1556.40002441406","2294","2294",,"CR","180","Hawaii_CR_180_CTR_+_2019","Hawaii","CTR","+MP","05-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11315055937629","NO","42","NO"
"MULTILINESTRING ((-155.968321436937 19.61469086719, -155.968392903254 19.614695863556))","6036","-LavM7qQFsXxTEwQZiN_ZF","3.04099","3.03657","19.61469435","-155.96833593","388.899993896484","19.61469935","-155.9684074","386.200012207031","67","69",,"CR","1100","Hawaii_CR_1100_CTR_-_2019","Hawaii","CTR","-MP","11-MAR-2019","MS2019","Tubular Marker Yellow","25","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","7.97747543615156","NO","44","NO"
"MULTILINESTRING ((-155.971367716373 19.621532793506, -155.971357715153 19.621532793938))","13953","-LeTXHYqG5mT-O0ZiJz_Qk","119.65307","119.65307","19.62153628","-155.97138221","390.200012207031","19.62153628","-155.97138221","390.200012207031","1220","1220",,"SR","11","Hawaii_SR_11_CTR_-_2019","Hawaii","CTR","-MP","22-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11333076027465","NO","42","NO"
"MULTILINESTRING ((-157.84322551979 21.463446820202, -157.843215518841 21.463446820593))","2867","-M0z4zYQGp9CRjdXuNdlb-","35.75446","35.75446","21.46345023","-157.84323992","63.4000015258789","21.46345023","-157.84323992","63.4000015258789","3910","3910",,"SR","83","Oahu_SR_83_CTR_-_2019","Oahu","CTR","-MP","24-DEC-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","1.11330048092908","NO","48","NO"
"MULTILINESTRING ((-159.550250739598 21.90754966388, -159.550240740672 21.907549663888))","10029","-LeY7s_UICiFouiQLUagzF","1.54374","1.54374","21.90755307","-159.55026507","428.700012207031","21.90755307","-159.55026507","428.700012207031","1226","1226",,"SR","540","Kauai_SR_540_CTR_-_2019","Kauai","CTR","-MP","08-APR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11307535693087","NO","42","NO"
"MULTILINESTRING ((-157.875109281279 21.555986326279, -157.87509928164 21.555986326545))","2703","-LaMsRceI3LuslG2biOBr-","26.15725","26.15725","21.55598974","-157.87512368","65.9000015258789","21.55598974","-157.87512368","65.9000015258789","8700","8700",,"SR","83","Oahu_SR_83_CTR_-_2019","Oahu","CTR","-MP","24-DEC-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","1.11315471352249","NO","37","NO"
"MULTILINESTRING ((-158.063583164676 21.645200070703, -158.063573165236 21.645200070352))","2812","-M191zRgHEi2TPTyS6pPHV","6.1139","6.1139","21.64520348","-158.06359755","76.5999984741211","21.64520348","-158.06359755","76.5999984741211","18709","18709",,"SR","83","Oahu_SR_83_CTR_-_2019","Oahu","CTR","-MP","24-DEC-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","1.11313251485267","NO","14","NO"
"MULTILINESTRING ((-155.827724154333 20.23809755921, -155.827542070391 20.238107621548, -155.827400129226 20.238116026454, -155.827244088417 20.238125041641, -155.82712794032 20.238128751255, -155.82687742754 20.238143797699))","10506","-Lb_REXlIFyNKB0GLu6qxV","19.48088","19.53595","20.23810101","-155.82773864","613.700012207031","20.23814725","-155.82689191","600.599975585938","9789","9816",,"SR","270","Hawaii_SR_270_CTR_+_2019","Hawaii","CTR","+MP","03-MAR-2019","MS2019","Tubular Marker White","291","NO","NO","GOOD","MARCH_2020_1","CDS","YES","Hawaii_270_+MP_19.31","94.4212265200591","NO","39","NO"
"MULTILINESTRING ((-155.705179763594 19.060564050298, -155.705169763565 19.060564050241))","14344","-LdfjGQoFwmp89bJI-FDIk","72.22676","72.22676","19.06056756","-155.70519428","2058.30004882813","19.06056756","-155.70519428","2058.30004882813","36089","36089",,"SR","11","Hawaii_SR_11_CTR_+_2019","Hawaii","CTR","+MP","19-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Hawaii_11_+MP_60.84","1.11319819839841","NO","39","NO"
"MULTILINESTRING ((-156.897584931972 20.760780324012, -156.897574932589 20.760780323546))","9422","-L_hIiygGu5TLpZS8hr6aV","11.23882","11.23882","20.76078377","-156.89759938","886.200012207031","20.76078377","-156.89759938","886.200012207031","5648","5648",,"SR","440","Lanai_SR_440_CTR_+_2019","Lanai","CTR","+MP","01-FEB-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Lanai_440_+MP_9.64","1.11312616009251","NO","46","NO"
"MULTILINESTRING ((-156.977418656946 20.788512668083, -156.977408657276 20.788512667626))","9498","-L_gzjtbHH9b4FWeEtMPGF","1.29392","1.29392","20.78851611","-156.9774331","626.400024414063","20.78851611","-156.9774331","626.400024414063","694","694",,"SR","440","Lanai_SR_440_CTR_+_2019","Lanai","CTR","+MP","01-FEB-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Lanai_440_+MP_0","1.11315813421253","NO","49","NO"
"MULTILINESTRING ((-155.735363097515 19.854925431108, -155.7353530968 19.854925431007))","13121","-LdLkL13IqDPHY8rCVQpnV","12.6475","12.6475","19.8549289","-155.73537759","2593.39990234375","19.8549289","-155.73537759","2593.39990234375","6360","6360",,"SR","190","Hawaii_SR_190_CTR_+_2019","Hawaii","CTR","+MP","24-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Hawaii_190_+MP_12.28","1.11327448493741","NO","27","NO"
"MULTILINESTRING ((-156.03669395139 20.673483703282, -156.036683951241 20.673483703695))","4457","-LdfYDyDFaiOOV5GHM6W0F","30.16727","30.16727","20.67348714","-156.03670842","418.700012207031","20.67348714","-156.03670842","418.700012207031","15151","15151",,"CR","3700","Maui_CR_3700_CTR_+_2019","Maui","CTR","+MP","27-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11321155835248","NO","30","NO"
"MULTILINESTRING ((-157.921033507527 21.37057462936, -157.921242944086 21.370737143344, -157.921438677185 21.370909099962, -157.921622721166 21.371091216859, -157.921796211776 21.371286841264))","22","-LijdccOHD9jfekknrCWIk","0.0753","0.14434","21.37057805","-157.92104791","102.699996948242","21.37129026","-157.92181061","116.900001525879","90","124",,"RMP","H-3","Oahu_RMP_H-3_WB_1AW_CTR_+_2019","Oahu","WB","+MP","20-APR-2019","MS2019","Ground-Mounted Delineator","367","NO","NO","GOOD","MARCH_2020_1","CDS","YES","Oahu_H-3_+MP_0","120.525249967062","NO","49","NO"
"MULTILINESTRING ((-155.882125466986 19.418313997112, -155.882115467556 19.418313997712))","13164","-LbUi59VG5T9FK2QYIct0k","0.16316","0.16316","19.41831749","-155.88213997","985.5","19.41831749","-155.88213997","985.5","1880","1880",,"SR","160","Hawaii_SR_160_CTR_-_2019","Hawaii","CTR","-MP","11-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11313151793669","NO","36","NO"
"MULTILINESTRING ((-157.052037036431 21.169192920825, -157.052027036996 21.169192921229))","4145","-LaGwJzyH4qgSM0mGICXyV","0.6564","0.6564","21.16919634","-157.05205147","843.200012207031","21.16919634","-157.05205147","843.200012207031","375","375",,"CR","475","Molokai_CR_475_CTR_+_2019","Molokai","CTR","+MP","25-JAN-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","1.11313199728663","NO","43","NO"
"MULTILINESTRING ((-157.694480470056 21.275274660033, -157.694470469771 21.275274660212))","3410","-M00HvRuGaHGOFMlut3aFF","12.58027","12.58027","21.27527808","-157.69449488","255.199996948242","21.27527808","-157.69449488","255.199996948242","2981","2981",,"SR","72","Oahu_SR_72_CTR_-_2019","Oahu","CTR","-MP","23-DEC-2019","MS2019","Ground-Mounted Delineator","0","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","1.11322661882386","NO","28","NO"
"MULTILINESTRING ((-156.065396189254 20.799843586264, -156.065471341265 20.799861957077, -156.065562114628 20.799854061462, -156.06564553226 20.799865279914))","8108","-Lfbm1r1GsmFVZ5rqx6FSF","27.54602","27.52986","20.79984701","-156.06541066","745.700012207031","20.79986871","-156.06566","749","3637","3646",,"SR","360","Maui_SR_360_CTR_-_2019","Maui","CTR","-MP","21-MAR-2019","MS2019","Ground-Mounted Delineator","86","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","28.1772738039709","NO","37","NO"
"MULTILINESTRING ((-155.065838044216 19.695174052582, -155.065828043994 19.69517405225))","11198","-Lbj1NZDIO5XSKNGF8C2J-","0.56262","0.56262","19.69517752","-155.06585256","140.199996948242","19.69517752","-155.06585256","140.199996948242","333","333",,"SR","2000","Hawaii_SR_2000_CTR_+_2019","Hawaii","CTR","+MP","20-MAR-2019","MS2019","Tubular Marker Yellow","0","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Hawaii_2000_+MP_0.45","1.11321957106103","NO","41","NO"
"MULTILINESTRING ((-156.507031731134 20.815258133707, -156.507016743092 20.815490238713, -156.506999583217 20.815679592183, -156.507013318651 20.815866358506))","8900","-Les0lIlIu9SVwsJtbnRqF","4.96546","4.92363","20.81526157","-156.50704619","238.5","20.81586979","-156.50702777","242.199996948242","18448","18467",,"SR","30","Maui_SR_30_CTR_-_2019","Maui","CTR","-MP","22-MAR-2019","MS2019","Ground-Mounted Delineator","221","NO","NO","GOOD","MARCH_2020_1","CDS","YES","NA","72.6187401697935","NO","39","NO"
"MULTILINESTRING ((-156.347071232595 20.613408860136, -156.346875279858 20.613386611122, -156.346790760625 20.613381275248, -156.346715664722 20.613377072728, -156.34659217951 20.613371972456, -156.346438780696 20.613381234095, -156.346324353086 20.613404400844, -156.346212585994 20.613427878349, -156.346086886694 20.613457624334, -156.345976748697 20.613485756633, -156.345864744695 20.613515040239, -156.345743383646 20.613551148343, -156.345625978467 20.613580663888, -156.345516226679 20.613612619152, -156.345409545813 20.613637364257, -156.345298457067 20.613655607688, -156.345182973433 20.613670748946, -156.345063813328 20.6136841624, -156.344720492734 20.613692074145, -156.344455866774 20.613694142761, -156.344336499518 20.613691632202))","4391","-LdLwuCQFn5Y-EhFC9UEF-","5.83937","6.01964","20.6134123","-156.34708569","1788.09997558594","20.61369507","-156.34435096","1732.90002441406","2970","3060",,"CR","3700","Maui_CR_3700_CTR_+_2019","Maui","CTR","+MP","27-MAR-2019","MS2019","Ground-Mounted Delineator","952","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","309.136278615714","NO","44","NO"
"MULTILINESTRING ((-155.539709587931 20.107807125768, -155.540113097722 20.107955029875))","10918","-Ld6U6aeGcyjGU_FSkZfx-","6.57186","6.59999","20.10781058","-155.53972408","846","20.10795848","-155.54012759","839.599975585938","3337","3351",,"SR","240","Hawaii_SR_240_CTR_+_2019","Hawaii","CTR","+MP","26-MAR-2019","MS2019","Ground-Mounted Delineator","149","NO","NO","GOOD","MARCH_2020_1","CDS","NO","Hawaii_240_+MP_1.5","48.2191798310449","NO","37","NO"
"MULTILINESTRING ((-156.53234141524 20.96130500974, -156.532331416 20.961305009408))","8631","-LcCEa3JFPyKIYasIW4xtF","5.48381","5.48381","20.96130844","-156.53235587","861.299987792969","20.96130844","-156.53235587","861.299987792969","655","655",,"CR","340","Maui_CR_340_CTR_+_2019","Maui","CTR","+MP","22-MAR-2019","MS2019","Ground-Mounted Delineator","0","NO","YES","POOR","MARCH_2020_1","CDS","NO","Maui_340_+MP_4.28","1.1131102934067","NO","25","NO"
"MULTILINESTRING ((-155.520335428968 20.098528273893, -155.52029598047 20.09852706475, -155.520260789617 20.098522994283, -155.520225560053 20.098512425926, -155.52018172593 20.098488901915))","10838","-LchkD68H7Xhl7ky2FhIRk","5.14989","5.14013","20.09853173","-155.52034992","1014.90002441406","20.09849235","-155.52019622","1014.90002441406","2222","2226",,"SR","240","Hawaii_SR_240_CTR_-_2019","Hawaii","CTR","-MP","26-MAR-2019","MS2019","Ground-Mounted Delineator","56","NO","NO","GOOD","MARCH_2020_1","CDS","NO","NA","18.0778737451561","NO","35","NO"
