"remote","label","routes","transfers","color","express","closed","point_x","point_y","full_fare","senior_discount","_7_day_americans_w_disabilities_act_farecard_access_system_unl","_30_day_americans_w_disabilities_act_ada_farecard_access_system_reduced_metrocard_fare_unl","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","railroad_unlimited_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare","total"
"237","182nd St / 183rd St (B,D)","B,D","B,D","ORANGE","","","POINT (-73.900271 40.856816)","40.856816000000002","12715","527","29","125","3","6709","4315","13","0","345","16","15","21","24833"
"243","170th St (4)","4","4","GREEN","","","POINT (-73.917705 40.840203)","40.840203000000002","20721","812","97","216","0","15603","8619","24","2","708","24","31","61","46918"
"244","Burnside Ave (4)","4","4","GREEN","","","POINT (-73.907372 40.853798)","40.853797999999998","25958","891","116","333","1","17799","11476","45","6","750","31","36","67","57509"
"245","St Lawrence Ave (6)","6","6","GREEN","","","POINT (-73.86728 40.831598)","40.831598","10763","394","23","59","0","6054","3498","46","0","228","16","15","23","21119"
"253","174th St / 175th St (B,D)","B,D","B,D","ORANGE","","","POINT (-73.910174 40.845914)","40.845914","12223","478","40","129","0","6822","5373","17","4","340","14","52","44","25536"
"275","183rd St (4)","4","4","GREEN","","","POINT (-73.903962 40.858367)","40.858367000000001","16904","470","42","101","2","10555","5574","16","6","368","13","24","36","34111"
"292","Baychester Ave (5)","5","5","GREEN","","","POINT (-73.838591 40.878663)","40.878663000000003","9389","297","13","49","2","3525","3092","31","1","270","19","4","53","16745"
"306","238th St (1)","1","1","RED","","","POINT (-73.900641 40.885077)","40.885077000000003","9258","470","52","103","0","2764","5446","71","10","306","122","28","39","18669"
"307","138th St / Grand Concourse (4,5)","4,5","4,5","GREEN","","","POINT (-73.929918 40.813077)","40.813077","7311","196","50","68","0","3111","2957","20","6","197","28","15","5","13964"
"308","Mt Eden Ave (4)","4","4","GREEN","","","POINT (-73.914746 40.844292)","40.844292000000003","15051","589","58","226","1","8731","5567","22","7","462","10","32","35","30791"
"309","176th St (4)","4","4","GREEN","","","POINT (-73.911694 40.848646)","40.848646000000002","13914","452","66","190","2","9532","5471","8","4","427","13","6","26","30111"
"325","Whitlock Ave (6)","6","6","GREEN","","","POINT (-73.88609 40.827566)","40.827565999999997","3768","114","6","19","0","2541","1449","4","1","68","2","0","7","7979"
"326","Zerega Ave (6)","6","6","GREEN","","","POINT (-73.846694 40.836771)","40.836770999999999","7360","279","45","51","0","2858","3092","47","7","180","27","7","26","13979"
"329","Morris Park (5)","5","5","GREEN","","","POINT (-73.860359 40.854472)","40.854472000000001","5558","210","9","32","0","1140","2345","50","1","239","51","8","13","9656"
"361","Pelham Pky (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.867607 40.857235)","40.857235000000003","18957","1051","115","293","2","11855","10886","72","5","1023","72","59","41","44431"
"362","Allerton Ave (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.86732 40.865434)","40.865434","13848","585","77","250","1","7292","5290","51","0","347","28","20","39","27828"
"363","Burke Ave (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.867173 40.871435)","40.871434999999998","9772","494","30","125","0","4555","3308","43","0","336","28","1","14","18706"
"364","Gun Hill Rd (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.866518 40.877411)","40.877411000000002","13439","658","124","218","1","8941","5736","19","2","497","28","18","94","29775"
"365","219th St (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.8628 40.883579)","40.883578999999997","9163","329","48","79","0","4320","2922","34","0","266","12","9","24","17206"
"366","225th St (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.860425 40.88781)","40.887810000000002","11382","401","44","108","6","5532","3403","36","2","268","29","23","23","21257"
"367","233rd St (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.857349 40.893393)","40.893393000000003","12524","635","83","197","1","6783","4966","23","3","425","22","10","30","25702"
"386","174th St (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.887682 40.837349)","40.837349000000003","14876","613","96","249","6","10698","6160","19","5","591","29","30","34","33406"
"387","E Tremont Ave / West Farms Sq (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.880427 40.84009)","40.840089999999996","13689","451","91","228","0","10882","6315","19","3","579","37","22","45","32361"
"388","E 180th St (2,5)","2,5","2,5","RED-GREEN","express","","POINT (-73.874154 40.841372)","40.841372","12792","309","87","169","0","8630","6373","30","5","424","50","43","28","28940"
"389","Bronx Park East (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.868356 40.848991)","40.848990999999998","6620","235","35","55","1","3269","2991","31","0","232","17","1","9","13496"
"405","Jackson Ave (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.908253 40.816242)","40.816242000000003","13094","511","34","63","3","7671","4623","14","5","379","26","8","32","26463"
"406","Prospect Ave (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.901629 40.819678)","40.819678000000003","17165","723","84","295","4","10168","6547","22","5","437","31","35","49","35565"
"407","Intervale Ave (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.896893 40.822096)","40.822096000000002","7224","237","38","67","0","4543","2664","3","0","177","14","14","8","14989"
"408","Simpson St (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.892955 40.824131)","40.824131000000001","17576","686","107","241","3","14912","8339","20","4","609","16","15","34","42562"
"409","Freeman St (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.891832 40.83017)","40.830170000000003","11299","385","45","95","3","6423","4665","19","1","273","31","20","26","23285"
"427","Middletown Rd (6)","6","6","GREEN","","","POINT (-73.836766 40.843473)","40.843473000000003","5502","213","11","53","0","1125","1792","84","0","159","66","13","5","9023"
"428","Buhre Ave (6)","6","6","GREEN","","","POINT (-73.83226 40.847026)","40.847026","8936","415","30","58","0","2655","3819","57","2","284","83","23","23","16385"
"429","Pelham Bay Park (6)","6","6","GREEN","","","POINT (-73.827095 40.852928)","40.852927999999999","7759","418","78","261","1","5685","7205","81","1","741","50","17","56","22353"
"430","Pelham Pky (5)","5","5","GREEN","","","POINT (-73.856079 40.85817)","40.858170000000001","7164","339","42","56","1","2064","3012","50","0","334","58","4","13","13137"
"431","Dyre Ave / Eastchester (5)","5","5","GREEN","","","POINT (-73.830596 40.889097)","40.889097","10486","314","19","67","2","4362","3890","51","2","360","44","16","41","19654"
"443","170th St (B,D)","B,D","B,D","ORANGE","","","POINT (-73.913686 40.83884)","40.838839999999998","13486","602","77","193","0","10935","6265","9","3","454","12","24","48","32108"
"444","Nereid Ave / 238th St (2,5)","2,5","2,5","RED-GREEN","","","POINT (-73.854323 40.898462)","40.898462000000002","7956","343","40","93","0","3949","3034","25","0","232","14","4","21","15711"
"445","3rd Ave / 138th St (6)","6","6","GREEN","express","","POINT (-73.927194 40.810995)","40.810994999999998","16876","671","92","196","0","11778","7777","36","13","627","46","31","34","38177"
"446","Brook Ave (6)","6","6","GREEN","","","POINT (-73.919237 40.807568)","40.807568000000003","15701","693","89","149","4","9897","5377","16","5","426","16","38","35","32446"
"447","Cypress Ave (6)","6","6","GREEN","","","POINT (-73.914465 40.805548)","40.805548000000002","9514","286","51","65","2","5838","3109","9","4","212","17","22","27","19156"
"448","E 143rd St / St Mary's St (6)","6","6","GREEN","","","POINT (-73.907838 40.808193)","40.808193000000003","2134","86","9","31","0","1201","942","11","0","20","6","8","3","4451"
"449","E 149th St (6)","6","6","GREEN","","","POINT (-73.904147 40.812115)","40.812114999999999","9984","458","44","97","0","7186","4288","13","0","316","4","5","21","22416"
"450","Longwood Ave (6)","6","6","GREEN","","","POINT (-73.89621 40.816321)","40.816321000000002","8288","325","27","78","1","5029","3030","12","7","210","19","40","19","17085"
