"date_range","remote","label","routes","transfers","color","express","full_fare","senior_discount","_7d_ada","_30d_ada","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","railroad_unlimited_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare","total","location"
,"R448","E 143rd St / St Mary's St (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.907838 40.808193)"
,"R155","Kingsbridge Rd (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.894293 40.866175)"
,"R253","174th St / 175th St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.910174 40.845914)"
,"R120","Sound View Ave / Morrison Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.874475 40.829527)"
,"R363","Burke Ave (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.867173 40.871435)"
,"R329","Morris Park (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.860359 40.854472)"
,"R226","Gun Hill Rd (5)","5","5","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.845803 40.870182)"
,"R408","Simpson St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.892955 40.824131)"
,"R205","149th St / Grand Concourse (2,5)","2,5","2,4,5","RED-GREEN","true","0",,,,,,,,,,,,,,"POINT (-73.927271 40.818553)"
,"R112","Fordham Rd (B,D)","B,D","B,D","ORANGE","true","0",,,,,,,,,,,,,,"POINT (-73.897102 40.862416)"
,"R428","Buhre Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.83226 40.847026)"
,"R308","Mt Eden Ave (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.914746 40.844292)"
,"R245","St Lawrence Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.86728 40.831598)"
,"R389","Bronx Park East (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.868356 40.848991)"
,"R161","Kingsbridge Rd (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.897401 40.867497)"
,"R053","3rd Ave / 149th St (2,5)","2,5","2,5","RED-GREEN","true","0",,,,,,,,,,,,,,"POINT (-73.917642 40.816061)"
,"R367","233rd St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.857349 40.893393)"
,"R154","Tremont Ave (B,D)","B,D","B,D","ORANGE","true","0",,,,,,,,,,,,,,"POINT (-73.90593 40.84949)"
,"R449","E 149th St (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"POINT (-73.904147 40.812115)"
,"R443","170th St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"POINT (-73.913686 40.83884)"
