"remote","name","long_name","label","routes","transfers","color","express","closed","point_x","point_y","full_fare","senoir_discount","day_afas_unlimited_1","day_afas_unlimited_2","transitcheck_metrocard","railroad_unlimited","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare","m","n","o"
"409","Freeman St","Freeman St (2,5) Bronx","Freeman St (2,5)","25","25","RED-GREEN",,,"POINT (-73.891832 40.83017)","40.830170000000003","12512","483","70","115","6","7315","4693","19","2","292","5","24","27"
"226","Gun Hill Rd","Gun Hill Rd (5) Bronx","Gun Hill Rd (5)","5","5","GREEN",,,"POINT (-73.845803 40.870182)","40.870182","14613","558","66","142","0","7331","5216","91","0","621","36","18","45"
"364","Gun Hill Rd","Gun Hill Rd (2,5) Bronx","Gun Hill Rd (2,5)","25","25","RED-GREEN",,,"POINT (-73.866518 40.877411)","40.877411000000002","14435","722","110","201","2","10605","5657","25","2","575","17","31","75"
"146","Hunts Point Ave","Hunts Point Ave (6) Bronx","Hunts Point Ave (6)","6","6","GREEN",,,"POINT (-73.891642 40.820614)","40.820613999999999","20493","777","118","302","0","16334","9893","33","4","778","35","40","45"
"407","Intervale Ave","Intervale Ave (2,5) Bronx","Intervale Ave (2,5)","25","25","RED-GREEN",,,"POINT (-73.896893 40.822096)","40.822096000000002","7810","277","50","84","5","5247","2763","18","1","173","8","15","19"
"405","Jackson Ave","Jackson Ave (2,5) Bronx","Jackson Ave (2,5)","25","25","RED-GREEN",,,"POINT (-73.908253 40.816242)","40.816242000000003","14318","527","57","68","5","8743","4575","20","5","472","16","11","33"
"155","Kingsbridge Rd","Kingsbridge Rd (B,D) Bronx","Kingsbridge Rd (B,D)",,,"ORANGE",,,"POINT (-73.894293 40.866175)","40.866174999999998","18463","688","90","155","3","11063","7729","30","2","598","34","31","19"
"161","Kingsbridge Rd","Kingsbridge Rd (4) Bronx","Kingsbridge Rd (4)","4","4","GREEN",,,"POINT (-73.897401 40.867497)","40.867497","24375","953","129","263","7","15467","10730","38","5","820","32","33","55"
"450","Longwood Ave","Longwood Ave (6) Bronx","Longwood Ave (6)","6","6","GREEN",,,"POINT (-73.89621 40.816321)","40.816321000000002","8851","364","41","124","0","5766","3270","8","10","224","17","34","20"
"427","Middletown Rd","Middletown Rd (6) Bronx","Middletown Rd (6)","6","6","GREEN",,,"POINT (-73.836766 40.843473)","40.843473000000003","6293","216","21","58","0","1320","1778","99","0","130","67","17","33"
"329","Morris Park","Morris Park (5) Bronx","Morris Park (5)","5","5","GREEN",,,"POINT (-73.860359 40.854472)","40.854472000000001","7012","250","8","36","0","1347","2536","53","1","232","57","5","13"
"120","Sound View Ave","Sound View Ave / Morrison Ave (6) Bronx","Sound View Ave / Morrison Ave (6)","6","6","GREEN",,,"POINT (-73.874475 40.829527)","40.829526999999999","15638","606","66","146","0","11524","5797","34","5","379","10","19","37"
"133","Mosholu Pky","Mosholu Pky (4) Bronx","Mosholu Pky (4)","4","4","GREEN",,,"POINT (-73.884635 40.87974)","40.879739999999998","23086","1152","123","264","7","11899","10037","33","7","1018","95","79","107"
"308","Mt Eden Ave","Mt Eden Ave (4) Bronx","Mt Eden Ave (4)","4","4","GREEN",,,"POINT (-73.914746 40.844292)","40.844292000000003","16212","660","71","231","0","9822","5677","18","4","479","18","26","26"
"444","Nereid Ave","Nereid Ave / 238th St (2,5) Bronx","Nereid Ave / 238th St (2,5)","25","25","RED-GREEN",,,"POINT (-73.854323 40.898462)","40.898462000000002","8524","391","65","69","5","4531","2869","24","2","262","11","5","35"
"429","Pelham Bay Park","Pelham Bay Park (6) Bronx","Pelham Bay Park (6)","6","6","GREEN",,,"POINT (-73.827095 40.852928)","40.852927999999999","8608","439","100","276","2","6576","7296","56","6","758","72","9","60"
"430","Pelham Pky","Pelham Pky (5) Bronx","Pelham Pky (5)","5","5","GREEN",,,"POINT (-73.856079 40.85817)","40.858170000000001","8370","390","35","69","3","2616","3048","53","2","417","70","14","22"
"361","Pelham Pky","Pelham Pky (2,5) Bronx","Pelham Pky (2,5)","25","25","RED-GREEN",,,"POINT (-73.867607 40.857235)","40.857235000000003","20075","1100","126","280","2","12999","10597","84","2","1045","46","56","54"
"406","Prospect Ave","Prospect Ave (2,5) Bronx","Prospect Ave (2,5)","25","25","RED-GREEN",,,"POINT (-73.901629 40.819678)","40.819678000000003","18001","716","125","275","3","11886","6538","33","10","458","31","35","40"
"408","Simpson St","Simpson St (2,5) Bronx","Simpson St (2,5)","25","25","RED-GREEN",,,"POINT (-73.892955 40.824131)","40.824131000000001","19071","741","137","212","3","17171","8268","19","1","663","26","21","44"
"245","St Lawrence Ave","St Lawrence Ave (6) Bronx","St Lawrence Ave (6)","6","6","GREEN",,,"POINT (-73.86728 40.831598)","40.831598","11611","402","40","56","0","6731","3432","41","0","224","23","5","26"
"154","Tremont Ave","Tremont Ave (B,D) Bronx","Tremont Ave (B,D)",,,"ORANGE",,,"POINT (-73.90593 40.84949)","40.849490000000003","16944","619","135","224","2","13918","8155","30","9","679","33","28","53"
"107","Westchester Sq","Westchester Sq / E Tremont Ave (6) Bronx","Westchester Sq / E Tremont Ave (6)","6","6","GREEN",,,"POINT (-73.842011 40.84061)","40.840609999999998","11730","597","84","201","6","7674","6699","25","10","458","73","35","72"
"325","Whitlock Ave","Whitlock Ave (6) Bronx","Whitlock Ave (6)","6","6","GREEN",,,"POINT (-73.88609 40.827566)","40.827565999999997","4006","114","10","31","0","3037","1387","3","1","65","1","0","19"
"52","Woodlawn","Woodlawn (4) Bronx","Woodlawn (4)","4","4","GREEN",,,"POINT (-73.87877 40.886019)","40.886018999999997","12760","785","155","268","10","8982","6589","43","11","605","48","9","34"
"326","Zerega Ave","Zerega Ave (6) Bronx","Zerega Ave (6)","6","6","GREEN",,,"POINT (-73.846694 40.836771)","40.836770999999999","8193","407","49","67","0","3475","2991","65","7","186","32","4","23"
"39","225th St","225th St / Marble Hill (1) Manhattan","225th St / Marble Hill (1)","1","1","RED",,,"POINT (-73.909724 40.874631)","40.874631000000001","14837","818","68","150","31","8111","7717","35","48","582","103","38","43"
