Date Range,Remote,Station Name,Routes,Transfers,Color,EXPRESS,Full Fare,Senior Discount, 7-Day Americans w/Disabilities Act Farecard Access System UNL,30-Day Americans w/Disabilities Act (ADA) Farecard Access System/Reduced Metrocard Fare UNL,JOINT Railroad TKT,7-Day UNL,30-Day UNL,Transitcheck Metrocard,Railroad Unlimited NO TRADE,Transitcheck Metrocard ANNUAL MC,Mail&Ride EZPAY EXP,Mail&Ride EZPAY UNL,AIRTRAIN Full Fare,TOTAL,Location,Bronx Congressional Districts,Bronx School Districts 2010-11,2010 Bronx Census Tracts,Zip Codes
,R107,Westchester Sq / E Tremont Ave (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.84061, -73.842011)",7,6,384,11270
,R326,Zerega Ave (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.836771, -73.846694)",7,6,384,11271
,R447,Cypress Ave (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.805548, -73.914465)",16,1,21,10932
,R052,Woodlawn (4),4,4,GREEN,false,0,,,,,,,,,,,,,,"(40.886019, -73.87877)",17,2,75,11605
,R307,"138th St / Grand Concourse (4,5)","4,5","4,5",GREEN,false,0,,,,,,,,,,,,,,"(40.813077, -73.929918)",16,1,25,10929
,R386,"174th St (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.837349, -73.887682)",16,3,152,11269
,R444,"Nereid Ave / 238th St (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.898462, -73.854323)",17,6,364,11275
,R157,205th St / Norwood (D),D,D,ORANGE,false,0,,,,,,,,,,,,,,"(40.874979, -73.879427)",17,2,72,11605
,R388,"E 180th St (2,5)","2,5","2,5",RED-GREEN,true,0,,,,,,,,,,,,,,"(40.841372, -73.874154)",7,2,98,11269
,R448,E 143rd St / St Mary's St (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.808193, -73.907838)",16,1,2,10932
,R155,"Kingsbridge Rd (B,D)","B,D","B,D",ORANGE,false,0,,,,,,,,,,,,,,"(40.866175, -73.894293)",16,2,81,10936
,R253,"174th St / 175th St (B,D)","B,D","B,D",ORANGE,false,0,,,,,,,,,,,,,,"(40.845914, -73.910174)",16,4,196,10931
,R120,Sound View Ave / Morrison Ave (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.829527, -73.874475)",7,3,126,11610
,R363,"Burke Ave (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.871435, -73.867173)",17,6,311,11605
,R329,Morris Park (5),5,5,GREEN,false,0,,,,,,,,,,,,,,"(40.854472, -73.860359)",7,6,359,11271
,R226,Gun Hill Rd (5),5,5,GREEN,false,0,,,,,,,,,,,,,,"(40.870182, -73.845803)",7,6,314,11607
,R408,"Simpson St (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.824131, -73.892955)",16,3,133,10937
,R205,"149th St / Grand Concourse (2,5)","2,5","2,4,5",RED-GREEN,true,0,,,,,,,,,,,,,,"(40.818553, -73.927271)",16,1,10,10929
,R112,"Fordham Rd (B,D)","B,D","B,D",ORANGE,true,0,,,,,,,,,,,,,,"(40.862416, -73.897102)",16,2,35,10936
,R428,Buhre Ave (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.847026, -73.83226)",7,5,255,11270
,R308,Mt Eden Ave (4),4,4,GREEN,false,0,,,,,,,,,,,,,,"(40.844292, -73.914746)",16,4,207,10930
,R245,St Lawrence Ave (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.831598, -73.86728)",7,3,130,11610
,R389,"Bronx Park East (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.848991, -73.868356)",7,6,372,11271
,R161,Kingsbridge Rd (4),4,4,GREEN,false,0,,,,,,,,,,,,,,"(40.867497, -73.897401)",16,2,96,11606
,R053,"3rd Ave / 149th St (2,5)","2,5","2,5",RED-GREEN,true,0,,,,,,,,,,,,,,"(40.816061, -73.917642)",16,1,8,10933
,R367,"233rd St (2,5)","2,5","2,5",RED-GREEN,false,0,,,,,,,,,,,,,,"(40.893393, -73.857349)",17,6,331,11275
,R154,"Tremont Ave (B,D)","B,D","B,D",ORANGE,true,0,,,,,,,,,,,,,,"(40.84949, -73.90593)",16,4,199,10935
,R449,E 149th St (6),6,6,GREEN,false,0,,,,,,,,,,,,,,"(40.812115, -73.904147)",16,5,234,10933
,R443,"170th St (B,D)","B,D","B,D",ORANGE,false,0,,,,,,,,,,,,,,"(40.83884, -73.913686)",16,4,188,10934
