"date_range","remote","label","routes","transfers","color","express","full_fare","senior_discount","_7_day_americans_w_disabilities_act_farecard_access_system_unl","_30_day_americans_w_disabilities_act_ada_farecard_access_system_reduced_metrocard_fare_unl","joint_railroad_tkt","_7_day_unl","_30_day_unl","transitcheck_metrocard","railroad_unlimited_no_trade","transitcheck_metrocard_annual_mc","mail_ride_ezpay_exp","mail_ride_ezpay_unl","airtrain_full_fare","total","point_x"
,"R428","Buhre Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.847026, -73.83226)"
,"R308","Mt Eden Ave (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.844292, -73.914746)"
,"R245","St Lawrence Ave (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.831598, -73.86728)"
,"R389","Bronx Park East (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.848991, -73.868356)"
,"R161","Kingsbridge Rd (4)","4","4","GREEN","false","0",,,,,,,,,,,,,,"(40.867497, -73.897401)"
,"R053","3rd Ave / 149th St (2,5)","2,5","2,5","RED-GREEN","true","0",,,,,,,,,,,,,,"(40.816061, -73.917642)"
,"R367","233rd St (2,5)","2,5","2,5","RED-GREEN","false","0",,,,,,,,,,,,,,"(40.893393, -73.857349)"
,"R154","Tremont Ave (B,D)","B,D","B,D","ORANGE","true","0",,,,,,,,,,,,,,"(40.84949, -73.90593)"
,"R449","E 149th St (6)","6","6","GREEN","false","0",,,,,,,,,,,,,,"(40.812115, -73.904147)"
,"R443","170th St (B,D)","B,D","B,D","ORANGE","false","0",,,,,,,,,,,,,,"(40.83884, -73.913686)"
