"remote","routes","transfers","color","express","closed","point_x","point_y","full_fare","senoir_discount","_7_day_afas_unlimited","_30_d_afas_rmf_unlimited","joint_railroad_ticket","_7_day_unlimited","_30_day_unlimited","transitcheck_metrocard","railroad_unlimited_no_trade","annual_transitcheck_metrocard","mail_ride_ezpay_express","mail_ride_ezpay_unlimited","airtrain_full_fare"
"366","25","25","RED-GREEN",,,"POINT (-73.860425 40.88781)","40.88781","12240","448","49","121","4","5628","3359","47","0","294","17","16","18"
"40","1","1","RED",,,"POINT (-73.904784 40.87891)","40.87891","16299","1205","117","347","2","8661","11096","51","9","799","132","74","44"
"367","25","25","RED-GREEN",,,"POINT (-73.857349 40.893393)","40.893393","13209","643","66","212","0","6941","4590","33","5","415","27","17","25"
"306","1","1","RED",,,"POINT (-73.900641 40.885077)","40.885077","7098","333","23","65","3","1989","4338","49","8","313","82","24","34"
"145","2","2","RED",,,"POINT (-73.850375 40.903428)","40.903428","13695","463","58","114","4","6562","3548","22","1","334","17","24","78"
"117","1","1","RED",,,"POINT (-73.898506 40.889424)","40.889424","13010","624","60","204","5","6567","8202","87","11","642","126","30","50"
"445","6","6","GREEN","express",,"POINT (-73.927194 40.810995)","40.810995","17691","723","106","170","2","12585","8028","42","13","706","26","33","38"
"53","25","25","RED-GREEN","express",,"POINT (-73.917642 40.816061)","40.816061","45642","1911","339","784","14","35759","23282","114","15","2569","89","65","157"
"362","25","25","RED-GREEN",,,"POINT (-73.86732 40.865434)","40.865434","13997","635","73","225","4","7192","5074","41","0","369","24","18","49"
"292","5","5","GREEN",,,"POINT (-73.838591 40.878663)","40.878663","10397","310","16","54","0","3665","3122","35","3","323","20","6","41"
"156",,,"ORANGE",,,"POINT (-73.887873 40.872109)","40.872109","13355","676","59","226","3","6756","7656","46","0","563","51","38","34"
"183","4","4","GREEN",,,"POINT (-73.889781 40.873596)","40.873596","11627","463","65","160","1","6557","5809","21","4","414","52","22","23"
"389","25","25","RED-GREEN",,,"POINT (-73.868356 40.848991)","40.848991","6825","212","55","65","0","3269","2797","32","1","233","19","10","10"
"446","6","6","GREEN",,,"POINT (-73.919237 40.807568)","40.807568","16427","697","80","128","4","10136","5441","23","7","481","26","40","36"
"428","6","6","GREEN",,,"POINT (-73.83226 40.847026)","40.847026","9567","504","27","49","0","2763","3739","77","0","338","82","17","23"
"363","25","25","RED-GREEN",,,"POINT (-73.867173 40.871435)","40.871435","9914","530","27","114","6","4736","3237","47","0","366","22","9","23"
"244","4","4","GREEN",,,"POINT (-73.907372 40.853798)","40.853798","25603","883","138","354","1","17560","10092","48","6","715","30","38","41"
"106","6","6","GREEN",,,"POINT (-73.851642 40.834191)","40.834191","17041","698","127","169","1","9287","8226","53","7","776","51","25","46"
"447","6","6","GREEN",,,"POINT (-73.914465 40.805548)","40.805548","9936","319","65","65","0","6352","3084","10","5","235","23","17","9"
"431","5","5","GREEN",,,"POINT (-73.830596 40.889097)","40.889097","11531","335","38","57","6","4944","4011","44","11","411","40","14","68"
"448","6","6","GREEN",,,"POINT (-73.907838 40.808193)","40.808193","2421","108","6","34","5","1355","959","9","2","17","10","10","2"
"449","6","6","GREEN",,,"POINT (-73.904147 40.812115)","40.812115","10346","472","59","102","0","7608","4284","25","1","408","6","4","17"
"222","6","6","GREEN","express",,"POINT (-73.862713 40.832927)","40.832927","32874","1698","224","508","1","17571","20974","172","5","1763","112","76","90"
"388","25","25","RED-GREEN","express",,"POINT (-73.874154 40.841372)","40.841372","13933","405","76","161","1","9124","6499","38","5","481","61","39","34"
"387","25","25","RED-GREEN",,,"POINT (-73.880427 40.84009)","40.84009","14838","503","106","245","4","11254","6509","23","5","650","37","31","57"
"16","6","6","GREEN",,,"POINT (-73.87916 40.828583)","40.828583","21888","1032","33","196","106","4759","14463","306","171","942","425","167","161"
"112",,,"ORANGE","express",,"POINT (-73.897102 40.862416)","40.862416","26700","971","144","345","9","16915","11466","43","46","796","51","66","63"
"119","4","4","GREEN",,,"POINT (-73.901091 40.862733)","40.862733","30014","1050","151","326","6","20440","11956","61","12","916","45","50","57"
"409","25","25","RED-GREEN",,,"POINT (-73.891832 40.83017)","40.83017","11713","430","60","112","3","6538","4505","13","0","255","4","23","27"
"226","5","5","GREEN",,,"POINT (-73.845803 40.870182)","40.870182","14240","535","95","119","0","6812","5231","91","0","657","26","33","44"
"364","25","25","RED-GREEN",,,"POINT (-73.866518 40.877411)","40.877411","13996","640","124","239","1","9681","5752","38","1","586","25","27","83"
"146","6","6","GREEN","express",,"POINT (-73.891642 40.820614)","40.820614","19590","755","144","310","1","15042","10195","34","1","861","38","36","45"
"407","25","25","RED-GREEN",,,"POINT (-73.896893 40.822096)","40.822096","7634","264","35","97","5","4964","2873","8","0","184","7","15","35"
"405","25","25","RED-GREEN",,,"POINT (-73.908253 40.816242)","40.816242","13925","507","58","70","5","8122","4852","34","5","456","18","13","28"
"155",,,"ORANGE",,,"POINT (-73.894293 40.866175)","40.866175","16974","627","95","168","5","9789","7032","29","3","565","34","31","28"
"161","4","4","GREEN",,,"POINT (-73.897401 40.867497)","40.867497","23042","936","114","307","9","14721","10438","48","2","832","35","31","47"
"450","6","6","GREEN",,,"POINT (-73.89621 40.816321)","40.816321","8587","348","50","105","0","5579","3157","13","13","236","19","45","15"
"427","6","6","GREEN",,,"POINT (-73.836766 40.843473)","40.843473","5812","219","13","58","0","1198","1830","81","0","163","55","8","19"
"329","5","5","GREEN",,,"POINT (-73.860359 40.854472)","40.854472","6385","218","8","39","0","1246","2560","58","1","256","44","12","7"
"120","6","6","GREEN",,,"POINT (-73.874475 40.829527)","40.829527","14981","573","64","154","1","10538","5477","35","6","385","9","17","39"
"133","4","4","GREEN",,,"POINT (-73.884635 40.87974)","40.87974","22870","1146","117","309","8","11303","10351","32","8","1134","91","76","124"
"308","4","4","GREEN",,,"POINT (-73.914746 40.844292)","40.844292","16191","662","64","231","2","9365","5763","25","11","491","12","7","34"
"444","25","25","RED-GREEN",,,"POINT (-73.854323 40.898462)","40.898462","8613","388","52","82","5","4010","2886","27","0","268","7","7","26"
"429","6","6","GREEN",,,"POINT (-73.827095 40.852928)","40.852928","8052","477","106","247","0","6127","7616","80","3","815","58","17","62"
"430","5","5","GREEN",,,"POINT (-73.856079 40.85817)","40.85817","8123","351","28","52","1","2513","3090","56","2","441","64","8","17"
"361","25","25","RED-GREEN",,,"POINT (-73.867607 40.857235)","40.857235","19699","1093","121","303","1","11997","10289","58","3","1079","59","54","38"
"406","25","25","RED-GREEN",,,"POINT (-73.901629 40.819678)","40.819678","17780","723","100","265","4","10628","6544","30","6","480","26","36","51"
"408","25","25","RED-GREEN",,,"POINT (-73.892955 40.824131)","40.824131","18333","663","132","253","3","15460","8106","14","2","639","18","29","56"
"245","6","6","GREEN",,,"POINT (-73.86728 40.831598)","40.831598","11189","425","28","60","0","6251","3465","43","0","252","13","7","21"
"154",,,"ORANGE","express",,"POINT (-73.90593 40.84949)","40.84949","17405","610","86","248","1","13708","8722","44","14","738","18","40","63"
"107","6","6","GREEN",,,"POINT (-73.842011 40.84061)","40.84061","11345","613","95","183","3","6880","6788","21","10","444","71","32","92"
"325","6","6","GREEN",,,"POINT (-73.88609 40.827566)","40.827566","3987","119","7","34","0","2676","1409","3","1","90","0","0","13"
"52","4","4","GREEN",,,"POINT (-73.87877 40.886019)","40.886019","11643","796","135","258","7","7859","6328","48","8","597","47","9","26"
"326","6","6","GREEN",,,"POINT (-73.846694 40.836771)","40.836771","8037","363","60","80","0","3245","3006","62","5","202","46","7","9"
"39","1","1","RED",,,"POINT (-73.909724 40.874631)","40.874631","9964","541","46","136","23","5234","5958","15","54","448","79","23","23"
