"remote","point_x","point_y","station","routes","transfers","color","express","full_fare","senior_discount","d_afas_unl","d_afas_rmf_unl","joint_rr_tkt","d_unl_1","d_unl_2","transitchek_metrocard","rr_unl_no_trade","tcmc_annual_mc","mr_ezpay_exp","mr_ezpay_unl","airtrain_full_fare","none"
"275","POINT (-73.903962 40.858367)","40.858367000000001","183RD STREET-JEROME AVENUE    ","4","4","GREEN"," ","16002","466","39","94","3","8491","4654","10","0","316","18","18","25",
"157","POINT (-73.879427 40.874979)","40.874979000000003","205TH ST-BAINBRIDGE AVE       ","D","D","ORANGE"," ","16511","631","77","261","3","7867","8153","24","16","590","38","20","106",
"365","POINT (-73.8628 40.883579)","40.883578999999997","219TH ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN"," ","8631","299","45","90","2","3549","2382","31","0","179","10","5","18",
"366","POINT (-73.860425 40.88781)","40.887810000000002","225TH ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN"," ","11261","366","65","113","1","4603","2815","33","0","248","23","21","36",
"40","POINT (-73.904784 40.87891)","40.878909999999998","231ST STREET                  ","1","1","RED"," ","16971","1092","112","309","0","8125","9876","56","10","673","102","54","82",
"367","POINT (-73.857349 40.893393)","40.893393000000003","233RD ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN"," ","12312","598","74","173","1","5736","4028","22","0","393","25","6","26",
"306","POINT (-73.900641 40.885077)","40.885077000000003","238TH STREET-BROADWAY         ","1","1","RED"," ","8835","393","22","73","3","2414","4137","32","1","322","124","36","36",
"145","POINT (-73.850375 40.903428)","40.903427999999998","241ST ST-WHITE PLAINS RD      ","2","2","RED"," ","11826","373","62","81","2","4901","2779","19","0","295","7","22","69",
"117","POINT (-73.898506 40.889424)","40.889423999999998","242ND STREET & BROADWAY       ","1","1","RED"," ","10986","466","47","138","0","4764","5439","43","11","381","111","21","48",
"445","POINT (-73.927194 40.810995)","40.810994999999998","138TH STREET-3RD AVE          ","6","6","GREEN","express","15915","663","80","170","1","9895","6253","39","9","569","19","21","37",
"53","POINT (-73.917642 40.816061)","40.816060999999998","149TH STREET & 3RD AVENUE     ","2,5","2,5","RED-GREEN","express","38944","1610","313","615","12","26546","17404","87","8","1756","64","41","151",
"362","POINT (-73.86732 40.865434)","40.865434","ALLERTON AV-WHITE PLAINS RD   ","2,5","2,5","RED-GREEN"," ","13041","584","69","209","2","5755","4306","55","1","341","21","12","41",
"292","POINT (-73.838591 40.878663)","40.878663000000003","BAYCHESTER AVE-TILLOTSON      ","5","5","GREEN"," ","9211","255","13","34","0","2794","2486","25","1","260","9","3","64",
"156","POINT (-73.887873 40.872109)","40.872109000000002","BEDFORD PARK BLVD-203RD ST    ","B,D","B,D","ORANGE"," ","12754","588","61","200","3","5724","6404","32","1","462","41","36","15",
"183","POINT (-73.889781 40.873596)","40.873595999999999","BEDFORD PARK BLVD-JEROME AV   ","4","4","GREEN"," ","9560","385","55","133","1","4642","4363","15","1","312","25","18","30",
"389","POINT (-73.868356 40.848991)","40.848990999999998","BRONX PARK EAST               ","2,5","2,5","RED-GREEN"," ","6139","201","42","73","0","2710","2339","31","0","201","12","13","26",
"446","POINT (-73.919237 40.807568)","40.807568000000003","BROOK AVENUE-138TH STREET     ","6","6","GREEN"," ","15585","606","69","119","3","8519","4617","9","7","369","19","24","36",
"428","POINT (-73.83226 40.847026)","40.847026","BUHRE AVE-WESTCHESTER AVE     ","6","6","GREEN"," ","8272","365","27","40","0","2131","3091","46","0","256","54","15","25",
"363","POINT (-73.867173 40.871435)","40.871434999999998","BURKE AVE-WHITE PLAINS ROAD   ","2,5","2,5","RED-GREEN"," ","9206","446","29","91","4","3675","2712","34","0","308","9","15","14",
"244","POINT (-73.907372 40.853798)","40.853797999999998","BURNSIDE AVE-JEROME AVE       ","4","4","GREEN"," ","22600","786","125","317","1","13723","8341","32","3","627","18","22","59",
"106","POINT (-73.851642 40.834191)","40.834190999999997","CASTLE HILL AVENUE            ","6","6","GREEN"," ","15306","633","103","137","0","7351","6890","55","7","656","33","22","34",
"447","POINT (-73.914465 40.805548)","40.805548000000002","CYPRESS AVENUE-138TH STREET   ","6","6","GREEN"," ","9032","270","49","62","0","4727","2500","7","3","222","9","5","15",
"431","POINT (-73.830596 40.889097)","40.889097","DYRE AVENUE-LIGHT STREET      ","5","5","GREEN"," ","9515","255","29","65","1","3523","3003","39","2","300","25","15","69",
"448","POINT (-73.907838 40.808193)","40.808193000000003","EAST 143RD ST-SOUTHERN BLVD   ","6","6","GREEN"," ","2047","94","5","24","3","1028","794","6","0","20","5","9","4",
"449","POINT (-73.904147 40.812115)","40.812114999999999","EAST 149TH ST-SOUTHERN BLVD   ","6","6","GREEN"," ","9655","407","45","93","0","6067","3671","17","2","305","3","5","28",
"222","POINT (-73.862713 40.832927)","40.832926999999998","177TH STREET-PARKCHESTER      ","6","6","GREEN","express","30217","1455","179","458","3","13927","17512","136","5","1469","74","60","73",
"388","POINT (-73.874154 40.841372)","40.841372","EAST 180TH ST-MORRIS PARK     ","2,5","2,5","RED-GREEN","express","12868","305","70","115","3","7258","5174","41","6","359","41","29","55",
"387","POINT (-73.880427 40.84009)","40.840089999999996","EAST TREMONT AVENUE-178 ST    ","2,5","2,5","RED-GREEN"," ","13942","492","88","203","5","9584","5341","17","3","567","11","19","85",
"16","POINT (-73.87916 40.828583)","40.828583000000002","LEXINGTON AVENUE              ","6","6","GREEN"," ","17580","668","36","138","58","4929","9810","218","114","653","276","116","176",
"112","POINT (-73.897102 40.862416)","40.862416000000003","FORDHAM RD/GRAND CONCOURSE    ","B,D","B,D","ORANGE","express","25732","932","141","321","15","14384","9817","30","27","711","44","49","74",
"119","POINT (-73.901091 40.862733)","40.862732999999999","FORDHAM ROAD & JEROME AVE     ","4","4","GREEN"," ","26125","994","133","294","4","15492","8982","32","8","771","30","36","72",
"409","POINT (-73.891832 40.83017)","40.830170000000003","FREEMAN ST-SOUTHERN BLVD      ","2,5","2,5","RED-GREEN"," ","11558","411","56","105","3","5309","3803","10","1","241","5","13","31",
"226","POINT (-73.845803 40.870182)","40.870182","GUN HILL ROAD-SEYMOUR         ","5","5","GREEN"," ","12686","439","71","101","1","5365","4051","65","0","544","15","21","41",
"364","POINT (-73.866518 40.877411)","40.877411000000002","GUNHILL RD-WHITE PLAINS RD    ","2,5","2,5","RED-GREEN"," ","13370","608","87","188","5","7757","4792","21","0","504","22","27","76",
"146","POINT (-73.891642 40.820614)","40.820613999999999","HUNTS PT AVE-SOUTHERN BLVD    ","6","6","GREEN","express","17891","639","90","259","0","11393","8027","29","0","680","24","20","43",
"407","POINT (-73.896893 40.822096)","40.822096000000002","INTERVALE 163RD STREET        ","2,5","2,5","RED-GREEN"," ","7164","233","29","71","5","3777","2225","7","1","152","6","9","16",
"405","POINT (-73.908253 40.816242)","40.816242000000003","JACKSON AVENUE-WESTCHESTER    ","2,5","2,5","RED-GREEN"," ","13253","479","49","62","4","6706","3863","16","4","414","15","14","27",
"155","POINT (-73.894293 40.866175)","40.866174999999998","KINGSBRIDGE RD-196TH ST       ","B,D","B,D","ORANGE"," ","16339","569","74","152","2","7999","6404","14","1","528","25","25","45",
"161","POINT (-73.897401 40.867497)","40.867497","KINGSBRIDGE RD-JEROME AVE     ","4","4","GREEN"," ","20143","748","83","255","6","10873","8239","41","0","688","30","34","75",
"450","POINT (-73.89621 40.816321)","40.816321000000002","LONGWOOD AVE-SOUTHERN BLVD    ","6","6","GREEN"," ","7948","319","39","93","0","4047","2648","20","7","196","3","30","9",
"427","POINT (-73.836766 40.843473)","40.843473000000003","MIDDLETOWN ROAD-WESTCHESTER   ","6","6","GREEN"," ","4620","175","11","49","1","863","1333","72","0","119","34","18","10",
"329","POINT (-73.860359 40.854472)","40.854472000000001","MORRIS PARK-PAULDING AVENUE   ","5","5","GREEN"," ","5206","183","5","25","1","1041","1915","44","0","184","31","6","14",
"0","POINT (-73.874475 40.829527)","40.829526999999999","<Null>","6","6","GREEN"," ",,,,,,,,,,,,,,"<Null>"
"133","POINT (-73.884635 40.87974)","40.879739999999998","MOSHOLU PARKWAY-JEROME AVE    ","4","4","GREEN"," ","19774","949","115","249","8","8598","8201","12","7","897","59","56","89",
"308","POINT (-73.914746 40.844292)","40.844292000000003","MT EDEN AVENUE-JEROME AVE     ","4","4","GREEN"," ","14438","580","88","205","3","7129","4616","8","4","426","6","6","32",
"306","POINT (-73.854323 40.898462)","40.898462000000002","238TH STREET-BROADWAY         ","2,5","2,5","RED-GREEN"," ","8835","393","22","73","3","2414","4137","32","1","322","124","36","36",
"429","POINT (-73.827095 40.852928)","40.852927999999999","PELHAM BAY PARK-BRUCKNER BL   ","6","6","GREEN"," ","7092","402","69","207","0","4912","5824","47","1","652","33","13","53",
"430","POINT (-73.856079 40.85817)","40.858170000000001","PELHAM PKWY-ESPLANADE         ","5","5","GREEN"," ","6887","322","22","49","0","1758","2379","40","1","303","37","5","32",
"361","POINT (-73.867607 40.857235)","40.857235000000003","PELHAM PKWY-WHITE PLAINS RD   ","2,5","2,5","RED-GREEN"," ","18444","955","135","239","4","9908","8706","58","0","928","49","51","56",
"406","POINT (-73.901629 40.819678)","40.819678000000003","PROSPECT AVENUE-WESTCHESTER   ","2,5","2,5","RED-GREEN"," ","16504","686","92","248","1","8626","5318","31","2","407","31","30","58",
"408","POINT (-73.892955 40.824131)","40.824131000000001","SIMPSON ST-WESTCHESTER AVE    ","2,5","2,5","RED-GREEN"," ","17593","670","111","217","0","12249","6750","24","2","519","13","23","41",
"245","POINT (-73.86728 40.831598)","40.831598","ST LAWRENCE AVE-WEST AVE      ","6","6","GREEN"," ","10198","308","19","52","1","5190","2948","34","0","198","12","4","19",
"154","POINT (-73.90593 40.84949)","40.849490000000003","TREMONT AVE-179TH ST          ","B,D","B,D","ORANGE","express","17148","531","102","206","0","10443","7070","23","13","589","23","37","59",
"107","POINT (-73.842011 40.84061)","40.840609999999998","WESTCHESTER SQUARE            ","6","6","GREEN"," ","9314","508","67","173","5","5096","5366","18","5","350","50","23","93",
"325","POINT (-73.88609 40.827566)","40.827565999999997","WHITLOCK AVE-WESTCHESTER AV   ","6","6","GREEN"," ","3698","90","11","22","0","2292","1167","1","2","65","0","1","24",
"52","POINT (-73.87877 40.886019)","40.886018999999997","WOODLAWN ROAD                 ","4","4","GREEN"," ","10811","701","118","241","8","5923","5232","32","6","456","42","10","28",
"326","POINT (-73.846694 40.836771)","40.836770999999999","ZEREGA AVE-WESTCHESTER AVE    ","6","6","GREEN"," ","6817","307","60","60","0","2393","2520","48","4","168","15","5","10",
"39","POINT (-73.909724 40.874631)","40.874631000000001","225TH STREET                  ","1","1","RED"," ","12568","583","40","136","14","5628","6173","26","45","478","64","42","47",
