"remote","point_x_city","point_x","point_x_state","point_y","station","routes","transfers","color","express","closed","ff","sen_dis","d_afas_unl","d_afas_rmf_unl","joint_rr_tkt","d_unl_1","d_unl_2","tcmc","rr_unl_no_trade","tcmc_annual_mc","mr_ezpay_exp","mr_ezpay_unl","airtrain_ff"
"366","Bronx","POINT (-73.860425 40.88781)","NY","40.887810000000002","225TH ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN"," "," ","12366","447","49","118","5","5539","3267","42","1","275","21","21","22"
"40","Bronx","POINT (-73.904784 40.87891)","NY","40.878909999999998","231ST STREET                  ","1","1","RED"," "," ","16359","1292","124","341","1","8551","11077","57","9","787","133","74","48"
"367","Bronx","POINT (-73.857349 40.893393)","NY","40.893393000000003","233RD ST-WHITE PLAINS ROAD    ","2,5","2,5","RED-GREEN"," "," ","13623","716","78","195","3","7168","4734","32","1","399","25","10","30"
"306","Bronx","POINT (-73.900641 40.885077)","NY","40.885077000000003","238TH STREET-BROADWAY         ","1","1","RED"," "," ","7135","400","27","65","4","2031","4223","51","4","296","93","27","37"
"145","Bronx","POINT (-73.850375 40.903428)","NY","40.903427999999998","241ST ST-WHITE PLAINS RD      ","2","2","RED"," "," ","14015","469","73","93","5","6507","3500","23","2","337","13","30","84"
"117","Bronx","POINT (-73.898506 40.889424)","NY","40.889423999999998","242ND STREET & BROADWAY       ","1","1","RED"," "," ","12999","660","58","203","7","6611","8026","69","13","624","136","31","65"
"445","Bronx","POINT (-73.927194 40.810995)","NY","40.810994999999998","138TH STREET-3RD AVE          ","6","6","GREEN","express"," ","18247","793","107","192","2","11967","7815","33","14","719","19","33","41"
"53","Bronx","POINT (-73.917642 40.816061)","NY","40.816060999999998","149TH STREET & 3RD AVENUE     ","2,5","2,5","RED-GREEN","express"," ","45916","1910","360","779","21","34909","22789","112","13","2426","81","48","159"
"362","Bronx","POINT (-73.86732 40.865434)","NY","40.865434","ALLERTON AV-WHITE PLAINS RD   ","2,5","2,5","RED-GREEN"," "," ","14557","711","86","241","2","6987","4958","49","2","389","21","15","65"
"292","Bronx","POINT (-73.838591 40.878663)","NY","40.878663000000003","BAYCHESTER AVE-TILLOTSON      ","5","5","GREEN"," "," ","10901","326","11","47","0","3580","3103","40","2","314","15","4","48"
"156","Bronx","POINT (-73.887873 40.872109)","NY","40.872109000000002","BEDFORD PARK BLVD-203RD ST    ","B,D","B,D","ORANGE"," "," ","13767","760","68","230","5","6916","7775","39","1","538","60","37","17"
"183","Bronx","POINT (-73.889781 40.873596)","NY","40.873595999999999","BEDFORD PARK BLVD-JEROME AV   ","4","4","GREEN"," "," ","11212","448","64","165","0","6221","5467","20","3","383","38","26","37"
"389","Bronx","POINT (-73.868356 40.848991)","NY","40.848990999999998","BRONX PARK EAST               ","2,5","2,5","RED-GREEN"," "," ","6825","242","51","76","0","3326","2795","37","2","219","18","6","23"
"446","Bronx","POINT (-73.919237 40.807568)","NY","40.807568000000003","BROOK AVENUE-138TH STREET     ","6","6","GREEN"," "," ","16926","818","71","127","4","10259","5410","18","8","485","25","31","38"
"428","Bronx","POINT (-73.83226 40.847026)","NY","40.847026","BUHRE AVE-WESTCHESTER AVE     ","6","6","GREEN"," "," ","9864","484","29","58","0","2709","3919","84","1","347","84","15","20"
"363","Bronx","POINT (-73.867173 40.871435)","NY","40.871434999999998","BURKE AVE-WHITE PLAINS ROAD   ","2,5","2,5","RED-GREEN"," "," ","10194","524","28","114","3","4690","3208","44","0","338","9","12","18"
"244","Bronx","POINT (-73.907372 40.853798)","NY","40.853797999999998","BURNSIDE AVE-JEROME AVE       ","4","4","GREEN"," "," ","25478","991","138","347","1","16800","9893","48","3","729","36","33","60"
"106","Bronx","POINT (-73.851642 40.834191)","NY","40.834190999999997","CASTLE HILL AVENUE            ","6","6","GREEN"," "," ","17483","752","122","177","1","9211","8322","60","10","796","40","25","38"
"447","Bronx","POINT (-73.914465 40.805548)","NY","40.805548000000002","CYPRESS AVENUE-138TH STREET   ","6","6","GREEN"," "," ","10381","315","50","51","0","6221","3048","6","5","231","17","12","24"
"431","Bronx","POINT (-73.830596 40.889097)","NY","40.889097","DYRE AVENUE-LIGHT STREET      ","5","5","GREEN"," "," ","11824","331","42","71","3","4757","3986","58","5","396","38","20","66"
"448","Bronx","POINT (-73.907838 40.808193)","NY","40.808193000000003","EAST 143RD ST-SOUTHERN BLVD   ","6","6","GREEN"," "," ","2627","118","6","28","5","1289","984","12","0","25","9","12","5"
"449","Bronx","POINT (-73.904147 40.812115)","NY","40.812114999999999","EAST 149TH ST-SOUTHERN BLVD   ","6","6","GREEN"," "," ","10810","486","66","112","0","7633","4408","25","0","459","2","7","29"
"222","Bronx","POINT (-73.862713 40.832927)","NY","40.832926999999998","177TH STREET-PARKCHESTER      ","6","6","GREEN","express"," ","33370","1709","207","509","3","17286","20622","173","10","1753","102","73","72"
"388","Bronx","POINT (-73.874154 40.841372)","NY","40.841372","EAST 180TH ST-MORRIS PARK     ","2,5","2,5","RED-GREEN","express"," ","14421","434","102","164","1","8949","6489","32","7","501","45","42","57"
"387","Bronx","POINT (-73.880427 40.84009)","NY","40.840089999999996","EAST TREMONT AVENUE-178 ST    ","2,5","2,5","RED-GREEN"," "," ","15010","553","109","233","5","11102","6311","24","5","637","29","22","58"
"16","Bronx","POINT (-73.87916 40.828583)","NY","40.828583000000002","LEXINGTON AVENUE              ","6","6","GREEN"," "," ","22792","1006","43","205","91","4806","14665","327","185","903","430","182","173"
"112","Bronx","POINT (-73.897102 40.862416)","NY","40.862416000000003","FORDHAM RD/GRAND CONCOURSE    ","B,D","B,D","ORANGE","express"," ","27567","1032","172","346","12","17155","11312","37","43","808","53","44","77"
"119","Bronx","POINT (-73.901091 40.862733)","NY","40.862732999999999","FORDHAM ROAD & JEROME AVE     ","4","4","GREEN"," "," ","29118","1078","176","314","1","19176","11045","46","10","869","36","38","71"
"409","Bronx","POINT (-73.891832 40.83017)","NY","40.830170000000003","FREEMAN ST-SOUTHERN BLVD      ","2,5","2,5","RED-GREEN"," "," ","12622","467","61","122","3","6466","4594","16","2","276","13","21","35"
"226","Bronx","POINT (-73.845803 40.870182)","NY","40.870182","GUN HILL ROAD-SEYMOUR         ","5","5","GREEN"," "," ","14465","583","79","126","0","6709","5232","95","0","643","37","31","47"
"364","Bronx","POINT (-73.866518 40.877411)","NY","40.877411000000002","GUNHILL RD-WHITE PLAINS RD    ","2,5","2,5","RED-GREEN"," "," ","14601","669","120","234","0","9597","5727","23","3","560","22","24","74"
"146","Bronx","POINT (-73.891642 40.820614)","NY","40.820613999999999","HUNTS PT AVE-SOUTHERN BLVD    ","6","6","GREEN","express"," ","19811","767","134","301","2","14949","10132","33","0","842","40","31","44"
"407","Bronx","POINT (-73.896893 40.822096)","NY","40.822096000000002","INTERVALE 163RD STREET        ","2,5","2,5","RED-GREEN"," "," ","7795","233","48","78","7","4778","2811","5","0","179","6","17","30"
"405","Bronx","POINT (-73.908253 40.816242)","NY","40.816242000000003","JACKSON AVENUE-WESTCHESTER    ","2,5","2,5","RED-GREEN"," "," ","14239","577","61","71","5","8192","4562","19","3","453","10","11","42"
"155","Bronx","POINT (-73.894293 40.866175)","NY","40.866174999999998","KINGSBRIDGE RD-196TH ST       ","B,D","B,D","ORANGE"," "," ","17827","665","83","190","8","9872","7316","30","1","611","19","37","33"
"161","Bronx","POINT (-73.897401 40.867497)","NY","40.867497","KINGSBRIDGE RD-JEROME AVE     ","4","4","GREEN"," "," ","23126","1000","114","317","7","14403","10188","58","3","805","30","30","62"
"450","Bronx","POINT (-73.89621 40.816321)","NY","40.816321000000002","LONGWOOD AVE-SOUTHERN BLVD    ","6","6","GREEN"," "," ","8960","378","33","99","0","5182","3200","12","12","258","9","40","10"
"427","Bronx","POINT (-73.836766 40.843473)","NY","40.843473000000003","MIDDLETOWN ROAD-WESTCHESTER   ","6","6","GREEN"," "," ","6097","224","14","56","0","1218","1773","82","0","158","47","16","23"
"329","Bronx","POINT (-73.860359 40.854472)","NY","40.854472000000001","MORRIS PARK-PAULDING AVENUE   ","5","5","GREEN"," "," ","6525","215","2","37","0","1208","2498","47","0","264","66","13","8"
"0","Bronx","POINT (-73.874475 40.829527)","NY","40.829526999999999","<Null>","6","6","GREEN"," "," ",,,,,,,,,,,,,
"133","Bronx","POINT (-73.884635 40.87974)","NY","40.879739999999998","MOSHOLU PARKWAY-JEROME AVE    ","4","4","GREEN"," "," ","23024","1176","145","303","9","11004","10223","33","5","1114","92","61","106"
"308","Bronx","POINT (-73.914746 40.844292)","NY","40.844292000000003","MT EDEN AVENUE-JEROME AVE     ","4","4","GREEN"," "," ","16300","659","83","223","1","9109","5746","19","12","481","6","15","31"
"306","Bronx","POINT (-73.854323 40.898462)","NY","40.898462000000002","238TH STREET-BROADWAY         ","2,5","2,5","RED-GREEN"," "," ","7135","400","27","65","4","2031","4223","51","4","296","93","27","37"
"429","Bronx","POINT (-73.827095 40.852928)","NY","40.852927999999999","PELHAM BAY PARK-BRUCKNER BL   ","6","6","GREEN"," "," ","8288","482","80","275","3","6039","7613","75","3","817","48","14","67"
"430","Bronx","POINT (-73.856079 40.85817)","NY","40.858170000000001","PELHAM PKWY-ESPLANADE         ","5","5","GREEN"," "," ","8686","437","38","66","1","2408","3173","55","3","443","74","10","15"
"361","Bronx","POINT (-73.867607 40.857235)","NY","40.857235000000003","PELHAM PKWY-WHITE PLAINS RD   ","2,5","2,5","RED-GREEN"," "," ","20478","1118","127","252","3","12000","10267","71","3","1051","70","59","47"
"406","Bronx","POINT (-73.901629 40.819678)","NY","40.819678000000003","PROSPECT AVENUE-WESTCHESTER   ","2,5","2,5","RED-GREEN"," "," ","18069","729","120","264","1","10516","6511","29","5","487","34","35","43"
"408","Bronx","POINT (-73.892955 40.824131)","NY","40.824131000000001","SIMPSON ST-WESTCHESTER AVE    ","2,5","2,5","RED-GREEN"," "," ","18664","752","140","263","1","14889","7816","32","2","629","11","17","28"
"245","Bronx","POINT (-73.86728 40.831598)","NY","40.831598","ST LAWRENCE AVE-WEST AVE      ","6","6","GREEN"," "," ","11608","407","25","70","0","6191","3382","36","2","226","14","6","15"
"154","Bronx","POINT (-73.90593 40.84949)","NY","40.849490000000003","TREMONT AVE-179TH ST          ","B,D","B,D","ORANGE","express"," ","18888","678","118","241","2","14019","8842","46","17","760","23","43","76"
"107","Bronx","POINT (-73.842011 40.84061)","NY","40.840609999999998","WESTCHESTER SQUARE            ","6","6","GREEN"," "," ","11472","646","98","213","2","6904","6740","23","9","434","69","39","84"
"325","Bronx","POINT (-73.88609 40.827566)","NY","40.827565999999997","WHITLOCK AVE-WESTCHESTER AV   ","6","6","GREEN"," "," ","4096","148","11","31","0","2764","1398","5","0","88","0","1","9"
"52","Bronx","POINT (-73.87877 40.886019)","NY","40.886018999999997","WOODLAWN ROAD                 ","4","4","GREEN"," "," ","11868","879","160","308","7","7722","6335","51","7","597","56","9","24"
"326","Bronx","POINT (-73.846694 40.836771)","NY","40.836770999999999","ZEREGA AVE-WESTCHESTER AVE    ","6","6","GREEN"," "," ","8164","388","58","85","0","3172","3034","64","7","172","41","7","15"
"39","Bronx","POINT (-73.909724 40.874631)","NY","40.874631000000001","225TH STREET                  ","1","1","RED"," "," ","9588","511","54","130","18","5015","5697","17","54","408","72","35","22"
