"township","gender","count"
"North Canaan","M","161"
"North Haven","F","2447"
"North Haven","M","2030"
"North Stonington","F","579"
"North Stonington","M","524"
"Norwalk","F","14602"
"Norwalk","M","11735"
"Norwich","F","12121"
"Norwich","M","10530"
"Old Lyme","F","615"
"Old Lyme","M","525"
"Old Saybrook","F","1185"
"Old Saybrook","M","909"
"Orange","F","966"
"Orange","M","783"
"Out of State","F","315"
"Out of State","M","268"
"Oxford","F","938"
"Oxford","M","769"
"Plainfield","F","3542"
"Plainfield","M","2834"
"Plainville","F","2784"
"Plainville","M","2312"
"Plymouth","F","2006"
"Plymouth","M","1672"
"Pomfret","F","448"
"Pomfret","M","392"
"Portland","F","1065"
"Portland","M","911"
"Preston","F","625"
"Preston","M","502"
"Prospect","F","1028"
"Prospect","M","738"
"Putnam","F","2567"
"Putnam","M","1929"
"Redding","F","405"
"Redding","M","346"
"Ridgefield","F","1158"
"Ridgefield","M","863"
"Rocky Hill","F","2008"
"Rocky Hill","M","1691"
"Roxbury","F","170"
"Roxbury","M","132"
"Salem","F","426"
"Salem","M","377"
"Salisbury","F","402"
"Salisbury","M","282"
"Scotland","F","116"
"Scotland","M","112"
"Seymour","F","2560"
"Seymour","M","2036"
"Sharon","F","319"
"Sharon","M","395"
"Shelton","F","4743"
"Shelton","M","3706"
"Sherman","F","282"
"Sherman","M","242"
"Simsbury","F","1418"
"Simsbury","M","1187"
"Somers","F","787"
"Somers","M","635"
"South Windsor","F","2312"
"South Windsor","M","1733"
"Southbury","F","1806"
"Southbury","M","1380"
"Southington","F","4916"
"Southington","M","3720"
"Sprague","F","747"
"Sprague","M","619"
"Stafford","F","1925"
"Stafford","M","1481"
"Stamford","F","20572"
"Stamford","M","16925"
"Sterling","F","664"
"Sterling","M","556"
"Stonington","F","3234"
"Stonington","M","2490"
"Stratford","F","8939"
"Stratford","M","7246"
"Suffield","F","1075"
"Suffield","M","806"
"Thomaston","F","1109"
"Thomaston","M","879"
"Thompson","F","1422"
"Thompson","M","1215"
"Tolland","F","1046"
"Tolland","M","830"
"Torrington","F","8280"
"Torrington","M","7141"
"Trumbull","F","3032"
"Trumbull","M","2476"
"Union","F","47"
"Union","M","48"
"Vernon","F","5793"
"Vernon","M","4304"
"Voluntown","F","401"
"Voluntown","M","336"
"Wallingford","F","5723"
"Wallingford","M","4380"
"Warren","F","93"
"Warren","M","77"
"Washington","F","330"
"Washington","M","247"
"Waterbury","F","39877"
"Waterbury","M","35370"
"Waterford","F","2672"
"Waterford","M","2015"
"Watertown","F","3009"
"Watertown","M","2373"
"West Hartford","F","7312"
"West Hartford","M","5570"
"West Haven","F","12914"
"West Haven","M","10803"
"Westbrook","F","871"
"Westbrook","M","694"
"Weston","F","322"
"Weston","M","269"
"Westport","F","1176"
"Westport","M","930"
"Wethersfield","F","3327"
"Wethersfield","M","2510"
"Willington","F","596"
"Willington","M","510"
"Wilton","F","922"
"Wilton","M","597"
"Winchester","F","2406"
"Winchester","M","2096"
"Windham","F","7474"
"Windham","M","6638"
"Windsor Locks","F","2057"
"Windsor Locks","M","1605"
"Windsor","F","4515"
"Windsor","M","3737"
"Wolcott","F","2025"
"Wolcott","M","1663"
"Woodbridge","F","591"
"Woodbridge","M","528"
"Woodbury","F","855"
"Woodbury","M","693"
"Woodstock","F","866"
"Woodstock","M","734"
