"bond_series","original_loan_amount","loan_purchase_date","purchase_year","original_ltv","loan_type","sonyma_dpal_ccal_amount","original_term","county","fips_code","of_units","property_type","housing_type","household_size"
"HMB Warehouse","135800","2016-06-23T00:00:00.000","2016","97.00","Conventional","4200","360","Dutchess","36027","1 Family","Detached","Existing","3"
"HMB Warehouse","31920","2016-06-23T00:00:00.000","2016","80","Conventional","0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","105600","2016-06-23T00:00:00.000","2016","80","Conventional","0","360","Queens","36081","1 Family","Cooperative","Existing","2"
"HMB Warehouse","104500","2016-06-23T00:00:00.000","2016","95","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","64500","2016-06-23T00:00:00.000","2016","96","Conventional","0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","210000","2016-06-23T00:00:00.000","2016","79","Conventional","7950","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","368600","2016-06-23T00:00:00.000","2016","95","Conventional","0","360","Nassau","36059","1 Family","Detached","Existing","1"
"HMB Warehouse","259281","2016-06-23T00:00:00.000","2016","97","Conventional","8019","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","150000","2016-06-23T00:00:00.000","2016","42.25","Conventional","10650","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","100000","2016-06-23T00:00:00.000","2016","38","Conventional","0","360","Westchester","36119","1 Family","Detached","Existing","4"
"HMB Warehouse","140600","2016-06-23T00:00:00.000","2016","97","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","299647","2016-06-23T00:00:00.000","2016","94","Conventional","9600","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","72750","2016-06-23T00:00:00.000","2016","97","Conventional","0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","115900","2016-06-23T00:00:00.000","2016","95","Conventional","3660","360","Albany","36001","1 Family","Detached","Existing","2"
"HMB Warehouse","74000","2016-06-23T00:00:00.000","2016","80.00","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","199820","2016-06-23T00:00:00.000","2016","97","Conventional","6180","360","Dutchess","36027","1 Family","Detached","Existing","4"
"HMB Warehouse","75000","2016-06-23T00:00:00.000","2016","67.87","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","5"
"HMB Warehouse","84875","2016-06-23T00:00:00.000","2016","97","Conventional","3000","360","Monroe","36055","1 Family","Detached","Existing","3"
"HMB Warehouse","85060","2016-06-23T00:00:00.000","2016","97","Conventional","3000","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","52600","2016-06-23T00:00:00.000","2016","93","Conventional","3000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","284800","2016-06-23T00:00:00.000","2016","80.00","Conventional","0","360","Nassau","36059","1 Family","Detached","Existing","1"
"HMB Warehouse","216000","2016-06-23T00:00:00.000","2016","90","Conventional","7200","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","247500","2016-06-23T00:00:00.000","2016","90","Conventional","0","360","Westchester","36119","1 Family","Condominium","Existing","1"
"HMB Warehouse","160000","2016-06-23T00:00:00.000","2016","74","Conventional","6450","360","Westchester","36119","1 Family","Cooperative","Existing","3"
"HMB Warehouse","123405","2016-06-23T00:00:00.000","2016","95","Conventional","0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","53600","2016-06-23T00:00:00.000","2016","80","Conventional","0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","299250","2016-06-23T00:00:00.000","2016","95","Conventional","9450","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","109898","2016-06-23T00:00:00.000","2016","92.35","Conventional","3570","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","106000","2016-06-23T00:00:00.000","2016","88","Conventional","0","360","Tompkins","36109","1 Family","Detached","Existing","2"
"HMB Warehouse","280000","2016-06-23T00:00:00.000","2016","87.50","Conventional","9600","360","Nassau","36059","1 Family","Detached","Existing","5"
"HMB Warehouse","414000","2016-06-23T00:00:00.000","2016","96","Conventional","12900","360","Kings","36047","2 Family","Detached","Existing","4"
"HMB Warehouse","116250","2016-06-23T00:00:00.000","2016","75","Conventional","0","360","Queens","36081","1 Family","Detached","Existing","1"
"HMB Warehouse","121125","2016-06-23T00:00:00.000","2016","95.00","Conventional","3825","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","110250","2016-06-23T00:00:00.000","2016","75","Conventional","0","360","Queens","36081","1 Family","Cooperative","Existing","1"
"HMB Warehouse","307800","2016-06-16T00:00:00.000","2016","95.00","Conventional","0","360","Westchester","36119","1 Family","Detached","Existing","4"
"HMB Warehouse","51000","2016-06-16T00:00:00.000","2016","85.00","Conventional","0","360","Erie","36029","2 Family","Detached","Existing","4"
"HMB Warehouse","161500","2016-06-16T00:00:00.000","2016","95","Conventional","0","360","Ulster","36111","1 Family","Detached","Existing","1"
"HMB Warehouse","280000","2016-06-16T00:00:00.000","2016","97","Conventional","8659","360","Orange","36071","1 Family","Detached","Existing","4"
"HMB Warehouse","94250","2016-06-16T00:00:00.000","2016","89.98","Conventional","3142","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","89300","2016-06-16T00:00:00.000","2016","95","Conventional","0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","232750","2016-06-16T00:00:00.000","2016","95","Conventional","0","360","Rockland","36087","1 Family","Condominium","Existing","3"
"HMB Warehouse","95060","2016-06-16T00:00:00.000","2016","97.00","Conventional","2940","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","127700","2016-06-16T00:00:00.000","2016","79.99","Conventional","4789","360","Westchester","36119","1 Family","Cooperative","Existing","2"
"HMB Warehouse","232800","2016-06-16T00:00:00.000","2016","97.00","Conventional","7200","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","184000","2016-06-16T00:00:00.000","2016","80.00","Conventional","6900","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","331200","2016-06-16T00:00:00.000","2016","90.00","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","94090","2016-06-16T00:00:00.000","2016","97","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","319200","2016-06-16T00:00:00.000","2016","95","Conventional","10080","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","345450","2016-06-16T00:00:00.000","2016","96","Conventional","10740","360","Westchester","36119","1 Family","Detached","Existing","4"
"HMB Warehouse","54700","2016-06-16T00:00:00.000","2016","72.93","Conventional","0","360","Niagara","36063","1 Family","Detached","Existing","5"
"HMB Warehouse","214000","2016-06-16T00:00:00.000","2016","71","Conventional","9000","360","Nassau","36059","1 Family","Detached","Existing","1"
"HMB Warehouse","200000","2016-06-16T00:00:00.000","2016","73","Conventional","0","360","Dutchess","36027","1 Family","Detached","Existing","2"
"HMB Warehouse","228000","2016-06-16T00:00:00.000","2016","56","Conventional","0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","124100","2016-06-16T00:00:00.000","2016","97","Conventional","3840","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","58200","2016-06-16T00:00:00.000","2016","97.00","Conventional","0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","381600","2016-06-16T00:00:00.000","2016","80.00","Conventional","0","360","New York","36061","1 Family","Cooperative","Existing","1"
"HMB Warehouse","286000","2016-06-16T00:00:00.000","2016","95","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","145000","2016-06-16T00:00:00.000","2016","96.84","Conventional","0","360","Columbia","36021","1 Family","Detached","Rehabilitation","3"
"HMB Warehouse","106400","2016-06-16T00:00:00.000","2016","95.00","Conventional","0","360","Ulster","36111","1 Family","Detached","Existing","2"
"HMB Warehouse","78300","2016-06-16T00:00:00.000","2016","90.00","Conventional","3000","360","Chemung","36015","1 Family","Detached","Existing","1"
"HMB Warehouse","101850","2016-06-16T00:00:00.000","2016","97.00","Conventional","3150","360","Schenectady","36093","1 Family","Condominium","Existing","1"
"HMB Warehouse","244270","2016-06-16T00:00:00.000","2016","57","Conventional","12952","360","Queens","36081","1 Family","Detached","Existing","4"
"HMB Warehouse","88000","2016-06-09T00:00:00.000","2016","68.75","Conventional","0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","250000","2016-06-09T00:00:00.000","2016","96.15","Conventional","7800","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","309500","2016-06-09T00:00:00.000","2016","96.93","Conventional","9578","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","270000","2016-06-09T00:00:00.000","2016","90.00","Conventional","9000","360","Suffolk","36103","1 Family","Detached","Existing","6"
"HMB Warehouse","109100","2016-06-09T00:00:00.000","2016","97","Conventional","3375","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","248000","2016-06-09T00:00:00.000","2016","80","Conventional","0","360","Richmond","36085","1 Family","Detached","Existing","1"
"HMB Warehouse","194750","2016-06-09T00:00:00.000","2016","95","Conventional","0","360","Albany","36001","2 Family","Detached","Existing","1"
"HMB Warehouse","479520","2016-06-09T00:00:00.000","2016","90","Conventional","0","360","Suffolk","36103","1 Family","Detached","New","3"
"HMB Warehouse","103000","2016-06-09T00:00:00.000","2016","47","Conventional","6540","360","Kings","36047","1 Family","Cooperative","Existing","4"
"HMB Warehouse","115300","2016-06-09T00:00:00.000","2016","95","Conventional","0","360","Monroe","36055","1 Family","PUD","Existing","1"
"HMB Warehouse","66500","2016-06-09T00:00:00.000","2016","95","Conventional","0","360","Erie","36029","2 Family","Detached","Existing","2"
"HMB Warehouse","417000","2016-06-09T00:00:00.000","2016","92.67","Conventional","13500","360","Queens","36081","1 Family","Detached","Existing","4"
"HMB Warehouse","90526","2016-06-09T00:00:00.000","2016","93","Conventional","2963","360","Monroe","36055","1 Family","Detached","Rehabilitation","2"
"HMB Warehouse","48500","2016-06-09T00:00:00.000","2016","97.00","Conventional","3000","360","Steuben","36101","2 Family","Detached","Existing","3"
"HMB Warehouse","250000","2016-06-09T00:00:00.000","2016","54","Conventional","0","360","Westchester","36119","1 Family","Detached","Existing","3"
"HMB Warehouse","125130","2016-06-09T00:00:00.000","2016","97.00","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","92150","2016-06-09T00:00:00.000","2016","97.00","Conventional","0","360","Oneida","36065","1 Family","Attached","Existing","1"
"HMB Warehouse","279000","2016-06-09T00:00:00.000","2016","90","Conventional","9300","360","Westchester","36119","1 Family","Detached","Existing","3"
"HMB Warehouse","149625","2016-06-09T00:00:00.000","2016","95","Conventional","0","360","Erie","36029","2 Family","Attached","Existing","1"
"HMB Warehouse","220000","2016-06-09T00:00:00.000","2016","75.86","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","114800","2016-06-09T00:00:00.000","2016","80","Conventional","0","360","Bronx","36005","1 Family","Cooperative","Existing","1"
"HMB Warehouse","302400","2016-06-09T00:00:00.000","2016","80","Conventional","11340","360","Nassau","36059","1 Family","Detached","Existing","5"
"HMB Warehouse","351000","2016-06-09T00:00:00.000","2016","90","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","214370","2016-06-09T00:00:00.000","2016","97.00","Conventional","6630","360","Westchester","36119","1 Family","Detached","Existing","2"
"HMB Warehouse","305000","2016-06-09T00:00:00.000","2016","93.85","Conventional","9750","360","Bronx","36005","1 Family","Attached","Existing","5"
"HMB Warehouse","63000","2016-06-09T00:00:00.000","2016","92.65","Conventional","3000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","223000","2016-06-09T00:00:00.000","2016","92.92","Conventional","7500","360","Westchester","36119","1 Family","Condominium","Existing","1"
"HMB Warehouse","155374","2016-06-02T00:00:00.000","2016","97","Conventional","4820","360","Orange","36071","1 Family","Detached","Existing","3"
"HMB Warehouse","98320","2016-06-02T00:00:00.000","2016","80","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","196800","2016-06-02T00:00:00.000","2016","80","Conventional","0","360","Ulster","36111","1 Family","Detached","Existing","4"
"HMB Warehouse","160050","2016-06-02T00:00:00.000","2016","97","Conventional","4950","360","Dutchess","36027","1 Family","Detached","Existing","1"
"HMB Warehouse","106032","2016-06-02T00:00:00.000","2016","94","Conventional","0","360","Ulster","36111","1 Family","Detached","Existing","1"
"HMB Warehouse","232000","2016-06-02T00:00:00.000","2016","80","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","200543","2016-06-02T00:00:00.000","2016","72.92","Conventional","8250","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","409500","2016-06-02T00:00:00.000","2016","90.00","Conventional","0","360","Nassau","36059","1 Family","Detached","Existing","5"
"HMB Warehouse","251500","2016-06-02T00:00:00.000","2016","94.73","Conventional","7950","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","277200","2016-06-02T00:00:00.000","2016","90","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","305550","2016-06-02T00:00:00.000","2016","97.00","Conventional","9450","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","86300","2016-06-02T00:00:00.000","2016","96.97","Conventional","0","360","Steuben","36101","1 Family","PUD","Existing","1"
"HMB Warehouse","289600","2016-06-02T00:00:00.000","2016","80","Conventional","0","360","Kings","36047","1 Family","Condominium","Existing","1"
"HMB Warehouse","286740","2016-06-02T00:00:00.000","2016","97","Conventional","8868","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","76000","2016-06-02T00:00:00.000","2016","80.00","Conventional","0","360","Oneida","36065","3 Family","Attached","Existing","1"
"HMB Warehouse","76000","2016-06-02T00:00:00.000","2016","80.00","Conventional","0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","64400","2016-06-02T00:00:00.000","2016","80","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","140000","2016-06-02T00:00:00.000","2016","80.00","Conventional","0","360","Queens","36081","1 Family","Cooperative","Existing","1"
"HMB Warehouse","312000","2016-06-02T00:00:00.000","2016","75.18","Conventional","12900","360","Queens","36081","1 Family","Detached","Rehabilitation","3"
"HMB Warehouse","160050","2016-06-02T00:00:00.000","2016","97","Conventional","0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","205600","2016-06-02T00:00:00.000","2016","80","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","189150","2016-06-02T00:00:00.000","2016","97.00","Conventional","0","360","Orange","36071","1 Family","Detached","Existing","1"
"HMB Warehouse","325350","2016-06-02T00:00:00.000","2016","90.00","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","270630","2016-06-02T00:00:00.000","2016","93","Conventional","8730","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","218250","2016-06-02T00:00:00.000","2016","97","Conventional","6750","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","71900","2016-06-02T00:00:00.000","2016","89.99","Conventional","0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","67400","2016-06-02T00:00:00.000","2016","89.99","Conventional","0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","61540","2016-05-26T00:00:00.000","2016","95","Conventional","3000","360","Chemung","36015","1 Family","Detached","Existing","1"
"HMB Warehouse","165750","2016-05-26T00:00:00.000","2016","85","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","5"
"HMB Warehouse","128525","2016-05-26T00:00:00.000","2016","97.00","Conventional","3975","360","Rockland","36087","1 Family","Condominium","Existing","1"
"HMB Warehouse","328000","2016-05-26T00:00:00.000","2016","80","Conventional","0","360","Nassau","36059","1 Family","Detached","Existing","3"
"HMB Warehouse","223270","2016-05-26T00:00:00.000","2016","83","Conventional","8173","360","Westchester","36119","1 Family","Condominium","New","4"
"HMB Warehouse","224000","2016-05-26T00:00:00.000","2016","80","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","104000","2016-05-26T00:00:00.000","2016","80","Conventional","3900","360","Bronx","36005","1 Family","Cooperative","Existing","1"
"HMB Warehouse","425600","2016-05-26T00:00:00.000","2016","94.99","Conventional","13441","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","264000","2016-05-26T00:00:00.000","2016","80","Conventional","0","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","85500","2016-05-26T00:00:00.000","2016","90","Conventional","0","360","Onondaga","36067","1 Family","Detached","Existing","2"
"HMB Warehouse","68000","2016-05-26T00:00:00.000","2016","80.00","Conventional","0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","414000","2016-05-26T00:00:00.000","2016","80","Conventional","0","360","Richmond","36085","1 Family","Detached","Existing","1"
"HMB Warehouse","179450","2016-05-26T00:00:00.000","2016","97","Conventional","5550","360","Westchester","36119","1 Family","Condominium","Existing","1"
"HMB Warehouse","57244","2016-05-26T00:00:00.000","2016","87","Conventional","0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","139450","2016-05-26T00:00:00.000","2016","83","Conventional","0","360","Bronx","36005","1 Family","Cooperative","New","4"
"HMB Warehouse","119300","2016-05-26T00:00:00.000","2016","96.99","Conventional","0","360","Genesee","36037","1 Family","Detached","Existing","2"
"HMB Warehouse","172175","2016-05-26T00:00:00.000","2016","97","Conventional","5325","360","Albany","36001","2 Family","Detached","Existing","1"
"HMB Warehouse","87300","2016-05-26T00:00:00.000","2016","97","Conventional","3000","360","Monroe","36055","1 Family","Detached","Existing","3"
"HMB Warehouse","320100","2016-05-26T00:00:00.000","2016","97.00","Conventional","9900","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","116000","2016-05-26T00:00:00.000","2016","80","Conventional","0","360","Queens","36081","1 Family","Cooperative","Existing","2"
"HMB Warehouse","63050","2016-05-26T00:00:00.000","2016","97.00","Conventional","0","360","Schenectady","36093","1 Family","Detached","Existing","1"
"HMB Warehouse","77650","2016-05-26T00:00:00.000","2016","92.44","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","313650","2016-05-26T00:00:00.000","2016","90.00","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","128599","2016-05-26T00:00:00.000","2016","97.00","Conventional","3977","360","Schenectady","36093","1 Family","Detached","Existing","1"
"Series 195/196","245000","2016-05-26T00:00:00.000","2016","62.03","Conventional","11850","360","Bronx","36005","1 Family","Detached","Existing","4"
"HMB Warehouse","342400","2016-05-26T00:00:00.000","2016","80.00","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","231830","2016-05-26T00:00:00.000","2016","97","Conventional","7170","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","223100","2016-05-26T00:00:00.000","2016","97.00","Conventional","6900","360","Dutchess","36027","1 Family","Detached","Existing","2"
"HMB Warehouse","145600","2016-05-26T00:00:00.000","2016","80","Conventional","0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","76100","2016-05-26T00:00:00.000","2016","96.94","Conventional","0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","366660","2016-05-26T00:00:00.000","2016","97.00","Conventional","0","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","306400","2016-05-26T00:00:00.000","2016","80.00","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","102000","2016-05-26T00:00:00.000","2016","85","Conventional","0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","104499","2016-05-26T00:00:00.000","2016","95.00","Conventional","0","360","Montgomery","36057","1 Family","Detached","Existing","1"
"HMB Warehouse","49200","2016-05-26T00:00:00.000","2016","80.00","Conventional","0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","122350","2016-05-26T00:00:00.000","2016","50","Conventional","7341","360","Orange","36071","1 Family","Detached","Rehabilitation","4"
"HMB Warehouse","204250","2016-05-26T00:00:00.000","2016","95.00","Conventional","6450","360","Dutchess","36027","1 Family","Cooperative","Existing","2"
"HMB Warehouse","190000","2016-05-26T00:00:00.000","2016","95.00","Conventional","6000","360","Orange","36071","1 Family","Detached","Existing","4"
"HMB Warehouse","126100","2016-05-26T00:00:00.000","2016","97","Conventional","0","360","Broome","36007","2 Family","Attached","Existing","1"
"HMB Warehouse","144530","2016-05-26T00:00:00.000","2016","97","Conventional","4500","360","Albany","36001","1 Family","Detached","Existing","1"
"HMB Warehouse","229600","2016-05-26T00:00:00.000","2016","97","Conventional","0","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","46957","2016-05-26T00:00:00.000","2016","97","Conventional","3000","360","Herkimer","36043","1 Family","Detached","Existing","4"
"HMB Warehouse","82632","2016-05-26T00:00:00.000","2016","88","Conventional","2817","360","Bronx","36005","1 Family","Cooperative","Existing","1"
"HMB Warehouse","44000","2016-05-19T00:00:00.000","2016","80","Conventional","3000","360","Erie","36029","2 Family","Attached","Existing","6"
"HMB Warehouse","243000","2016-05-19T00:00:00.000","2016","95","Conventional","7710","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","149788","2016-05-19T00:00:00.000","2016","97","Conventional","4632","360","Suffolk","36103","1 Family","Condominium","Existing","2"
