"record_type","color","registration_class"
"VEH","DK YW","18"
"VEH","YW/MR","18"
"VEH","BR/MR","18"
"VEH","DK WH","18"
"VEH","GL/RD","16"
"VEH","PK/BK","16"
"VEH","PR/YW","15"
"VEH","MR/BR","14"
"VEH","OR/PR","11"
"VEH","OR/YW","11"
"VEH","YW/TN","11"
"VEH","PR/GL","10"
"VEH","MR/BL","9"
"VEH","TN/YW","9"
"VEH","YW/GL","9"
"VEH","GL/PR","8"
"VEH","OR/GR","8"
"VEH","MR/GR","8"
"VEH","TN/PR","8"
"VEH","GL/YW","8"
"VEH","MR/YW","7"
"VEH","PR/TN","7"
"VEH","OR/GL","6"
"VEH","MR/OR","6"
"VEH","GR/MR","6"
"VEH","BL/MR","5"
"VEH","PK/PR","5"
"VEH","BL/PK","5"
"VEH","PK/BL","5"
"VEH","GL/OR","4"
"VEH","BR/PR","4"
"VEH","GR/PK","3"
"VEH","PK/MR","3"
"VEH","PK/GR","3"
"VEH","MR/PK","3"
"VEH","GL/MR","2"
"VEH","TN/PK","2"
"VEH","PR/MR","2"
"VEH","PK/TN","2"
"VEH","PK/RD","2"
"VEH","OR/MR","2"
"VEH","MR/PR","2"
"VEH","RD/PK","2"
"VEH","PK/GL","1"
"VEH","PK/OR","1"
"VEH","YW/PK","1"
"VEH","PR/BR","1"
"VEH","BR/PK","1"
"VEH","GR/GR","1"
"VEH","BK/BK","1"
